TOP|20110113010001|2011-01-13_0100_US_KABC_Eyewitness_News_5PM
COL|Communication Studies Archive, UCLA 
UID|cd63430a-1eb8-11e0-a1a8-001517add6fa
DUR|0:59:44.41
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-12 17:00 America/Los_Angeles
SEG_01|2014-02-14 18:22:03|Source_Program=commercial_detection.py|Source_Person=Weixin Li
20110113010002.000|20110113014244.000|SEG|Type=Story
20110113010002.000|20110113010004.000|CC1|UNIVERSITY OF ARIZONA           
20110113010004.000|20110113010005.000|CC1|CAMPUS.                         
20110113010005.000|20110113010006.000|CC1|>> THIS IS GROUND ZERO,         
20110113010006.000|20110113010008.000|CC1|ALMOST LIKE 9/11.               
20110113010008.000|20110113010010.000|CC1|>> Reporter: WE 11ED THAT       
20110113010010.000|20110113010011.000|CC1|22-YEAR-OLD SUSPECT, JARED      
20110113010011.000|20110113010013.000|CC1|LOUGHNER WAS PULLED OVER BY     
20110113010013.000|20110113010016.000|CC1|A WILDLIFE OFFICER, FOR         
20110113010016.000|20110113010017.000|CC1|RUNNING A RED LIGHT 3 HOURS     
20110113010017.000|20110113010019.000|CC1|BEFORE THE ATTACK, GIVEN A      
20110113010019.000|20110113010021.000|CC1|VERBAL WARNING AND              
20110113010021.000|20110113010022.000|CC1|RELEASED.                       
20110113010022.000|20110113010023.000|CC1|LOUGHNER'SLY SCHOOL FRIEND      
20110113010023.000|20110113010025.000|CC1|DOES NOT RECOGNIZE THE          
20110113010025.000|20110113010027.000|CC1|ALLEGED KILLER IN THIS MUG      
20110113010027.000|20110113010028.000|CC1|SHOT.                           
20110113010028.000|20110113010029.000|CC1|>> I CAN'T LOOK AT, THAT IT     
20110113010029.000|20110113010031.000|CC1|SCARES ME, I WISH I COULD       
20110113010031.000|20110113010032.000|CC1|HAVE HELPED.                    
20110113010032.000|20110113010033.000|CC1|>> IT IS HARD TO LOOK AT THE    
20110113010033.000|20110113010038.000|CC1|PICTURE OF HIM.                 
20110113010038.000|20110113010041.000|CC1|HE LOOKS LIKE A MONSTER.        
20110113010041.000|20110113010041.000|CC1|>> Reporter: 4 DAYS AFTER       
20110113010041.000|20110113010043.000|CC1|BEING SHOT IN THE HEAD,         
20110113010043.000|20110113010044.000|CC1|CONGRESSWOMAN GABRIELLE         
20110113010044.000|20110113010045.000|CC1|GIFFORDS REMAINS IN CRITICAL    
20110113010045.000|20110113010045.000|CC1|CONDITION.                      
20110113010045.000|20110113010047.000|CC1|>> WE'VE REALLY DECREASED       
20110113010047.000|20110113010049.000|CC1|THE AMOUNT OF SEDATION, AS A    
20110113010049.000|20110113010051.000|CC1|RESULT SHE CAN BE COMING        
20110113010051.000|20110113010052.000|CC1|MORE 51TAINIOUS.                
20110113010052.000|20110113010054.000|CC1|>> Reporter: -- RESPONDTAIN     
20110113010054.000|20110113010055.000|CC1|YOUR.                           
20110113010055.000|20110113010056.000|CC1|>> Reporter: 5 OTHER VICTIMS    
20110113010056.000|20110113010100.000|CC1|ARE BEING TREATED, INCLUDING    
20110113010100.000|20110113010102.000|CC1|GIFFORDS' STAFFER RON           
20110113010102.000|20110113010103.000|CC1|BARBER.                         
20110113010103.000|20110113010105.000|CC1|>> HE IS VERY ALERT, AND        
20110113010105.000|20110113010107.000|CC1|ABLE TO SEE HIS 4               
20110113010107.000|20110113010111.000|CC1|GRANDCHILDREN, ON MEMBER        
20110113010111.000|20110113010114.000|CC1|MONDAY, WHICH GAVE HIM GRIT     
20110113010114.000|20110113010115.000|CC1|PLEASE GREAT PLEASURE.          
20110113010115.000|20110113010116.000|CC1|>> Reporter: AUTHORITIES        
20110113010116.000|20110113010118.000|CC1|STENT THE DAY AT TUCSON HOME    
