TOP|20110113020001|2011-01-13_0200_US_FOX-News_Hannity
COL|Communication Studies Archive, UCLA 
UID|2e2a304c-1ec1-11e0-9229-001517add6f2
DUR|0:59:43.98
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-12 18:00 America/Los_Angeles
SEG_01|2014-06-18 18:47:05|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110113020004.000|20110113020004.000|XDS|%   RATING: (NOT RATED) (72)
20110113020005.000|20110113020005.000|XDS|%     CALL: FNC 
20110113020010.000|20110113020010.000|XDS|%    TITLE: News, Fair and Balanced
20110113020016.000|20110113025944.000|SEG|Type=Story
20110113020016.000|20110113020018.000|CC1|>> THE PREDENT: THESE MEN       
20110113020018.000|20110113020023.000|CC1|AND WOMENEMIND US AT            
20110113020023.000|20110113020026.000|CC1|HEROISM IS FOUND NOT ONLY ON    
20110113020026.000|20110113020029.000|CC1|THE FLDS OF BATTL               
20110113020029.000|20110113020031.000|CC1|THEY MIND US THAT HERSM         
20110113020031.000|20110113020033.000|CC1|DOES NOT REQUIRE SPECIAL        
20110113020035.000|20110113020035.000|XDS|%  NETWORK: Fox News Channel
20110113020033.000|20110113020037.000|CC1|TRAINING OR PHYSICALTRENGTH.    
20110113020037.000|20110113020040.000|CC1|HEROISM IS HERE.                
20110113020040.000|20110113020043.000|CC1|IN T HEARTS OF SO MANY OF       
20110113020043.000|20110113020045.000|CC1|OUR FELLOWITIZENS, ALL          
20110113020045.000|20110113020048.000|CC1|AROUND US, JUST WAITING TO      
20110113020048.000|20110113020049.000|CC1|SUMMONED                        
20110113020049.000|20110113020055.000|CC1|AS IT WAS O SATURDAY MORNG.     
20110113020055.000|20110113020102.000|CC1|THEIR ACTIONS, THEI SELFLESS,   
20110113020102.000|20110113020106.000|CC1|POSES CHALLENGE TO EACH OF      
20110113020106.000|20110113020110.000|CC1|US, IT RAISES T QUESTION OF     
20110113020110.000|20110113020112.000|CC1|WHAT BEYOND PRAYERS D           
20110113020112.000|20110113020115.000|CC1|PRESSIONS OF CONCERN, IS        
20110113020115.000|20110113020120.000|CC1|REIREDF US GOING FORWARD?       
20110113020120.000|20110113020126.000|CC1|HOW CAN  HONORHE FALLEN?        
20110113020126.000|20110113020129.000|CC1|HOW CAN  BE TRUE TO THEIR       
20110113020129.000|20110113020131.000|CC1|MEMORY?                         
20110113020131.000|20110113020134.000|CC1|U SEE, WHEN A TRAGEDY LIKE      
20110113020134.000|20110113020138.000|CC1|THIS STRIKES, IT IS PART OF     
20110113020138.000|20110113020141.000|CC1|OUR NATURE TODEMAND             
20110113020141.000|20110113020142.000|CC1|EXPLATIONS.                     
20110113020142.000|20110113020144.000|CC1|TO TRY TO IMPOSE SOMERDER ON    
20110113020144.000|20110113020147.000|CC1|THE CASE .                      
20110113020147.000|20110113020150.000|CC1|AND MAKE SENSE OUT OF THAT      
20110113020150.000|20110113020153.000|CC1|WHICH SEEMS SENSELESS.          
20110113020153.000|20110113020158.000|CC1|ALREADY, WE'VE SEEN A NATIONAL  
20110113020158.000|20110113020158.000|CC1|CONVERSATI COMMENCE.            
20110113020158.000|20110113020201.000|CC1|NOT ONLY ABOUT TH MOTIVATIONS   
20110113020201.000|20110113020202.000|CC1|BEHIND THESE KILLINGS, BUT      
20110113020202.000|20110113020204.000|CC1|ABOUT EVERYTHING FROM TH        
20110113020204.000|20110113020206.000|CC1|MERITS OF GUN SAFE LAWS TO      
20110113020206.000|20110113020209.000|CC1|EDEQUACY OF OURENTAL            
20110113020209.000|20110113020212.000|CC1|HEALTH SYSTEM.                  
20110113020212.000|20110113020217.000|CC1|MU OF THIS PROCESS, DETING      
20110113020217.000|20110113020219.000|CC1|WHAT MIGHT BE DONE TO PREVENT   
20110113020219.000|20110113020222.000|CC1|SUCH TRAGEDIE IN THE FUTURE,    
20110113020222.000|20110113020225.000|CC1|IS AN ESSENTIAL INGREDIENT IN   
20110113020225.000|20110113020231.000|CC1|OUR EXEISE OF SELF-GOVERNING.   
20110113020231.000|20110113020235.000|CC1|BUT, AT A TIME WH OUR           
20110113020235.000|20110113020238.000|CC1|DISCOURSE HAS BECOME SO         
20110113020238.000|20110113020241.000|CC1|SHARPLY POLARIZED, AT TIME      
20110113020241.000|20110113020244.000|CC1|WHEN WE ARE FAR TOO EAGER TO    
20110113020244.000|20110113020246.000|CC1|LAY THE BLAME FOR ALL AT        
20110113020246.000|20110113020249.000|CC1|AILS THE WORLD, AT THE FEET OF  
20110113020249.000|20110113020251.000|CC1|THOSE WHO HAPPE TO THINK        
20110113020251.000|20110113020254.000|CC1|DIFFERENTLY THAN WEO, IT IS     
20110113020254.000|20110113020256.000|CC1|IMPORTT FOR US TPAUSE FOR       
20110113020256.000|20110113020259.000|CC1|A MOMENTND MAKE SURE THAT       
20110113020259.000|20110113020302.000|CC1|WE'RE TALKING WITH EA OTHER     
20110113020302.000|20110113020306.000|CC1|IN WAYHAT HEALS.                
20110113020306.000|20110113020310.000|CC1|NOT IN AAY THAT WOUNDS          
20110113020310.000|20110113020323.000|CC1|[ APPLAUSE                      
20110113020323.000|20110113020325.000|CC1|>> THE PRESIDENT: SCRIPTURE     
20110113020325.000|20110113020328.000|CC1|TELLS US THAT THERE IS EVIL IN  
20110113020328.000|20110113020330.000|CC1|THE WORLD.                      
20110113020330.000|20110113020332.000|CC1|AND TERRIBLE THINGS HAPPEN FOR  
20110113020332.000|20110113020334.000|CC1|REASONS THAT DEFYUMAN           
20110113020334.000|20110113020337.000|CC1|UNDERSTANDING.                  
20110113020337.000|20110113020339.000|CC1|IN THE WORDS OF JOB, WHEN I     
20110113020339.000|20110113020343.000|CC1|OKED FORIGHT, THEN ME           
20110113020343.000|20110113020345.000|CC1|RKNESS.                         
20110113020345.000|20110113020348.000|CC1|BAD THIS HAPPEN.                
20110113020348.000|20110113020351.000|CC1|WE HAVE TO GUARD SIMPLE         
20110113020351.000|20110113020355.000|CC1|EXPLANATIONS IN THE AFTERMATH.  
20110113020355.000|20110113020357.000|CC1|THE TRUTH IS, NONE OF USAN      
20110113020357.000|20110113020359.000|CC1|KNOW EXACTLY WHAT TRIGGERED     
20110113020359.000|20110113020401.000|CC1|THIS VICIOUSTTACK.              
20110113020401.000|20110113020403.000|CC1|NONE OF US CAN KN WITH ANY      
20110113020403.000|20110113020406.000|CC1|CERTAINTY, WHAT MIGHT HAVE      
20110113020406.000|20110113020408.000|CC1|STOPPED THESE SOTS FROM BEING   
20110113020408.000|20110113020411.000|CC1|FIRED OR WHAT THOUGHTS LURKED   
20110113020411.000|20110113020413.000|CC1|IN THE INNER RESSES OF A        
20110113020413.000|20110113020417.000|CC1|VIOLENT MAN'S MIND.             
20110113020417.000|20110113020419.000|CC1|YES, WE HAVE TO EXAMINE ALL     
20110113020419.000|20110113020422.000|CC1|THE FACTS BEHIND THIS TRAGY.    
20110113020422.000|20110113020424.000|CC1|WE CAOT AND WILL NOT BE         
20110113020424.000|20110113020427.000|CC1|SSIVE IN THE FCE OF SUCH        
20110113020427.000|20110113020428.000|CC1|VIOLENCE.                       
20110113020428.000|20110113020430.000|CC1|WE SHOULD BE WILLING TO         
20110113020430.000|20110113020432.000|CC1|CHALLENGE OLD ASSUMPTIONSN      
20110113020432.000|20110113020434.000|CC1|ORDER TO LESSEN THE PROSPES     
20110113020434.000|20110113020436.000|CC1|OF CH VIOLENCE INHE             
20110113020436.000|20110113020438.000|CC1|FURE.                           
20110113020438.000|20110113020448.000|CC1|[ APPLAUSE ]                    
20110113020448.000|20110113020450.000|CC1|>> THE PRESIDENT: T WHAT WE     
20110113020450.000|20110113020454.000|CC1|CANNOT DO IS USETHIS TRAGEDY    
20110113020454.000|20110113020457.000|CC1|AS ONE MORE OCCASN TO TURN      
20110113020457.000|20110113020459.000|CC1|ON EACH OTHER.                  
20110113020459.000|20110113020501.000|CC1|[ APPLAUSE                      
20110113020501.000|20110113020502.000|CC1|>> THE PSIDENT: THAT WE         
20110113020502.000|20110113020511.000|CC1|CANNOT DO!                      
20110113020511.000|20110113020519.000|CC1|[ APPLAUSE ]                    
20110113020519.000|20110113020521.000|CC1|>> THE PRESIDENT: THAT WE       
20110113020521.000|20110113020523.000|CC1|CANNOT DO.                      
20110113020523.000|20110113020526.000|CC1|AS WE DISCUSS THESE ISSUES,     
20110113020526.000|20110113020529.000|CC1|LET EACH OF U DO SO WITH A      
20110113020529.000|20110113020532.000|CC1|GOOD DE OF HUMILITY.            
20110113020532.000|20110113020534.000|CC1|RATHER THAN POINTING FINGERS    
20110113020534.000|20110113020537.000|CC1|OR ASSIGNING BLAME.             
20110113020537.000|20110113020540.000|CC1|LET'S USE THIS OCCION TO        
20110113020540.000|20110113020542.000|CC1|EXPA OUR MORAL IMAGINATIO.      
20110113020542.000|20110113020545.000|CC1|TO LISTEN TO EACH OTR MORE      
20110113020545.000|20110113020547.000|CC1|CAREFULLY.                      
20110113020547.000|20110113020549.000|CC1| SHARPE OUR INSTITS FOR         
20110113020549.000|20110113020550.000|CC1|EMPATHY.                        
20110113020550.000|20110113020552.000|CC1|AN REMIND OURSELVES OF AL       
20110113020552.000|20110113020555.000|CC1|THE WAYS THATUR HOPE AND        
20110113020555.000|20110113020558.000|CC1|DREAMS ARE BOUNDOGETHER.        
20110113020558.000|20110113020600.000|CC1|[ APAUSE ]                      
20110113020600.000|20110113020606.000|CC1|>> THE PRESIDENT: AFTER ALL,    
20110113020606.000|20110113020609.000|CC1|THAT'S WHA MOST OF US DO WHEN   
20110113020609.000|20110113020611.000|CC1| LOSESOMEBODY IN OUR            
20110113020611.000|20110113020612.000|CC1|FAMILY.                         
20110113020612.000|20110113020615.000|CC1|ESPECIALLY IF THE LOSS IS       
20110113020615.000|20110113020617.000|CC1|UNEXPECTED.                     
20110113020617.000|20110113020619.000|CC1|WE'RE SHAKEN OUT O OUR          
20110113020619.000|20110113020621.000|CC1|ROUTINES.                       
20110113020621.000|20110113020625.000|CC1|WE'REFORCED TOOOK INWARD.       
