TOP|20110113070001|2011-01-13_0700_US_KABC_KABC_7_News_at_11PM
COL|Communication Studies Archive, UCLA 
UID|99d49668-1ee7-11e0-a981-001517add6fa
DUR|0:34:44.84
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-12 23:00 America/Los_Angeles
SEG_01|2014-02-03 01:07:20|Source_Program=commercial_detection.py|Source_Person=Weixin Li
20110113070005.000|20110113073445.000|SEG|Type=Story
20110113070005.000|20110113070006.000|CC1|A BIG CHANGE IN DALLAS'S        
20110113070006.000|20110113070006.000|CC1|FORECAST.                       
20110113070006.000|20110113070007.000|CC1|EYEWITNESS NEWS BEGINS IN 60    
20110113070007.000|20110113070110.000|CC1|SECONDS.                        
20110113070110.000|20110113070114.000|CC1|>> LET'S USE THIS OCCASION TO   
20110113070114.000|20110113070116.000|CC1|EXPAND A MORAL IMAGINATION, TO  
20110113070116.000|20110113070123.000|CC1|LISTEN TO EACH OTHER MORE       
20110113070123.000|20110113070126.000|CC1|CAREFULLY, TO SHARPEN OUR       
20110113070126.000|20110113070127.000|CC1|INSTINCTS FOR EMPATHY.          
20110113070127.000|20110113070128.000|CC1|MARC: HEALING WORDS FROM THE    
20110113070128.000|20110113070128.000|CC1|PRESIDENT.                      
20110113070128.000|20110113070129.000|CC1|GOOD EVENING.                   
20110113070129.000|20110113070130.000|CC1|I'M MARC BROWN.                 
20110113070130.000|20110113070132.000|CC1|MICHELLE: I'M MICHELLE TUZEE.   
20110113070132.000|20110113070133.000|CC1|JUST MINUTES AGO, PRESIDENT     
20110113070133.000|20110113070135.000|CC1|OBAMA AND FIRST LADY MICHELLE   
20110113070135.000|20110113070138.000|CC1|OBAMA RETURNED TO THE NATION'S  
20110113070138.000|20110113070139.000|CC1|CAPITAL FROM TUCSON.            
20110113070139.000|20110113070141.000|CC1|ROBERT HOLGUIN IS LIVE WITH THE 
20110113070141.000|20110113070143.000|CC1|PRESIDENT'S MESSAGE OF UNITY    
20110113070143.000|20110113070143.000|CC1|TONIGHT.                        
20110113070143.000|20110113070143.000|CC1|ROBERT?                         
20110113070143.000|20110113070145.000|CC1|>> Reporter: THAT'S RIGHT.      
20110113070145.000|20110113070146.000|CC1|THE PRESIDENT URGED AMERICANS   
20110113070146.000|20110113070149.000|CC1|TO HONOR THE VICTIMS OF LAST    
20110113070149.000|20110113070151.000|CC1|WEEK'S SHOOTING BY BECOMING     
20110113070151.000|20110113070152.000|CC1|BETTER PEOPLE.                  
20110113070152.000|20110113070154.000|CC1|INSTEAD OF POINTING FINGERS,    
20110113070154.000|20110113070155.000|CC1|THE PRESIDENT SAID, WE SHOULD   
20110113070155.000|20110113070157.000|CC1|REFLECT ON LAST WEEK'S TRAGEDY  
20110113070157.000|20110113070159.000|CC1|BY WORKING TO MAKE THIS A       
20110113070159.000|20110113070159.000|CC1|BETTER COUNTRY.                 
20110113070159.000|20110113070202.000|CC1|AT A BASKETBALL ARENA AT THE    
20110113070202.000|20110113070203.000|CC1|UNIVERSITY OF ARIZONA,          
20110113070203.000|20110113070207.000|CC1|PRESIDENT OBAMA STOOD BEFORE AN 
20110113070207.000|20110113070208.000|CC1|OVERFLOW CROWD AND DELIVERED    
20110113070208.000|20110113070209.000|CC1|THE NEWS THAT CAUGHT MANY       
20110113070209.000|20110113070211.000|CC1|PEOPLE BY SURPRISE.             
20110113070211.000|20110113070213.000|CC1|>> GABBY OPENED HER EYES FOR    
20110113070213.000|20110113070215.000|CC1|THE FIRST TIME.                 
20110113070215.000|20110113070219.000|CC1|>> Reporter: THE PRESIDENT PAID 
20110113070219.000|20110113070221.000|CC1|A HOSPITAL VISIT TO             
20110113070221.000|20110113070222.000|CC1|CONGRESSWOMAN GABRIELLE         
20110113070222.000|20110113070223.000|CC1|GIFFORDS.                       
