TOP|20110113073501|2011-01-13_0735_US_KABC_Nightline
COL|Communication Studies Archive, UCLA 
UID|edf0a116-1eeb-11e0-b316-001517add720
DUR|0:30:44.44
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-12 23:35 America/Los_Angeles
SEG_01|2014-06-18 18:47:19|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110113073504.000|20110113073504.000|XDS|%  NETWORK: ABC
20110113073504.000|20110113073504.000|XDS|%     CALL:   
20110113073507.000|20110113073507.000|XDS|%   RATING: (NOT RATED) (72)
20110113073508.000|20110113073508.000|XDS|%    TITLE: ABC NEWS NIGHTLINE
20110113073508.000|20110113073508.000|XDS|% TIMECODE: 1/13 2:35
20110113073508.000|20110113073508.000|XDS|%   LENGTH: 1:13:00 of 2:35:00
20110113073510.000|20110113073510.000|XDS|%   LENGTH: 0:00:00 of 1:01:00
20110113073513.000|20110113073526.000|SEG|Type=Story
20110113073513.000|20110113073515.000|CC1|>>> TONIGHT ON "NIGHTLINE," LIVE
20110113073515.000|20110113073515.000|XDS|%   LENGTH: 0:00:00 of 1:01:00
20110113073515.000|20110113073517.000|CC1|FROM THE MEMORIAL.              
20110113073518.000|20110113073518.000|XDS|%   LENGTH: 0:00:00 of 1:01:00
20110113073517.000|20110113073519.000|CC1|THE PRESIDENT GIVES A POWERFUL  
20110113073519.000|20110113073520.000|CC1|ADDRESS TO A GRIEVING NATION,   
20110113073520.000|20110113073522.000|CC1|REMEMBERING THE VICTIMS OF      
20110113073522.000|20110113073524.000|CC1|SATURDAY'S SHOOTING AND         
20110113073524.000|20110113073525.000|CC1|CHALLENGING THE COUNTRY TO LIVE 
20110113073525.000|20110113073526.000|CC1|UP TO THEIR EXAMPLE.            
20110113073526.000|20110113073535.000|SEG|Type=Story
20110113073526.000|20110113073527.000|CC1|>>> THE HEROES.                 
20110113073527.000|20110113073528.000|CC1|WE'LL HAVE THE REACTION FROM    
20110113073528.000|20110113073530.000|CC1|SOME OF THE BRAVE SOULS WHO     
20110113073530.000|20110113073532.000|CC1|RISKED IT ALL, INCLUDING DANIEL 
20110113073532.000|20110113073533.000|CC1|HERNANDEZ, WHO SAT BESIDE THE   
20110113073533.000|20110113073535.000|CC1|PRESIDENT TONIGHT.              
20110113073535.000|20110113074846.000|SEG|Type=Story
20110113073535.000|20110113073537.000|CC1|>>> TRAGEDY IN TUCSON.          
20110113073537.000|20110113073539.000|CC1|AS THE COUNTRY LOOKS INWARD, A  
20110113073539.000|20110113073540.000|CC1|SPECIAL EDITION OF "NIGHTLINE"  
20110113073540.000|20110113073543.000|CC1|BEGINS RIGHT NOW.               
20110113073543.000|20110113073544.000|CC1|>> Announcer: FROM THE GLOBAL   
20110113073544.000|20110113073547.000|CC1|RESOURCES OF ABC NEWS, TERRY    
20110113073547.000|20110113073548.000|CC1|MORAN, CYNTHIA McFADDEN AND BILL
20110113073548.000|20110113073552.000|CC1|WEIR IN NEW YORK CITY, THIS IS  
20110113073556.000|20110113073556.000|XDS|%   LENGTH: 0:01:00 of 1:01:00
20110113073552.000|20110113073556.000|CC1|"NIGHTLINE," JANUARY 12th, 2011.
20110113073556.000|20110113073559.000|CC1|>> GOOD EVENING, I'M BILL WEIR. 
20110113073559.000|20110113073602.000|CC1|AFTER FIVE DAYS OF ANGUISH AND  
20110113073602.000|20110113073604.000|CC1|ANGER, TUCSON AND REALLY THE    
20110113073604.000|20110113073606.000|CC1|WHOLE NATION WAS DUE FOR AN     
20110113073606.000|20110113073607.000|CC1|EMOTIONAL CLEANSING TONIGHT.    
20110113073607.000|20110113073608.000|CC1|25,000 PEOPLE SHOWED UP AT A    
20110113073608.000|20110113073610.000|CC1|COLLEGE ARENA THAT SEATS HALF   
20110113073610.000|20110113073611.000|CC1|THAT MANY.                      
20110113073611.000|20110113073615.000|CC1|AMONG THEM, SOME CARRYING FLESH 
20110113073615.000|20110113073615.000|CC1|WOUNDS.                         
20110113073615.000|20110113073617.000|CC1|ALL OF THEM SCARRED EMOTIONALLY 
20110113073617.000|20110113073618.000|CC1|BY SATURDAY'S MURDER SPREE.     
20110113073618.000|20110113073620.000|CC1|THE HEADS OF STATE AND FEDERAL  
20110113073620.000|20110113073621.000|CC1|GOVERNMENT WERE THERE.          
20110113073621.000|20110113073623.000|CC1|CABINET MEMBERS, SUPREME COURT  
20110113073623.000|20110113073624.000|CC1|JUSTICES PAST AND PRESENT.      
