TOP|20110113130001|2011-01-13_1300_US_FOX-News_Fox_and_Friends
COL|Communication Studies Archive, UCLA 
UID|65641940-1f1d-11e0-9a5b-001517add6f2
DUR|0:59:49.71
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-13 05:00 America/Los_Angeles
SEG_01|2014-06-18 18:47:39|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110113130003.000|20110113130003.000|XDS|%     CALL: FNC 
20110113130002.000|20110113130205.000|SEG|Type=Story
20110113130002.000|20110113130003.000|CC1|IMAGIN IT.                      
20110113130003.000|20110113130003.000|XDS|%   RATING: (NOT RATED) (72)
20110113130003.000|20110113130005.000|CC1|>> ALLF US,E SULD DO            
20110113130005.000|20110113130008.000|CC1|EVERYTHING WE CANO TO MAKE      
20110113130008.000|20110113130010.000|CC1|SURE THIS CNTRY LIVES UP TO     
20110113130010.000|20110113130014.000|CC1|OUR CHILDR'S EXPECTATION        
20110113130014.000|20110113130015.000|CC1|>> Alisy MORE OF THE POWERFUL   
20110113130015.000|20110113130015.000|XDS|%  NETWORK: Fox News Channel
20110113130015.000|20110113130016.000|CC1|EECH COMING UP.                 
20110113130016.000|20110113130017.000|CC1|>> Steve: MEANWHILE, FORGET     
20110113130017.000|20110113130018.000|CC1|ABOUT RETIRING.                 
20110113130018.000|20110113130019.000|CC1|GOVERNMENT WKERS MIGHT HAVE A   
20110113130019.000|20110113130020.000|CC1|BETTER OPTION.                  
20110113130020.000|20110113130022.000|CC1|LESS WORK ANDORE MONEY THANKS   
20110113130022.000|20110113130026.000|CC1|TO A HE LPHOLE IN THE LAW.      
20110113130026.000|20110113130027.000|CC1|SENATORUSAN COLLINS JOINS US    
20110113130027.000|20110113130029.000|CC1|SHTLY TO EXPOSE IT.             
20110113130029.000|20110113130030.000|CC1|>> Brian: HOW WI SHE EXPLAIN    
20110113130030.000|20110113130031.000|CC1|THIS BONUS?                     
20110113130031.000|20110113130033.000|CC1|THHEAD OF A TEACHER UNION       
20110113130033.000|20110113130036.000|CC1|PA NEARLY200,000 FOR NEVER      
20110113130036.000|20110113130038.000|CC1|CALLIN IN SICK.                 
20110113130038.000|20110113130040.000|CC1|WHO DID SHE LL IN TO?           
20110113130040.000|20110113130041.000|CC1|"FOX & FENDS" STARTS RIGHT      
20110113130047.000|20110113130047.000|XDS|%    TITLE: News, Fair and Balanced
20110113130041.000|20110113130051.000|CC1|NOW.                            
20110113130051.000|20110113130052.000|CC1|>> Alisyn: GOOD MORNING,        
20110113130052.000|20110113130053.000|CC1|EVERYBY.                        
20110113130053.000|20110113130053.000|CC1|THANK YOU FOR INING US.         
20110113130053.000|20110113130054.000|CC1|GREAT  BE WITH YOU THIS         
20110113130054.000|20110113130056.000|CC1|MORNING ON THIS IMPORNT NEWS    
20110113130056.000|20110113130058.000|CC1|Y WHERE WE'RE LOOKING BACK AND  
20110113130058.000|20110113130059.000|CC1|ANALYZING EVERYTHING THAT THE   
20110113130059.000|20110113130101.000|CC1|PRESIDENT SAID LA NIGHT.        
20110113130101.000|20110113130102.000|CC1|>> Brian: MEANWHILE, Y'RE       
20110113130102.000|20110113130103.000|CC1|LOOKING AT WILL LIV MEMORIAL    
20110113130103.000|20110113130104.000|CC1|GROWING BY THE SECOND.          
20110113130104.000|20110113130105.000|CC1|EVENINCE THIS MORNING.          
20110113130105.000|20110113130108.000|CC1|PEOPLEOMING DOWN T PLACE        
20110113130108.000|20110113130110.000|CC1|THEIR FLOW, BALLOONS, PERSONAL  
20110113130110.000|20110113130113.000|CC1|NOTES, PICTURES ALL IN SALUTE   
20110113130113.000|20110113130115.000|CC1|TO THOSE WHO LOST THEIR LIVES,  
20110113130115.000|20110113130116.000|CC1|THE SIX THAT LOST THEIR LIVES   
20110113130116.000|20110113130119.000|CC1|AND THE 14 OTHERS THA WERE SHO  
20110113130119.000|20110113130120.000|CC1|LAST SATURDAY MORNING           
20110113130120.000|20110113130121.000|CC1|>> Steve: THAT'S JUST OUTSE     
20110113130121.000|20110113130123.000|CC1|THE HOSPIT WHERE THE            
20110113130123.000|20110113130124.000|CC1|PRESIDENT'S MOTORCADE PULLEDP   
20110113130124.000|20110113130126.000|CC1|YESTERY AT 4:00 O'CLOCK         
20110113130126.000|20110113130128.000|CC1|MOUNTAIN TIM BEFORE HIS ADDRESS 
20110113130128.000|20110113130129.000|CC1|TO THE NATION AND TO THE PEOPLE 
20110113130129.000|20110113130133.000|CC1|WHO HADATHERED THERE AT THAT    
20110113130133.000|20110113130133.000|CC1|ARENA.                          
20110113130133.000|20110113130134.000|CC1|WE WILL LK A LITTLE BIT ABOUT   
20110113130134.000|20110113130136.000|CC1|WHAT HE HAD TO S LAST NIGHT     
20110113130136.000|20110113130137.000|CC1|WI MICHELLE MALKIN.             
20110113130137.000|20110113130138.000|CC1|SHE'S GOT PLENTY TO SAY.        
20110113130138.000|20110113130143.000|CC1|BUT RIGHT NOW, ALI HAS THE      
20110113130143.000|20110113130143.000|CC1|HEADLINES.                      
20110113130143.000|20110113130145.000|CC1|>> Alisyn: LET TALK ABOUT       
20110113130145.000|20110113130146.000|CC1|CHRISTINA GRNE, THE             
20110113130146.000|20110113130148.000|CC1|NINE-YEAR-OLD VIIM OF THE MS    
