TOP|20110114023001|2011-01-14_0230_US_KNBC_NBC_Nightly_News
COL|Communication Studies Archive, UCLA 
UID|cdfbc7ba-1f8a-11e0-9f2c-001517add720
DUR|0:29:40.04
VID|640x368
CMT|
LAN|ENG
LBT|2011-01-13 18:30 America/Los_Angeles
SEG_01|2014-06-18 18:48:42|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110114023002.000|20110114023003.000|SEG|Type=Story
20110114023002.000|20110114023003.000|CC1|COME.                           
20110114023003.000|20110114023022.000|SEG|Type=Story
20110114023003.000|20110114023005.000|CC1|>>> AND A CANDID CONVERSATION   
20110114023005.000|20110114023007.000|CC1|WITH YOUNG PEOPLE ACROSS AMERICA
20110114023007.000|20110114023008.000|CC1|ABOUT WHAT THEY'VE SEEN HAPPEN  
20110114023008.000|20110114023009.000|CC1|IN ARIZONA.                     
20110114023009.000|20110114023014.000|CC1|"NIGHTLY NEWS" BEGINS NOW.      
20110114023014.000|20110114023024.000|SEG_01|Type=Commercial
20110114023014.000|20110114023014.000|CC1|     CAPTIONS PAID FOR BY       
20110114023014.000|20110114023022.000|CC1|    NBC-UNIVERSAL TELEVISION    
20110114023022.000|20110114023420.000|SEG|Type=Story
20110114023022.000|20110114023024.000|CC1|>>> GOOD EVENING.               
20110114023024.000|20110114023025.000|SEG_01|Type=Story start
20110114023024.000|20110114023025.000|CC1|THIS WAS ANOTHER SAD DAY FOR    
20110114023025.000|20110114023027.000|CC1|TUCSON, ARIZONA.                
20110114023027.000|20110114023028.000|CC1|TONIGHT, WE'RE JUST NOW SEEING  
20110114023028.000|20110114023029.000|CC1|THE FIRST IMAGES FROM INSIDE THE
20110114023029.000|20110114023031.000|CC1|HOSPITAL WHERE LAST NIGHT       
20110114023031.000|20110114023032.000|CC1|PRESIDENT OBAMA AND THE FIRST   
20110114023032.000|20110114023035.000|CC1|LADY WENT FROM ROOM TO ROOM,    
20110114023035.000|20110114023037.000|CC1|COMFORTING VICTIMS AND FAMILIES.
20110114023037.000|20110114023038.000|CC1|AND THERE WAS GREAT SADNESS     
20110114023038.000|20110114023040.000|CC1|TODAY AT THE FUNERAL OF THE     
20110114023040.000|20110114023043.000|CC1|9-YEAR-OLD GIRL KILLED WHILE    
20110114023043.000|20110114023044.000|CC1|WAITING TO MEET HER             
20110114023044.000|20110114023045.000|CC1|CONGRESSWOMAN.                  
20110114023045.000|20110114023046.000|CC1|NOT FAR AWAY, CONGRESSWOMAN     
20110114023046.000|20110114023048.000|CC1|GABBY GIFFORDS, SHOT IN THE HEAD
20110114023048.000|20110114023049.000|CC1|BY THAT GUNMAN ON SATURDAY      
20110114023049.000|20110114023052.000|CC1|MORNING, CONTINUES TO DEFY      
20110114023052.000|20110114023054.000|CC1|MEDICAL EXPECTATIONS, AND WE'VE 
20110114023054.000|20110114023055.000|CC1|LEARNED EVEN MORE ABOUT HER     
20110114023055.000|20110114023056.000|CC1|CONDITION TODAY.                
20110114023056.000|20110114023058.000|CC1|FIRST, HOWEVER, THE FIRST OF    
20110114023058.000|20110114023100.000|CC1|SEVERAL WRENCHINGLY SAD GOODBYES
20110114023100.000|20110114023101.000|CC1|IN THAT CITY.                   
20110114023101.000|20110114023105.000|CC1|LEE COWAN IS LIVE IN NORTH      
20110114023105.000|20110114023107.000|CC1|TUCSON OUTSIDE THE CHURCH WHERE 
20110114023107.000|20110114023108.000|CC1|TODAY'S SERVICE WAS HELD.       
20110114023108.000|20110114023109.000|CC1|LEE, GOOD EVENING.              
20110114023109.000|20110114023110.000|CC1|>> Reporter: GOOD EVENING,      
20110114023110.000|20110114023110.000|CC1|BRIAN.                          
20110114023110.000|20110114023113.000|CC1|IT GOES WITHOUT SAYING THAT     
20110114023113.000|20110114023115.000|CC1|IN SITUATIONS LIKE THIS,        
20110114023115.000|20110114023116.000|CC1|SOMETIMES WORDS JUST FAIL.      
20110114023116.000|20110114023117.000|CC1|CHRISTINA TAY ALREADY GREEN WAS,
20110114023117.000|20110114023118.000|CC1|AS THE PRESIDENT POINTED OUT,   
20110114023118.000|20110114023119.000|CC1|UNCOMMON IN SO MANY WAYS.       
20110114023119.000|20110114023120.000|CC1|REALLY THE SYMBOL OF EVERYTHING 
20110114023120.000|20110114023124.000|CC1|THAT IS GOOD.                   
20110114023124.000|20110114023126.000|CC1|WHILE TODAY WAS A CHANCE FOR THE
20110114023126.000|20110114023128.000|CC1|COMMUNITY TO SAY THEIR GOODBYES,
20110114023128.000|20110114023129.000|CC1|IT WAS ALSO A CHANCE TO         
20110114023129.000|20110114023130.000|CC1|CELEBRATE WHAT SHE GAVE IN HER  
20110114023130.000|20110114023131.000|CC1|SHORT NINE YEARS, AND WHAT SHE  
20110114023131.000|20110114023134.000|CC1|CONTINUES TO GIVE.              
20110114023134.000|20110114023135.000|CC1|THEY LINED THE STREETS FOR      
20110114023135.000|20110114023136.000|CC1|CHRISTINA TAYLOR GREEN'S FINAL  
20110114023136.000|20110114023139.000|CC1|TRIP.                           
20110114023139.000|20110114023141.000|CC1|THAT ENDED UNDER A PATCH WORK   
20110114023141.000|20110114023142.000|CC1|FLAG THAT SURVIVED 9/11, HER    
20110114023142.000|20110114023145.000|CC1|BIRTHDAY.                       
20110114023145.000|20110114023147.000|CC1|TODAY, IT WAS USED TO BID HER   
20110114023147.000|20110114023149.000|CC1|FAREWELL.                       
20110114023149.000|20110114023150.000|CC1|THE SMALL SIGNS OF HER CUSTOM   
20110114023150.000|20110114023151.000|CC1|MADE CASKET, BLESSED BY THE     
20110114023151.000|20110114023152.000|CC1|MONKS WHO DONATED IT, SAID IT   
20110114023152.000|20110114023153.000|CC1|ALL.                            
20110114023153.000|20110114023156.000|CC1|>> SHE BEGAN HER LIFE WITH A    
20110114023156.000|20110114023157.000|CC1|TRAGEDY ON 9/11, AND HER LIFE   
