TOP|20110114030001|2011-01-14_0300_US_FOX-News_On_the_Record_Greta_Van_Susteren
COL|Communication Studies Archive, UCLA 
UID|bd3891a8-1f92-11e0-b9d0-001517add6f2
DUR|0:59:48.95
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-13 19:00 America/Los_Angeles
SEG_01|2014-06-18 18:48:43|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110114030002.000|20110114030002.000|XDS|%   RATING: (NOT RATED) (72)
20110114030002.000|20110114035949.000|SEG|Type=Story
20110114030002.000|20110114030005.000|CC1|YOU DOT HAVE ANYXAMPLES.        
20110114030005.000|20110114030006.000|CC1|>> SOME OF TH THINGSHAT         
20110114030006.000|20110114030006.000|XDS|%     CALL: FNC 
20110114030006.000|20110114030008.000|CC1|RUSH LIMBAUGH HASSAID AND       
20110114030008.000|20110114030009.000|CC1|OTHERS --                       
20110114030009.000|20110114030010.000|CC1|>> SEAN: NEVER HASE DONE        
20110114030010.000|20110114030012.000|CC1|THAT.                           
20110114030012.000|20110114030013.000|CC1|THAT'S ALL THE TIME WE HAVE     
20110114030013.000|20110114030013.000|CC1|LEFT.                           
20110114030014.000|20110114030014.000|XDS|%  NETWORK: Fox News Channel
20110114030013.000|20110114030015.000|CC1|GRETA IS NEXT.                  
20110114030015.000|20110114030018.000|CC1|>> GTA: TIGHT KARL ROVE         
20110114030018.000|20110114030020.000|CC1|AND NEWT GINGRICH AREOTH        
20110114030020.000|20110114030020.000|CC1|RE.                             
20110114030020.000|20110114030023.000|CC1|FIRS THE ACCUD ARIZONA'S        
20110114030023.000|20110114030025.000|CC1|KILLERX-GIRLFRIENDS ARE         
20110114030025.000|20110114030026.000|CC1|TAING.                          
20110114030026.000|20110114030028.000|CC1|THE GIRL WHO DATED HIM IN HH    
20110114030028.000|20110114030029.000|CC1|SCHOOL THINKS HE NEVER PLANNED  
20110114030029.000|20110114030030.000|CC1|TO SURVIVE ATTACK.              
20110114030030.000|20110114030032.000|CC1|>> I THINK HE EXPECTED TO GET   
20110114030032.000|20110114030032.000|CC1|SHOT TH DAY.                    
20110114030032.000|20110114030034.000|CC1|>> IF YOU LOOKEDAT HI           
20110114030034.000|20110114030036.000|CC1|FACEBOOK A YOUTUBE,             
20110114030036.000|20110114030037.000|CC1|EVERYTHING WAS WRITTEN IN PAST  
20110114030037.000|20110114030038.000|CC1|TENSE.                          
20110114030038.000|20110114030039.000|CC1|THAT'S NOT COMMON THAT Y        
20110114030039.000|20110114030041.000|CC1|WRITE IN PAST TENSENLESS YOU    
20110114030041.000|20110114030043.000|CC1|ARE EXPECTING YOU GOG TO        
20110114030043.000|20110114030044.000|CC1|COMMIT SCIDE OR SOMETHI         
20110114030044.000|20110114030046.000|CC1|BAD IS GOING THAPPEN TO YOU.    
20110114030046.000|20110114030047.000|CC1|>> THERE A LOT OF PEOPLWHO      
20110114030047.000|20110114030047.000|XDS|%    TITLE: News, Fair and Balanced
20110114030047.000|20110114030049.000|CC1|AR SING JARED UGHNER IS         
20110114030049.000|20110114030049.000|CC1|MENTALLY ILL.                   
20110114030049.000|20110114030051.000|CC1|I KNOW YOURE NOT A DOCTOR,      
20110114030051.000|20110114030054.000|CC1|BUT YOUR GUT FEELG IS H         
20110114030054.000|20110114030056.000|CC1|MENTLY ILL OR DO YOU THK        
20110114030056.000|20110114030057.000|CC1|IT IS ACCUMULATN OF             
20110114030057.000|20110114030058.000|CC1|EVERYTHING THAT YOHAVE          
20110114030058.000|20110114030058.000|CC1|TALK ABOUT?                     
20110114030058.000|20110114030100.000|CC1|>> I DON'T THINK HE'S MENTALLY  
20110114030100.000|20110114030101.000|CC1|ILL.                            
20110114030101.000|20110114030102.000|CC1| THK HE'S FAKING                
20110114030102.000|20110114030103.000|CC1|EVERYTNG.                       
20110114030103.000|20110114030104.000|CC1|I THINK THE OUTBURST HE HAD IN  
20110114030104.000|20110114030105.000|CC1|CLASS.                          
20110114030105.000|20110114030107.000|CC1|ITHINK HE HA PLANNED            
20110114030107.000|20110114030108.000|CC1|EVERYTHING.                     
20110114030108.000|20110114030110.000|CC1|HE HAS BEEN PLNING THIS FOR     
20110114030110.000|20110114030110.000|CC1|SOMETI.                         
20110114030110.000|20110114030112.000|CC1|IT WAS LIKE STARINGINTO         
20110114030112.000|20110114030113.000|CC1|SOMEBODY YOU DIDN'T KNOW.       
20110114030113.000|20110114030115.000|CC1|LIKE HE DIDN'T CARE OUT         
20110114030115.000|20110114030115.000|CC1|ANYTHING.                       
20110114030115.000|20110114030117.000|CC1|LIKEE HAD THIS AT THAT IT       
20110114030117.000|20110114030118.000|CC1|DIDN'T MATTER.                  
20110114030118.000|20110114030121.000|CC1|NOTHIN MATTERED.                
20110114030121.000|20110114030122.000|CC1|>> THEREAS NOTHING HIND         
20110114030122.000|20110114030124.000|CC1|HI EES THAT WHAT Y ARE          
20110114030124.000|20110114030124.000|CC1|SAYING                          
20110114030124.000|20110114030127.000|CC1|>> STARINGINTO SOMEONE          
20110114030127.000|20110114030128.000|CC1|SOULLESS.                       
20110114030128.000|20110114030130.000|CC1|>> SEE A NOTICEABLE DECLINE     
20110114030130.000|20110114030133.000|CC1|WAS HE MUCH MORE NRMAL I        
20110114030133.000|20110114030134.000|CC1|HIGH SCHOOL AS OPPOSED TO WE    
20110114030134.000|20110114030137.000|CC1|YOU SAWIM THREE, FOUR MONTHS    
20110114030137.000|20110114030137.000|CC1|AGO?                            
20110114030137.000|20110114030138.000|CC1|>> YES                          
20110114030138.000|20110114030139.000|CC1|HE WAS DIFFENT.                 
20110114030139.000|20110114030141.000|CC1|HE HADOMMON DECENCY.            
20110114030141.000|20110114030142.000|CC1|YOU COULDEE HE HAD A BIG        
20110114030142.000|20110114030144.000|CC1|HEART FOR PEOE.                 
20110114030144.000|20110114030146.000|CC1|ION'T KNOW WHAT HAPPENED.       
20110114030146.000|20110114030148.000|CC1|I ALLY DON'T.                   
20110114030148.000|20110114030149.000|CC1|THAT'S NOT THE PERSON I KNEW.   
20110114030149.000|20110114030151.000|CC1|I KNEW HE HAD PROBLE.           
20110114030151.000|20110114030153.000|CC1| DIDN'T KNOWHE WOULD DO         
20110114030153.000|20110114030156.000|CC1|METHING LIKE THIS.              
20110114030156.000|20110114030158.000|CC1|>> GTA: ANOTHER HIGH SCOL       
20110114030158.000|20110114030159.000|CC1|EX-GLFRIEND SAID SHE WAS        
20110114030159.000|20110114030200.000|CC1|STNED WHEN SHE LEARNED W        
20110114030200.000|20110114030203.000|CC1|WAS ACCUSED OFOING ON THAT      
20110114030203.000|20110114030204.000|CC1|VICIOUS RAMPAGE.                
20110114030204.000|20110114030205.000|CC1|>> IT WAS PROBABLY ONE OFHE     
20110114030205.000|20110114030207.000|CC1|MORE SURPRISING THINGS I'       
20110114030207.000|20110114030208.000|CC1|EVER HEARD IN MY LE.            
20110114030208.000|20110114030211.000|CC1| HAD BEEN AT WORK THAT DAY.     
20110114030211.000|20110114030215.000|CC1|I HEARD PIECES OF THINGS AUT    
20110114030215.000|20110114030218.000|CC1|THIS PERSON WHO HAD DE THIS.    
20110114030218.000|20110114030219.000|CC1|FINALLY, WH I HAD BEEN GIVEN    
20110114030219.000|20110114030221.000|CC1|THE NE OF WHO IT WAS,           
20110114030221.000|20110114030223.000|CC1|ERYTHING FELL TOGETHER.         
20110114030223.000|20110114030225.000|CC1|AND I COULDN'T BELIEVE IT.      
20110114030225.000|20110114030226.000|CC1|IT WAS EMOTION.                 
20110114030226.000|20110114030228.000|CC1|I WAS UPSET.                    
20110114030228.000|20110114030230.000|CC1|SIYEARS AGO WE DATED.           
20110114030230.000|20110114030233.000|CC1| WAS DIFFEREN                   
20110114030233.000|20110114030238.000|CC1|VERY CARING, VERY SWEET,        
20110114030238.000|20110114030240.000|CC1|GENTLE, KIND, QET, A PRETTY     
20110114030240.000|20110114030241.000|CC1|GREAT GUY.                      
