TOP|20110114030001|2011-01-14_0300_US_MSNBC_The_Last_Word_With_Lawrence_ODonnell
COL|Communication Studies Archive, UCLA 
UID|bd330fb2-1f92-11e0-a209-001517add6f2
DUR|0:59:49.08
VID|640x480
CMT|
LAN|ENG
LBT|2011-01-13 19:00 America/Los_Angeles
SEG_01|2014-06-18 18:48:46|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110114030003.000|20110114030018.000|SEG|Type=Story
20110114030003.000|20110114030005.000|CC1|UNIVERSE MOCKS US BY ITSELF     
20110114030005.000|20110114030007.000|CC1|CHANGING AND BY FORCING US TO   
20110114030007.000|20110114030007.000|CC1|ADAPT.                          
20110114030007.000|20110114030009.000|CC1|I LOVE THAT.                    
20110114030009.000|20110114030011.000|CC1|THAT DOES IT FOR US TONIGHT.    
20110114030011.000|20110114030012.000|CC1|WE'LL SEE YOU TOMORROW NIGHT.   
20110114030012.000|20110114030013.000|CC1|NOW IT'S TIME FOR "THE LAST WORD
20110114030013.000|20110114030018.000|CC1|WITH LAWRENCE O'DONNELL."       
20110114030018.000|20110114030254.000|SEG|Type=Story
20110114030018.000|20110114030020.000|CC1|>>> IN THE MIDST OF THE SADNESS 
20110114030020.000|20110114030023.000|CC1|IN TUCSON, THERE IS GOOD NEWS.  
20110114030023.000|20110114030025.000|CC1|ASTOUNDING NEWS, REALLY, THAT   
20110114030025.000|20110114030026.000|CC1|CONGRESSWOMAN GABRIELLE GIFFORDS
20110114030026.000|20110114030028.000|CC1|HAS NOT JUST OPENED HER EYES BUT
20110114030028.000|20110114030028.000|CC1|IT NOW AWARE OF HER             
20110114030028.000|20110114030030.000|CC1|SURROUNDINGS.                   
20110114030030.000|20110114030032.000|CC1|AT THE MOMENT, THE VERY MOMENT, 
20110114030032.000|20110114030034.000|CC1|SHE OPENED HER EYES, SHE WAS    
20110114030034.000|20110114030036.000|CC1|SURROUNDED BY THREE MEMBERS OF  
20110114030036.000|20110114030037.000|CC1|CONGRESS, INCLUDING DEMOCRATIC  
20110114030037.000|20110114030040.000|CC1|LEADER OF THE HOUSE NANCY       
20110114030040.000|20110114030040.000|CC1|PELOSI.                         
20110114030040.000|20110114030043.000|CC1|WHILE THIS WAS HAPPENING, WHERE 
20110114030043.000|20110114030043.000|CC1|WAS THE CURRENT SPEAKER OF THE  
20110114030043.000|20110114030044.000|CC1|HOUSE?                          
20110114030044.000|20110114030046.000|CC1|THE MAN WHO CALLED THIS ATTACK  
20110114030046.000|20110114030050.000|CC1|ON ONE OF US, AN ATTACK ON US   
20110114030050.000|20110114030052.000|CC1|ALL, SPEAKER BOEHNER STAYED IN  
20110114030052.000|20110114030053.000|CC1|WASHINGTON FOR A REPUBLICAN     
20110114030053.000|20110114030054.000|CC1|COCKTAIL PARTY.                 
20110114030054.000|20110114030056.000|CC1|>> THIS IS AN INCREDIBLE STORY. 
20110114030056.000|20110114030058.000|CC1|>> SHE SPONTANEOUSLY REACHED OUT
20110114030058.000|20110114030058.000|CC1|FOR HER HUSBAND.                
20110114030058.000|20110114030059.000|CC1|>> FINALLY, GOOD NEWS FROM      
20110114030059.000|20110114030100.000|CC1|TUCSON.                         
20110114030100.000|20110114030102.000|CC1|>> THE ONE THING ABOUT GABBY,   
20110114030102.000|20110114030102.000|CC1|SHE'S A FIGHTER.                
20110114030102.000|20110114030104.000|CC1|>> SHE'S STARTING TO BECOME     
20110114030104.000|20110114030105.000|CC1|AWARE OF HER SURROUNDINGS.      
20110114030105.000|20110114030106.000|CC1|>> A REMARKABLE MILESTONE       
20110114030106.000|20110114030107.000|CC1|MENTIONED BY THE PRESIDENT LAST 
20110114030107.000|20110114030108.000|CC1|NIGHT.                          
20110114030108.000|20110114030109.000|CC1|>> GABBY OPENED HER EYES FOR THE
20110114030109.000|20110114030111.000|CC1|FIRST TIME.                     
20110114030111.000|20110114030113.000|CC1|>> I WAS IN THE ROOM, THIS IS   
20110114030113.000|20110114030115.000|CC1|WHEN SOME OF HER CONGRESSWOMAN  
20110114030115.000|20110114030117.000|CC1|FRIENDS AND SENATORS WERE       
20110114030117.000|20110114030118.000|CC1|VISITING.                       
20110114030118.000|20110114030120.000|CC1|>> WE REALLY FELT THAT WE       
20110114030120.000|20110114030121.000|CC1|WITNESSED ALMOST A MIRACLE.     
20110114030121.000|20110114030122.000|CC1|>> GIVEN WHAT SHE'S BEEN        
20110114030122.000|20110114030124.000|CC1|THROUGH, IF SHE OPENED HER EYES,
20110114030124.000|20110114030127.000|CC1|MAYBE WE CAN, TOO.              
20110114030127.000|20110114030130.000|CC1|>> THE PRESIDENT, THE DEMOCRATIC
20110114030130.000|20110114030131.000|CC1|LEADERSHIP, EVEN SENATOR JOHN   
20110114030131.000|20110114030133.000|CC1|McCAIN JOINED THE WOUNDED       
20110114030133.000|20110114030133.000|CC1|COMMUNITY.                      
20110114030133.000|20110114030135.000|CC1|>> WE APPRECIATE ALL THE        
20110114030135.000|20110114030136.000|CC1|DIGNITARIES COMING TO THE       
20110114030136.000|20110114030137.000|CC1|MEMORIAL SERVICE YESTERDAY.     
20110114030137.000|20110114030138.000|CC1|>> THERE WAS A MOMENT WHERE YOU 
20110114030138.000|20110114030141.000|CC1|HAD ONE POLITICAL FIGURE THAT   
20110114030141.000|20110114030142.000|CC1|DID SEEM TO RISE ABOVE IT ALL.  
20110114030142.000|20110114030144.000|CC1|>> WITH ALL SINCERITY, THANK    
20110114030144.000|20110114030145.000|CC1|YOU, MR. PRESIDENT, FOR BECOMING
20110114030145.000|20110114030147.000|CC1|THE PRESIDENT OF THE UNITED     
20110114030147.000|20110114030148.000|CC1|STATES OF AMERICA.              
20110114030148.000|20110114030151.000|CC1|LAST NIGHT.                     
20110114030151.000|20110114030152.000|CC1|>> BUT WHERE WAS THE REPUBLICAN 
20110114030152.000|20110114030155.000|CC1|LEADERSHIP?                     
20110114030155.000|20110114030158.000|CC1|>> BUT ONE PERSON ABSENT, HOUSE 
20110114030158.000|20110114030158.000|CC1|SPEAKER BOEHNER.                
20110114030158.000|20110114030201.000|CC1|>> AIR FORCE ONE TOOK OFF AT    
20110114030201.000|20110114030203.000|CC1|1:00, WHICH CONFLICTED --       
20110114030203.000|20110114030204.000|CC1|>> IF REPUBLICAN LEADERS WOULD  
20110114030204.000|20110114030205.000|CC1|NOT EVEN TRAVEL TO TUCSON, WHAT 
