TOP|20110114033001|2011-01-14_0330_US_KNBC_Access_Hollywood
COL|Communication Studies Archive, UCLA 
UID|bac7526a-1f92-11e0-95ea-001517add720
DUR|0:29:48.92
VID|640x368
CMT|
LAN|ENG
LBT|2011-01-13 19:30 America/Los_Angeles
SEG_01|2014-06-18 18:48:47|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110114033002.000|20110114033002.000|XDS|%   RATING: (NOT RATED) (72)
20110114033003.000|20110114033003.000|XDS|%    TITLE: ACCESS HOLLYWOOD LIVE
20110114033003.000|20110114033003.000|XDS|%     DESC: Safe
20110114033003.000|20110114035949.000|SEG|Type=Story
20110114033003.000|20110114033004.000|CC1|OF SOUL HERSELF.                
20110114033004.000|20110114033007.000|CC1|>> AND I HOPE UP MY DOOR--      
20110114033007.000|20110114033009.000|CC1|>> HER FIRST TIME LIVE SINCE    
20110114033009.000|20110114033011.000|CC1|IDOL, PAULA PROVES SHE'S THE    
20110114033011.000|20110114033013.000|CC1|SAME AS EVER.                   
20110114033013.000|20110114033015.000|CC1|BACK STAGE BLUNDER.             
20110114033015.000|20110114033017.000|CC1|>> IT WAS HABIT, IT WAS CRAZY.  
20110114033017.000|20110114033019.000|CC1|>> I INDULGED IN MY DEPRESSION. 
20110114033019.000|20110114033022.000|CC1|WHO DID YOU GET TO GET THIS     
20110114033022.000|20110114033022.000|CC1|ROLE.                           
20110114033022.000|20110114033024.000|CC1|>> BACK ON TOP AND THE RIDE IS A
20110114033024.000|20110114033025.000|CC1|ROLLERCOASTER.                  
20110114033025.000|20110114033028.000|CC1|I'M BILLY BUSH, SPOTLIGHT ON    
20110114033028.000|20110114033029.000|CC1|WINONA RYDER.                   
20110114033029.000|20110114033031.000|CC1|>> THEY PUT ME IN A PSYCHIATRIC 
20110114033031.000|20110114033031.000|CC1|WARD.                           
20110114033031.000|20110114033033.000|CC1|>> SHEEN'S LAST STAND, MIGHT THE
20110114033033.000|20110114033036.000|CC1|TEFLON BE WEARING OFF?          
20110114033036.000|20110114033039.000|CC1|WELCOME TO "ACCESS HOLLYWOOD" AS
20110114033039.000|20110114033043.000|CC1|CHARLIE'S LATEST LAS VEGAS ROMP 
20110114033043.000|20110114033046.000|CC1|PUT HIS JOB ON "TWO AND A HALF  
20110114033046.000|20110114033048.000|CC1|MEN" ON THE LINE?               
20110114033048.000|20110114033049.000|CC1|THE STORY.                      
20110114033049.000|20110114033050.000|CC1|>> AND CHARLIE.                 
20110114033050.000|20110114033054.000|CC1|>> REGARDLESS OF WHAT IS GOING  
20110114033054.000|20110114033056.000|CC1|ON OUT THERE, YOU KNOW, THE OLD 
20110114033056.000|20110114033059.000|CC1|SAYING THE SHOW MUST GO ON.     
20110114033059.000|20110114033100.000|CC1|SO.                             
20110114033100.000|20110114033101.000|CC1|>> I'M TEFLON.                  
20110114033101.000|20110114033104.000|CC1|>> BUT NOW IT APPEARS TEFLON    
20110114033104.000|20110114033106.000|CC1|CHARLIE MAY BE SICK IN TWO AND A
20110114033106.000|20110114033107.000|CC1|HALF LESSONS.                   
20110114033107.000|20110114033108.000|CC1|>> AFTER MISSING WORK YESTERDAY 
20110114033108.000|20110114033112.000|CC1|DUE TO AN EAR INFECTION, AND    
20110114033112.000|20110114033114.000|CC1|SHEEN DID SHOW UP ON TIME AT    
20110114033114.000|20110114033117.000|CC1|WARNER BROTHERS LOT AND LAWYERS 
20110114033117.000|20110114033118.000|CC1|TOLD, HE'S ABSOLUTELY NAILING IT
20110114033118.000|20110114033120.000|CC1|AS HE ALWAYS DOES, END QUOTE.   
20110114033120.000|20110114033123.000|CC1|THIS AS NOR REPORT BY THE       
20110114033123.000|20110114033127.000|CC1|RAP.COM HE'S PUT A NAIL IN THE  
20110114033127.000|20110114033129.000|CC1|COFFIN IN RELATIONSHIP WITH THE 
20110114033129.000|20110114033130.000|CC1|STUDIO AND PRODUCTION COMPANY   
20110114033130.000|20110114033131.000|CC1|BEHIND "TWO AND A HALF MEN."    
20110114033131.000|20110114033134.000|CC1|>> THEY'RE ALL WORRIED ABOUT    
20110114033134.000|20110114033134.000|CC1|HIM.                            
20110114033134.000|20110114033137.000|CC1|>> AND EDITOR IN CHIEF SHARON   
20110114033137.000|20110114033141.000|CC1|WAXMAN AFTER SHEEN'S VODKA      
20110114033141.000|20110114033144.000|CC1|FUELED VEGAS WITH THREE PORN    
20110114033144.000|20110114033145.000|CC1|STARS AND DISCUSSING POSSIBLE   
20110114033145.000|20110114033147.000|CC1|OPTIONS HOW TO DEAL WITH THE    
20110114033147.000|20110114033149.000|CC1|HIGHEST PAID STAR IN ALL OF     
20110114033149.000|20110114033149.000|CC1|TELEVISION?                     
20110114033149.000|20110114033150.000|CC1|>> THERE'S NOTHING THEY CAN DO  
20110114033150.000|20110114033152.000|CC1|TO FORCE HIM TO GO TO REHAB, TO 
20110114033152.000|20110114033154.000|CC1|TELL HIM, YOU'RE SUSPENDED OR   
20110114033154.000|20110114033155.000|CC1|ANYTHING LIKE THAT.             
20110114033155.000|20110114033157.000|CC1|OR OFF THE SHOW UNLESS HE       
20110114033157.000|20110114033157.000|CC1|DOESN'T SHOW UP.                
20110114033157.000|20110114033201.000|CC1|>> ACCORDING TO THE RAP, HE MET 
20110114033201.000|20110114033202.000|CC1|WITH EXECUTIVES LAST WEEK THOUGH
20110114033202.000|20110114033205.000|CC1|HE MAY NOT HAVE KNOWN ABOUT THAT
20110114033205.000|20110114033206.000|CC1|MEETING.                        
20110114033206.000|20110114033212.000|CC1|THE RAP REPORTS HE'S RETAINED   
20110114033212.000|20110114033214.000|CC1|MARTY SINGER, IF HE'S OFF THE   
20110114033214.000|20110114033215.000|CC1|SHOW WITHOUT LEGAL CAUSE.       
20110114033215.000|20110114033218.000|CC1|>> AND A SIGNIFICANT AMOUNT OF  
20110114033218.000|20110114033220.000|CC1|WEIGHT AND SUGGESTIONS THAT THE 
20110114033220.000|20110114033221.000|CC1|BEHAVIOR HAS BEEN OVERBLOWN,    
20110114033221.000|20110114033224.000|CC1|TELLING ACCESS, QUOTE, CHICKEN  
20110114033224.000|20110114033225.000|CC1|LITTLE, THE SKY REMAINS IN PLACE
20110114033225.000|20110114033229.000|CC1|AND YOU KNOW, THE AUDIENCE      
20110114033229.000|20110114033230.000|CC1|DOESN'T MIND CHARLIE'S ANTICS,  
20110114033230.000|20110114033232.000|CC1|THE SHOW REMAINS THE NUMBER ONE 
20110114033232.000|20110114033233.000|CC1|COMEDY ON TELEVISION AND IN     
20110114033233.000|20110114033236.000|CC1|2007, HE HE TOLD US THE REASON  
20110114033236.000|20110114033237.000|CC1|BEHIND THE AUDIENCE'S DEDICATION
20110114033237.000|20110114033239.000|CC1|TO HIS SHOW.                    
20110114033239.000|20110114033239.000|CC1|>> ALL THE PEOPLE THAT HAVE     
20110114033239.000|20110114033241.000|CC1|SHOWN UP TO SUPPORT YOU, THEY   
