TOP|20110114073501|2011-01-14_0735_US_KCBS_Late_Show_with_Dave_Letterman
COL|Communication Studies Archive, UCLA 
UID|6cc49a38-1fb9-11e0-b6ac-001517add720
DUR|1:01:49.77
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-13 23:35 America/Los_Angeles
SEG_01|2014-06-18 18:48:57|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110114073503.000|20110114073503.000|XDS|%  NETWORK: CBS
20110114073503.000|20110114073503.000|XDS|%   RATING: (NOT RATED) (72)
20110114073503.000|20110114073503.000|XDS|%     CALL:   
20110114073503.000|20110114073503.000|XDS|% TIMECODE: 1/14 2:15
20110114073503.000|20110114073503.000|XDS|%   LENGTH: 1:14:00 of 2:15:00
20110114073503.000|20110114073503.000|XDS|%    TITLE: Rollbots
20110114073504.000|20110114073504.000|XDS|%   LENGTH: 0:18:00 of 0:30:00
20110114073504.000|20110114083650.000|SEG|Type=Story
20110114073504.000|20110114073546.000|SEG_01|Type=Commercial
20110114073504.000|20110114073510.000|CC1|[LAUGHTER]                      
20110114073510.000|20110114073510.000|XDS|%   LENGTH: 0:19:00 of 0:30:00
20110114073510.000|20110114073510.000|CC1|( BAND PLAYING                  
20110114073510.000|20110114073513.000|CC1| "LATE SHOW" THEME )            
20110114073513.000|20110114073514.000|CC1|>> FROM NEW YORK,               
20110114073514.000|20110114073515.000|CC1| THE GREATEST CITY IN THE WORLD,
20110114073515.000|20110114073516.000|CC1| IT'S THE "LATE SHOW" WITH      
20110114073516.000|20110114073519.000|CC1| DAVID LETTERMAN.               
20110114073519.000|20110114073529.000|CC1| TONIGHT...                     
20110114073529.000|20110114073530.000|CC1| PLUS PAUL SHAFFER AND THE      
20110114073530.000|20110114073533.000|CC1| CBS ORCHESTRA.                 
20110114073533.000|20110114073534.000|CC1| Captioning sponsored by        
20110114073534.000|20110114073546.000|CC1| WORLDWIDE PANTS and CBS        
20110114073546.000|20110114073546.000|SEG_01|Type=Story start
20110114073546.000|20110114073546.000|CC1|AND NOW, THE GIRL NEXT DOOR,    
20110114073546.000|20110114073547.000|CC1|DAVID LETTERMAN!                
