TOP|20110114170001|2011-01-14_1700_US_KABC_Live_With_Regis_and_Kelly
COL|Communication Studies Archive, UCLA 
UID|12f3a068-2008-11e0-9aa0-001517add720
DUR|0:59:49.38
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-14 09:00 America/Los_Angeles
SEG_01|2014-06-18 18:49:32|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110114170004.000|20110114170004.000|XDS|% CUR.TIME: 13:46 1/14/2011 UTC
20110114170004.000|20110114170004.000|XDS|%   RATING: (NOT RATED) (72)
20110114170004.000|20110114170004.000|XDS|%    TITLE: Live with Regis and Kelly
20110114170002.000|20110114175950.000|SEG|Type=Story
20110114170002.000|20110114170005.000|CC1|AND FROM THE HIT SERIES "BIG    
20110114170005.000|20110114170008.000|CC1|LOVE," ACTRESS GINNIFER GOODWIN.
20110114170008.000|20110114170009.000|CC1|PLUS, "AMERICAN IDOL" JUDGE     
20110114170009.000|20110114170011.000|CC1|RANDY JACKSON JOINS KELLY AT THE
20110114170011.000|20110114170012.000|CC1|CO-HOST DESK.                   
20110114170012.000|20110114170028.000|SEG_01|Type=Commercial
20110114170012.000|20110114170014.000|CC1|ALL NEXT ON "LIVE."             
20110114170014.000|20110114170015.000|CC1|[CAPTIONING MADE POSSIBLE BY    
20110114170026.000|20110114170026.000|XDS|% CUR.TIME: 13:47 1/14/2011 UTC
20110114170015.000|20110114170028.000|CC1|DISNEY-ABC DOMESTIC TELEVISION] 
20110114170028.000|20110114170030.000|SEG_01|Type=Story start
20110114170028.000|20110114170030.000|CC1|ANNOUNCER: NOW, HERE ARE KELLY  
20110114170030.000|20110114170031.000|CC1|RIPA AND RANDY JACKSON!         
20110114170031.000|20110114170043.000|CC1|[CHEERS AND APPLAUSE]           
20110114170043.000|20110114170045.000|CC1|RANDY: CAN YOU GET UP?          
20110114170045.000|20110114170047.000|CC1|ARE YOU GOING TO BE OK?         
20110114170047.000|20110114170049.000|CC1|[CHEERS AND APPLAUSE]           
20110114170049.000|20110114170051.000|CC1|KELLY: HI.                      
20110114170051.000|20110114170053.000|CC1|OH, MY GOSH.                    
20110114170053.000|20110114170054.000|CC1|HAPPY FRIDAY, EVERYBODY!        
20110114170054.000|20110114170055.000|CC1|RANDY: YES!                     
20110114170055.000|20110114170056.000|CC1|HAPPY!                          
20110114170056.000|20110114170057.000|CC1|[CHEERS AND APPLAUSE]           
20110114170057.000|20110114170100.000|CC1|KELLY: JANUARY 14, 2011, FILLING
20110114170100.000|20110114170102.000|CC1|IN FOR REGIS WHO IS STILL ON    
20110114170102.000|20110114170105.000|CC1|VACATION IN 49-DEGREE FLORIDA   
20110114170105.000|20110114170106.000|CC1|WEATHER --                      
20110114170106.000|20110114170109.000|CC1|[LAUGHTER]                      
20110114170109.000|20110114170109.000|CC1|HA, HA, HA, HA.                 
20110114170109.000|20110114170111.000|CC1|RANDY: YEAH, REGIS, CALL US.    
20110114170111.000|20110114170113.000|CC1|KELLY: RANDY JACKSON FROM       
20110114170113.000|20110114170113.000|CC1|"AMERICAN IDOL"!                
20110114170113.000|20110114170114.000|CC1|[CHEERS AND APPLAUSE]           
20110114170114.000|20110114170115.000|CC1|RANDY: WHOOO!                   
20110114170115.000|20110114170118.000|CC1|KELLY: LOVE HAVING YOU HERE.    
20110114170118.000|20110114170119.000|CC1|RANDY: I LOVE BEING BACK HERE.  
20110114170119.000|20110114170120.000|CC1|THIS IS SO COOL.                
20110114170120.000|20110114170121.000|CC1|I LOVE THIS SHOW.               
20110114170122.000|20110114170122.000|XDS|% CUR.TIME: 13:48 1/14/2011 UTC
