TOP|20110115030001|2011-01-15_0300_US_MSNBC_The_Last_Word_With_Lawrence_ODonnell
COL|Communication Studies Archive, UCLA 
UID|e7ab2602-205b-11e0-ac3a-001517add6f2
DUR|0:59:48.91
VID|640x480
CMT|
LAN|ENG
LBT|2011-01-14 19:00 America/Los_Angeles
SEG_01|2014-06-18 18:50:20|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110115030002.000|20110115030029.000|SEG|Type=Story
20110115030002.000|20110115030004.000|CC1|BEHIND THAT LINE AGAIN, LIKE    
20110115030004.000|20110115030005.000|CC1|THEY WERE JUST SIX YEARS AGO,   
20110115030005.000|20110115030007.000|CC1|THAT IS WHAT CONGRESS WOULD BE  
20110115030007.000|20110115030008.000|CC1|DEBATING RIGHT NOW, IF ONLY JOHN
20110115030008.000|20110115030011.000|CC1|BOEHNER WOULD LET THEM.         
20110115030011.000|20110115030013.000|CC1|THAT DOES IT FOR US TONIGHT.    
20110115030013.000|20110115030013.000|CC1|HAVE A GREAT WEEKEND.           
20110115030013.000|20110115030029.000|CC1|GOOD NIGHT.                     
20110115030029.000|20110115030037.000|SEG|Type=Story
20110115030029.000|20110115030030.000|CC1|>>> THERE ARE 2 MILLION PEOPLE  
20110115030030.000|20110115030031.000|CC1|BEHIND BARS IN AMERICA.         
20110115030031.000|20110115030031.000|CC1|FOR THE NEXT HOUR, WE OPEN THE  
20110115030031.000|20110115030033.000|CC1|GATES.                          
20110115030033.000|20110115030037.000|CC1|"LOCKUP."                       
20110115030037.000|20110115030733.000|SEG|Type=Story
20110115030037.000|20110115030038.000|CC1|>>> THE NUMBER OF UNITS HERE AT 
20110115030038.000|20110115030039.000|CC1|SAN QUENTIN HAS GROWN BEYOND THE
20110115030039.000|20110115030041.000|CC1|CAPACITY OF THIS PRISON AND WHAT
20110115030041.000|20110115030048.000|CC1|IT WAS DESIGNED FOR.            
20110115030048.000|20110115030049.000|CC1|>> FREE US!                     
20110115030049.000|20110115030052.000|CC1|FREE US!                        
20110115030052.000|20110115030054.000|CC1|>> I TOOK SOCIOLOGY IN COLLEGE. 
20110115030054.000|20110115030055.000|CC1|AND YOU CAN STACK A BUNCH OF    
20110115030055.000|20110115030055.000|CC1|RATS TOGETHER.                  
20110115030055.000|20110115030056.000|CC1|EVENTUALLY THEY START EATING    
20110115030056.000|20110115030100.000|CC1|EACH OTHER.                     
20110115030100.000|20110115030102.000|CC1|>> WITH THE AGE OF THE BUILDING 
20110115030102.000|20110115030104.000|CC1|THE WAY IT'S SET UP, ALMOST     
20110115030104.000|20110115030105.000|CC1|ANYTHING YOU DO, YOU'RE IN      
20110115030105.000|20110115030113.000|CC1|DIRECT CONTACT WITH THE INMATES.
20110115030113.000|20110115030113.000|CC1|>> IT DOESN'T MATTER HOW MUCH   
20110115030113.000|20110115030114.000|CC1|STAFF WE HAVE.                  
20110115030114.000|20110115030115.000|CC1|THEY WILL ERUPT IF IT'S GOING   
20110115030115.000|20110115030122.000|CC1|TO.                             
20110115030122.000|20110115030125.000|CC1|>> MENTALITY OF MOST INMATES,   
20110115030125.000|20110115030126.000|CC1|HAVE ISSUES, I'M ON DEATH ROW,  
20110115030126.000|20110115030127.000|CC1|AND THERE'S NOTHING YOU CAN DO  
20110115030127.000|20110115030128.000|CC1|TO ME.                          
20110115030128.000|20110115030129.000|CC1|IF I ASSAULT YOU TODAY, THERE'S 
20110115030129.000|20110115030130.000|CC1|NOTHING THEY'LL DO TO ME        
20110115030130.000|20110115030132.000|CC1|TOMORROW.                       
20110115030132.000|20110115030133.000|CC1|THAT'S THEIR MENTALITY, YOU CAN 
20110115030133.000|20110115030141.000|CC1|ONLY KILL ME ONCE.              
20110115030141.000|20110115030143.000|CC1|>> SAN QUENTIN PRISON IN        
20110115030143.000|20110115030146.000|CC1|CALIFORNIA IS HOME TO SOME      
20110115030146.000|20110115030147.000|CC1|NOTORIOUS KILLERS -- SCOTT      
20110115030147.000|20110115030148.000|CC1|PETERSON, WHO WAS SENTENCED TO  
20110115030148.000|20110115030149.000|CC1|DIE FOR MURDERING HIS PREGNANT  
20110115030149.000|20110115030150.000|CC1|WIFE, LACI, IS PERHAPS THE BEST 
20110115030150.000|20110115030152.000|CC1|KNOWN.                          
20110115030152.000|20110115030153.000|CC1|BUT THE FACILITY ALSO HOUSES    
20110115030153.000|20110115030155.000|CC1|RICHARD RAMIREZ, BETTER KNOWN AS
20110115030155.000|20110115030158.000|CC1|THE NIGHT STALKER, AND RICHARD  
