TOP|20110115040002|2011-01-15_0400_US_MSNBC_Countdown_with_Keith_Olbermann
COL|Communication Studies Archive, UCLA 
UID|b3e173b8-2064-11e0-90ae-001517add6fa
DUR|0:59:44.61
VID|640x480
CMT|
LAN|ENG
LBT|2011-01-14 20:00 America/Los_Angeles
SEG_01|2014-06-18 18:50:23|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110115040012.000|20110115040017.000|SEG|Type=Story
20110115040012.000|20110115040012.000|CC1|>>> DUE TO MATURE AND GRAPHIC   
20110115040012.000|20110115040013.000|CC1|SUBJECT MATTER, VIEWER          
20110115040013.000|20110115040017.000|CC1|DISCRETION IS ADVISED.          
20110115040017.000|20110115040922.000|SEG|Type=Story
20110115040017.000|20110115040018.000|CC1|>>> THERE ARE 2 MILLION PEOPLE  
20110115040018.000|20110115040021.000|CC1|BEHIND BARS IN AMERICA.         
20110115040021.000|20110115040022.000|CC1|FOR THE NEXT HOUR, WE OPEN THE  
20110115040022.000|20110115040024.000|CC1|GATES.                          
20110115040024.000|20110115040029.000|CC1|"LOCKUP."                       
20110115040029.000|20110115040030.000|CC1|>> I PRAY TO GOD THAT SOMEBODY  
20110115040030.000|20110115040033.000|CC1|RECOGNIZES WHAT'S GOING ON HERE.
20110115040033.000|20110115040034.000|CC1|YOU KNOW, WE IN HERE JUST       
20110115040034.000|20110115040038.000|CC1|ROTTING AWAY, YOU KNOW.         
20110115040038.000|20110115040038.000|CC1|>> TODAY WE HAVE ABOUT 756      
20110115040038.000|20110115040040.000|CC1|INMATES SERVING A LIFE SENTENCE 
20110115040040.000|20110115040046.000|CC1|HERE AT FOLSOM.                 
20110115040046.000|20110115040048.000|CC1|>> I WAS STATE RAISED, FEDERALLY
20110115040048.000|20110115040050.000|CC1|FUNDED.                         
20110115040050.000|20110115040051.000|CC1|>> WE'RE DEALING WITH MURDERERS 
20110115040051.000|20110115040052.000|CC1|AND RAPISTS, AND THAT'S ALWAYS  
20110115040052.000|20110115040055.000|CC1|IN THE BACK OF MY MIND.         
20110115040055.000|20110115040056.000|CC1|>> THEY TREAT US LIKE SLAVES    
20110115040056.000|20110115040057.000|CC1|NEWSPAPER HERE, MAN.            
20110115040057.000|20110115040059.000|CC1|>> SOMETIMES YOU'VE JUST GOT TO 
20110115040059.000|20110115040100.000|CC1|DO WHAT YOU'VE GOT TO DO, YOU   
20110115040100.000|20110115040100.000|CC1|KNOW, WHETHER YOU LIKE IT OR    
20110115040100.000|20110115040101.000|CC1|NOT.                            
20110115040101.000|20110115040102.000|CC1|>> A LOT OF TIMES THESE INMATES 
20110115040102.000|20110115040103.000|CC1|JUST DON'T GET ALONG WITH EACH  
20110115040103.000|20110115040103.000|CC1|OTHER.                          
20110115040103.000|20110115040104.000|CC1|THEY DIDN'T GET ALONG WITH      
20110115040104.000|20110115040105.000|CC1|PEOPLE ON THE OUTSIDE.          
20110115040105.000|20110115040106.000|CC1|THAT'S WHY THEY'RE HERE.        
20110115040106.000|20110115040110.000|CC1|>> THEY WERE STOMPING HIS HEAD. 
20110115040110.000|20110115040111.000|CC1|HE WENT OUT CODE THREE IN THE   
20110115040111.000|20110115040112.000|CC1|AMBULANCE, SEWS PRETTY MESSED   
20110115040112.000|20110115040113.000|CC1|UP.                             
20110115040113.000|20110115040114.000|CC1|>> WHAT YOU SEE HERE, IT'S LIKE 
20110115040114.000|20110115040115.000|CC1|THIS EVERY DAY.                 
20110115040115.000|20110115040116.000|CC1|>> IT'S THE WAY THEY LIVED ON   
