TOP|20110115060001|2011-01-15_0600_US_KNBC_Dateline_NBC
COL|Communication Studies Archive, UCLA 
UID|09ee1cb0-2075-11e0-8400-001517add720
DUR|0:59:47.45
VID|640x368
CMT|
LAN|ENG
LBT|2011-01-14 22:00 America/Los_Angeles
SEG_01|2014-06-18 18:50:33|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110115060002.000|20110115060813.000|SEG|Type=Story
20110115060002.000|20110115060003.000|CC1|BUT TABITHA SENSED SOMETHING    
20110115060003.000|20110115060005.000|CC1|MIGHT BE WRONG WHEN EACH TIME   
20110115060005.000|20110115060006.000|CC1|SHE TRIED CALLING HER MOTHER'S  
20110115060006.000|20110115060010.000|CC1|CELL PHONE, THERE WAS NO ANSWER.
20110115060010.000|20110115060012.000|CC1|STRANGER STILL, NO RETURNED     
20110115060012.000|20110115060012.000|CC1|CALLS.                          
20110115060012.000|20110115060015.000|CC1|BUT THE TEXT MESSAGES CONTINUED.
20110115060015.000|20110115060017.000|CC1|YOU WERE STARTING TO GET A      
20110115060017.000|20110115060018.000|CC1|LITTLE WORRIED ABOUT HER?       
20110115060018.000|20110115060019.000|CC1|>> YES.                         
20110115060019.000|20110115060020.000|CC1|>> Reporter: FINALLY, TABITHA   
20110115060020.000|20110115060023.000|CC1|SAYS SHE DROVE TO HER MOTHER'S  
20110115060023.000|20110115060023.000|CC1|HOUSE.                          
20110115060023.000|20110115060024.000|CC1|>> THERE WAS NOBODY THERE.      
20110115060024.000|20110115060027.000|CC1|IT REALLY HIT HOME WHEN I SAW   
20110115060027.000|20110115060029.000|CC1|THE ANIMAL'S FOOD BOWLS.        
20110115060029.000|20110115060030.000|CC1|AND I TURNED TO THE NEIGHBOR AND
20110115060030.000|20110115060033.000|CC1|I SAID, DID SHE TELL YOU SHE WAS
20110115060033.000|20110115060033.000|CC1|GOING?                          
20110115060033.000|20110115060035.000|CC1|BECAUSE ANY TIME SHE WENT       
20110115060035.000|20110115060036.000|CC1|ANYWHERE, ALWAYS THE NEIGHBOR OR
20110115060036.000|20110115060038.000|CC1|MYSELF WHO FED THE ANIMALS.     
20110115060038.000|20110115060039.000|CC1|>> Reporter: SO WHAT DID YOU DO?
20110115060039.000|20110115060043.000|CC1|DID YOU CALL POLICE?            
20110115060043.000|20110115060044.000|CC1|>> YES.                         
