TOP|20110115070001|2011-01-15_0700_US_KABC_KABC_7_News_at_11PM
COL|Communication Studies Archive, UCLA 
UID|ed9d5486-2079-11e0-b194-001517add720
DUR|0:34:49.55
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-14 23:00 America/Los_Angeles
SEG_01|2014-06-18 18:50:34|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110115070004.000|20110115073450.000|SEG|Type=Story
20110115070004.000|20110115070007.000|CC1|KEEP CLIMBING?                  
20110115070007.000|20110115070008.000|CC1|DALLAS' WEEKEND FORECAST.       
20110115070008.000|20110115070009.000|CC1|"EYEWITNESS NEWS" BEGINS IN 60  
20110115070009.000|20110115070014.000|CC1|SECONDS.                        
20110115070014.000|20110115070113.000|SEG_01|Type=Commercial
20110115070014.000|20110115070017.000|CC1|        VOID OVERDRAFTS         
20110115070017.000|20110115070018.000|CC1|    WITH A CLICK OF A BUTTON.   
20110115070018.000|20110115070019.000|CC1|    JUST REPLY TO THE ALERT     
20110115070019.000|20110115070019.000|CC1|    WITH HOW MUCH YOU           
20110115070019.000|20110115070020.000|CC1|    WANT TO TRANSFER.           
20110115070020.000|20110115070020.000|CC1|        INHALE,                 
20110115070020.000|20110115070023.000|CC1|        ALL THE WAY UP...       
20110115070023.000|20110115070023.000|CC1|    SO YOU ALWAYS               
20110115070023.000|20110115070025.000|CC1|    STAY IN BALANCE.            
20110115070025.000|20110115070029.000|CC1|            ...TO CRESCENT POSE.
20110115070029.000|20110115070031.000|CC1|    CHASE WHAT MATTERS.         
20110115070031.000|20110115070031.000|CC1|                JUST FOUR       
20110115070031.000|20110115070032.000|CC1|                MORE TIMES.     
20110115070032.000|20110115070113.000|CC1|            ? ?                 
20110115070113.000|20110115070117.000|SEG_01|Type=Story start
20110115070113.000|20110115070117.000|CC1|>> I'M GOING TO BE HOMELESS.    
20110115070117.000|20110115070119.000|CC1|MARC: THE SUSPECTED TUCSON      
20110115070119.000|20110115070123.000|CC1|GUNMAN CAPTURES HIS OWN         
20110115070123.000|20110115070123.000|CC1|RAMBLINGS.                      
20110115070123.000|20110115070126.000|CC1|THE SAME VIDEO THAT GOT HIM     
20110115070126.000|20110115070128.000|CC1|SUSPENDED FROM HIS COMMUNITY    
20110115070128.000|20110115070128.000|CC1|COLLEGE.                        
20110115070128.000|20110115070130.000|CC1|MICHELLE: OFFICIALS RELEASED THE
20110115070130.000|20110115070133.000|CC1|VIDEO SUPPOSEDLY SHOT BY GAFFED 
20110115070133.000|20110115070134.000|CC1|LOUGHNER.                       
20110115070134.000|20110115070136.000|CC1|LESLIE MILLER HAS MORE ON WHAT  
20110115070136.000|20110115070140.000|CC1|THE SUSPECTED GUNMAN SAYS ON THE
20110115070140.000|20110115070140.000|CC1|TAPE.                           
20110115070140.000|20110115070142.000|CC1|>> Reporter: A DISTURBING VIDEO 
20110115070142.000|20110115070144.000|CC1|SHOT AT PIMA COMMUNITY COLLEGE  
20110115070144.000|20110115070147.000|CC1|WAS POSTED ON YouTube LAST      
20110115070147.000|20110115070149.000|CC1|FALL BUT WAS TAKEN OFF LAST     
