TOP|20110115073001|2011-01-15_0730_US_KMEX_Noticiero_Univision_Ultima_Hora
COL|Communication Studies Archive, UCLA 
UID|6bd69db4-207d-11e0-a870-001517add60e
DUR|0:29:49.48
VID|640x480
CMT|
LAN|SPA
LBT|2011-01-14 23:30 America/Los_Angeles
SEG_01|2014-06-18 18:50:36|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110115073002.000|20110115075950.000|SEG|Type=Story
20110115073002.000|20110115073009.000|SEG_01|Type=Commercial
20110115073002.000|20110115073006.000|CC1|>> LLegamos al final, gracias,  
20110115073006.000|20110115073009.000|CC1|muy buenas noches.              
20110115073009.000|20110115073019.000|SEG_01|Type=Story start
20110115073009.000|20110115073019.000|CC1|SEMANA.                         
20110115073019.000|20110115073021.000|CC1|>> JUAN PABLO II ESTÁ A PUNTO   
20110115073021.000|20110115073024.000|CC1|DE SER SANTO.                   
20110115073024.000|20110115073026.000|CC1| ANUNCIA LA FECHA PARA LA       
20110115073026.000|20110115073027.000|CC1|DENSIFICACIÓN DEL FALLECIDO     
20110115073027.000|20110115073028.000|CC1|PONTIFICIA.                     
20110115073028.000|20110115073029.000|CC1|>> SE REALIZA EL SEGUNDO        
20110115073029.000|20110115073030.000|CC1|FUNERAL DE LA MASACRE EN        
20110115073030.000|20110115073031.000|CC1|ARIZONA.                        
20110115073031.000|20110115073035.000|CC1|ES EL ÚLTIMO ADIÓS AL JUEZ JONH 
20110115073035.000|20110115073036.000|CC1|EN LA MISMA IGLESIA QUE A LA    
20110115073036.000|20110115073037.000|CC1|LÍNEA CRISTINA.                 
20110115073037.000|20110115073041.000|CC1|>> AHORA SERÁ MÁS FÁCIL VIAJAR  
20110115073041.000|20110115073042.000|CC1|Y ENVIAR DINERO A CUBA DESDE    
20110115073042.000|20110115073043.000|CC1|ESTADOS UNIDOS.                 
20110115073043.000|20110115073050.000|CC1|LA CASA BLANCA ANUNCIÓ CAMBIOS. 
20110115073050.000|20110115073051.000|CC1|>> EN BRASIL SE AGUDIZA LA      
20110115073051.000|20110115073052.000|CC1|CATÁSTROFE POR LAS INUNDACIONES.
20110115073052.000|20110115073056.000|CC1| HAY MÁS DE 500 MUERTOS.        
20110115073056.000|20110115073057.000|CC1|>> ES USTED CAPRICORNIO, LIBRA, 
20110115073057.000|20110115073059.000|CC1|SAGITARIO?                      
20110115073059.000|20110115073101.000|CC1|TAL VEZ NO.                     
20110115073101.000|20110115073109.000|CC1|ES POSIBLE QUE LAS FECHAS DEL   
20110115073109.000|20110115073109.000|CC1|HORÓSCOPO ESTÁN AHORA           
20110115073109.000|20110115073110.000|CC1|EQUIVOCADAS.                    
20110115073110.000|20110115073111.000|CC1|>> EN UN JUEGO DEJÓ QUE EL      
20110115073111.000|20110115073112.000|CC1|PÚBLICO SACAR DE APUROS A UNA   
20110115073112.000|20110115073112.000|CC1|NIÑA DE OCHO AÑOS MIENTRAS      
20110115073112.000|20110115073125.000|CC1|CANTABA EL HIMNO NACIONAL.      
20110115073125.000|20110115073127.000|CC1|>> ES UN PLACER QUE NOS         
20110115073127.000|20110115073131.000|CC1|ACOMPAÑE.                       
20110115073131.000|20110115073136.000|CC1|ADEMÁS DE SU SANTIDAD, SUMO     
20110115073136.000|20110115073137.000|CC1|PONTÍFICE, SIMPLEMENTE EL PAPA, 
20110115073137.000|20110115073138.000|CC1|EL FALLECIDO POLACO JUAN PABLO  
20110115073138.000|20110115073139.000|CC1|II SERÁ DESDE EL PRÓXIMO        
20110115073139.000|20110115073140.000|CC1|PRIMERO DE MAYO 1 SANTO.        
20110115073140.000|20110115073143.000|CC1|EL ANUNCIO SE HIZO DESDE EL     
20110115073143.000|20110115073145.000|CC1|VATICANO DONDE EL PAPA          
20110115073145.000|20110115073146.000|CC1|BENEDICTO XVI UTILIZÓ SU PODER  
20110115073146.000|20110115073146.000|CC1|ECLESIÁSTICO PARA UN AJUSTE     
20110115073146.000|20110115073149.000|CC1|TÉCNICO.                        
20110115073149.000|20110115073150.000|CC1|JAIME GARCÍA NOS HABLA DE ESTO  
20110115073150.000|20110115073151.000|CC1|Y EL IMPACTO QUE HA CAUSADO LA  
20110115073151.000|20110115073156.000|CC1|NOTICIA.                        
20110115073156.000|20110115073157.000|CC1|>> CON GRAN JÚBILO REACCIONARON 
20110115073157.000|20110115073158.000|CC1|FIELES CATÓLICOS EN ROMA EN     
