TOP|20110116150001|2011-01-16_1500_US_KCBS_CBS_News_Sunday_Morning
COL|Communication Studies Archive, UCLA 
UID|a71a1e52-2189-11e0-bc1d-001517add6fa
DUR|0:59:48.65
VID|640x368
CMT|Part 1 of 2
LAN|ENG
LBT|2011-01-16 07:00 America/Los_Angeles
SEG_01|2014-06-18 18:51:20|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110116150002.000|20110116150002.000|XDS|%  NETWORK: CBS 
20110116150002.000|20110116150002.000|XDS|%     CALL: CWD 
20110116150002.000|20110116150002.000|XDS|%    TITLE: Program Name
20110116150002.000|20110116150002.000|XDS|%  NETWORK: CBS
20110116150003.000|20110116150003.000|XDS|%     CALL:   
20110116150006.000|20110116155949.000|SEG|Type=Story
20110116150006.000|20110116150035.000|SEG_01|Type=Commercial
20110116150006.000|20110116150007.000|CC1| Captioning made possible       
20110116150007.000|20110116150008.000|CC1| by Johnson & Johnson,          
20110116150008.000|20110116150009.000|CC1| where quality products for     
20110116150009.000|20110116150010.000|CC1| the American family have been  
20110116150010.000|20110116150035.000|CC1| a tradition for generations    
20110116150035.000|20110116150035.000|SEG_01|Type=Story start
20110116150035.000|20110116150035.000|CC1|>> Osgood: GOOD MORNING.        
20110116150035.000|20110116150036.000|CC1|I'M CHARLES OSGOOD AND THIS IS  
20110116150036.000|20110116150037.000|CC1|SUNDAY MORNING.                 
20110116150037.000|20110116150040.000|CC1|THIS COMING THURSDAY MARKS A    
20110116150040.000|20110116150041.000|CC1|BITTER-SWEET ANNIVERSARY.       
20110116150041.000|20110116150043.000|CC1|IT WAS 50 YEARS AGO ON A COLD   
20110116150043.000|20110116150044.000|CC1|AND SNOW-COVERED DAY IN         
20110116150044.000|20110116150047.000|CC1|WASHINGTON D.C. THAT A          
20110116150047.000|20110116150047.000|CC1|RELATIVELY YOUNG AND            
20110116150047.000|20110116150050.000|CC1|RELATIVELY UNTRIED MAN STEPPED  
20110116150050.000|20110116150051.000|CC1|FORWARD AT NOONTIME TO TAKE     
20110116150051.000|20110116150052.000|CC1|THE PRESIDENTIAL OATH OF        
20110116150052.000|20110116150053.000|CC1|OFFICE.                         
20110116150053.000|20110116150059.000|CC1|THE DATE WAS JANUARY 20, 1961   
20110116150059.000|20110116150100.000|CC1|BUT FOR MANY OF US OF A         
20110116150100.000|20110116150101.000|CC1|CERTAIN AGE IT SEEMS LIKE       
20110116150101.000|20110116150102.000|CC1|YESTERDAY.                      
20110116150102.000|20110116150103.000|CC1|OUR COLLEAGUE JEFF GREEN FIELD  
20110116150103.000|20110116150105.000|CC1|WILL BE REPORTING THIS SUNDAY   
20110116150105.000|20110116150107.000|CC1|MORNING'S COVER STORY.          
20110116150107.000|20110116150108.000|CC1|>> Reporter: THE IMAGES ARE     
20110116150108.000|20110116150111.000|CC1|SHARP AND POWERFUL AND THEY     
20110116150111.000|20110116150116.000|CC1|ARE HALF A CENTURY OLD.         
20110116150116.000|20110116150118.000|CC1|>> LET THE WORD GO FORTH FROM   
20110116150118.000|20110116150119.000|CC1|THIS TIME AND PLACE TO FRIEND   
20110116150119.000|20110116150121.000|CC1|AND FOE ALIKE THAT THE TORCH    
20110116150121.000|20110116150124.000|CC1|HAS BEEN PASSED TO A NEW        
20110116150124.000|20110116150126.000|CC1|GENERATION OF AMERICANS.        
20110116150126.000|20110116150127.000|CC1|>> Reporter: LATER ON SUNDAY    
20110116150127.000|20110116150129.000|CC1|MORNING, THE INAUGURATION OF    
20110116150129.000|20110116150131.000|CC1|PRESIDENT KENNEDY.              
20110116150131.000|20110116150133.000|CC1|50 YEARS ON.                    
20110116150133.000|20110116150135.000|CC1|>> Osgood: FOR MANY NATURE      
20110116150135.000|20110116150136.000|CC1|LOVERS AN OLD IDEA IS NEW       
20110116150136.000|20110116150136.000|CC1|AGAIN.                          
20110116150136.000|20110116150139.000|CC1|AND AS SERENA ALTSCHUL WILL     
20110116150139.000|20110116150141.000|CC1|REPORT, IT'S INSPIRING THEM TO  
20110116150141.000|20110116150143.000|CC1|TURN A CORNER OF THEIR HOMES    
20110116150143.000|20110116150145.000|CC1|INSIDE OUT OR SHOULD WE SAY     
20110116150145.000|20110116150145.000|CC1|OUTSIDE IN.                     
20110116150145.000|20110116150147.000|CC1|>> THIS IS YOUR OPPORTUNITY TO  
20110116150147.000|20110116150149.000|CC1|BE A LANDSCAPE DESIGNER.        
20110116150149.000|20110116150152.000|CC1|I THINK THAT'S ONE OF THE MAIN  
20110116150152.000|20110116150153.000|CC1|BEAUTIES OF TERRARIUMS.         
20110116150153.000|20110116150156.000|CC1|>> Reporter: TOVA MARTIN IS A   
20110116150156.000|20110116150158.000|CC1|MISSIONARY FOR THE WORLD OF     
20110116150158.000|20110116150159.000|CC1|TERRARIUMS.                     
20110116150159.000|20110116150201.000|CC1|>> THIS IS ALL LITTLE CREEPING  
20110116150201.000|20110116150202.000|CC1|FIG.                            
20110116150202.000|20110116150203.000|CC1|>> Reporter: PAULA HAYES IS     
20110116150203.000|20110116150206.000|CC1|THE HIGH PRIESTESS AND HER      
20110116150206.000|20110116150208.000|CC1|CREATIONS OF LIVING ART SELL    
20110116150208.000|20110116150211.000|CC1|FOR BETWEEN $4,000 AND          
20110116150211.000|20110116150211.000|CC1|$60,000.                        
20110116150211.000|20110116150214.000|CC1|LATER ON SUNDAY MORNING,        
20110116150214.000|20110116150217.000|CC1|TERRARIUMS MAKING A COMEBACK.   
20110116150217.000|20110116150220.000|CC1|>> Osgood: GREG ALLMAN IS A     
20110116150220.000|20110116150221.000|CC1|SINGER WITH A LONG LIST OF      
20110116150221.000|20110116150223.000|CC1|HITS TO HIS CREDIT.             
20110116150223.000|20110116150225.000|CC1|IF THERE'S ONE BRIEF AND LONG   
20110116150225.000|20110116150226.000|CC1|AGO EPISODE IN HIS PERSONAL     
20110116150226.000|20110116150228.000|CC1|LIFE THAT FOLKS DON'T SEEM TO   
20110116150228.000|20110116150230.000|CC1|FORGET AS WE HEAR THIS MORNING  
20110116150230.000|20110116150231.000|CC1|WHEN HE TALKS TO OUR CHIP       
20110116150231.000|20110116150235.000|CC1|REID.                           
20110116150235.000|20110116150236.000|CC1|>> Reporter: AS LEAD SINGER OF  
20110116150236.000|20110116150239.000|CC1|THE ALLMAN BROTHERS BAN, GREG   
20110116150239.000|20110116150242.000|CC1|ALLMAN WAS USED TO THE          
20110116150242.000|20110116150243.000|CC1|LIMELIGHT.                      
20110116150243.000|20110116150245.000|CC1|THEN THERE WAS HIS MARRIAGE TO  
20110116150245.000|20110116150245.000|CC1|CHER.                           
20110116150245.000|20110116150247.000|CC1|>> I REMEMBER GOING TO THE      
20110116150247.000|20110116150248.000|CC1|GROCERY STORE AND SEEING MY     
20110116150248.000|20110116150248.000|CC1|FACE EVERYWHERE.                
20110116150248.000|20110116150251.000|CC1|I MEAN, WHAT IS HAPPENING?      
20110116150251.000|20110116150252.000|CC1|I'M AS CLOSE TO HAPPY AS I'VE   
20110116150252.000|20110116150253.000|CC1|EVER BEEN.                      
20110116150253.000|20110116150255.000|CC1|>> Reporter: GREG ALLMAN'S      
20110116150255.000|20110116150257.000|CC1|JOURNEY, MUSICAL AND OTHERWISE  
20110116150257.000|20110116150259.000|CC1|LATER ON SUNDAY MORNING.        
20110116150259.000|20110116150301.000|CC1|>> Osgood: GOOD FORTUNE IS      
20110116150301.000|20110116150303.000|CC1|WHAT ANYONE INVOLVED IN AN      
20110116150303.000|20110116150305.000|CC1|AWARDS COMPETITION GOES FOR.    
20110116150305.000|20110116150308.000|CC1|OUR BILL GEIST CAN ATTEST TO    
20110116150308.000|20110116150308.000|CC1|THAT.                           
20110116150308.000|20110116150310.000|CC1|>> Reporter: THE GOLDEN GLOBE   
20110116150310.000|20110116150311.000|CC1|AWARDS ARE TONIGHT IN BEVERLY   
20110116150311.000|20110116150311.000|CC1|HILLS.                          
20110116150311.000|20110116150312.000|CC1|I WON'T BE THERE.               
20110116150312.000|20110116150314.000|CC1|I WON'T BE AT THE OSCARS OR     
20110116150314.000|20110116150316.000|CC1|THE GRAMMYS OR THE TEEN CHOICE  
20110116150316.000|20110116150317.000|CC1|AWARDS EITHER.                  
20110116150317.000|20110116150318.000|CC1|WHY WOULD I BE?                 
20110116150318.000|20110116150320.000|CC1|I'VE SEEN THE BEST: THE         
20110116150320.000|20110116150321.000|CC1|CHINESE RESTAURANT AWARDS.      
20110116150321.000|20110116150323.000|CC1|YOU'LL SEE THEM TOO LATER ON    
20110116150323.000|20110116150324.000|CC1|SUNDAY MORNING.                 
20110116150324.000|20110116150326.000|CC1|>> Osgood: MO ROCCA SHOWS US    
20110116150326.000|20110116150327.000|CC1|THE OTHER NEW JERSEY.           
20110116150327.000|20110116150328.000|CC1|DAVID POGUE TESTS THE STRENGTH  
20110116150328.000|20110116150331.000|CC1|OF A SPIDER'S WEB AND MUCH      
20110116150331.000|20110116150332.000|CC1|MORE BUT FIRST THE HEADLINES    
20110116150332.000|20110116150334.000|CC1|FOR THIS SUNDAY MORNING, THE    
20110116150334.000|20110116150337.000|CC1|16th OF JANUARY, 2011.          
20110116150337.000|20110116150338.000|CC1|DOCTORS IN TUCSON SAY           
20110116150338.000|20110116150339.000|CC1|CONGRESSWOMAN GABRIELLE         
20110116150339.000|20110116150341.000|CC1|GIFFORDS NO LONGER NEEDS A      
20110116150341.000|20110116150342.000|CC1|VENTILATOR TO BREATHE.          
20110116150342.000|20110116150343.000|CC1|SHE REMAINS IN CRITICAL         
20110116150343.000|20110116150345.000|CC1|CONDITION ONE WEEK AFTER SHE    
20110116150345.000|20110116150347.000|CC1|WAS SHOT BY ACCUSED GUNMAN      
20110116150347.000|20110116150348.000|CC1|JARED LOUGHNER.                 
20110116150348.000|20110116150350.000|CC1|ONE OF THES AS SHOOTING         
20110116150350.000|20110116150351.000|CC1|VICTIMS HAS BEEN ARRESTED AND   
20110116150351.000|20110116150353.000|CC1|TAKEN IN FOR PSYCHIATRIC        
20110116150353.000|20110116150354.000|CC1|EVALUATION.                     
20110116150354.000|20110116150356.000|CC1|THAT FOLLOWS AN ANGRY           
20110116150356.000|20110116150357.000|CC1|CONFRONTATION JAMES FULLER HAD  
20110116150357.000|20110116150358.000|CC1|WITH THE LEADER OF THE TEA      
20110116150358.000|20110116150400.000|CC1|PARTY MOVEMENT DURING THE       
20110116150400.000|20110116150401.000|CC1|TAPING OF A TOWN HALL MEETING   
20110116150401.000|20110116150402.000|CC1|YESTERDAY.                      
20110116150402.000|20110116150404.000|CC1|A NEW POLL FROM THE ASSOCIATED  
20110116150404.000|20110116150405.000|CC1|PRESS SHOWS THE NUMBER OF       
20110116150405.000|20110116150407.000|CC1|PEOPLE STRONGLY OPPOSED TO THE  
20110116150407.000|20110116150409.000|CC1|NEW HEALTH CARE LAW HAS         
20110116150409.000|20110116150409.000|CC1|DIMINISHEDED.                   
20110116150409.000|20110116150411.000|CC1|THIS POLL FINDS 41% NOW         
20110116150412.000|20110116150412.000|XDS|%    TITLE:   
20110116150411.000|20110116150413.000|CC1|AGAINST IT.                     
