TOP|20110116160001|2011-01-16_1600_US_KABC_This_Week
COL|Communication Studies Archive, UCLA 
UID|06976b52-2192-11e0-a50d-001517add720
DUR|0:59:48.95
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-16 08:00 America/Los_Angeles
SEG_01|2014-06-18 18:51:21|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110116160005.000|20110116160005.000|XDS|%  NETWORK: ABC
20110116160005.000|20110116160005.000|XDS|%   RATING: (NOT RATED) (72)
20110116160005.000|20110116160005.000|XDS|%    TITLE: GOOD MORNING AMERICA
20110116160005.000|20110116160005.000|XDS|%     CALL:   
20110116160006.000|20110116160006.000|XDS|% TIMECODE: 1/16 9:00
20110116160006.000|20110116160006.000|XDS|%   LENGTH: 1:53:00 of 2:00:00
20110116160008.000|20110116160008.000|XDS|%    TITLE:   
20110116160010.000|20110116160010.000|XDS|%    TITLE: THIS WEEK
20110116160011.000|20110116160011.000|XDS|% TIMECODE: 1/16 11:00
20110116160011.000|20110116160011.000|XDS|%   LENGTH: 0:00:00 of 1:00:00
20110116160012.000|20110116161456.000|SEG|Type=Story
20110116160012.000|20110116160013.000|CC1|>>> THIS MORNING ON "THIS WEEK" 
20110116160013.000|20110116160014.000|CC1|WE'RE IN TUCSON FOR A VERY      
20110116160014.000|20110116160015.000|CC1|SPECIAL TOWN HALL MEETING.      
20110116160015.000|20110116160016.000|CC1|THEY WERE UNITED BY TRAGEDY.    
20110116160016.000|20110116160018.000|CC1|[ SIRENS ]                      
20110116160018.000|20110116160019.000|CC1|>> THEY HAVE HEARD THE          
20110116160019.000|20110116160021.000|CC1|PRESIDENT'S CALL.               
20110116160021.000|20110116160023.000|CC1|>> I WANT OUR DEMOCRACY TO BE AS
20110116160023.000|20110116160026.000|CC1|GOOD AS CHRISTINA IMAGINED IT.  
20110116160026.000|20110116160028.000|CC1|>> NOW THEY ARE COMING TOGETHER,
