TOP|20110116160001|2011-01-16_1600_US_KTTV-FOX_News_Sunday_with_Chris_Wallace
COL|Communication Studies Archive, UCLA 
UID|06bd4156-2192-11e0-ba8d-001517add60e
DUR|0:59:44.34
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-16 08:00 America/Los_Angeles
SEG_01|2014-02-03 01:07:23|Source_Program=commercial_detection.py|Source_Person=Weixin Li
20110116160004.000|20110116160004.000|XDS|%    TITLE: FOX NEWS SUNDAY
20110116160004.000|20110116160004.000|XDS|%     CALL:  FOX
20110116160006.000|20110116160006.000|XDS|%  NETWORK:  FOX
20110116160006.000|20110116160006.000|XDS|%   RATING: (NOT RATED) (72)
20110116160009.000|20110116163352.000|SEG|Type=Story
20110116160009.000|20110116160010.000|CC1|>> Chris: I'M CHRIS WALLACE.    
20110116160010.000|20110116160011.000|CC1|AND THIS IS "FOX NEWS           
20110116160011.000|20110116160014.000|CC1|SUNDAY".                        
20110116160014.000|20110116160016.000|CC1|HE IS MAKING WAVES FOR HIS      
20110116160016.000|20110116160017.000|CC1|TOUCH APPROACH TO CUTTING       
20110116160017.000|20110116160019.000|CC1|TAXES AND SPENDING IN HIS       
20110116160019.000|20110116160020.000|CC1|STATE.                          
20110116160020.000|20110116160022.000|CC1|NOW OTHER GOVERNORS ARE         
20110116160022.000|20110116160024.000|CC1|FOLLOWING THE EXAMPLE OF THIS   
20110116160024.000|20110116160025.000|CC1|RISING POLITICAL STAR.          
20110116160025.000|20110116160027.000|CC1|WE'LL SIT DOWN WITH THE         
20110116160027.000|20110116160028.000|CC1|REPUBLICAN GOVERNOR CHRIS       
20110116160028.000|20110116160028.000|CC1|CHRISTIE OF NEW JERSEY.         
20110116160028.000|20110116160031.000|CC1|THEN THE BATTLE FOR THE 2012    
20110116160031.000|20110116160032.000|CC1|G.O.P. PRESIDENTIAL             
20110116160032.000|20110116160033.000|CC1|NOMINATION HEATS UP.            
20110116160033.000|20110116160034.000|CC1|WE'LL TALK WITH ONE OF THE      
20110116160034.000|20110116160037.000|CC1|MOST LIKELY FRONT-RUNNERS,      
20110116160037.000|20110116160039.000|CC1|FORMER MINNESOTA GOVERNOR TIM   
20110116160039.000|20110116160040.000|CC1|PAWLENTY.                       
20110116160040.000|20110116160042.000|CC1|CHRISTIE AND PAWLENTY, ONLY     
20110116160042.000|20110116160043.000|CC1|ON "FOX NEWS SUNDAY."           
20110116160043.000|20110116160045.000|CC1|A, WE'LL GET AN UPDATE ON THE   
20110116160045.000|20110116160047.000|CC1|TRAGEDY IN TUCSON.              
20110116160047.000|20110116160048.000|CC1|AND WE'LL ASK OUR SUNDAY        
20110116160048.000|20110116160049.000|CC1|PANEL IF THE RHETORIC FROM      
20110116160049.000|20110116160051.000|CC1|THE MEMORIAL SERVICE WILL       
20110116160051.000|20110116160052.000|CC1|CHANGE THE POLITICAL REALITY    
20110116160052.000|20110116160054.000|CC1|HERE IN WASHINGTON.             
20110116160054.000|20110116160057.000|CC1|AND MY FAVORITE POWER PLAYER    
20110116160057.000|20110116160100.000|CC1|OF THE WEEK DISHES UP LOVE      
20110116160100.000|20110116160103.000|CC1|ONE LADLE OF SOUP AT A TIME.    
20110116160103.000|20110116160105.000|CC1|ALL RIGHT NOW ON "FOX NEWS      
20110116160105.000|20110116160106.000|CC1|SUNDAY."                        
20110116160106.000|20110116160108.000|CC1|AND HELLO, AGAIN, FROM FOX      
20110116160108.000|20110116160109.000|CC1|NEWS IN WASHINGTON.             
20110116160109.000|20110116160111.000|CC1|WE'LL TALK WITH OUR GUESTS IN   
20110116160111.000|20110116160112.000|CC1|A MOMENT, BUT FIRST, THE        
20110116160112.000|20110116160115.000|CC1|LATEST ON THE TRAGEDY IN        
20110116160115.000|20110116160115.000|CC1|TUCSON.                         
20110116160115.000|20110116160116.000|CC1|THE CONDITION OF                
20110116160116.000|20110116160117.000|CC1|CONGRESSWOMAN GABRIELLE         
20110116160117.000|20110116160119.000|CC1|GIFFORDS CONTINUES TO           
20110116160119.000|20110116160120.000|CC1|IMPROVE.                        
20110116160120.000|20110116160121.000|CC1|ALSO, AUTHORITIES DISCOVERED    
20110116160121.000|20110116160123.000|CC1|A VIDEO MADE BY THE ALLEGED     
20110116160123.000|20110116160125.000|CC1|GUNMAN JARED LOUGHNER.          
20110116160125.000|20110116160128.000|CC1|IN A STRANGE DEVELOPMENT, ONE   
20110116160128.000|20110116160130.000|CC1|SHOOTING VICTIM WAS TAKEN IN    
20110116160130.000|20110116160132.000|CC1|CUSTODY AFTER MAKING A DEATH    
20110116160132.000|20110116160133.000|CC1|THREAT IN A TOWN HALL           
20110116160133.000|20110116160133.000|CC1|MEETING.                        
20110116160133.000|20110116160136.000|CC1|FOR MORE, LET'S BRING IN FOX    
20110116160136.000|20110116160138.000|CC1|NEWS CORRESPONDENT ALICIA       
20110116160138.000|20110116160139.000|CC1|ACUNA WHO IS IN TUCSON.         
20110116160139.000|20110116160140.000|CC1|>> Reporter: THE TEAM           
20110116160140.000|20110116160141.000|CC1|REPRESENTATIVE FOR GABRIELLE    
20110116160141.000|20110116160143.000|CC1|GIFFORDS SAYS SHE IS MAKING     
20110116160143.000|20110116160144.000|CC1|REMARKABLE PROGRESS.            
20110116160144.000|20110116160146.000|CC1|RECENTLY, DOCTORS SAY THEY      
20110116160146.000|20110116160148.000|CC1|PERFORMED A SMALL SURGERY TO    
20110116160148.000|20110116160150.000|CC1|REMOVE THE BREATHING TUBE       
20110116160150.000|20110116160151.000|CC1|THAT WAS GOING DOWN HER NECK    
20110116160151.000|20110116160154.000|CC1|AND REPLACED IT WITH A          
20110116160154.000|20110116160156.000|CC1|TRACHEOTOMY TUBE TO CLEAR THE   
20110116160156.000|20110116160158.000|CC1|AIRWAY AND REMOVE THE VENT      
20110116160158.000|20110116160159.000|CC1|LATOR.                          
20110116160159.000|20110116160201.000|CC1|SHE IS FOLLOWING COMPLEX        
20110116160201.000|20110116160203.000|CC1|COMMANDS SUCH AS REMOVING HER   
20110116160203.000|20110116160206.000|CC1|HUSBAND'S WEDDING RING AND      
20110116160206.000|20110116160208.000|CC1|PUTTING IT BACK ON.             
20110116160208.000|20110116160211.000|CC1|MEANWHILE, THERE IS WEB         
20110116160211.000|20110116160212.000|CC1|DEVELOPMENT THE NIGHT BEFORE    
20110116160212.000|20110116160214.000|CC1|SHOWING JARED LOUGHNER WITH A   
20110116160214.000|20110116160216.000|CC1|SEMI-AUTOMATIC PISTOL WEARING   
20110116160216.000|20110116160217.000|CC1|A G-STRING.                     
20110116160217.000|20110116160219.000|CC1|AND THE PIMA COMMUNITY          
20110116160219.000|20110116160221.000|CC1|COLLEGE RELEASED YouTube        
20110116160221.000|20110116160222.000|CC1|VIDEO THAT PROMPTED THEM TO     
20110116160222.000|20110116160224.000|CC1|SUSPEND LOUGHNER IN DECEMBER    
20110116160224.000|20110116160226.000|CC1|WHERE HE IS HEARD RAMBLING      
20110116160226.000|20110116160227.000|CC1|ABOUT STUDENTS BEING TORTURED   
20110116160227.000|20110116160229.000|CC1|AND TEACHERS RECEIVING          
20110116160229.000|20110116160229.000|CC1|ILLEGAL PAY.                    
20110116160229.000|20110116160232.000|CC1|IN A BIZARRE TWIST, ONE OF      
20110116160232.000|20110116160234.000|CC1|THE SHOOTING VICTIMS WAS        
20110116160234.000|20110116160238.000|CC1|ARRESTED AFTER ATTENDING TOWN   
20110116160238.000|20110116160240.000|CC1|HALL MEETING AND PUT UNDER      
20110116160240.000|20110116160241.000|CC1|SUPERVISION.                    
20110116160241.000|20110116160242.000|CC1|THEY SAY FULLER WHO WAS SHOT    
20110116160242.000|20110116160244.000|CC1|IN THE BACK AND KNEE DIDN'T     
20110116160244.000|20110116160246.000|CC1|LIKE SOMETHING SAID BY A TEA    
20110116160246.000|20110116160247.000|CC1|PARTY REPRESENTATIVE AT THE     
20110116160247.000|20110116160249.000|CC1|MEETING AND HE TOOK A PHOTO     
20110116160249.000|20110116160250.000|CC1|OF HIM AND SAID, "YOU'RE        
20110116160250.000|20110116160252.000|CC1|DEAD.                           
20110116160252.000|20110116160254.000|CC1|"FRIENDS AND FAMILY GATHERED    
20110116160254.000|20110116160256.000|CC1|SATURDAY FOR 76-YEAR-OLD        
20110116160256.000|20110116160257.000|CC1|PHYLLIS SCHNECK WHO WAS         
20110116160257.000|20110116160259.000|CC1|KILLED AT THE MEET-AND-GREET    
20110116160259.000|20110116160300.000|CC1|WITH GIFFORDS.                  
20110116160300.000|20110116160304.000|CC1|SHE MOVED FROM NEW JERSEY TO    
20110116160304.000|20110116160305.000|CC1|TUCSON TO ESCAPE THE EAST       
20110116160305.000|20110116160307.000|CC1|COAST WINTERS.                  
20110116160307.000|20110116160309.000|CC1|THERE ARE TWO AT THE HOSPITAL   
20110116160309.000|20110116160311.000|CC1|WHO ARE IN GOOD CONDITION AND   
20110116160311.000|20110116160312.000|CC1|GIFFORDS IS IN CRITICAL         
20110116160312.000|20110116160313.000|CC1|CONDITION.                      
20110116160313.000|20110116160313.000|CC1|CHRIS?                          
20110116160313.000|20110116160313.000|CC1|>> Chris: ALICIA ACUNA,         
20110116160313.000|20110116160314.000|CC1|THANKS FOR THAT.                
20110116160314.000|20110116160315.000|CC1|NOW ONE OF THE MOST             
20110116160315.000|20110116160318.000|CC1|CONTROVERSIAL PICTURES ON THE   
20110116160318.000|20110116160319.000|CC1|POLITICAL SCENE.                
20110116160319.000|20110116160320.000|CC1|STATES ACROSS THE COUNTRY       
20110116160320.000|20110116160322.000|CC1|FACE HUNDREDS OF BILLIONS OF    
20110116160322.000|20110116160325.000|CC1|DEBT FROM OVERSPENDING,         
20110116160325.000|20110116160326.000|CC1|IMPACT OF THE RECESSION AND     
20110116160326.000|20110116160327.000|CC1|FEDERAL STIMULUS MONEY          
20110116160327.000|20110116160328.000|CC1|RUNNING OUT.                    
20110116160328.000|20110116160329.000|CC1|ONE GOVERNOR STANDS OUT FOR     
20110116160329.000|20110116160331.000|CC1|CUTTING PROGRAMS AND TAKING     
20110116160331.000|20110116160333.000|CC1|ON PUBLIC EMPLOYEE UNIONS.      
20110116160333.000|20110116160334.000|CC1|NEW JERSEY GOVERNOR CHRIS       
20110116160334.000|20110116160335.000|CC1|CHRISTIE, WELCOME TO "FOX       
20110116160335.000|20110116160336.000|CC1|NEWS SUNDAY."                   
20110116160336.000|20110116160337.000|CC1|>> HAPPY TO BE HERE, CHRIS.     
20110116160337.000|20110116160338.000|CC1|>> Chris: START WITH THE        
20110116160338.000|20110116160339.000|CC1|FALL-OUT FROM TUCSON.           
20110116160339.000|20110116160341.000|CC1|CONGRESS GOES BACK TO WORK      
