TOP|20110116190001|2011-01-16_1900_US_MSNBC_Meet_the_Press
COL|Communication Studies Archive, UCLA 
UID|2bb4ce98-21ab-11e0-ad34-001517add720
DUR|0:59:44.31
VID|640x480
CMT|
LAN|ENG
LBT|2011-01-16 11:00 America/Los_Angeles
SEG_01|2014-06-18 18:51:25|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110116190016.000|20110116190018.000|SEG|Type=Story
20110116190016.000|20110116190018.000|CC1|>>> THIS SUNDAY, AFTER THE      
20110116190018.000|20110116190018.000|CC1|T                               
20110116190018.000|20110116190156.000|SEG|Type=Story
20110116190018.000|20110116190019.000|CC1|>>> THIS SUNDAY, AFTER THE      
20110116190019.000|20110116190021.000|CC1|TRAGEDY AND THE TRIBUTES, WHAT  
20110116190021.000|20110116190022.000|CC1|NOW?                            
20110116190022.000|20110116190037.000|SEG_01|Type=Commercial
20110116190022.000|20110116190023.000|CC1|>> I WANT TO LIVE UP TO HER     
20110116190023.000|20110116190026.000|CC1|EXPECTATIONS.                   
20110116190026.000|20110116190029.000|CC1|I WANT OUR DEMOCRACY TO BE AS   
20110116190029.000|20110116190031.000|CC1|GOOD AS CHRISTINA IMAGINED IT.  
20110116190031.000|20110116190032.000|CC1|I WANT AMERICA TO BE AS GOOD AS 
20110116190032.000|20110116190037.000|CC1|SHE IMAGINED IT.                
20110116190037.000|20110116190038.000|SEG_01|Type=Story start
20110116190037.000|20110116190038.000|CC1|>> A NATIONAL CONVERSATION UNDER
20110116190038.000|20110116190039.000|CC1|WAY ABOUT POLITICAL DISCOURSE,  
20110116190039.000|20110116190044.000|CC1|MENTAL ILLNESS AND GUN SAFETY.  
20110116190044.000|20110116190045.000|CC1|WHAT CAN WASHINGTON DO TO       
20110116190045.000|20110116190046.000|CC1|PREVENT ANYTHING LIKE THIS FROM 
20110116190046.000|20110116190049.000|CC1|HAPPENING AGAIN?                
20110116190049.000|20110116190050.000|CC1|JOINING US THIS MORNING TO      
20110116190050.000|20110116190051.000|CC1|DISCUSS HOW TUCSON MIGHT CHANGE 
20110116190051.000|20110116190052.000|CC1|THE DEBATE, SENIOR SENATOR FROM 
20110116190052.000|20110116190054.000|CC1|NEW YORK, CHUCK SCHUMER AND THE 
20110116190054.000|20110116190056.000|CC1|REPUBLICAN FROM OKLAHOMA, TOM   
20110116190056.000|20110116190100.000|CC1|COBURN.                         
20110116190100.000|20110116190101.000|CC1|REPUBLICAN FROM OKLAHOMA.       
20110116190101.000|20110116190103.000|CC1|OUT OF THE MADNESS OF ARIZONA,  
20110116190103.000|20110116190104.000|CC1|IS THIS THE GAME CHANGER IN     
20110116190104.000|20110116190105.000|CC1|POLITICAL ATTITUDES THAT 9/11   
20110116190105.000|20110116190106.000|CC1|WAS TO OUR ATTITUDES ABOUT      
20110116190106.000|20110116190109.000|CC1|SECURITY?                       
20110116190109.000|20110116190112.000|CC1|IS THIS IS GAME CHANGER WAS 9/11
20110116190112.000|20110116190112.000|CC1|WAS ABOUT OUR SECURITY?         
20110116190112.000|20110116190113.000|CC1|OUR SPECIAL ROUNDTABLE EXAMINES 
20110116190113.000|20110116190114.000|CC1|THOSE QUESTIONS AND MORE,       
20110116190114.000|20110116190115.000|CC1|INCLUDING THE PATTERN OF        
20110116190115.000|20110116190116.000|CC1|POLITICAL ATTACK AND            
20110116190116.000|20110116190118.000|CC1|COUNTERATTACK IN THE WAKE OF THE
20110116190118.000|20110116190120.000|CC1|SHOOTING.                       
20110116190120.000|20110116190121.000|CC1|>> JOURNALISTS AND PUNDITS      
20110116190121.000|20110116190125.000|CC1|SHOULD NOT MANUFACTURE A BLOOD  
20110116190125.000|20110116190126.000|CC1|LIBEL THAT SERVES ONLY TO INCITE
20110116190126.000|20110116190128.000|CC1|THE VERY HATRED AND VIOLENCE    
20110116190128.000|20110116190130.000|CC1|THAT THEY PURPORT TO CONDEMN.   
20110116190130.000|20110116190132.000|CC1|>> WITH US THIS MORNING, THE    
20110116190132.000|20110116190136.000|CC1|REVEREND AL SHARPTON, CHAIRMAN  
20110116190136.000|20110116190136.000|CC1|OF THE SPECIAL OLYMPICS, TIM    
20110116190136.000|20110116190137.000|CC1|SHRIVER.                        
20110116190137.000|20110116190138.000|CC1|COLUMNIST FOR "THE NEW YORK     
20110116190138.000|20110116190140.000|CC1|TIMES," DAVID BROOKS AND        
20110116190140.000|20110116190142.000|CC1|COLUMNIST FOR "THE WALL STREET  
20110116190142.000|20110116190156.000|CC1|JOURNAL," PEGGY NOONAN.         
20110116190156.000|20110116190633.000|SEG|Type=Story
20110116190156.000|20110116190156.000|CC1|>>> GOOD MORNING.               
20110116190156.000|20110116190157.000|CC1|GOOD NEWS FROM ARIZONA THIS     
20110116190157.000|20110116190158.000|CC1|MORNING, AS DOCTORS WERE ABLE TO
20110116190158.000|20110116190201.000|CC1|REMOVE CONGRESSWOMAN GABRIELLE  
20110116190201.000|20110116190205.000|CC1|GIFFORDS FROM A VENTILATOR,     
20110116190205.000|20110116190205.000|CC1|YESTERDAY.                      
20110116190205.000|20110116190206.000|CC1|MEANING SHE IS ABLE TO BREATHE  
20110116190206.000|20110116190206.000|CC1|ON HER OWN.                     
20110116190206.000|20110116190208.000|CC1|REMARKABLE PROGRESS AFTER THE   
20110116190208.000|20110116190210.000|CC1|TRAGEDY IN TUCSON.              
20110116190210.000|20110116190210.000|CC1|SHE REMAINS IN CRITICAL         
20110116190210.000|20110116190215.000|CC1|CONDITION.                      
20110116190215.000|20110116190216.000|CC1|DOCTORS WERE ALSO TO RELEASE ONE
20110116190216.000|20110116190218.000|CC1|OTHER INJURED PATIENT, LEAVING  
20110116190218.000|20110116190219.000|CC1|TWO OTHER VICTIMS BESIDES THE   
20110116190219.000|20110116190219.000|CC1|CONGRESSWOMAN ARE STILL IN THE  
20110116190219.000|20110116190220.000|CC1|HOSPITAL.                       
20110116190220.000|20110116190224.000|CC1|JOINING US NOW, DEMOCRATIC      
20110116190224.000|20110116190225.000|CC1|SENATOR FROM NEW YORK, KIRSTEN  
20110116190225.000|20110116190229.000|CC1|GILLIBRAND, WELCOME.            
20110116190229.000|20110116190232.000|CC1|IT IS SO NICE TO HAVE YOU HERE. 
20110116190232.000|20110116190233.000|CC1|WHAT CAN YOU TELL US ABOUT HOW  
20110116190233.000|20110116190233.000|CC1|SHE'S DOING?                    
20110116190233.000|20110116190234.000|CC1|>> SHE'S DOING GREAT.           
20110116190234.000|20110116190234.000|CC1|I TALKED TO HER HUSBAND, MARK,  
20110116190234.000|20110116190235.000|CC1|LAST NIGHT.                     
20110116190235.000|20110116190236.000|CC1|SHE IS MAKING PROGRESS.         
20110116190236.000|20110116190237.000|CC1|AND IF THERE'S ANYONE IN THE    
20110116190237.000|20110116190238.000|CC1|WORLD THAT WILL RECOVER FULLY   
20110116190238.000|20110116190239.000|CC1|FROM THIS KIND OF CRIME AND     
20110116190239.000|20110116190240.000|CC1|UNBELIEVABLE INJURY, IT'S HER.  
20110116190240.000|20110116190242.000|CC1|SHE HAS COURAGE.                
20110116190242.000|20110116190243.000|CC1|SHE HAS DRIVE.                  
20110116190243.000|20110116190244.000|CC1|SHE HAS SPIRIT.                 
20110116190244.000|20110116190246.000|CC1|AND I REALLY THINK HER COURAGE  
20110116190246.000|20110116190247.000|CC1|IS INSPIRING ALL OF US RIGHT    
20110116190247.000|20110116190247.000|CC1|NOW.                            
20110116190247.000|20110116190249.000|CC1|>> YOU TALK ABOUT HER CONDITION.
20110116190249.000|20110116190250.000|CC1|YOU TWO, OF COURSE, GOOD FRIENDS
20110116190250.000|20110116190252.000|CC1|DATING BACK TO WHEN SHE AND YOU 
20110116190252.000|20110116190254.000|CC1|CAME INTO THE CONGRESS.         
20110116190254.000|20110116190255.000|CC1|HAS SHE ACTUALLY BEEN ABLE TO   
20110116190255.000|20110116190255.000|CC1|SPEAK?                          
20110116190255.000|20110116190258.000|CC1|>> NO, NO.                      
20110116190258.000|20110116190259.000|CC1|IT'S FAR TOO EARLY FOR THAT.    
20110116190259.000|20110116190300.000|CC1|SHE'S MAKING PROGRESS EVERY DAY.
20110116190300.000|20110116190301.000|CC1|SHE'S USING BOTH SIDES OF HER   
20110116190301.000|20110116190302.000|CC1|BODY.                           
20110116190302.000|20110116190303.000|CC1|SHE'S ABLE TO BREATHE ON HER    
20110116190303.000|20110116190304.000|CC1|OWN.                            
20110116190304.000|20110116190306.000|CC1|SHE'S ABLE TO OPEN HER EYES AND 
20110116190306.000|20110116190307.000|CC1|SHOW PEOPLE SHE UNDERSTANDS WHAT
20110116190307.000|20110116190312.000|CC1|SHE'S HEARING AND SEEING.       
20110116190312.000|20110116190313.000|CC1|IT'S AN EXTRAORDINARY AMOUNT OF 
20110116190313.000|20110116190314.000|CC1|PROGRESS FOR A WOMAN WHO        
20110116190314.000|20110116190315.000|CC1|SUSTAINED SUCH A HORRIFIC INJURY
20110116190315.000|20110116190319.000|CC1|THAT SHE DID.                   
20110116190319.000|20110116190320.000|CC1|>> THERE WAS AN INCREDIBLE      
20110116190320.000|20110116190321.000|CC1|MOMENT DURING THE MEMORIAL      
20110116190321.000|20110116190323.000|CC1|SERVICE THIS WEEK WHEN THE      
20110116190323.000|20110116190324.000|CC1|PRESIDENT, WHO HAD VISITED WITH 
20110116190324.000|20110116190325.000|CC1|THE CONGRESSWOMAN, WHEN YOU WERE
20110116190325.000|20110116190327.000|CC1|IN THE ROOM, AS WELL, SPOKE     
20110116190327.000|20110116190328.000|CC1|ABOUT A BIG DEVELOPMENT WHEN SHE
20110116190328.000|20110116190330.000|CC1|OPENED HER EYES.                
20110116190330.000|20110116190331.000|CC1|THIS IS HOW HE DESCRIBED IT.    
20110116190331.000|20110116190333.000|CC1|>> A FEW MINUTES AFTER WE LEFT  
20110116190333.000|20110116190333.000|CC1|THE ROOM AND SOME OF HER        
20110116190333.000|20110116190335.000|CC1|COLLEAGUES FROM CONGRESS WERE IN
20110116190335.000|20110116190336.000|CC1|THE ROOM, GABBY OPENED HER EYES 
20110116190336.000|20110116190339.000|CC1|FOR THE FIRST TIME.             
20110116190339.000|20110116190340.000|CC1|GABBY OPENED HER EYES FOR THE   
20110116190340.000|20110116190343.000|CC1|FIRST TIME.                     
20110116190343.000|20110116190344.000|CC1|>> DESCRIBE WHAT THAT MOMENT WAS
20110116190344.000|20110116190347.000|CC1|LIKE.                           
20110116190347.000|20110116190348.000|CC1|>> THE MOMENT THE PRESIDENT SAID
20110116190348.000|20110116190349.000|CC1|THAT?                           
20110116190349.000|20110116190349.000|CC1|>> BEING IN THE ROOM.           
20110116190349.000|20110116190350.000|CC1|>> I'LL DO BOTH.                
20110116190350.000|20110116190350.000|CC1|WHEN THE PRESIDENT SAID THAT,   
20110116190350.000|20110116190351.000|CC1|THE ROOM ERUPTED.               
20110116190351.000|20110116190352.000|CC1|THESE ARE HER CONSTITUENTS.     
20110116190352.000|20110116190352.000|CC1|THEY LOVE HER.                  
