TOP|20110116233001|2011-01-16_2330_US_KNBC_NBC_Nightly_News
COL|Communication Studies Archive, UCLA 
UID|b2d16046-21cc-11e0-b651-001517add720
DUR|0:29:49.65
VID|640x368
CMT|
LAN|ENG
LBT|2011-01-16 15:30 America/Los_Angeles
SEG_01|2014-06-18 18:51:26|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110116233005.000|20110116233011.000|SEG|Type=Story
20110116233005.000|20110116233011.000|CC1|     Hungry no. Results yes.    
20110116233011.000|20110116233017.000|SEG|Type=Story
20110116233011.000|20110116233013.000|CC1|>>> NEW EVIDENCE.               
20110116233013.000|20110116233015.000|CC1|WHAT SURVEILLANCE CAMERAS       
20110116233015.000|20110116233017.000|CC1|CAPTURED DURING THE MASSACRE IN 
20110116233017.000|20110116233017.000|CC1|TUCSON.                         
20110116233017.000|20110116233022.000|SEG|Type=Story
20110116233017.000|20110116233021.000|CC1|>>> TONIGHT THE CITY TRIES TO   
20110116233021.000|20110116233022.000|CC1|MOVE FORWARD.                   
20110116233022.000|20110116233031.000|SEG|Type=Story
20110116233022.000|20110116233023.000|CC1|>>> SECRET WEAPON.              
20110116233023.000|20110116233025.000|CC1|WAS THE U.S. BEHIND A           
20110116233025.000|20110116233027.000|CC1|SOPHISTICATED ATTACK ON IRAN'S  
20110116233027.000|20110116233027.000|CC1|NUCLEAR PROGRAM?                
20110116233027.000|20110116233031.000|CC1|THE LATEST FROM INSIDE TEHRAN.  
20110116233031.000|20110116233039.000|SEG|Type=Story
20110116233031.000|20110116233032.000|CC1|>>> UNDER SIEGE.                
20110116233032.000|20110116233033.000|CC1|AMERICANS ONG THE MANY TRYING   
20110116233033.000|20110116233036.000|CC1|TO GET OUT OF THE CHAOS IN      
20110116233036.000|20110116233037.000|CC1|TUNISIA.                        
20110116233037.000|20110116233039.000|CC1|WHAT WE FOUND ON OUR WAY IN     
20110116233039.000|20110116233039.000|CC1|TODAY.                          
20110116233039.000|20110116233053.000|SEG|Type=Story
20110116233039.000|20110116233041.000|CC1|>>> AND, MIRACLE RESCUE.        
20110116233041.000|20110116233043.000|CC1|A WOMAN BURIED ALIVE, AND HER   
20110116233043.000|20110116233044.000|CC1|HUSBAND WHO REFUSED TO GIVE UP. 
20110116233044.000|20110116233046.000|CC1|THEIR INCREDIBLE LOVE STORY ONE 
20110116233046.000|20110116233053.000|CC1|YEAR LATER.                     
20110116233053.000|20110116233100.000|SEG|Type=Story
20110116233053.000|20110116233056.000|CC1|>>> FROM NBC NEWS WORLD         
20110116233056.000|20110116233058.000|CC1|HEADQUARTERS IN NEW YORK, THIS  
20110116233058.000|20110116233058.000|CC1|IS "NBC NIGHTLY NEWS" WITH      
20110116233058.000|20110116233100.000|CC1|LESTER HOLT.                    
20110116233100.000|20110116233351.000|SEG|Type=Story
20110116233100.000|20110116233102.000|CC1|>>> GOOD EVENING.               
20110116233102.000|20110116233104.000|CC1|THEIR CITY THRUSTED IN THE      
20110116233104.000|20110116233106.000|CC1|SPOTLIGHT BY LAST WEEK'S        
20110116233106.000|20110116233107.000|CC1|HORRIBLE SHOOTING TRAGEDY, THE  
20110116233107.000|20110116233109.000|CC1|PEOPLE OF TUCSON TRIED TO TURN A
20110116233109.000|20110116233110.000|CC1|NEW CHAPTER AND SEIZE THE       
20110116233110.000|20110116233112.000|CC1|MESSAGE WITH A MARCH FOR PEACE. 
20110116233112.000|20110116233114.000|CC1|ON THIS DAY OF WORSHIP, MUCH OF 
20110116233114.000|20110116233116.000|CC1|THE COMMUNITY IS TRYING TO      
20110116233116.000|20110116233117.000|CC1|RECONCILE THE EVENTS OF THE PAST
20110116233117.000|20110116233120.000|CC1|WEEK AS IT CONTINUES TO BURY ITS
20110116233120.000|20110116233122.000|CC1|DEAD.                           
20110116233122.000|20110116233125.000|CC1|WE BEGIN OUR COVERAGE FROM      
20110116233125.000|20110116233127.000|CC1|TUCSON TONIGHT, MIGUEL.         
20110116233127.000|20110116233128.000|CC1|>> Reporter: GOOD EVENING.      
20110116233128.000|20110116233130.000|CC1|MANY LEFT FLOWERS IN THE PARKING
20110116233130.000|20110116233131.000|CC1|LOT WHERE 19 WERE GUNNED DOWN AS
20110116233131.000|20110116233136.000|CC1|OTHERS MARCHED FOR PEOPLE.      
20110116233136.000|20110116233137.000|CC1|A MARCH WITH A MESSAGE.         
20110116233137.000|20110116233139.000|CC1|THE YOUNG, THE OLD, STRANGERS   
20110116233139.000|20110116233141.000|CC1|AND FRIENDS, DETERMINED TO SHOW 
20110116233141.000|20110116233142.000|CC1|THIS COMMUNITY IS HEALING.      
20110116233142.000|20110116233145.000|CC1|>> WE WANT TO SHOW THE ENTIRE   
20110116233145.000|20110116233146.000|CC1|COMMUNITY, HEY, LOOK.           
20110116233146.000|20110116233147.000|CC1|WE CARE.                        
