TOP|20110117013001|2011-01-17_0130_US_KABC_ABC_World_News_Sunday
COL|Communication Studies Archive, UCLA 
UID|765e937a-21dd-11e0-a0f2-001517add720
DUR|0:29:44.38
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-16 17:30 America/Los_Angeles
SEG_01|2014-06-18 18:51:32|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110117013003.000|20110117013003.000|XDS|%   RATING: (NOT RATED) (72)
20110117013006.000|20110117013006.000|XDS|%  NETWORK: ABC
20110117013007.000|20110117013007.000|XDS|%    TITLE: ABC WORLD NEWS SUNDAY
20110117013007.000|20110117013007.000|XDS|%     CALL:   
20110117013007.000|20110117013007.000|XDS|% TIMECODE: 1/16 20:00
20110117013007.000|20110117013007.000|XDS|%   LENGTH: 0:28:00 of 1:00:00
20110117013008.000|20110117013024.000|SEG|Type=Story
20110117013008.000|20110117013010.000|CC1|>>> I'M DAVID MUIR.             
20110117013010.000|20110117013011.000|CC1|TONIGHT ON "WORLD NEWS" FROM    
20110117013011.000|20110117013014.000|CC1|TUCSON, AFTER THE TRAGEDY.      
20110117013014.000|20110117013014.000|CC1|THE FIRST TEST IN WASHINGTON    
20110117013014.000|20110117013015.000|CC1|NOW.                            
20110117013015.000|20110117013016.000|CC1|ARIZONA SENATOR JOHN McCAIN     
20110117013016.000|20110117013020.000|CC1|PRAISING HIS ONE-TIME OPPONENT, 
20110117013020.000|20110117013022.000|CC1|PRESIDENT OBAMA, ON HIS PUSH FOR
20110117013022.000|20110117013023.000|CC1|GREATER CIVILITY.               
20110117013023.000|20110117013024.000|CC1|BUT WHAT WILL LAST?             
20110117013024.000|20110117013031.000|SEG|Type=Story
20110117013024.000|20110117013024.000|CC1|>>> CLIMBING BACK.              
20110117013024.000|20110117013025.000|CC1|THE CONGRESSWOMAN AND HER       
20110117013025.000|20110117013027.000|CC1|REMARKABLE RECOVERY.            
20110117013027.000|20110117013028.000|CC1|WHAT DOCTORS HAVE DONE HERE THIS
20110117013028.000|20110117013029.000|CC1|WEEKEND, AND WHY THIS NEXT WEEK 
20110117013029.000|20110117013031.000|CC1|IS SO CRUCIAL.                  
20110117013031.000|20110117013046.000|SEG|Type=Story
20110117013031.000|20110117013032.000|CC1|>>> THE TOWN HALL.              
20110117013032.000|20110117013032.000|XDS|%   LENGTH: 0:29:00 of 1:00:00
20110117013032.000|20110117013033.000|CC1|AFTER THAT MEETING OUTSIDE THE  
20110117013033.000|20110117013035.000|CC1|SAFEWAY WAS CUT SHORT ONE WEEK  
20110117013035.000|20110117013036.000|CC1|AGO, THE SURVIVORS AND THE      
20110117013036.000|20110117013038.000|CC1|HEROES WHO SAVED THEM,          
20110117013038.000|20110117013040.000|CC1|DETERMINED TO CONTINUE THAT     
20110117013040.000|20110117013041.000|CC1|CONVERSATION, ALL TOGETHER FOR  
20110117013041.000|20110117013042.000|CC1|THE FIRST TIME.                 
20110117013042.000|20110117013044.000|CC1|>> THIS IS THE HERO.            
20110117013044.000|20110117013045.000|CC1|IF I'M A HERO, HE'S A SUPER     
20110117013045.000|20110117013046.000|CC1|HERO.                           
20110117013046.000|20110117013051.000|SEG|Type=Story
20110117013046.000|20110117013047.000|CC1|>>> THE FAMILY FEUD.            
20110117013047.000|20110117013049.000|CC1|WHY ONE OF RONALD REAGAN'S      
20110117013049.000|20110117013050.000|CC1|CHILDREN IS NOW LASHING OUT AT  
20110117013050.000|20110117013051.000|CC1|ANOTHER.                        
20110117013051.000|20110117013109.000|SEG|Type=Story
20110117013051.000|20110117013055.000|CC1|>>> AND, HERE IN TUCSON,        
20110117013055.000|20110117013058.000|CC1|CHRISTINA'S GIFT, TO THE FRIENDS
20110117013058.000|20110117013100.000|CC1|SHE LEFT BEHIND.                
20110117013100.000|20110117013102.000|CC1|THE BOY IN THE                  
20110117013102.000|20110117013103.000|CC1|STANDS, THE GIRL ON THE FIELD.  
20110117013103.000|20110117013103.000|CC1|TONIGHT, THEIR SIMPLE MESSAGE   
20110117013103.000|20110117013109.000|CC1|FOR OUR COUNTRY.                
20110117013109.000|20110117013406.000|SEG|Type=Story
20110117013109.000|20110117013110.000|CC1|>>> AND GOOD EVENING FROM       
20110117013110.000|20110117013111.000|CC1|TUCSON.                         
20110117013111.000|20110117013112.000|CC1|WHERE TONIGHT, A COMMUNITY SO   
20110117013112.000|20110117013114.000|CC1|TESTED, HAVING ENDURED SUCH PAIN
20110117013114.000|20110117013117.000|CC1|IS CLEARLY TRYING TO MOVE PAST  
20110117013117.000|20110117013117.000|CC1|THIS.                           
20110117013117.000|20110117013118.000|CC1|THIS MORNING, A SPECIAL TOWN    
20110117013118.000|20110117013121.000|CC1|HALL ON "THIS WEEK."            
20110117013121.000|20110117013123.000|CC1|SO MANY OF THE SURVIVORS AND    
20110117013123.000|20110117013125.000|CC1|HEROES WHO SAVED THEM, MANY WHO 
20110117013125.000|20110117013127.000|CC1|GATHERED AT THAT SAFEWAY ONE    
20110117013127.000|20110117013129.000|CC1|WEEK AGO, WERE BACK TOGETHER,   
20110117013129.000|20110117013130.000|CC1|DETERMINED TO CONTINUE THE      
20110117013130.000|20110117013131.000|CC1|CONVERSATION CUT SHORT.         
20110117013131.000|20110117013133.000|CC1|AND SOMETHING WE HADN'T HEARD   
20110117013133.000|20110117013135.000|CC1|ABOUT THE GUNMAN BEFORE, FROM A 
20110117013135.000|20110117013135.000|CC1|NEIGHBOR WHO WAS SILENT UNTIL   
20110117013135.000|20110117013137.000|CC1|NOW.                            
20110117013138.000|20110117013138.000|XDS|%   LENGTH: 0:30:00 of 1:00:00
20110117013137.000|20110117013139.000|CC1|TONIGHT, GOOD NEWS ABOUT THE    
20110117013139.000|20110117013140.000|CC1|CONGRESSWOMAN.                  
20110117013140.000|20110117013142.000|CC1|HER CONDITION HAS BEEN UPGRADED 
20110117013142.000|20110117013144.000|CC1|FROM CRITICAL TO SERIOUS, NOW   
20110117013144.000|20110117013147.000|CC1|THAT SHE'S OFF THE VENTILATOR.  
20110117013147.000|20110117013148.000|CC1|AND HERE IN ARIZONA, SENATOR    
20110117013148.000|20110117013149.000|CC1|JOHN McCAIN FOR PRAISE FOR HIS  
20110117013149.000|20110117013151.000|CC1|FORMER RIVAL, PRESIDENT OBAMA,  
20110117013151.000|20110117013151.000|CC1|AFTER HIS CALL FOR MORE CIVILITY
20110117013151.000|20110117013152.000|CC1|IN OUR NATIONAL CONVERSATION.   
20110117013152.000|20110117013153.000|CC1|BUT THAT WILL BE TESTED THIS    
20110117013153.000|20110117013153.000|CC1|WEEK, AND VERY QUICKLY.         
20110117013153.000|20110117013154.000|CC1|AND SO WE START WITH DAVID      
