TOP|20110117130001|2011-01-17_1300_US_FOX-News_Fox_and_Friends
COL|Communication Studies Archive, UCLA 
UID|0e77881a-2242-11e0-bab7-001517add6f2
DUR|0:59:49.05
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-17 05:00 America/Los_Angeles
SEG_01|2014-06-18 18:51:41|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110117130002.000|20110117130002.000|XDS|%     CALL: FNC 
20110117130002.000|20110117130002.000|XDS|%   RATING: (NOT RATED) (72)
20110117130016.000|20110117130226.000|SEG|Type=Story
20110117130016.000|20110117130019.000|CC1|>> Gretchen: GOOD MORNING.      
20110117130019.000|20110117130019.000|CC1|EVERYO.                         
20110117130019.000|20110117130021.000|CC1|IT'S MONDAY JUARY 17.           
20110117130021.000|20110117130022.000|CC1|I'M GRETEN CARLSON.             
20110117130022.000|20110117130023.000|CC1|BACKO WORK ON CAPITOL HILL AS   
20110117130023.000|20110117130024.000|CC1|LL.                             
20110117130024.000|20110117130025.000|CC1|REPUBLICANS TTING READY TO      
20110117130025.000|20110117130027.000|CC1|LAUNCH TIR FIGHT NOW T REPEAL   
20110117130027.000|20110117130027.000|CC1|OBAMACARE.                      
20110117130027.000|20110117130029.000|CC1|T SOME DEMOCRATS ARE PICKING    
20110117130029.000|20110117130031.000|CC1|THEIR OWN FIGHT OER HOW IT WILL 
20110117130031.000|20110117130033.000|CC1|BE RDED.                        
20110117130033.000|20110117130034.000|CC1|>> SOMSCHOOLS ARE CHOOSE TOO    
20110117130034.000|20110117130034.000|XDS|%  NETWORK: Fox News Channel
20110117130034.000|20110117130036.000|CC1|CAEL CLASSES THIS MARTIN        
20110117130036.000|20110117130038.000|CC1|LUTHER KI, JUNIOR, DAY.         
20110117130038.000|20110117130039.000|CC1|THE REASONAY SURPRISE YOU.      
20110117130039.000|20110117130041.000|CC1|WE REPORT, YOU DEDE IF THIS IS  
20110117130041.000|20110117130043.000|CC1|A GOOD IDEA.                    
20110117130043.000|20110117130045.000|CC1|>> Sve: THEN, YOU CAN'T EVEN    
20110117130045.000|20110117130046.000|CC1|SMOKE AT BARS.                  
20110117130046.000|20110117130048.000|CC1|SOME TOW BANNING IT ON THE      
20110117130048.000|20110117130048.000|CC1|SIDEWALK.                       
20110117130048.000|20110117130050.000|CC1|NOW NO SMOKING IN YOUNG OWN CAR?
20110117130050.000|20110117130052.000|CC1|THERE ARE TWO SIDES TOTHAT      
20110117130052.000|20110117130052.000|CC1|STORY.                          
20110117130052.000|20110117130053.000|CC1|WE'LL TELL YOU STRAIGHT AHEAD   
20110117130053.000|20110117130054.000|CC1|YOU'RE WATCHING OX & FRIENDS"   
20110117130054.000|20110117130055.000|CC1|ON THE FOX NEWS CHANN.          
20110117130055.000|20110117130100.000|CC1|#                               
20110117130100.000|20110117130101.000|CC1|>> YOU'RWATCHING "FOX &         
20110117130103.000|20110117130103.000|XDS|%    TITLE: News, Fair and Balanced
20110117130101.000|20110117130106.000|CC1|FRIENDS."                       
20110117130106.000|20110117130107.000|CC1|>> Gretchen: GOOD RNING,        
20110117130107.000|20110117130107.000|CC1|EVERYONE.                       
20110117130107.000|20110117130108.000|CC1|THANK YOU FOR SHARING YO TIME   
20110117130108.000|20110117130109.000|CC1|WITH US ON A MONDAY.            
20110117130109.000|20110117130111.000|CC1|TOY MANY OF YOU ARE MBEOT       
20110117130111.000|20110117130112.000|CC1|WORKING OR YOUR KID ARET        
20110117130112.000|20110117130114.000|CC1|GOING TO SCHOOL BECAUSE IT'S    
20110117130114.000|20110117130115.000|CC1|MARTINUTHER KING DAY AND WE     
20110117130115.000|20110117130116.000|CC1|ARE REMEMBERG THAT THROUGHO     
20110117130116.000|20110117130117.000|CC1|THE SHOW.                       
20110117130117.000|20110117130118.000|CC1|>> Steve: IN FT, WE'RE GOI      
20110117130118.000|20110117130120.000|CC1|TO HE THE ASSIANT DEMOCRAT      
20110117130120.000|20110117130122.000|CC1|LEADER IN THE U.S. HOUSE, JAMES 
20110117130122.000|20110117130123.000|CC1|CLIBURN, DEMOCRAT FROSOUTH      
20110117130123.000|20110117130124.000|CC1|CAROLINA, JOIN US.              
20110117130124.000|20110117130127.000|CC1|TH REPUBLICAN FROM ARIZONA,     
20110117130127.000|20110117130127.000|CC1|JEFF FLAKE.                     
20110117130127.000|20110117130129.000|CC1|HE WILL BE DROPPING B           
20110117130129.000|20110117130130.000|CC1|WE'LL TALK AUT WHAT CONGRE      
20110117130130.000|20110117130133.000|CC1|IS CONSIDENG THIS WEEK.         
20110117130133.000|20110117130134.000|CC1|>> Peter: SO THE ALWAY          
20110117130134.000|20110117130135.000|CC1|WONDERFUSEAN HANNITY UP EARLY   
20110117130135.000|20110117130135.000|CC1|THIS MNING.                     
20110117130135.000|20110117130139.000|CC1|ANTHE NEWISSMERICA, MISS        
20110117130139.000|20110117130140.000|CC1|NEBRASKA, THERESA SCANLAN AND   
20110117130140.000|20110117130141.000|CC1|WE'LL HAVE AN EXCLUSIVE         
20110117130141.000|20110117130143.000|CC1|INTERVIEW WITH HER.             
20110117130143.000|20110117130143.000|CC1|>> Gretchen: T FIRST ONE        
20110117130143.000|20110117130144.000|CC1|SHE'LL BE HAVIN                 
20110117130144.000|20110117130146.000|CC1|>> Peter: GRETCH WILL BE DOING  
20110117130146.000|20110117130146.000|CC1|IT.                             
20110117130146.000|20110117130147.000|CC1|>> Gretchen: SHE'SNLY 17 YEARS  
20110117130147.000|20110117130147.000|CC1|OLD.                            
20110117130147.000|20110117130149.000|CC1|WEE LOOKINGORWARD TO WHAT       
20110117130149.000|20110117130150.000|CC1|CHALLENGES AREOING TO BE        
20110117130150.000|20110117130152.000|CC1|FACING HER TOUGHOUT HER YEARS.  
20110117130152.000|20110117130154.000|CC1|LET'S DO A COUPLE HEADLINES FOR 
20110117130154.000|20110117130156.000|CC1|YOU BECAUSE  HAVE CHIING NEW    
20110117130156.000|20110117130158.000|CC1|DETAILS ABOU ACCUSED TUCSON     
20110117130158.000|20110117130159.000|CC1|GUNMAN, JARED LOUGHNER.         
20110117130159.000|20110117130200.000|CC1|THE "N YORK POST" REPORTS THAT  
20110117130200.000|20110117130201.000|CC1|LOUGHNER SPENDS 23 HOURS A DAY  
20110117130201.000|20110117130204.000|CC1|IN AN ISOLATED CELL SHOWING NO  
20110117130204.000|20110117130205.000|CC1|SIGNS OF REMORSE.               
20110117130205.000|20110117130208.000|CC1|ONE PRISONORKERS DESCRIBES THE  
20110117130208.000|20110117130210.000|CC1|22-YEAR-OLD'S EYES AS, QUOTE,   
20110117130210.000|20110117130210.000|CC1|PURE EVIL.                      
20110117130210.000|20110117130213.000|CC1|ALSO NEW THIS MORNING,          
20110117130213.000|20110117130215.000|CC1|CONGRESSWON GABRIELLE           
20110117130215.000|20110117130216.000|CC1|GIFFOR' HUSBAND SPEAKING OUT    
20110117130216.000|20110117130217.000|CC1|ABOUT LOUGHNER.                 
20110117130217.000|20110117130218.000|CC1| SAYS HE WOULD BEILLING TO      
20110117130218.000|20110117130221.000|CC1|MEET WITH LOUGHNER PARENTS AND  
20110117130221.000|20110117130225.000|CC1|DOESN'T BLAME THEM FOR THEIR    
20110117130225.000|20110117130226.000|CC1|SON'S ACTIONS.                  
20110117130226.000|20110117130243.000|SEG|Type=Story
20110117130226.000|20110117130229.000|CC1|>>> NEW VIDEO FROM TUNISIA.     
20110117130229.000|20110117130229.000|CC1|CHAOS IN THE STREETS.           
20110117130229.000|20110117130231.000|CC1|SECURITY FORCES ARE FORCED TO   
20110117130231.000|20110117130233.000|CC1|USE TEAR G TO DISPERSEROWDS     
20110117130233.000|20110117130235.000|CC1|IN THEENTER OF THE CAPITAL.     
20110117130235.000|20110117130237.000|CC1|POLICE AND POLITICIANS TRYIN TO 
20110117130237.000|20110117130238.000|CC1|STOP THE VIOLENCE B ANNOUNCING  
20110117130238.000|20110117130241.000|CC1|NEW GOVERNMENT LEARS THAT WILL  
20110117130241.000|20110117130243.000|CC1|HAEN LER TODAY.                 
20110117130243.000|20110117130302.000|SEG|Type=Story
20110117130243.000|20110117130245.000|CC1|>>> THE BROTH-IN-LAW OF JOHN    
20110117130245.000|20110117130247.000|CC1| KENNEDY HOSTALIZED IN          
20110117130247.000|20110117130248.000|CC1|MALAND.                         
20110117130248.000|20110117130249.000|CC1|THERE IS NWORD ON THE           
20110117130249.000|20110117130250.000|CC1|95-YEAR-OLD'S CONDITION.        
20110117130250.000|20110117130252.000|CC1|BACK I 2003, THE FORMER PEE     
20110117130252.000|20110117130256.000|CC1|CORPS DIRECTOR AOUNCED HE HAD   
20110117130256.000|20110117130256.000|CC1|ALZHEIMER'                      
20110117130256.000|20110117130258.000|CC1|SHARIFER IS THE THER-IN-LAW OF  
20110117130258.000|20110117130300.000|CC1|FORMER CALIFORNIAOVERNOR,       
20110117130300.000|20110117130302.000|CC1|ARNOLD SCHRZENEGGER.            
20110117130302.000|20110117132345.000|SEG|Type=Story
20110117130302.000|20110117130303.000|CC1|>>> DESPITE HIS AT'S BEI        
20110117130303.000|20110117130305.000|CC1|CALL HIS MANSION ARREST IN      
20110117130305.000|20110117130307.000|CC1|GLAND, MOMENTS AGO, WIKILEAKS   
20110117130307.000|20110117130308.000|CC1|FOUNDER JULIAN ASSGE SHOWED UP  
20110117130308.000|20110117130310.000|CC1|AT A NEWS CONFERENCE IN LONDON. 
20110117130310.000|20110117130312.000|CC1|A FORR SWISS BANKER HANDE HIM   
