TOP|20110117180001|2011-01-17_1800_US_KABC_The_View
COL|Communication Studies Archive, UCLA 
UID|f4286b44-226b-11e0-bd24-001517add720
DUR|0:59:49.31
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-17 10:00 America/Los_Angeles
SEG_01|2014-06-18 18:52:04|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110117180005.000|20110117180005.000|XDS|%  NETWORK: ABC
20110117180005.000|20110117180005.000|XDS|%     CALL:   
20110117180007.000|20110117180007.000|XDS|%   RATING: (NOT RATED) (72)
20110117180008.000|20110117180008.000|XDS|%    TITLE: THE VIEW
20110117180008.000|20110117180008.000|XDS|% TIMECODE: 1/17 13:00
20110117180008.000|20110117180008.000|XDS|%   LENGTH: 0:00:00 of 1:00:00
20110117180013.000|20110117185950.000|SEG|Type=Story
20110117180013.000|20110117180016.000|CC1|>> IT'S MARTIN LUTHER KING DAY  
20110117180016.000|20110117180018.000|CC1|-- MONDAY, JANUARY 17.          
20110117180018.000|20110117180019.000|CC1|COMING UP LIVE ON "THE VIEW,"   
20110117180019.000|20110117180020.000|CC1|KICK BACK WITH THE HOTTEST      
20110117180020.000|20110117180022.000|CC1|TOPICS ON TV, FROM WHETHER      
20110117180022.000|20110117180023.000|CC1|GOLDEN GLOBES HOST RICKY GERVAIS
20110117180023.000|20110117180024.000|CC1|CROSSED THE LINE LAST NIGHT --  
20110117180024.000|20110117180028.000|CC1|>> I FEEL BAD ABOUT THAT JOKE.  
20110117180028.000|20110117180030.000|CC1|>> -- TO PRESIDENT REAGAN'S SON 
20110117180030.000|20110117180032.000|CC1|CLAIMING HIS DID HAD ALZHEIMER'S
20110117180032.000|20110117180034.000|CC1|DURING HIS FIRST TERM IN OFFICE.
20110117180034.000|20110117180035.000|CC1|PLUS ON THE "RED, WHITE AND     
20110117180035.000|20110117180037.000|CC1|VIEW", NEW YORK SENATOR KIRSTEN 
20110117180037.000|20110117180038.000|CC1|GILLIBRAND JUST GOT BACK FROM   
20110117180038.000|20110117180039.000|CC1|CONGRESSMAN GABRIELLE GIFFORDS' 
20110117180039.000|20110117180041.000|CC1|BEDSIDE AND SHE'S TELLING YOU   
20110117180041.000|20110117180042.000|CC1|HOW SHE'S RECOVERING AND HER    
20110117180042.000|20110117180044.000|CC1|PROBLEM WITH SARAH PALIN'S      
20110117180044.000|20110117180046.000|CC1|STATEMENT ON THE TRAGEDY IN     
20110117180046.000|20110117180048.000|CC1|TUCSON.                         
20110117180048.000|20110117180050.000|CC1|THEN HEIR TO LARRY KING'S THRONE
20110117180050.000|20110117180051.000|CC1|PIERS MORGAN IS REVEALING HIS   
20110117180051.000|20110117180054.000|CC1|BRINGING HIS WICKED WAYS TO BIG 
20110117180054.000|20110117180055.000|CC1|CELEBRITY INTERVIEWS AND WHY    
20110117180056.000|20110117180056.000|XDS|%   LENGTH: 0:01:00 of 1:00:00
20110117180055.000|20110117180056.000|CC1|MADONNA IS BANNED FOR LIFE FROM 
20110117180056.000|20110117180059.000|CC1|HIS SHOW.                       
20110117180059.000|20110117180101.000|CC1|AND "STAR TREK'S" LIEUTENANT    
20110117180101.000|20110117180104.000|CC1|UHURA NICHELLE NICHOLS IS TELL  
20110117180104.000|20110117180106.000|CC1|YOU ABOUT HER CONVERSATION WITH 
20110117180106.000|20110117180107.000|CC1|DR. MARTIN LUTHER KING JR. THAT 
20110117180107.000|20110117180109.000|CC1|MADE HER BOLDLY GO WHERE NO     
20110117180109.000|20110117180111.000|CC1|BLACK WOMAN HAD GONE BEFORE.    
20110117180111.000|20110117180113.000|CC1|ALL THAT, "HOT TOPICS," AND     
20110117180113.000|20110117180114.000|CC1|MORE, COMING UP LIVE ON "THE    
20110117180114.000|20110117180119.000|CC1|VIEW"!                          
20110117180119.000|20110117180120.000|CC1|[CLOSED CAPTIONING PROVIDED BY  
20110117180120.000|20110117180121.000|CC1|ABC, INC., AND                  
20110117180121.000|20110117180122.000|CC1|JOHNSON & JOHNSON, WHERE QUALITY
20110117180122.000|20110117180123.000|CC1|HEALTH CARE PRODUCTS HAVE BEEN A
20110117180123.000|20110117180133.000|CC1|TRADITION FOR GENERATIONS]      
20110117180133.000|20110117180134.000|CC1|                                
20110117180134.000|20110117180137.000|CC1|>> GOOD MORNING.                
20110117180137.000|20110117180138.000|CC1|GOOD MORNING.                   
20110117180138.000|20110117180141.000|CC1|WELCOME.                        
20110117180141.000|20110117180145.000|CC1|WELCOME ON THIS COLD DAY.       
20110117180145.000|20110117180148.000|CC1|YOU MAKE US FEEL WARM.          
20110117180148.000|20110117180149.000|CC1|IT IS MARTIN LUTHER KING JR.    
20110117180149.000|20110117180150.000|CC1|DAY.                            
20110117180150.000|20110117180152.000|CC1|TO COMMEMORATE AND CELEBRATE THE
20110117180152.000|20110117180155.000|CC1|LIFE OF THIS GREAT MAN TODAY.   
20110117180155.000|20110117180159.000|CC1|AND WE'VE GOT A JAM-PACKED "DAY 
20110117180159.000|20110117180200.000|CC1|OF HOT TOPICS," LIVE.           
20110117180201.000|20110117180201.000|XDS|%   LENGTH: 0:02:00 of 1:00:00
20110117180200.000|20110117180202.000|CC1|THE GUESTS OF LIVE.             
20110117180202.000|20110117180203.000|CC1|THE REST OF US ARE, TOO.        
20110117180203.000|20110117180204.000|CC1|JOY IS BACK.                    
20110117180204.000|20110117180207.000|CC1|>> I'M ALSO LIVE, YES.          
20110117180207.000|20110117180208.000|CC1|[APPLAUSE]                      
20110117180208.000|20110117180209.000|CC1|>> WE DID MISS YOU, JOY.        
20110117180209.000|20110117180210.000|CC1|>> DID YOU?                     
20110117180210.000|20110117180212.000|CC1|>> WE DID.                      
20110117180212.000|20110117180213.000|CC1|SHOCKINGLY, YES.                
20110117180213.000|20110117180214.000|CC1|I LOVE YOU.                     
20110117180214.000|20110117180215.000|CC1|>> I CAN'T BELIEVE YOU TALKED   
20110117180215.000|20110117180216.000|CC1|ABOUT SARAH PALIN THE WHOLE WEEK
20110117180216.000|20110117180217.000|CC1|AND I WASN'T HERE?              
20110117180217.000|20110117180218.000|CC1|>> I KNOW.                      
20110117180218.000|20110117180219.000|CC1|>> HOW DID I MISS THAT?         
20110117180219.000|20110117180221.000|CC1|>> WE HAD YOUR VOICE RUNNING    
20110117180221.000|20110117180222.000|CC1|THROUGH OUR HEADS, THOUGH.      
20110117180222.000|20110117180223.000|CC1|>> I WOULDN'T HAVE BLAMED HER.  
20110117180223.000|20110117180225.000|CC1|I'M JUST SAYING, TO CATCH UP, I 
20110117180225.000|20110117180226.000|CC1|WOULDN'T BLAME HER FOR THAT.    
20110117180226.000|20110117180228.000|CC1|BECAUSE THEN YOU HAVE TO BLAME  
20110117180228.000|20110117180230.000|CC1|ME BECAUSE I ALSO HAVE A BIG    
20110117180230.000|20110117180231.000|CC1|MOUTH LIKE SHE DOES.            
20110117180231.000|20110117180233.000|CC1|>> AND WE DON'T BLAME YOU.      
