TOP|20110117190001|2011-01-17_1900_US_MSNBC_News_Live
COL|Communication Studies Archive, UCLA 
UID|58d971f2-2274-11e0-b89d-001517add6fa
DUR|0:59:48.81
VID|640x480
CMT|
LAN|ENG
LBT|2011-01-17 11:00 America/Los_Angeles
SEG_01|2014-06-18 18:52:11|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110117190002.000|20110117190135.000|SEG|Type=Story
20110117190002.000|20110117190004.000|CC1|HE HAS PUT THAT NEWS CONFERENCE 
20110117190004.000|20110117190006.000|CC1|OFF ONE MORE DAY, WHICH IS ONLY 
20110117190006.000|20110117190008.000|CC1|RAISING ANTICIPATION AS TO WHY  
20110117190008.000|20110117190010.000|CC1|HE HAS RETURNED TO THE COUNTRY  
20110117190010.000|20110117190012.000|CC1|AFTER BEING FORCED OUT ALMOST 25
20110117190012.000|20110117190013.000|CC1|YEARS AGO.                      
20110117190013.000|20110117190015.000|CC1|INTERESTINGLY, DESPITE THE HUMAN
20110117190015.000|20110117190018.000|CC1|RIGHTS ABUSES, DESPITE THE IRON 
20110117190018.000|20110117190020.000|CC1|GRIP, DESPITE ALL OF THE        
20110117190020.000|20110117190023.000|CC1|ATROCITIES TIED TO BABY DOC, HIS
20110117190023.000|20110117190025.000|CC1|ANNOUNCED RETURN HERE HAD BUOYED
20110117190025.000|20110117190027.000|CC1|SOME ENTHUSIASM AMONG THE MORE  
20110117190027.000|20110117190029.000|CC1|THAN 1 MILLION PEOPLE LIVING IN 
20110117190029.000|20110117190031.000|CC1|TENT CITIES HERE WHO SAY THAT   
20110117190031.000|20110117190034.000|CC1|THEY EITHER REMEMBER OR HAVE    
20110117190034.000|20110117190035.000|CC1|MEMORIES OF THEIR PARENTS, THIS 
20110117190035.000|20110117190038.000|CC1|IS QUITE SOME TIME AGO, OF A    
20110117190038.000|20110117190041.000|CC1|BETTER COUNTRY, A COUNTRY WHERE 
20110117190041.000|20110117190042.000|CC1|THINGS SEEMED TO WORK BETTER.   
20110117190042.000|20110117190046.000|CC1|AND AFTER GOING THROUGH MULTIPLE
20110117190046.000|20110117190047.000|CC1|LEADERS AND NOW EARTHQUAKE,     
20110117190047.000|20110117190049.000|CC1|THEY'RE LOOKING, SOMEWHAT,      
20110117190049.000|20110117190051.000|CC1|OPTIMISTICALLY AND BACK WITH    
20110117190051.000|20110117190054.000|CC1|ROSY GLASSES AT SOMEBODY WHO    
20110117190054.000|20110117190055.000|CC1|THEY BELIEVE WHO COULD LEAD THEM
20110117190055.000|20110117190057.000|CC1|OUT OF THE CONSTRUCTION FAILURES
20110117190057.000|20110117190058.000|CC1|THAT HAVE HAPPENED HERE, THE    
20110117190058.000|20110117190102.000|CC1|LACK OF WORK, ALL OF THE THINGS.
20110117190102.000|20110117190106.000|CC1|SO THERE IS SOME HOPE THAT BAKY 
20110117190106.000|20110117190108.000|CC1|DOC DUVALIER CAN DO SOMETHING   
20110117190108.000|20110117190108.000|CC1|FOR THEM.                       
20110117190108.000|20110117190111.000|CC1|THIS, OF COURSE, GOING ON AT THE
20110117190111.000|20110117190112.000|CC1|SAME TIME AS HUMAN RIGHTS GROUPS
20110117190112.000|20110117190114.000|CC1|ARE CALLING FOR HIS ARREST.     
20110117190114.000|20110117190115.000|CC1|ACCORDING TO THE PRIME MINISTER,
20110117190115.000|20110117190119.000|CC1|THE ONLY ONE WHO HAS COMMENTED  
20110117190119.000|20110117190120.000|CC1|OFFICIALLY HERE, DUVALIER, LIKE 
20110117190120.000|20110117190123.000|CC1|ALL HAITIANS, HAS THE RIGHT TO  
20110117190123.000|20110117190125.000|CC1|RETURN TO HIS COUNTRY, NO       
20110117190125.000|20110117190126.000|CC1|DISCUSSIONS ABOUT HIM BEING     
