TOP|20110117233001|2011-01-17_2330_US_KCAL_Inside_Edition
COL|Communication Studies Archive, UCLA 
UID|e0b29786-2295-11e0-aa48-001517add6fa
DUR|0:29:43.91
VID|640x368
CMT|
LAN|ENG
LBT|2011-01-17 15:30 America/Los_Angeles
SEG_01|2014-06-18 18:52:20|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110117233004.000|20110117233040.000|SEG|Type=Story
20110117233004.000|20110117233006.000|CC1|>> WINNER AFTER WINNER COME TO  
20110117233006.000|20110117233008.000|CC1|THE "INSIDE EDITION" ONE-ON-ONE 
20110117233008.000|20110117233009.000|CC1|ROOM.                           
20110117233009.000|20110117233012.000|CC1|>> DON'T BREAK IT, YOU JUST GOT 
20110117233012.000|20110117233012.000|CC1|IT.                             
20110117233012.000|20110117233013.000|CC1|>> AND DRAMA BACK STAGE.        
20110117233013.000|20110117233014.000|CC1|>> MANY OF YOU IN THIS ROOM     
20110117233014.000|20110117233015.000|CC1|PROBABLY KNOW HIM BEST FROM     
20110117233015.000|20110117233017.000|CC1|SUCH FACILITIES AS THE BETTY    
20110117233017.000|20110117233020.000|CC1|FORD CLINIC AND LOS ANGELES     
20110117233020.000|20110117233020.000|CC1|COUNTY JAIL.                    
20110117233020.000|20110117233023.000|CC1|PLEASE WELCOME ROBERT DOWNEY    
20110117233023.000|20110117233023.000|CC1|JR.                             
20110117233023.000|20110117233025.000|CC1|>> WAS HOST RICKY GERVAIS       
20110117233025.000|20110117233026.000|CC1|REALLY FIRED IN THE MIDDLE OF   
20110117233026.000|20110117233028.000|CC1|THE SHOW FOR BEG TOO MEAN?      
20110117233028.000|20110117233029.000|CC1|>> SCARLET WHO ARE YOU WEARING? 
20110117233029.000|20110117233032.000|CC1|>> THEN THE BEST AND WORST      
20110117233032.000|20110117233032.000|CC1|DRESSED.                        
20110117233032.000|20110117233035.000|CC1|AND THE STAR WHO STUMBLED HER   
20110117233035.000|20110117233037.000|CC1|WAY OUT OF A GOLDEN GLOBES      
20110117233037.000|20110117233038.000|CC1|PARTY.                          
20110117233038.000|20110117233039.000|CC1|>> Deborah: WE'RE INSIDE THE    
20110117233039.000|20110117233040.000|CC1|GOLDEN GLOBES.                  
20110117233040.000|20110117233118.000|SEG|Type=Story
20110117233040.000|20110117233042.000|CC1|>>> THEN, FIRST INTERVIEW.      
20110117233042.000|20110117233043.000|CC1|THE ASTRONAUT HUSBAND OF        
20110117233043.000|20110117233045.000|CC1|CONGRESSWOMAN GABBY GIFFORDS    
20110117233045.000|20110117233046.000|CC1|BREAKS HIS SILENCE.             
20110117233046.000|20110117233048.000|CC1|>> DOES SHE RECOGNIZE YOU?      
20110117233048.000|20110117233050.000|CC1|>> AND WHAT WE'VE LEARNED ABOUT 
20110117233050.000|20110117233052.000|CC1|THE GUNMAN'S CREEPY CAMPUS      
20110117233052.000|20110117233053.000|CC1|VIDEO.                          
20110117233053.000|20110117233055.000|CC1|>> THIS IS MY GENOCIDE SCHOOL.  
20110117233055.000|20110117233056.000|CC1|>> PLUS --                      
20110117233056.000|20110117233058.000|CC1|>> IT'S BROTHER VERSUS BROTHER  
20110117233058.000|20110117233101.000|CC1|AS RONALD REAGAN'S TWO SONS GO  
20110117233101.000|20110117233102.000|CC1|AT EACH OTHER.                  
20110117233102.000|20110117233103.000|CC1|>> MISS NEBRASKA!               
20110117233103.000|20110117233106.000|CC1|>> THE YOUNGEST MISS AMERICA IN 
20110117233106.000|20110117233107.000|CC1|90 YEARS.                       
20110117233107.000|20110117233108.000|CC1|SHE'S JUST 17.                  
20110117233108.000|20110117233110.000|CC1|AND THE RUNNER DID YOU KNOW     
20110117233110.000|20110117233118.000|CC1|EVERYONE'S TALKING ABOUT.       
20110117233118.000|20110117234205.000|SEG|Type=Story
20110117233118.000|20110117233121.000|CC1|>>> NOW, "INSIDE EDITION" WITH  
20110117233121.000|20110117233123.000|CC1|DEBORAH NORVILLE.               
20110117233123.000|20110117233125.000|CC1|>> Deborah: HELLO, EVERYBODY,   
20110117233125.000|20110117233126.000|CC1|AND THANK YOU FOR JOINING US AS 
20110117233126.000|20110117233127.000|CC1|WE COME TO YOU FROM THE RED     
20110117233127.000|20110117233129.000|CC1|CARPET AT THAT TIME BEVERLY     
20110117233129.000|20110117233131.000|CC1|HILTON HOLT FOR ONE OF          
20110117233131.000|20110117233132.000|CC1|HOLLYWOOD'S MOST EXCITING       
20110117233132.000|20110117233140.000|CC1|EVENTS, THE GOLDEN GLOBE        
20110117233140.000|20110117233140.000|CC1|AWARDS.                         
20110117233140.000|20110117233144.000|CC1|SANDRA, NATALIE, EVA, AND ANNE, 
20110117233144.000|20110117233146.000|CC1|AND, OF COURSE, BRANGELINA.     
20110117233146.000|20110117233150.000|CC1|>> TONIGHT'S THE NIGHT TO HAVE  
20110117233150.000|20110117233150.000|CC1|FUN.                            
20110117233150.000|20110117233150.000|CC1|>> DEFINITELY.                  
20110117233150.000|20110117233152.000|CC1|TONIGHT I'M JUST GONNA HAVE A   
20110117233152.000|20110117233153.000|CC1|GOOD TIME.                      
20110117233153.000|20110117233156.000|CC1|>> IT'S A "WHO'S WHO" OF        
20110117233156.000|20110117233156.000|CC1|HOLLYWOOD.                      
20110117233156.000|20110117233159.000|CC1|>> IT WAS DATE NIGHT FOR        
20110117233159.000|20110117233201.000|CC1|HOLLYWOOD'S HOTTEST COUPLE.     
20110117233201.000|20110117233202.000|CC1|A HEALTHY LOOKING MICHAEL       
20110117233202.000|20110117233203.000|CC1|DOUGLAS MADE A TRIUMPHANT       
20110117233203.000|20110117233205.000|CC1|RETURN TO THE SPOTLIGHT WITH    
20110117233205.000|20110117233206.000|CC1|HIS STUNNING WIFE CATHERINE     
20110117233206.000|20110117233208.000|CC1|ZETA-JONES AT HIS SIDE, BOTH    
20110117233208.000|20110117233210.000|CC1|CELEBRATING THAT HE IS CANCER-  
20110117233210.000|20110117233211.000|CC1|FREE.                           
20110117233211.000|20110117233212.000|CC1|INSIDE THE BELOVED ACTOR GOT A  
20110117233212.000|20110117233214.000|CC1|ROUSING WELCOME FROM THE A-LIST 
20110117233214.000|20110117233215.000|CC1|AUDIENCE.                       
20110117233215.000|20110117233216.000|CC1|>> THERE'S GOT TO BE AN EASIER  
20110117233216.000|20110117233218.000|CC1|WAY TO GET A STANDING OVATION.  
20110117233218.000|20110117233220.000|CC1|[ LAUGHTER ]                    
20110117233220.000|20110117233221.000|CC1|>> NICOLE KIDMAN KEPT A TIGHT   
20110117233221.000|20110117233224.000|CC1|HOLD ON HUSBAND KEITH URBAN,    
20110117233224.000|20110117233226.000|CC1|TENDERLY CLASPING HIS HAND      
20110117233226.000|20110117233227.000|CC1|WHILE DOING INTERVIEWS.         
20110117233227.000|20110117233229.000|CC1|AND ANGELINA JOLIE GORGEOUS AS  
20110117233229.000|20110117233231.000|CC1|EVER IN GREEN BEAMED WALK ARM   
20110117233231.000|20110117233233.000|CC1|IN ARM WITH BRAD PITT.          
