TOP|20110118030001|2011-01-18_0300_US_FOX-News_On_the_Record_Greta_Van_Susteren
COL|Communication Studies Archive, UCLA 
UID|676e81d8-22b7-11e0-8656-001517add6f2
DUR|0:59:44.48
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-17 19:00 America/Los_Angeles
SEG_01|2014-06-18 18:52:43|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110118030004.000|20110118030004.000|XDS|%   RATING: (NOT RATED) (72)
20110118030004.000|20110118030004.000|XDS|%     CALL: FNC 
20110118030003.000|20110118035945.000|SEG|Type=Story
20110118030003.000|20110118030004.000|CC1|MEMBERS HIS FAMILY TOOK PART I  
20110118030004.000|20110118030008.000|CC1|A WREATH LAYING AT H GRAVE      
20110118030008.000|20110118030010.000|CC1|SITE IN ATLANTA, GEORGIA.       
20110118030011.000|20110118030011.000|XDS|%  NETWORK: Fox News Channel
20110118030010.000|20110118030011.000|CC1|PEOPLE HORED HIMODAY AND WE     
20110118030011.000|20110118030014.000|CC1|WAED TOMARK IT, AS WEL          
20110118030014.000|20110118030017.000|CC1|THANK YOU FOR BEING WITH US.    
20110118030017.000|20110118030018.000|CC1|>> TONIGHT GOV. SAR PALIN       
20110118030018.000|20110118030020.000|CC1|ANSWERS HERRITICS.              
20110118030020.000|20110118030023.000|CC1|SHE'S BE SLAMD B H              
20110118030023.000|20110118030024.000|CC1|CRITICS SINCE THE ARIZONA       
20110118030024.000|20110118030026.000|CC1|MASSACRE, ESPECIALLY FOR THE    
20110118030026.000|20110118030028.000|CC1|GRAPHIC ON HER WEBSIT THAT PUT  
20110118030028.000|20110118030029.000|CC1|CROSSHAIRS OVERONGRESSIONAL     
20110118030029.000|20110118030030.000|CC1|DISTCTS.                        
20110118030030.000|20110118030031.000|CC1|>> THAT CAMEP RIGHT AWAY THAT,  
20110118030031.000|20110118030033.000|CC1|OH, IT MUST BE ACAUSE OF THIS   
20110118030033.000|20110118030035.000|CC1|HORRENUS EVIL ACT OF THIS       
20110118030035.000|20110118030037.000|CC1|OOTER THAT PERHAPS HE SAW THAT  
20110118030037.000|20110118030039.000|CC1|MAPND THAT INSIGHTED HIM        
20110118030039.000|20110118030040.000|CC1|TOWARD VIOLENCE WHH, OF         
20110118030040.000|20110118030043.000|CC1|COURSE, IS RIDICULOUS.          
20110118030043.000|20110118030044.000|CC1|AGAIN, IT'S NOT AN ORIGINAL USE 
20110118030044.000|20110118030047.000|CC1|OF AN ICON OR  GRAPHIC.         
20110118030047.000|20110118030047.000|XDS|%    TITLE: News, Fair and Balanced
20110118030047.000|20110118030050.000|CC1|>> SO WHY WAS THE TARGET MAP    
20110118030050.000|20110118030053.000|CC1|REMOVED FROMOV. PALIN'S         
20110118030053.000|20110118030053.000|CC1|WEBSIT                          
20110118030053.000|20110118030054.000|CC1|SHE WILL TELL YOU.              
20110118030054.000|20110118030058.000|CC1|AND YOU WILL SEE MUCH MORE OF   
20110118030058.000|20110118030100.000|CC1|SEAN HANNITY INTERVIEW WIT      
