TOP|20110118200002|2011-01-18_2000_US_FOX-News_Studio_B_With_Shepard_Smith
COL|Communication Studies Archive, UCLA 
UID|e249e0d0-2345-11e0-89ff-001517add60e
DUR|0:59:49.38
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-18 12:00 America/Los_Angeles
SEG_01|2014-06-18 18:53:45|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110118200004.000|20110118200004.000|XDS|%     CALL: FNC 
20110118200005.000|20110118200005.000|XDS|%   RATING: (NOT RATED) (72)
20110118200011.000|20110118205951.000|SEG|Type=Story
20110118200011.000|20110118200012.000|CC1|>>Megyn: "STUDIO B" WITH        
20110118200012.000|20110118200015.000|CC1|SHEPHARD SMITH START NOW.       
20110118200018.000|20110118200018.000|XDS|%    TITLE: News, Fair and Balanced
20110118200015.000|20110118200018.000|CC1|>>Shepd: A FOX NEW URGENT, A    
20110118200018.000|20110118200019.000|CC1|GUNMAN ST AT LEASTHREE          
20110118200019.000|20110118200021.000|CC1|STUDENTS AT AHIGH SCHOOL IN     
20110118200021.000|20110118200021.000|CC1|CALIFORNIA.                     
20110118200021.000|20110118200023.000|CC1|JUST SOUTH OF LOS ANGELES.      
20110118200023.000|20110118200025.000|CC1|RIGHT W THE SCHOOLS ON          
20110118200025.000|20110118200025.000|CC1|LOCKDOWN.                       
20110118200025.000|20110118200027.000|CC1|AS IS THE ELEMTARY SCHOOL       
20110118200027.000|20110118200028.000|CC1|ROSS THE STRE.                  
20110118200028.000|20110118200031.000|CC1|WE ARE TOLD PICE MAY HAVE A     
20110118200031.000|20110118200033.000|CC1|SUECT IN CUSTODY.               
20110118200033.000|20110118200034.000|CC1|EARLIER CREWS TOOK PPLE OUT     
20110118200034.000|20110118200037.000|CC1|FROM THECHOOL IF STRETCHER      
20110118200037.000|20110118200039.000|CC1|AND TRACE H THE LATEST.         
20110118200039.000|20110118200041.000|CC1|POLICE HAVE ONE PSON IN         
20110118200041.000|20110118200041.000|CC1|CUSTOD                          
20110118200042.000|20110118200042.000|XDS|%  NETWORK: Fox News Channel
20110118200041.000|20110118200043.000|CC1|IS THAT RIGHT                   
20110118200043.000|20110118200044.000|CC1|>>Trace: THAT IS RIGH           
20110118200044.000|20110118200046.000|CC1|THEY ARRESTED HIM FOUR MINUTES  
20110118200046.000|20110118200049.000|CC1|AGO BY OUR CLO AND TIS IS THE   
