TOP|20110118220001|2011-01-18_2200_US_MSNBC_Hardball_with_Chris_Matthews
COL|Communication Studies Archive, UCLA 
UID|a95a760c-2356-11e0-b8f9-001517add6fa
DUR|0:59:49.11
VID|640x480
CMT|
LAN|ENG
LBT|2011-01-18 14:00 America/Los_Angeles
SEG_01|2014-06-18 18:53:47|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110118220003.000|20110118220016.000|SEG|Type=Story
20110118220003.000|20110118220005.000|CC1|COULD HAVE A REAL LIVE FEED.    
20110118220005.000|20110118220008.000|CC1|>> SCOTT THANK YOU FOR DOING    
20110118220008.000|20110118220010.000|CC1|THIS AND BRINGING TO IT OUR     
20110118220010.000|20110118220011.000|CC1|ATTENTION.                      
20110118220011.000|20110118220011.000|CC1|CHECK IT OUT.                   
20110118220011.000|20110118220013.000|CC1|THAT'S IT FOR US.               
20110118220013.000|20110118220013.000|CC1|I'M DYLAN RATIGAN.              
20110118220013.000|20110118220016.000|CC1|HARDBALL IS UP RIGHT NOW.       
20110118220016.000|20110118220030.000|SEG|Type=Story
20110118220016.000|20110118220017.000|CC1|>>> STICKING TO HER GUNS.       
20110118220017.000|20110118220030.000|CC1|LET'S PLAY HARDBALL.            
20110118220030.000|20110118221339.000|SEG|Type=Story
20110118220030.000|20110118220032.000|CC1|>>> GOOD EVENING I'M CHRIS      
20110118220032.000|20110118220033.000|CC1|MATTHEWS IN WASHINGTON LEADING  
20110118220033.000|20110118220035.000|CC1|OFF TONIGHT BLOODLESS.          
20110118220035.000|20110118220038.000|CC1|IN HER FIRST INTERVIEW SINCE    
20110118220038.000|20110118220040.000|CC1|THAT FACEBOOK VIDEO SARAH PALIN 
20110118220040.000|20110118220042.000|CC1|WENT TO THE CONFINES OF FOX NEWS
20110118220042.000|20110118220044.000|CC1|AND OFFERED NOTHING.            
20110118220044.000|20110118220046.000|CC1|NO APOLOGY FOR INFLAMMATORY     
20110118220046.000|20110118220049.000|CC1|RHETORIC AND NO REGRETS FOR THE 
20110118220049.000|20110118220053.000|CC1|USE OF THE TERM BLOOD LIBEL.    
20110118220053.000|20110118220055.000|CC1|SHE SAID THEY CAN'T MAKE US SIT 
20110118220055.000|20110118220056.000|CC1|DOWN AND SHUT UP.               
20110118220056.000|20110118220101.000|CC1|THEY BEING THAT OFF STAGE POSSE 
20110118220101.000|20110118220104.000|CC1|SHE TOUTS AROUND.               
20110118220104.000|20110118220105.000|CC1|LONG BEFORE TUCSON WE WARNED    
20110118220105.000|20110118220107.000|CC1|ABOUT THE LOOSE TALK ABOUT GUNS 
20110118220107.000|20110118220110.000|CC1|AND HATRED DIRECTED TOWARDS     
20110118220110.000|20110118220111.000|CC1|OFFICIALS.                      
20110118220111.000|20110118220114.000|CC1|WE LIKE GABRIELLE GIFFORDS WERE 
20110118220114.000|20110118220116.000|CC1|BEING PREEMPTIVE.               
20110118220116.000|20110118220118.000|CC1|WE'LL REMIND ALL IF JARED       
20110118220118.000|20110118220119.000|CC1|LOUGHNER DIDN'T CONNECT THE DOTS
20110118220119.000|20110118220123.000|CC1|BETWEEN HATEFUL RHETORIC AND A  
20110118220123.000|20110118220125.000|CC1|POLITICIAN WHO IS SO SURE       
20110118220125.000|20110118220126.000|CC1|SOMEONE ELSE WON'T.             
20110118220126.000|20110118220129.000|CC1|PLUS SECOND CHANCES AFTER       
20110118220129.000|20110118220130.000|CC1|ATTACKING DEMOCRATS ON HEALTH   
20110118220130.000|20110118220131.000|CC1|CARE GUESS WHAT REPUBLICANS ARE 
20110118220131.000|20110118220134.000|CC1|FIXATED ON HEALTH CARE AND NOT  
20110118220134.000|20110118220135.000|CC1|JOBS.                           
20110118220135.000|20110118220136.000|CC1|THEY ARE DEVOTING CONTROL OF THE
20110118220136.000|20110118220138.000|CC1|HOUSE WITH A SYMBOLIC VOTE TO   
20110118220138.000|20110118220139.000|CC1|REPEAL HEALTH CARE THAT HAS NO  
20110118220139.000|20110118220141.000|CC1|CHANCE OF BECOMING LAW.         
