TOP|20110119000001|2011-01-19_0000_US_KABC_Eyewitness_News_4PM
COL|Communication Studies Archive, UCLA 
UID|6d793f5e-2367-11e0-87dd-001517add6fa
DUR|0:59:45.08
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-18 16:00 America/Los_Angeles
SEG_01|2014-02-03 01:07:26|Source_Program=commercial_detection.py|Source_Person=Weixin Li
20110119000005.000|20110119005946.000|SEG|Type=Story
20110119000005.000|20110119000005.000|CC1|GARDENA.                        
20110119000005.000|20110119000007.000|CC1|IT'S MUCH CALMER THAN IT WAS    
20110119000007.000|20110119000008.000|CC1|A FEW HOURS AGO.                
20110119000008.000|20110119000009.000|CC1|WE HAVE LIVE TEAM COVERAGE.     
20110119000009.000|20110119000010.000|CC1|LEO STALLWORTH HAS THE          
20110119000010.000|20110119000011.000|CC1|LATEST ON THE INVESTIGATION.    
20110119000011.000|20110119000013.000|CC1|MIRIAM HERNANDEZ HAS NEW        
20110119000013.000|20110119000014.000|CC1|INFORMATION ON THE TEENS WHO    
20110119000014.000|20110119000014.000|CC1|WERE SHOT.                      
20110119000014.000|20110119000016.000|CC1|AND ROB HAYES HAS MORE          
20110119000016.000|20110119000018.000|CC1|REACTION FROM STUDENTS AND      
20110119000018.000|20110119000019.000|CC1|THEIR FRANTIC PARENTS.          
20110119000019.000|20110119000021.000|CC1|WE BEGIN WITH LEO.              
20110119000021.000|20110119000024.000|CC1|>> POLICE SAY SO FAR INTO       
20110119000024.000|20110119000025.000|CC1|THEIR INVESTIGATION, INTO       
20110119000025.000|20110119000027.000|CC1|THE SHOOTING HERE AT GARDENA    
20110119000027.000|20110119000029.000|CC1|HIGH SCHOOL, EVERYTHING IS      
20110119000029.000|20110119000031.000|CC1|POINTING TOWARDS AN             
20110119000031.000|20110119000031.000|CC1|ACCIDENT.                       
20110119000031.000|20110119000036.000|CC1|>> LAUSD POLICE SAY AROUND      
20110119000036.000|20110119000038.000|CC1|10:30 THIS MORNING, CHAOS       
20110119000038.000|20110119000041.000|CC1|ERUPTED WHEN A GUN SOMEHOW      
20110119000041.000|20110119000043.000|CC1|FIRED FROM A BACKPACK IN        
20110119000043.000|20110119000046.000|CC1|GARDENA HIGH SCHOOL.            
20110119000046.000|20110119000049.000|CC1|A SINGLE BULLET STRUCK A        
20110119000049.000|20110119000051.000|CC1|MALE STUDENT IN THE NECK AND    
20110119000051.000|20110119000052.000|CC1|A FEMALE STUDENT IN THE         
20110119000052.000|20110119000053.000|CC1|HEAD.                           
20110119000053.000|20110119000054.000|CC1|>> BOTH STUDENTS ARE BEING      
20110119000054.000|20110119000054.000|CC1|TREATED.                        
20110119000054.000|20110119000056.000|CC1|ONE IS IN SERIOUS BUT STABLE    
20110119000056.000|20110119000058.000|CC1|CONDITION WITH A GRAZE WOUND    
20110119000058.000|20110119000059.000|CC1|TO THE NECK.                    
20110119000059.000|20110119000101.000|CC1|ANOTHER STUDENT IS STILL IN     
20110119000101.000|20110119000103.000|CC1|SURGERY IN CRITICAL             
20110119000103.000|20110119000105.000|CC1|CONDITION WITH A GUNSHOT        
20110119000105.000|20110119000107.000|CC1|WOUND TO THE TEMPLE AREA.       
20110119000107.000|20110119000109.000|CC1|>> DETECTIVES SAY THE OWNER     
20110119000109.000|20110119000110.000|CC1|OF THE BACKPACK FLED INTO       
20110119000110.000|20110119000112.000|CC1|ANOTHER CLASSROOM SOON AFTER    
20110119000112.000|20110119000113.000|CC1|THE SHOOTING.                   
20110119000113.000|20110119000114.000|CC1|THEY TRACKED THE STUDENT IN     
20110119000114.000|20110119000115.000|CC1|THE CLASSROOM AND ARRESTED      
20110119000115.000|20110119000116.000|CC1|HIM WITHOUT INCIDENT.           
20110119000116.000|20110119000118.000|CC1|>> WE DO HAVE A WEAPON IN       
20110119000118.000|20110119000120.000|CC1|CUSTODY AND THE PERSON IN       
20110119000120.000|20110119000121.000|CC1|CUSTODY WHO ALLEGEDLY           
20110119000121.000|20110119000123.000|CC1|POSSESSED THAT WEAPON.          
20110119000123.000|20110119000125.000|CC1|IT APPEARS THAT IT IS A         
20110119000125.000|20110119000126.000|CC1|POSSIBLE ACCIDENT.              
20110119000126.000|20110119000128.000|CC1|>> AGAIN, UNTIL OUR             
20110119000128.000|20110119000130.000|CC1|INVESTIGATION CONTINUES,        
20110119000130.000|20110119000131.000|CC1|UNTIL WE GET WITNESS            
20110119000131.000|20110119000133.000|CC1|STATEMENTS, UNTIL WE'RE ABLE    
20110119000133.000|20110119000134.000|CC1|TO ANALYZE THE WEAPON AND       
20110119000134.000|20110119000136.000|CC1|OTHER EVIDENCE, WE CANNOT       
20110119000136.000|20110119000139.000|CC1|SAY FOR SURE THIS IS            
20110119000139.000|20110119000140.000|CC1|ACCIDENTAL.                     
20110119000140.000|20110119000141.000|CC1|>> TO ME, HE SHOULD HAVE        
20110119000141.000|20110119000142.000|CC1|NEVER BROUGHT IT.               
20110119000142.000|20110119000146.000|CC1|HE CAME TO SCHOOL TO LEARN,     
20110119000146.000|20110119000149.000|CC1|NOT TO FACE GUNS AT SCHOOL.     
20110119000149.000|20110119000151.000|CC1|>> I FEEL SORRY FOR BOTH OF     
20110119000151.000|20110119000152.000|CC1|THEM.                           
20110119000152.000|20110119000153.000|CC1|THEY'RE BOTH YOUNG.             
20110119000153.000|20110119000155.000|CC1|EVEN THOUGH IT'S AN             
20110119000155.000|20110119000156.000|CC1|ACCIDENT, HIS LIFE IS STILL     
20110119000156.000|20110119000157.000|CC1|MESSED UP.                      
20110119000157.000|20110119000158.000|CC1|THE PEOPLE IN THE CLASSROOM     
20110119000158.000|20110119000159.000|CC1|ARE ALSO GOING TO BE            
20110119000159.000|20110119000200.000|CC1|TRAUMATIZED FOR THAT.           
20110119000200.000|20110119000202.000|CC1|I GOT A FRIEND CAME UP TO ME    
20110119000202.000|20110119000204.000|CC1|CRYING LIKE SHE ALMOST GOT      
20110119000204.000|20110119000204.000|CC1|SHOT.                           
20110119000204.000|20110119000205.000|CC1|>> SCHOOL DISTRICT POLICE       
20110119000205.000|20110119000206.000|CC1|SAY THE DISTRICT HAS A          
20110119000206.000|20110119000208.000|CC1|POLICY IN PLACE TO CHECK        
20110119000208.000|20110119000209.000|CC1|STUDENTS' BACKPACKS WITH        
20110119000209.000|20110119000210.000|CC1|WEAPONS AND MORE BUT THE        
20110119000210.000|20110119000212.000|CC1|CHECKS ARE RANDOM.              
20110119000212.000|20110119000213.000|CC1|THEY DON'T BELIEVE THE          
20110119000213.000|20110119000214.000|CC1|SUSPECT'S BACKPACK WAS          
20110119000214.000|20110119000215.000|CC1|CHECKED THIS MORNING.           
20110119000215.000|20110119000217.000|CC1|>> THE STUDENTS ARE SHAKEN      
20110119000217.000|20110119000220.000|CC1|UP AS FAR AS WHAT THEY SAW.     
20110119000220.000|20110119000222.000|CC1|WE'RE OFFERING CRISIS           
20110119000222.000|20110119000224.000|CC1|COUNSELING AND THERE WILL BE    
20110119000224.000|20110119000225.000|CC1|CONTINUOUS COUNSELING           
20110119000225.000|20110119000225.000|CC1|AVAILABLE TO THEM ON THAT.      
20110119000225.000|20110119000227.000|CC1|>> WE ASKED POLICE HOW A        
20110119000227.000|20110119000230.000|CC1|LOADED GUN IN A BACKPACK        
20110119000230.000|20110119000231.000|CC1|COULD FIRE AFTER BEING          
20110119000231.000|20110119000232.000|CC1|PLACED OR PUT ON A DESK.        
20110119000232.000|20110119000234.000|CC1|THEY DIDN'T HAVE A CLEAR-CUT    
20110119000234.000|20110119000234.000|CC1|ANSWER FOR US.                  
20110119000234.000|20110119000235.000|CC1|THEY SAY THAT'S BEING           
