TOP|20110119010001|2011-01-19_0100_US_HLN_Nancy_Grace
COL|Communication Studies Archive, UCLA 
UID|cb73a218-236f-11e0-a1df-001517add720
DUR|0:59:43.84
VID|640x480
CMT|
LAN|ENG
LBT|2011-01-18 17:00 America/Los_Angeles
SEG_01|2014-06-18 18:54:05|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110119010004.000|20110119010016.000|SEG|Type=Story
20110119010004.000|20110119010005.000|CC1|CHECK OUT MY WEBPAGE.           
20110119010005.000|20110119010007.000|CC1|NANCY GRACE PRODUCERS ON THE    
20110119010007.000|20110119010008.000|CC1|GROUND IN TEXAS WITH BREAKING   
20110119010008.000|20110119010011.000|CC1|NEWS IN THE CASE OF MISSING TEEN
20110119010011.000|20110119010012.000|CC1|CHEERLEADER HALEY DUNN.         
20110119010012.000|20110119010016.000|CC1|"NANCY GRACE" STARTS NOW.       
20110119010016.000|20110119010213.000|SEG|Type=Story
20110119010016.000|20110119010018.000|CC1|>>> BREAKING NEWS TONIGHT.      
20110119010018.000|20110119010019.000|CC1|LIVE, TEXAS.                    
20110119010019.000|20110119010024.000|CC1|A 13-YEAR-OLD CHEERLEADER, BROAD
20110119010024.000|20110119010025.000|CC1|DAYLIGHT, LEAVES HOME BY FOOT TO
20110119010025.000|20110119010027.000|CC1|HEAD DOWN THE STREET TO A LITTLE
20110119010027.000|20110119010028.000|CC1|FRIEND'S HOUSE FOR A SLEEPOVER. 
20110119010028.000|20110119010031.000|CC1|SHE IS NEVER SEEN AGAIN.        
20110119010031.000|20110119010033.000|CC1|BLOODHOUNDS SCAN THE            
20110119010033.000|20110119010035.000|CC1|NEIGHBORHOOD IN A LOCAL MOTEL,  
20110119010035.000|20110119010037.000|CC1|POLICE COMBING THAT MOTEL'S     
20110119010037.000|20110119010039.000|CC1|SURVEILLANCE VIDEO.             
20110119010039.000|20110119010040.000|CC1|NO SIGN OF HALEY.               
20110119010040.000|20110119010043.000|CC1|COLORADO POLICE WHO DISMISSED   
20110119010043.000|20110119010048.000|CC1|HALEY AS JUST ANOTHER RUNAWAY   
20110119010048.000|20110119010049.000|CC1|UPGRADE HER CASE TO A MISSING   
20110119010049.000|20110119010051.000|CC1|PERSON.ILEY AS JUST ANOTHER RUN 
20110119010051.000|20110119010051.000|CC1|UPGRADE HER CASE TO A MISSING   
20110119010051.000|20110119010052.000|CC1|PERSON.                         
