TOP|20110119020001|2011-01-19_0200_US_FOX-News_Hannity
COL|Communication Studies Archive, UCLA 
UID|303f0838-2378-11e0-a918-001517add6f2
DUR|0:59:44.24
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-18 18:00 America/Los_Angeles
SEG_01|2014-06-18 18:54:11|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110119020003.000|20110119020003.000|XDS|%   RATING: (NOT RATED) (72)
20110119020002.000|20110119025945.000|SEG|Type=Story
20110119020002.000|20110119020005.000|CC1|AGAIN, TNKS FOR WATCHING, I     
20110119020005.000|20110119020005.000|XDS|%  NETWORK: Fox News Channel
20110119020005.000|20110119020006.000|CC1|AMILL OEILLY.                   
20110119020006.000|20110119020008.000|CC1|PLEASE REMEMBER THE SP STOPS    
20110119020008.000|20110119020010.000|CC1|RIGHT HERE, CAUSE WE ARE        
20110119020010.000|20110119020011.000|CC1|DEFITELY LOOKING OUT F          
20110119020011.000|20110119020022.000|CC1|YOU.                            
20110119020016.000|20110119020016.000|XDS|%     CALL: FNC 
20110119020022.000|20110119020024.000|CC1|>> SEAN:AST NIGHT               
20110119020024.000|20110119020025.000|CC1|GOVERNOR PALIN APPEARED ON      
20110119020025.000|20110119020027.000|CC1|THIS PROGRAM IN HERIRST         
20110119020027.000|20110119020029.000|CC1|TELEVION INTERVIEW SINCE THE    
20110119020029.000|20110119020030.000|CC1|TRAGEDYN TUCSON.                
20110119020030.000|20110119020033.000|CC1|LATER, I WILL BE JOINED BY      
20110119020033.000|20110119020034.000|CC1|NEWT GINGRICH  WILL WEIGH IN    
20110119020034.000|20110119020036.000|CC1|ONHE POLITIC ISSUES             
20110119020037.000|20110119020037.000|XDS|%    TITLE: News, Fair and Balanced
20110119020036.000|20110119020037.000|CC1|INVOLVING THIS SHOOTING AND     
20110119020037.000|20110119020038.000|CC1|COMMENTS ABOUT CONSERVATIVES.   
20110119020038.000|20110119020040.000|CC1|IN CASE YOU MISSED T            
20110119020040.000|20110119020042.000|CC1|INTEIEW LAST NIGHT HERE'S       
20110119020042.000|20110119020044.000|CC1|WHATGOVERNOR PALIN HAD TO       
20110119020044.000|20110119020045.000|CC1|SAY.                            
20110119020045.000|20110119020046.000|CC1|>> I WILL CONTINUE TO SPEAK     
20110119020046.000|20110119020046.000|CC1|OUT.                            
20110119020046.000|20110119020048.000|CC1|THEY ARE NOT GOING TO SHUT ME   
20110119020048.000|20110119020049.000|CC1|UP.                             
20110119020049.000|20110119020050.000|CC1|THEY ARE NOT GOINGO SHUT YOU    
20110119020050.000|20110119020053.000|CC1|UP OR RU OR MARK LEVIN OR       
20110119020053.000|20110119020054.000|CC1|TEA PARTY PATRIOTS OR THOSE     
20110119020054.000|20110119020059.000|CC1|WHO,AS I SAY RESPECTFULLY AND   
20110119020059.000|20110119020100.000|CC1|PETION THEIR GOVERNMENT F       
20110119020100.000|20110119020101.000|CC1|CHANGE.                         
20110119020101.000|20110119020103.000|CC1|TH CAN'T MAKEUS SIT DN          
20110119020103.000|20110119020104.000|CC1|AND SHUT UP.                    
20110119020104.000|20110119020106.000|CC1|IF THEYVER WERE TO SUCCEED      
20110119020106.000|20110119020108.000|CC1|IN DOING THAT, OU REPUBLIC      
20110119020108.000|20110119020110.000|CC1|WILLE DESTROYED.                
20110119020110.000|20110119020111.000|CC1|>> SEA NOT SURPRISINGLY         
20110119020111.000|20110119020113.000|CC1|TODAY ME IN THE OBAMAMIA        
20110119020113.000|20110119020115.000|CC1|DIA CONTINUE TOPUSH THE         
20110119020115.000|20110119020118.000|CC1|NOTION THEOVERNOR WAS           
20110119020118.000|20110119020119.000|CC1|SOMEHOW CONNECTED TO T          
20110119020119.000|20110119020122.000|CC1|TUCSON SHOOTER.                 
20110119020122.000|20110119020123.000|CC1| SARAH PALIN ISNSWERING         
20110119020123.000|20110119020125.000|CC1|THE FIRST QUTIONS ABOUT         
20110119020125.000|20110119020128.000|CC1|CONTROVERSY ER THINGS SHE       
20110119020128.000|20110119020129.000|CC1|SAID THAT HAS BEEN LINKED TO    
20110119020129.000|20110119020131.000|CC1|THE TUCSON TRAGEDY.             
20110119020131.000|20110119020133.000|CC1|>> ON FOXNEWS CHANNEL IN HER    
20110119020133.000|20110119020136.000|CC1|FIRST INTERVIEW SHE DEFENDED    
20110119020136.000|20110119020136.000|CC1|HERSELF.                        
20110119020136.000|20110119020138.000|CC1|>>HE APPEARED ON FOX NE         
20110119020138.000|20110119020139.000|CC1|CHANNEL TO DEFEND HER WORDS     
20110119020139.000|20110119020144.000|CC1|AND HER POLITICS.               
20110119020144.000|20110119020145.000|CC1|>> SEAN: LEFT WING              
20110119020145.000|20110119020146.000|CC1|COMMENTATORS AND LIBAL          
20110119020146.000|20110119020148.000|CC1|MPATHIZERS UED THE              
20110119020148.000|20110119020150.000|CC1|INTERVIEAS AN OORTUNITY TO      
20110119020150.000|20110119020151.000|CC1|DEMONIZE EACH WORD THAT CE      
20110119020151.000|20110119020153.000|CC1|OUT OF THE GOVERNOR'S MOUTH.    
20110119020153.000|20110119020158.000|CC1|>> SHE SHOULD STOP TALKING NOW. 
20110119020158.000|20110119020200.000|CC1|>> I WILL DISAGREEITH ONE       
