TOP|20110119060001|2011-01-19_0600_US_KABC_20-20
COL|Communication Studies Archive, UCLA 
UID|b43fe5a0-2399-11e0-8f31-001517add60e
DUR|0:59:48.91
VID|640x352
CMT|Congresswoman Giffords and Astronaut Mark Kelly
LAN|ENG
LBT|2011-01-18 22:00 America/Los_Angeles
SEG_01|2014-06-18 18:54:27|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110119060003.000|20110119060003.000|XDS|%  NETWORK: ABC
20110119060003.000|20110119060003.000|XDS|%   RATING: (NOT RATED) (72)
20110119060003.000|20110119060003.000|XDS|%    TITLE: V
20110119060003.000|20110119060003.000|XDS|%     CALL:   
20110119060003.000|20110119060003.000|XDS|% TIMECODE: 1/19 0:00
20110119060003.000|20110119060003.000|XDS|%   LENGTH: 1:19:00 of 0:00:00
20110119060003.000|20110119060003.000|XDS|%   LENGTH: 0:57:00 of 1:01:00
20110119060008.000|20110119060109.000|SEG|Type=Story
20110119060008.000|20110119060008.000|CC1|SO... WHAT DID YOU              
20110119060008.000|20110119060109.000|SEG_01|Type=Commercial
20110119060008.000|20110119060011.000|CC1| DISCOVER TODAY?                
20110119060011.000|20110119060015.000|CC1|          (baby coos)           
20110119060015.000|20110119060018.000|CC1|            (coos)              
20110119060018.000|20110119060022.000|CC1|      I FOUND THE FIFTH COLUMN. 
20110119060022.000|20110119060109.000|CC1|         I KNOW WHO TOOK MALIK. 
20110119060046.000|20110119060046.000|SEG_01|Type=Story start
20110119060046.000|20110119060046.000|XDS|%   LENGTH: 0:58:00 of 1:01:00
20110119060108.000|20110119060108.000|XDS|% TIMECODE: 1/19 1:01
20110119060108.000|20110119060108.000|XDS|%   LENGTH: 1:19:00 of 1:01:00
20110119060109.000|20110119061451.000|SEG|Type=Story
20110119060109.000|20110119060110.000|CC1|>>> TONIGHT, ON A SPECIAL       
20110119060111.000|20110119060111.000|XDS|%   RATING: (NOT RATED) (72)
20110119060111.000|20110119060111.000|XDS|%    TITLE: SPECIAL EDITION OF 20/20
20110119060112.000|20110119060112.000|XDS|%   LENGTH: 0:00:00 of 0:59:00
20110119060110.000|20110119060113.000|CC1|EDITION OF "20/20" --           
20110119060113.000|20110119060114.000|CC1|>> ASTONISHING MOMENTS OF HOPE  
20110119060114.000|20110119060116.000|CC1|IN THE LIFE AND DEATH WORLD OF A
20110119060116.000|20110119060117.000|CC1|WOMAN, SURVIVING A BULLET       
20110119060117.000|20110119060118.000|CC1|THROUGH HER BRAIN.              
20110119060118.000|20110119060120.000|CC1|FIGHTING TO COME BACK.          
20110119060120.000|20110119060121.000|CC1|>> SHE SPENT TEN MINUTES GIVING 
20110119060121.000|20110119060123.000|CC1|ME A NECK MASSAGE.              
20110119060123.000|20110119060125.000|CC1|>> SHE REACHED UP TO YOU?       
20110119060125.000|20110119060126.000|CC1|A PASSIONATE YOUNG CONGRESSWOMAN
20110119060126.000|20110119060127.000|CC1|WHO LOVED THE PEOPLE OF         
20110119060127.000|20110119060128.000|CC1|ARIZONA --                      
20110119060128.000|20110119060129.000|CC1|>> GABRIELLE GIFFORDS.          
20110119060129.000|20110119060131.000|CC1|HI.                             
20110119060131.000|20110119060132.000|CC1|HOW ARE YOU?                    
20110119060132.000|20110119060133.000|CC1|>> MOTORCYCLES IN THE DESERT,   
20110119060133.000|20110119060135.000|CC1|AND COWBOY BOOTS.               
20110119060135.000|20110119060136.000|CC1|AND WHO ALSO LOVED HER POWER    
20110119060136.000|20110119060137.000|CC1|HOUSE HUSBAND, AN ASTRONAUT.    
20110119060137.000|20110119060139.000|CC1|THE COMMANDER OF THE SPACE      
20110119060139.000|20110119060140.000|CC1|SHUTTLE.                        
20110119060140.000|20110119060143.000|CC1|AND NOW, ON A NEW MISSION.      
20110119060143.000|20110119060144.000|CC1|TO BRING HIS WIFE SAFELY HOME.  
20110119060144.000|20110119060146.000|CC1|WHAT ARE YOU MOST AFRAID OF?    
20110119060146.000|20110119060149.000|CC1|TONIGHT, WE TAKE YOU FROM THE   
20110119060149.000|20110119060151.000|CC1|ASTRONAUT'S TWIN BROTHER, ALSO  
20110119060151.000|20110119060153.000|CC1|AN ASTRONAUT, UP IN SPACE, TO   
20110119060153.000|20110119060154.000|CC1|THE VIGIL AT THE BEDSIDE IN THE 
20110119060154.000|20110119060156.000|CC1|HOSPITAL.                       
20110119060156.000|20110119060158.000|CC1|AND THE LATEST MEDICAL NEWS.    
20110119060158.000|20110119060159.000|CC1|AND THE QUESTION -- WHAT WOULD  
20110119060200.000|20110119060200.000|XDS|%   LENGTH: 0:01:00 of 0:59:00
20110119060159.000|20110119060200.000|CC1|COMMANDER KELLY SAY TO THE      
20110119060200.000|20110119060201.000|CC1|SHOOTER?                        
20110119060201.000|20110119060202.000|CC1|CAN YOU IMAGINE EVER SAYING     
20110119060202.000|20110119060204.000|CC1|ANYTHING TO HIM?                
20110119060204.000|20110119060206.000|CC1|AND, WHAT DO THE DOCTORS TELL   
20110119060206.000|20110119060208.000|CC1|HIM REALLY LIES AHEAD?          
20110119060208.000|20110119060210.000|CC1|>> GABRIELLE GIFFORDS IS TOO    
20110119060210.000|20110119060213.000|CC1|TOUGH TO LET THIS BEAT HER.     
20110119060213.000|20110119060213.000|CC1|>> THE CONGRESSWOMAN AND THE    
20110119060213.000|20110119060215.000|CC1|ASTRONAUT.                      
20110119060215.000|20110119060216.000|CC1|AN AMERICAN STORY OF LOVE AND   
20110119060216.000|20110119060219.000|CC1|STRENGTH.                       
20110119060219.000|20110119060221.000|CC1|HERE NOW, DIANE SAWYER.         
20110119060221.000|20110119060222.000|CC1|>> GOOD EVENING AND WELCOME     
20110119060222.000|20110119060223.000|CC1|TONIGHT.                        
20110119060223.000|20110119060225.000|CC1|IT IS THE STORY WE'VE WATCHED   
20110119060225.000|20110119060226.000|CC1|FOR THE LAST TEN DAYS, BUT      
20110119060226.000|20110119060228.000|CC1|TONIGHT, YOU WILL HEAR FROM THE 
20110119060228.000|20110119060229.000|CC1|MAN WHO HAS BEEN LIVING IT WITH 
20110119060229.000|20110119060232.000|CC1|HIS WIFE.                       
20110119060232.000|20110119060233.000|CC1|EVEN BEFORE THEY MET, MARK KELLY
20110119060233.000|20110119060235.000|CC1|AND GABRIELLE GIFFORDS WERE TWO 
20110119060235.000|20110119060236.000|CC1|INCREDIBLY INSPIRING LIFE       
20110119060236.000|20110119060238.000|CC1|STORIES.                        
