TOP|20110119070001|2011-01-19_0700_US_KMEX_Noticias_34
COL|Communication Studies Archive, UCLA 
UID|e773e85a-239d-11e0-82dd-001517add6f2
DUR|0:29:49.08
VID|640x480
CMT|
LAN|SPA
LBT|2011-01-18 23:00 America/Los_Angeles
SEG_01|2014-06-18 18:54:30|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110119070008.000|20110119072950.000|SEG|Type=Story
20110119070008.000|20110119070014.000|CC1|podrá rechazar los servicios-.  
20110119070014.000|20110119070020.000|CC1|>> Existen muchísimas personas  
20110119070020.000|20110119070026.000|CC1|con enfermedades con            
20110119070026.000|20110119070027.000|CC1|preexistencia.                  
20110119070027.000|20110119070035.000|CC1|>> En vivo desde Los Ángeles .  
20110119070035.000|20110119070036.000|CC1|>> Noticias 34 Univisión Los    
20110119070036.000|20110119070040.000|CC1|Ángeles solo a las 11.          
20110119070040.000|20110119070048.000|CC1|>> En hd .                      
20110119070048.000|20110119070053.000|CC1|>> Buenas noches gracias por    
20110119070053.000|20110119070054.000|CC1|acompañarnos.                   
20110119070054.000|20110119070100.000|CC1|>> Damos inicio.                
20110119070100.000|20110119070107.000|CC1|>> Hoy más que nunca el         
20110119070107.000|20110119070114.000|CC1|reciclaje será una buena        
20110119070114.000|20110119070118.000|CC1|alternativa para el ahorro?.    
20110119070118.000|20110119070129.000|CC1|>> Que le parece recibir        
20110119070129.000|20110119070133.000|CC1|gasolina por su basura?.        
20110119070133.000|20110119070141.000|CC1|->> Acá termina la basura de    
20110119070141.000|20110119070145.000|CC1|todos los días.                 
20110119070145.000|20110119070155.000|CC1|>> Esto significa desecho que le
20110119070155.000|20110119070158.000|CC1|puede sacar provecho.           
20110119070158.000|20110119070207.000|CC1|>> No hay razón para estar      
20110119070207.000|20110119070207.000|CC1|desempleado.                    
20110119070207.000|20110119070214.000|CC1|>> El esta desempleado pero me  
20110119070214.000|20110119070218.000|CC1|alcanza para mantener a la      
20110119070218.000|20110119070218.000|CC1|familia .                       
20110119070218.000|20110119070230.000|CC1|>> Al parecer muchos ya saben   
20110119070230.000|20110119070237.000|CC1|que esto puede reportar mucho   
20110119070237.000|20110119070245.000|CC1|dinero , algo más de 200 dólares
20110119070245.000|20110119070246.000|CC1|al día.                         
20110119070246.000|20110119070255.000|CC1|>> Por cada 5mil libras  de     
20110119070255.000|20110119070303.000|CC1|material le entregan vales por  
20110119070303.000|20110119070304.000|CC1|gasolinas.                      
20110119070304.000|20110119070313.000|CC1|>> Como andan los precio de los 
20110119070313.000|20110119070319.000|CC1|combustibles puede ser una buena
20110119070319.000|20110119070320.000|CC1|alternativa.                    
20110119070320.000|20110119070328.000|CC1|>> El naciones número           
20110119070328.000|20110119070328.000|CC1|(información aparece en         
20110119070328.000|20110119070329.000|CC1|pantalla) .                     
20110119070329.000|20110119070335.000|CC1|>> En vivo dede Los Ángeles .   
20110119070335.000|20110119070335.000|CC1|>> Volvemos desde el centro de  
20110119070335.000|20110119070336.000|CC1|la noticia a tomar contacto con 
20110119070336.000|20110119070337.000|CC1|ustedes. Adelante estudios. .   
20110119070337.000|20110119070339.000|CC1|>> Muchas gracias .             
20110119070339.000|20110119070348.000|CC1|>> Aún cuando el valor de las   
20110119070348.000|20110119070348.000|CC1|casas bajo.                     
20110119070348.000|20110119070356.000|CC1|>> Las ventas no Han podido     
20110119070356.000|20110119070402.000|CC1|repuntar en las ventas.         
20110119070402.000|20110119070408.000|CC1|>> Se espera que el mercado se  
20110119070408.000|20110119070410.000|CC1|anime.                          
20110119070410.000|20110119070416.000|CC1|>> Resultados de una auditoria  
20110119070416.000|20110119070426.000|CC1|le ponen el dedo a los derroches
20110119070426.000|20110119070433.000|CC1|que Han llevado muchos empleados
20110119070433.000|20110119070436.000|CC1|publicos                        
20110119070436.000|20110119070445.000|CC1|dos estudiantes están           
20110119070445.000|20110119070458.000|CC1|hospitalizados al dispararse una
20110119070458.000|20110119070505.000|CC1|pistola en una sala de clase.   
20110119070505.000|20110119070511.000|CC1|>> ??? ??? .                    
20110119070511.000|20110119070520.000|CC1|>> soy un maestro de la         
20110119070520.000|20110119070521.000|CC1|preparatoria.                   
20110119070521.000|20110119070528.000|CC1|>>  Le pregunta si sabe donde   
20110119070528.000|20110119070536.000|CC1|estaba la pistola.              
20110119070536.000|20110119070541.000|CC1|>> Dan detalles de las heridas. 
20110119070541.000|20110119070550.000|CC1|>> El drama empezó temprano en  
20110119070550.000|20110119070556.000|CC1|la mañana , al poner la pistola 
20110119070556.000|20110119070601.000|CC1|en el suelo se disparo y le dio 
20110119070601.000|20110119070613.000|CC1|a una compañera en la cabeza y a
20110119070613.000|20110119070616.000|CC1|otro alumno en el cuello.       
20110119070616.000|20110119070624.000|CC1|>> Ambos se encuentran graves.  
20110119070624.000|20110119070632.000|CC1|>> Se hablo de los detectores de
20110119070632.000|20110119070638.000|CC1|metales en la escuela pero que  
20110119070638.000|20110119070642.000|CC1|tambiñn se usan al azar.        
20110119070642.000|20110119070650.000|CC1|>> Los dos estudiantes se       
20110119070650.000|20110119070653.000|CC1|encuentran en condiciones       
20110119070653.000|20110119070653.000|CC1|graves.                         
20110119070653.000|20110119070659.000|CC1|>> La investigación continúa .  
20110119070659.000|20110119070703.000|CC1|>> en vivo volvemos desde el    
20110119070703.000|20110119070704.000|CC1|centro de la noticia a tomar    
20110119070704.000|20110119070704.000|CC1|contacto con ustedes. Adelante  
20110119070704.000|20110119070708.000|CC1|estudios. .                     
20110119070708.000|20110119070713.000|CC1|>> tenemos algunos problemas    
20110119070713.000|20110119070718.000|CC1|tecnicos                        
20110119070718.000|20110119070726.000|CC1|este incidente nos recuerda que 
20110119070726.000|20110119070730.000|CC1|los trastornos mentales pueden  
20110119070730.000|20110119070737.000|CC1|ser detenidos por 72 horas .    
20110119070737.000|20110119070738.000|CC1|>> ??? ??? .                    
20110119070738.000|20110119070752.000|CC1|>> El 15% de los estadounidense 
20110119070752.000|20110119070759.000|CC1|están a favor de mejorar el     
20110119070759.000|20110119070801.000|CC1|control de armas.               
20110119070801.000|20110119070810.000|CC1|>> Facebook podría convertirse  
20110119070810.000|20110119070819.000|CC1|en la próxima herramienta para  
20110119070819.000|20110119070824.000|CC1|consientizar a los conductores  
20110119070824.000|20110119070830.000|CC1|de manejar alcoholizados.       
20110119070830.000|20110119070841.000|CC1|>> En orange se vive un tenso   
20110119070841.000|20110119070849.000|CC1|ambiente de odiosidad entre     
20110119070849.000|20110119070855.000|CC1|afroamericano latinos catolicos 
20110119070855.000|20110119070855.000|CC1|y otros.                        
20110119070855.000|20110119070910.000|CC1|>> La policía Mñxico detuvo al  
20110119070910.000|20110119070912.000|CC1|amarillo líder de Los           
20110119070912.000|20110119070914.000|CC1|Zetas(organización criminal) .  
20110119070914.000|20110119070927.000|CC1|>> Era uno de los               
20110119070927.000|20110119070930.000|CC1|delincuentesmás peligrosos de   
20110119070930.000|20110119070933.000|CC1|Mñxico .                        
20110119070933.000|20110119070943.000|CC1|>> fue detenido el JJ el        
20110119070943.000|20110119070948.000|CC1|principal sospechoso de darle un
20110119070948.000|20110119071003.000|CC1|balazo a Salvador Caña.         
20110119071003.000|20110119071018.000|CC1|>> el JJ indico cuando Cabañas  
20110119071018.000|20110119071028.000|CC1|reacciono de forma agresiva al  
20110119071028.000|20110119071032.000|CC1|pedirle permiso para pasar al   
20110119071032.000|20110119071034.000|CC1|baño.                           
20110119071034.000|20110119071047.000|CC1|>> jJ se escondio para poder    
20110119071047.000|20110119071053.000|CC1|seguir realizando sus           
20110119071053.000|20110119071056.000|CC1|actividades delictivas.         
20110119071056.000|20110119071108.000|CC1|>> Además del JJ se detuvieron 6
20110119071108.000|20110119071117.000|CC1|sospechosos en donde se les     
20110119071117.000|20110119071122.000|CC1|vincula con las drogas y armas. 
20110119071122.000|20110119071128.000|CC1|>> Tambiñn hay reportes de que  
20110119071128.000|20110119071136.000|CC1|el JJ fue fichado por porte de  
20110119071136.000|20110119071139.000|CC1|droga.                          
20110119071139.000|20110119071147.000|CC1|>> detienen a padres de niño de 
20110119071147.000|20110119071157.000|CC1|2 años que le obligaron a fumar 
20110119071157.000|20110119071158.000|CC1|marihuana .                     
20110119071158.000|20110119071159.000|CC1|>> Nos vamos a comerciales pero,
20110119071159.000|20110119071159.000|CC1|enseguida regresamos con ustedes
20110119071159.000|20110119071209.000|CC1|con más del debate de la reforma
20110119071209.000|20110119071211.000|CC1|de salud.                       
20110119071211.000|20110119071217.000|CC1|>> en acción deportiva Panamá da
20110119071217.000|20110119071221.000|CC1|la sorpresa en la copa .        
20110119071221.000|20110119071357.000|CC1|>> á                            
20110119071357.000|20110119071359.000|CC1|??? ??? .                       
20110119071359.000|20110119071406.000|CC1|>> En el congreso de Estados    
20110119071406.000|20110119071416.000|CC1|Unidos se debate el futuro de la
20110119071416.000|20110119071418.000|CC1|reforma de salud.               
20110119071418.000|20110119071424.000|CC1|>> Esto esta Hoy día en el      
20110119071424.000|20110119071424.000|CC1|limbo.                          
20110119071424.000|20110119071432.000|CC1|>> Esto se convirtió en ley por 
20110119071432.000|20110119071436.000|CC1|parte de Presidente Barack Obama
20110119071436.000|20110119071441.000|CC1|el año pasado                   
20110119071441.000|20110119071451.000|CC1|estos son solo algunos de los   
20110119071451.000|20110119071456.000|CC1|pocos detalles de la reforma de 
20110119071456.000|20110119071457.000|CC1|salud.                          
20110119071457.000|20110119071509.000|CC1|>> partido Republicano (R) se   
20110119071509.000|20110119071515.000|CC1|opone firmemente a esta reforma 
20110119071515.000|20110119071516.000|CC1|de salud.                       
20110119071516.000|20110119071526.000|CC1|>> Este representante muestra   
20110119071526.000|20110119071536.000|CC1|las muchas firmas que consiguió 
20110119071536.000|20110119071546.000|CC1|para que se heche esta reforma. 
20110119071546.000|20110119071554.000|CC1|>> Los latinos somos los más    
20110119071554.000|20110119071559.000|CC1|beenficiados por esta reforma.  
20110119071559.000|20110119071607.000|CC1|>> En California se verán muchos
20110119071607.000|20110119071608.000|CC1|beneficiados.                   
20110119071608.000|20110119071610.000|CC1|>> Jerry Brown (Gobernador de   
20110119071610.000|20110119071617.000|CC1|California) esta de acuerdo con 
20110119071617.000|20110119071621.000|CC1|esta reforma .                  
20110119071621.000|20110119071626.000|CC1|>> Existen en Estados Unidos    
20110119071626.000|20110119071635.000|CC1|alrededor de 120 millones de    
20110119071635.000|20110119071642.000|CC1|personas con preexistencia .    
20110119071642.000|20110119071649.000|CC1|>> Los padres de un bebe de dos 
20110119071649.000|20110119071657.000|CC1|años fueron detenidos por       
20110119071657.000|20110119071704.000|CC1|obliigarlo a fumar marihuana .  
20110119071704.000|20110119071713.000|CC1|>> Investigaron a muchos        
20110119071713.000|20110119071718.000|CC1|estudiantes universitarios y    
20110119071718.000|20110119071723.000|CC1|descubrieron que muchos de estos
20110119071723.000|20110119071732.000|CC1|no están desarrollando          
20110119071732.000|20110119071737.000|CC1|habiliadades básicas del        
20110119071737.000|20110119071742.000|CC1|pensamiento crítico y otras     
20110119071742.000|20110119071743.000|CC1|habilidades.                    
20110119071743.000|20110119071752.000|CC1|>> Se ha implementado una nueva 
20110119071752.000|20110119071759.000|CC1|norma si usted tiene el seguro  
20110119071759.000|20110119071759.000|CC1|hmo.                            
20110119071759.000|20110119071810.000|CC1|>> Los hechos de violencia h    
20110119071810.000|20110119071820.000|CC1|esta dejando profundas marcas y 
20110119071820.000|20110119071829.000|CC1|señales de stress post          
20110119071829.000|20110119071832.000|CC1|traumatico                      
20110119071832.000|20110119071836.000|CC1|como se detecta?.               
20110119071836.000|20110119071842.000|CC1|>> Primero tenemos el evento ,  
20110119071842.000|20110119071850.000|CC1|luego  pesadillas, ataques de   
20110119071850.000|20110119071854.000|CC1|panico                          
20110119071854.000|20110119071904.000|CC1|P sabesmos que la comunidad     
20110119071904.000|20110119071913.000|CC1|hispana tiene mucha propension a
20110119071913.000|20110119071919.000|CC1|desarrollar esto .              
20110119071919.000|20110119071922.000|CC1|>> Se puede curar?.             
20110119071922.000|20110119071934.000|CC1|>> Si , pero la persona puede   
20110119071934.000|20110119071943.000|CC1|tener depresión total , pero la 
20110119071943.000|20110119071947.000|CC1|psicoterapia puede ayudar       
20110119071947.000|20110119071949.000|CC1|mucho.,                         
20110119071949.000|20110119071953.000|CC1|>> Muchas gracias doctor .      
20110119071953.000|20110119072002.000|CC1|>> Durante los últimos días la  
20110119072002.000|20110119072011.000|CC1|imagen de daniel Hernandez es un
20110119072011.000|20110119072017.000|CC1|ejemplo de lo que hizo el a     
20110119072017.000|20110119072020.000|CC1|favor de Gabrielle Giffords     
20110119072020.000|20110119072024.000|CC1|(demócrata de Arizona) y        
20110119072024.000|20110119072027.000|CC1|salvarle la vida.               
20110119072027.000|20110119072037.000|CC1|>> Cuando la conocí , eso cambio
20110119072037.000|20110119072042.000|CC1|mi vida completamente.          
20110119072042.000|20110119072048.000|CC1|>> El desde pequeño fue         
20110119072048.000|20110119072050.000|CC1|inteligente.                    
20110119072050.000|20110119072055.000|CC1|>> El quería ser doctor .       
20110119072055.000|20110119072106.000|CC1|>> Con la humildad que heredo de
20110119072106.000|20110119072114.000|CC1|sus padres el no quiere robarse 
20110119072114.000|20110119072122.000|CC1|nada de fama , y lamenta la     
20110119072122.000|20110119072123.000|CC1|tragedia.                       
20110119072123.000|20110119072136.000|CC1|>> La gobernadora quiere cambiar
20110119072136.000|20110119072143.000|CC1|el discurso confrontativo.      
20110119072143.000|20110119072149.000|CC1|>> Siempre he querido que       
20110119072149.000|20110119072155.000|CC1|terminen la escuela .           
20110119072155.000|20110119072205.000|CC1|>> Daniel quiere regresar a la  
20110119072205.000|20110119072215.000|CC1|escuela y luego seguir en la    
20110119072215.000|20110119072217.000|CC1|oficina de Gabrielle Giffords   
20110119072217.000|20110119072218.000|CC1|(demócrata de Arizona) .        
20110119072218.000|20110119072223.000|CC1|>> Es el momento de los         
20110119072223.000|20110119072223.000|CC1|deportes.                       
20110119072223.000|20110119072241.000|CC1|>> El representante de Salvador 
20110119072241.000|20110119072249.000|CC1|Cabañas dice que el no recuerde 
20110119072249.000|20110119072252.000|CC1|los hechos del accidentes.      
20110119072252.000|20110119072302.000|CC1|>> El chepo visito la cantera de
20110119072302.000|20110119072316.000|CC1|pumas y busca los jugadores para
20110119072316.000|20110119072322.000|CC1|las selección sub 20.           
20110119072322.000|20110119072330.000|CC1|>> por la Copa Centro americana 
20110119072330.000|20110119072338.000|CC1|Panamá se llevo el triunfo de   
20110119072338.000|20110119072340.000|CC1|manera invita.                  
20110119072340.000|20110119072349.000|CC1|>> Honduras y Guatemala dio el  
20110119072349.000|20110119072356.000|CC1|último cupo para avanzar por    
20110119072356.000|20110119072358.000|CC1|esta hermosa Copa Centro        
20110119072358.000|20110119072409.000|CC1|americana .                     
20110119072409.000|20110119072419.000|CC1|>> Guatemala paso este partido .
20110119072419.000|20110119072423.000|CC1|>> En el Liga Inglesa de fútbol 
20110119072423.000|20110119072427.000|CC1|(F.A. Premier League) el        
20110119072427.000|20110119072431.000|CC1|Manchester gano 4 a 2.          
20110119072431.000|20110119072435.000|CC1|>> Vamos a la pausa.            
20110119072435.000|20110119072608.000|SEG_01|Type=Commercial
20110119072435.000|20110119072437.000|CC1|>> á                            
20110119072437.000|20110119072437.000|CC1|     ajito y abundante sabor    
20110119072437.000|20110119072439.000|CC1|            a albahaca          
20110119072439.000|20110119072441.000|CC1|     en pan recién horneado!    
20110119072441.000|20110119072533.000|CC1|? iQué sabor que tiene Subway! ?
20110119072533.000|20110119072608.000|CC1|??? ??? .                       
20110119072608.000|20110119072611.000|SEG_01|Type=Story start
20110119072608.000|20110119072611.000|CC1|>> tenemos las temperaturas en  
20110119072611.000|20110119072621.000|CC1|Los Ángeles 63 en santa ana     
20110119072621.000|20110119072626.000|CC1|las temperatura para los        
20110119072626.000|20110119072632.000|CC1|próximo 5 días , tendremos una  
20110119072632.000|20110119072637.000|CC1|semana muy bonita y soleada.    
20110119072637.000|20110119072645.000|CC1|>> El segmente del díarío la    
20110119072645.000|20110119072651.000|CC1|opinoin.                        
20110119072651.000|20110119072942.000|CC1|>> á                            
20110119072942.000|20110119072943.000|CC1|??? ??? .                       
20110119072943.000|20110119072950.000|CC1|>> Hemos llegado al final Buenas
END|20110119072950|2011-01-19_0700_US_KMEX_Noticias_34
