TOP|20110119130001|2011-01-19_1300_US_FOX-News_Fox_and_Friends
COL|Communication Studies Archive, UCLA 
UID|6407fda8-23d4-11e0-a838-001517add6f2
DUR|0:59:49.88
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-19 05:00 America/Los_Angeles
SEG_01|2014-06-18 18:54:40|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110119130002.000|20110119130002.000|XDS|%   RATING: (NOT RATED) (72)
20110119130002.000|20110119130002.000|XDS|%     CALL: FNC 
20110119130007.000|20110119130007.000|XDS|%  NETWORK: Fox News Channel
20110119130012.000|20110119130806.000|SEG|Type=Story
20110119130012.000|20110119130013.000|CC1|>> Gretchen: GOOMORNING,        
20110119130013.000|20110119130013.000|CC1|EVERYONE.                       
20110119130013.000|20110119130018.000|CC1|IT'S WEDNESDAY, JANUARY 19,     
20110119130018.000|20110119130018.000|CC1|2011                            
20110119130018.000|20110119130019.000|CC1|I'M GRETCHEN CARON.             
20110119130019.000|20110119130021.000|CC1|TAKE A LOOK  A LIVE LOO AT      
20110119130021.000|20110119130022.000|CC1|CAPITOL HILL WHEREHE HOUSE      
20110119130022.000|20110119130024.000|CC1|WILL VOTE TO REPEAL HLTH CARE   
20110119130024.000|20110119130025.000|CC1|TWO HOURS FROM NOW.             
20110119130025.000|20110119130027.000|CC1|AND THE PREDENT ALADY           
20110119130027.000|20110119130028.000|CC1|HINTING HE MIGHT BE WILLING TO  
20110119130028.000|20110119130031.000|CC1|MPROMISE ON HEALTH CARE.        
20110119130031.000|20110119130032.000|CC1|>> Sve: MEANWHILE,              
20110119130032.000|20110119130035.000|CC1|PHADELPHIA ROCKED BY A MASSI    
20110119130035.000|20110119130036.000|CC1|EXPLOSION.                      
20110119130036.000|20110119130037.000|CC1|LLING AT THE EXACT MOMENT IT    
20110119130037.000|20110119130037.000|CC1|HAPPENED.                       
20110119130037.000|20110119130038.000|CC1|STAY RIGHT HER                  
20110119130039.000|20110119130039.000|XDS|%    TITLE: News, Fair and Balanced
20110119130038.000|20110119130042.000|CC1|ALL T DETAIL STRAIGHT AHEAD.    
20110119130042.000|20110119130043.000|CC1|>> Brian: GUNS JUST LE THESE    
20110119130043.000|20110119130045.000|CC1|COULD BE GOING RAIGHT FROM T    
20110119130045.000|20110119130047.000|CC1|STE TO A CLASSROOM NEAR YOU.    
20110119130047.000|20110119130050.000|CC1|HOW DO YOU FEEL ABOUT TEACHERS  
20110119130050.000|20110119130051.000|CC1|CKING HEAT?                     
20110119130051.000|20110119130052.000|CC1|"FOX & FRIEND IS RED H RIGHT    
20110119130052.000|20110119130105.000|CC1|NOW AND STARTING RIGHT NOW.     
20110119130105.000|20110119130105.000|CC1|>> Gretchen: WELCOME.           
20110119130105.000|20110119130106.000|CC1|WE HOPE YOU'RE HAVING A         
20110119130106.000|20110119130107.000|CC1|FANTASTIC WEDNESDAY.            
20110119130107.000|20110119130108.000|CC1|WE'RE INTO THEIDDLE OF THE      
20110119130108.000|20110119130109.000|CC1|WEEK                            
20110119130109.000|20110119130109.000|CC1|GUESS WHO WE HAVCOMING UP ON    
20110119130109.000|20110119130112.000|CC1|OUR SHOW TODAY?                 
20110119130112.000|20110119130115.000|CC1|SOMEBODY WHO TURNED 89 ON MONDAY
20110119130115.000|20110119130117.000|CC1|AND IS STILL RED HOT.           
20110119130117.000|20110119130117.000|CC1|>> Ste: THERE SHE IS, SPEAKING  
20110119130117.000|20110119130118.000|CC1|OF HOT.                         
20110119130118.000|20110119130120.000|CC1|SHE'S THE STAR OF THEIT SHOW    
20110119130120.000|20110119130124.000|CC1|ON TVLAND "HOT IN CLEVELAN"     
20110119130124.000|20110119130126.000|CC1|BETTYHITE, HOWEVER, LAST NIGHT  
20110119130126.000|20110119130128.000|CC1|WAS ON THE LETTERMAN SH AND     
20110119130128.000|20110119130130.000|CC1|LOOKED LIKE SHE WAS DOING VODKA 
20110119130130.000|20110119130130.000|CC1|SHOTS.                          
20110119130130.000|20110119130131.000|CC1|'LL FIND OUT WHAT KIND OF       
20110119130131.000|20110119130135.000|CC1|APE BETTYS ON THIS DAY AFTER    
20110119130135.000|20110119130136.000|CC1|THE BIG DAY.                    
20110119130136.000|20110119130139.000|CC1| Brian: I SAWER HOST            
20110119130139.000|20110119130141.000|CC1|"SATURDAY NIT LIVE" AND I       
20110119130141.000|20110119130144.000|CC1|WATCHED HER PLAY FOOTBALL IN THE
20110119130144.000|20110119130145.000|CC1|PER BOWL.                       
20110119130145.000|20110119130147.000|CC1|SHE LOOKED FANTASTIC.           
20110119130147.000|20110119130148.000|CC1|>> Beth: SHE GOT TACKLED.       
20110119130148.000|20110119130150.000|CC1|>> BrianRIGHT, WHICH I THINK    
20110119130150.000|20110119130152.000|CC1|IS WRONG.                       
20110119130152.000|20110119130154.000|CC1|>> Steve: BUT AB VIGODA, TOO.   
20110119130154.000|20110119130158.000|CC1|ARE WE BOOKING HIM?             
20110119130158.000|20110119130200.000|CC1|>> Brian: NO, BIG RIVALS.       
20110119130200.000|20110119130204.000|CC1|BUT TOMORROW,HE FISH TRIVIA.    
20110119130204.000|20110119130205.000|CC1|>> Gretchen: ANOTHER RIVAL      
20110119130205.000|20110119130207.000|CC1|GOING ON CALLED THE HEALTH CAR  
20110119130207.000|20110119130207.000|CC1|DEBATE.                         
20110119130207.000|20110119130208.000|CC1|TODAY IT'S GOING TO  A          
20110119130208.000|20110119130209.000|CC1|SIGNIFICANDAY BECAUSE THE       
20110119130209.000|20110119130210.000|CC1|USE IS GOING T VOTE ON          
20110119130210.000|20110119130212.000|CC1|WHETHER OR NOT TO REPE THE      
20110119130212.000|20110119130214.000|CC1|ALTH CARE BILL THAT PASSED      
20110119130214.000|20110119130215.000|CC1|LAST YE.                        
20110119130215.000|20110119130216.000|CC1|THE VOTE WL START A             
20110119130216.000|20110119130216.000|CC1|10:00 O'CLOCK.                  
20110119130216.000|20110119130218.000|CC1|IT WILL TAKE A LONG TIME.       
20110119130218.000|20110119130219.000|CC1|IT WILL GO UNTIL 6:30.          
20110119130219.000|20110119130221.000|CC1| IF YOU WANTHE END RESULT,      
20110119130221.000|20110119130223.000|CC1|WAH FOX AT THE END OF THE D.    
20110119130223.000|20110119130224.000|CC1|>> Steve: EY WILL VOTE TO       
20110119130224.000|20110119130227.000|CC1|REPEAL IT AND THEN VOTE TO --   
20110119130227.000|20110119130232.000|CC1|HOW TO REPLACE IT.              
20110119130232.000|20110119130233.000|CC1|PAULYAN SAYS WE'RE DOING THI    
20110119130233.000|20110119130235.000|CC1| OUR FIRST ORDER OF BUSINE      
20110119130235.000|20110119130237.000|CC1|BECAUSE WE PROMISED YOU.        
20110119130237.000|20110119130238.000|CC1|>> WE E HERE BECAUSE WE HRD     
20110119130238.000|20110119130240.000|CC1|THE AMERICAN PEOPLE IN THE LAST 
20110119130240.000|20110119130240.000|CC1|ELTION.                         
20110119130240.000|20110119130242.000|CC1|WE AREERE BECAUSEE BELIEVE      
20110119130242.000|20110119130245.000|CC1|IT'S RLLY IMPORTANT TO DO IN    
20110119130245.000|20110119130246.000|CC1|OFFICE WHAYOU SAID YOU WOULD    
20110119130246.000|20110119130246.000|CC1|DO.                             
20110119130246.000|20110119130248.000|CC1|WE SAID WE WLD HAVE A STRAIGHT  
20110119130248.000|20110119130250.000|CC1|UP OR DOWN VOTE TO REPEAL THIS  
20110119130250.000|20110119130252.000|CC1|HETH CARE LAW AND THAT'S        
20110119130252.000|20110119130254.000|CC1|PRECISY WHAT WE'RE DOING HERE   
20110119130254.000|20110119130255.000|CC1|TOY.                            
20110119130255.000|20110119130255.000|CC1|>> Brian: EY'RE NOT OFFERING A  
20110119130255.000|20110119130256.000|CC1|A REPLACEMENT Y.                
20110119130256.000|20110119130258.000|CC1|FIRST THEY WAN TO KNOCKT OUT    
20110119130258.000|20110119130259.000|CC1|ANSEE IF THEYAN CONVINCE THE    
20110119130259.000|20110119130301.000|CC1|SENATE TO DO IT.                
20110119130301.000|20110119130303.000|CC1|BU A REPRESEATIVE IN            
20110119130303.000|20110119130305.000|CC1|CAFORNIA DOESN'T THINK IT'S A   
20110119130305.000|20110119130307.000|CC1|GOOD IA.                        
20110119130307.000|20110119130309.000|CC1|>> I WOULDATE THAT WE WOUN'T    
20110119130309.000|20110119130310.000|CC1|USE E INSTITUTION OF CONGRESS,  
20110119130310.000|20110119130312.000|CC1|THE NGRESS OF THENITED          
20110119130312.000|20110119130315.000|CC1|STATES, TO SIMPLY FULFILL       
20110119130315.000|20110119130316.000|CC1|CAMPAIGN PROMISES.              
20110119130316.000|20110119130317.000|CC1|IF WE'RE NOT GNG TO ACTUALLY    
20110119130317.000|20110119130319.000|CC1|TRY TO MAK REAL LAW, IT'S A     
20110119130319.000|20110119130321.000|CC1|VERY EXPENSIVE PROSITION TO     
