TOP|20110119190001|2011-01-19_1900_US_KABC_Eyewitness_News_11AM
COL|Communication Studies Archive, UCLA 
UID|ae85dbe8-2406-11e0-bcd4-001517add6fa
DUR|0:59:49.71
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-19 11:00 America/Los_Angeles
SEG_01|2014-02-03 01:07:27|Source_Program=commercial_detection.py|Source_Person=Weixin Li
20110119190051.000|20110119195950.000|SEG|Type=Story
20110119190051.000|20110119190052.000|CC1|LESLIE: SECURITY LAPSE.         
20110119190052.000|20110119190054.000|CC1|CRITICS BLAST SECURITY MEASURES 
20110119190054.000|20110119190058.000|CC1|AT GARDENA HIGH SCHOOL A DAY    
20110119190058.000|20110119190102.000|CC1|AFTER A STUDENT WAS SHOT.       
20110119190102.000|20110119190102.000|CC1|HELLO.                          
20110119190102.000|20110119190103.000|CC1|I'M LESLIE SYKES.               
20110119190103.000|20110119190105.000|CC1|PHILLIP: AND I'M PHILLIP PALMER.
20110119190105.000|20110119190107.000|CC1|THE SUSPECT WAS ARRESTED WITH   
20110119190107.000|20110119190109.000|CC1|CHARGED WITH ASSAULT WITH A     
20110119190109.000|20110119190110.000|CC1|DEADLY WEAPON.                  
20110119190110.000|20110119190113.000|CC1|THE SUPERINTENDENT SAID GARDENA 
20110119190113.000|20110119190115.000|CC1|HIGH SCHOOL DID NOT DO THE      
20110119190115.000|20110119190117.000|CC1|POLICY OF SEARCHING FOR WEAPONS 
20110119190117.000|20110119190118.000|CC1|EVERY DAY.                      
20110119190118.000|20110119190119.000|CC1|HERE IS MORE ON TODAY'S STEPPED 
20110119190119.000|20110119190120.000|CC1|UP SECURITY.                    
20110119190120.000|20110119190121.000|CC1|ALEX?                           
20110119190121.000|20110119190122.000|CC1|>> Reporter: WELL, WE HAVE SOME 
20110119190122.000|20110119190123.000|CC1|OTHER NEW DEVELOPMENTS THAT WE  
20110119190123.000|20110119190125.000|CC1|CAN JUST PASS ALONG TO YOU.     
20110119190125.000|20110119190126.000|CC1|LAW ENFORCEMENT SOURCES TELL    
20110119190126.000|20110119190127.000|CC1|EYEWITNESS NEWS THERE WERE      
20110119190127.000|20110119190129.000|CC1|ACTUALLY THREE ARRESTS IN THIS  
20110119190129.000|20110119190131.000|CC1|CASE, NOT ONE.                  
20110119190131.000|20110119190131.000|CC1|THAT THE 17-YEAR-OLD SUSPECT    
20110119190131.000|20110119190133.000|CC1|WAS TRYING TO GET RID OF HIS    
20110119190133.000|20110119190134.000|CC1|BACKPACK AND THAT HE MAY HAVE   
20110119190134.000|20110119190137.000|CC1|INVOLVED TWO OTHER PEOPLE WHO   
20110119190137.000|20110119190138.000|CC1|WERE ARRESTED AS POSSIBLE       
20110119190138.000|20110119190138.000|CC1|ACCESSORIES.                    
20110119190138.000|20110119190140.000|CC1|SEARCH IS STILL ON POTENTIALLY  
20110119190140.000|20110119190142.000|CC1|FOR WHERE THAT BACKPACK IS THIS 
20110119190142.000|20110119190142.000|CC1|MORNING.                        
20110119190142.000|20110119190145.000|CC1|ALSO THIS MORNING, SECURITY WAY 
20110119190145.000|20110119190146.000|CC1|UP HERE WHICH WAS CERTAINLY NOT 
20110119190146.000|20110119190148.000|CC1|THE CASE YESTERDAY MORNING.     
20110119190148.000|20110119190151.000|CC1|STUDENTS WAIT IN LONG LINES TO  
20110119190151.000|20110119190155.000|CC1|ENTER GARDENA HIGH SCHOOL.      
20110119190155.000|20110119190156.000|CC1|MANY WANDED BY METAL DETECTORS. 
20110119190156.000|20110119190157.000|CC1|>> IT WAS CRAZY.                
20110119190157.000|20110119190158.000|CC1|NEVER THOUGHT IT WOULD HAPPEN   
20110119190158.000|20110119190159.000|CC1|HERE.                           
20110119190159.000|20110119190200.000|CC1|>> I KNOW THE WHOLE SCHOOL IS   
20110119190200.000|20110119190201.000|CC1|GOING TO CHANGE.                
20110119190201.000|20110119190202.000|CC1|>> SECURITY WAS NOT IN PLACE    
