TOP|20110119220002|2011-01-19_2200_US_FOX-News_Glenn_Beck
COL|Communication Studies Archive, UCLA 
UID|d36a6352-241f-11e0-b21b-001517add6f2
DUR|0:59:44.58
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-19 14:00 America/Los_Angeles
SEG_01|2014-06-18 18:55:13|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110119220003.000|20110119220003.000|XDS|%   RATING: (NOT RATED) (72)
20110119220004.000|20110119220004.000|XDS|%  NETWORK: Fox News Channel
20110119220003.000|20110119223102.000|SEG|Type=Story
20110119220003.000|20110119220004.000|CC1|YOU KNOW WHAT?                  
20110119220004.000|20110119220007.000|CC1|IT'S NOT OUR TAX DOLLARS, I     
20110119220007.000|20110119220007.000|CC1|IT?                             
20110119220007.000|20110119220008.000|CC1|IT'S CHINA.                     
20110119220008.000|20110119220010.000|CC1|CHINA IS PAYING FOR THIS        
20110119220010.000|20110119220010.000|CC1|WHOLTHING.                      
20110119220010.000|20110119220012.000|CC1|Y WAY, MOREF THIS AN HOUR       
20110119220012.000|20110119220012.000|XDS|%     CALL: FNC 
20110119220012.000|20110119220012.000|CC1|FROM NOW ON FBN.                
20110119220012.000|20110119220014.000|CC1|SEE YOU THEN                    
20110119220014.000|20110119220017.000|CC1|>> Glenn: WELCEO THE            
20110119220017.000|20110119220017.000|CC1|"GLENNECK PROGRAM."             
20110119220017.000|20110119220019.000|CC1|NEIL CAVUTO, MUAH!              
20110119220019.000|20110119220020.000|CC1|I LOVE YOU.                     
20110119220020.000|20110119220025.000|CC1|HE HASONE IT AGAIN.             
20110119220025.000|20110119220028.000|CC1|>> I'M NOT MESSING UP.          
20110119220028.000|20110119220030.000|CC1|IT'S NOT MY FAULT YOU CAN'T     
20110119220030.000|20110119220030.000|CC1|UNDERSTAND LOGI                 
20110119220030.000|20110119220030.000|XDS|%    TITLE: News, Fair and Balanced
20110119220030.000|20110119220033.000|CC1|>> Glenn: HE DID IT AGAIN.      
20110119220033.000|20110119220034.000|CC1|NEILAVUTO JUST HAD ONE O        
20110119220034.000|20110119220036.000|CC1|THE BEST IERVIEWS OF SHEILA     
20110119220036.000|20110119220037.000|CC1|JACKSON LEE.                    
20110119220037.000|20110119220039.000|CC1|OUIDE HDING PTER OF             
20110119220039.000|20110119220040.000|CC1|MEDICARE PATIENT.               
20110119220040.000|20110119220042.000|CC1|MEDICARE -- IT'S AMACARE.       
20110119220042.000|20110119220044.000|CC1|SO IT'S SOMETHING - SO NEIL     
20110119220044.000|20110119220045.000|CC1|GETSFRUSTRATED.                 
20110119220045.000|20110119220046.000|CC1|THAT'S WHAT SH SAYS.            
20110119220046.000|20110119220048.000|CC1|WE, NEIL, YOU'RE JUST NOT       
20110119220048.000|20110119220049.000|CC1|CAPABLE OF UNDERSTANDING        
20110119220049.000|20110119220050.000|CC1|LOGIC.                          
20110119220050.000|20110119220052.000|CC1|THANK YOU, NEIL,OR THE          
20110119220052.000|20110119220053.000|CC1|GIFT.                           
20110119220053.000|20110119220054.000|CC1|IT FROM HEAV!                   
20110119220054.000|20110119220057.000|CC1|THAT WHERE WE BEGIN NOW!        
20110119220057.000|20110119220057.000|CC1|??                              
20110119220057.000|20110119220111.000|CC1|??                              
20110119220111.000|20110119220114.000|CC1|>> Glenn: WELL, HELL            
20110119220114.000|20110119220114.000|CC1|AMERA.                          
20110119220114.000|20110119220116.000|CC1|TONIGHWE TALK ABOUT THE         
20110119220116.000|20110119220117.000|CC1|ISSUE THAT IS GRIPPING          
20110119220117.000|20110119220118.000|CC1|AMERICA.                        
20110119220118.000|20110119220119.000|CC1|HEED RHETORIC.                  
20110119220119.000|20110119220119.000|CC1|YES!                            
20110119220119.000|20110119220121.000|CC1|WHILE CHINA'S PRESIDENTAS A     
20110119220121.000|20110119220122.000|CC1|LITTLE CHAT WITH PRESIDENT      
20110119220122.000|20110119220124.000|CC1|OBAMA ABOUT THE TRILLIO OF      
20110119220124.000|20110119220126.000|CC1|DOLLARS WE NOW OWE THEM, AND    
20110119220126.000|20110119220127.000|CC1|WE DON'T VE.                    
20110119220127.000|20110119220129.000|CC1|AND THE HYPOCRISY IS            
20110119220129.000|20110119220129.000|CC1|INCREDIBLE.                     
20110119220129.000|20110119220130.000|CC1|REMEMBER I SHOWEDOU             
20110119220130.000|20110119220131.000|CC1|YESTERDAY HOW THE PRESIDENT     
20110119220131.000|20110119220136.000|CC1|OF CHI FLEW IN ON A             
20110119220136.000|20110119220137.000|CC1|COMMERCIAL JET?                 
20110119220137.000|20110119220138.000|CC1|JACK, THE SOD GUY SAID          
20110119220138.000|20110119220140.000|CC1|BEFORE WE WENT ON THE AIR, DO   
20110119220140.000|20110119220142.000|CC1|YOU REMEMBERHEN G.M., ALL       
20110119220142.000|20110119220144.000|CC1|THE CAR COMPANI WERE            
20110119220144.000|20110119220145.000|CC1|CHASSED BY THE GOVERNMENT       
20110119220145.000|20110119220147.000|CC1|FOR USING PRIVA JETS,           
20110119220147.000|20110119220148.000|CC1|BECAUSE EY COULDN'T AFFORD      
20110119220148.000|20110119220149.000|CC1|IT SO THE MADE THEM FLY         
20110119220149.000|20110119220150.000|CC1|COMMERCIAL BECAUSEHEY           
20110119220150.000|20110119220152.000|CC1|COULDN'T FOOT THE BILL?         
20110119220152.000|20110119220155.000|CC1|DO YOU THINK THI THOUGHT H      
20110119220155.000|20110119220158.000|CC1|CROSSED PRESIDENT HU            
20110119220158.000|20110119220200.000|CC1|JINTAO -- PRESIDENT HU'S        
20110119220200.000|20110119220201.000|CC1|MIND?                           
20110119220201.000|20110119220204.000|CC1|SERIOUSLY.                      
20110119220204.000|20110119220204.000|CC1|C'MON.                          
20110119220204.000|20110119220205.000|CC1|HE ARRIV IN CHINA.              
20110119220205.000|20110119220206.000|CC1|THE PRIDENT COMES IN WITH       
20110119220206.000|20110119220208.000|CC1|ALL THE JETS, 747s.             
20110119220208.000|20110119220209.000|CC1|YOKNOW WHAT?                    
20110119220209.000|20110119220211.000|CC1|REMEMBER THAT LESSON YOU WERE   
20110119220211.000|20110119220212.000|CC1|TRYING TO TEACH G.M.?           
20110119220212.000|20110119220213.000|CC1|I'M JUST SAYING.                
20110119220213.000|20110119220215.000|CC1|ANYWAY, WE'VE GOTLL KIND OF     
20110119220215.000|20110119220216.000|CC1|PROBLEMS IN AMERICA.            
20110119220216.000|20110119220218.000|CC1|AND AT ARE WE TALKING ABOUT     
20110119220218.000|20110119220219.000|CC1|NOW?                            
20110119220219.000|20110119220221.000|CC1|WORDS THAT WE SHOULD A          
20110119220221.000|20110119220223.000|CC1|SHOULDN'T SA                    
20110119220223.000|20110119220225.000|CC1|HI, KIDDIE                      
20110119220225.000|20110119220227.000|CC1|I OULD WEAR A SWEATER AND       
20110119220227.000|20110119220228.000|CC1|SNEAKE TODAY.                   
20110119220228.000|20110119220230.000|CC1|I FEEL LIKE MR. RORS.           
20110119220230.000|20110119220231.000|CC1|BECAUSE EVERYBODY IN THE        
20110119220231.000|20110119220232.000|CC1|NEIGHBORHOOD SEEMS TO BE        
20110119220232.000|20110119220233.000|CC1|STUPID, MINDNESS ZOIES.         
20110119220233.000|20110119220234.000|CC1|YES.                            
20110119220234.000|20110119220235.000|CC1|YOU' NOT GOIN TO HEAR THE       
20110119220235.000|20110119220237.000|CC1|WORD "CROSSHAIRS."              
20110119220237.000|20110119220238.000|CC1|PRETEND YOU DIDN'T HEAR IT      
20110119220238.000|20110119220239.000|CC1|THAT TIME.                      
