TOP|20110120000001|2011-01-20_0000_US_KABC_Eyewitness_News_4PM
COL|Communication Studies Archive, UCLA 
UID|976f8e0c-2430-11e0-a3d4-001517add6fa
DUR|0:59:49.81
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-19 16:00 America/Los_Angeles
SEG_01|2014-02-03 01:07:27|Source_Program=commercial_detection.py|Source_Person=Weixin Li
20110120000003.000|20110120005950.000|SEG|Type=Story
20110120000003.000|20110120000004.000|CC1|MANHUNT THAT IS STILL           
20110120000004.000|20110120000005.000|CC1|UNDERWAY AT THIS HOUR.          
20110120000005.000|20110120000006.000|CC1|CARLOS GRANDA IS STANDING BY    
20110120000006.000|20110120000008.000|CC1|WITH THE BREAKING DETAILS.      
20110120000008.000|20110120000009.000|CC1|>> THIS IS A HUGE SEARCH        
20110120000009.000|20110120000012.000|CC1|AREA, ABOUT 7 SQUARE MILES.     
20110120000012.000|20110120000012.000|CC1|L.A.P.D. OFFICERS ARE           
20110120000012.000|20110120000014.000|CC1|LITERALLY GOING DOOR TO         
20110120000014.000|20110120000016.000|CC1|DOOR, TRYING TO FIND THIS       
20110120000016.000|20110120000017.000|CC1|SUSPECT AND ACTUALLY            
20110120000017.000|20110120000019.000|CC1|QUESTIONING ANYBODY,            
20110120000019.000|20110120000020.000|CC1|STOPPING ANYBODY THAT EVEN      
20110120000020.000|20110120000022.000|CC1|REMOTELY RESEMBLES THIS         
20110120000022.000|20110120000022.000|CC1|PERSON.                         
20110120000022.000|20110120000023.000|CC1|THIS IS SOMEONE THEY'RE         
20110120000023.000|20110120000024.000|CC1|LOOKING FOR.                    
20110120000024.000|20110120000026.000|CC1|IT HAPPENED JUST OUTSIDE EL     
20110120000026.000|20110120000026.000|CC1|CAMINO REAL HIGH SCHOOL.        
20110120000026.000|20110120000028.000|CC1|THIS OFFICER WAS SHOT IN THE    
20110120000028.000|20110120000028.000|CC1|CHEST.                          
20110120000028.000|20110120000029.000|CC1|THE SUSPECT THEN RAN OFF.       
20110120000029.000|20110120000031.000|CC1|POLICE SET UP THIS WIDE         
20110120000031.000|20110120000032.000|CC1|PERIMETER.                      
20110120000032.000|20110120000035.000|CC1|IT'S FROM THE 101 FREEWAY TO    
20110120000035.000|20110120000037.000|CC1|THE SOUTH IN OXNARD TO THE      
20110120000037.000|20110120000038.000|CC1|NORTH.                          
20110120000038.000|20110120000040.000|CC1|EVERY ONE OF THE SCHOOLS IN     
20110120000040.000|20110120000041.000|CC1|THIS AREA WERE SHUT DOWN,       
20110120000041.000|20110120000042.000|CC1|AFFECTING 9,000 STUDENTS.       
20110120000042.000|20110120000045.000|CC1|NO ONE COULD GET IN OR OUT.     
20110120000045.000|20110120000046.000|CC1|OFFICERS WENT ON A MASSIVE      
20110120000046.000|20110120000047.000|CC1|SEARCH THROUGH THE              
20110120000047.000|20110120000048.000|CC1|NEIGHBORHOODS.                  
20110120000048.000|20110120000049.000|CC1|THEY'RE STOPPING EVERYONE       
20110120000049.000|20110120000050.000|CC1|THAT EVEN REMOTELY LOOKS        
20110120000050.000|20110120000052.000|CC1|LIKE THE SUSPECT, A             
20110120000052.000|20110120000053.000|CC1|PONYTAIL, DARK BROWN HAIR,      
20110120000053.000|20110120000055.000|CC1|WEARING JEANS AND A BLUE        
20110120000055.000|20110120000056.000|CC1|SHIRT.                          
20110120000056.000|20110120000057.000|CC1|ANYONE WITH THAT DESCRIPTION    
20110120000057.000|20110120000057.000|CC1|WAS BEING STOPPED AND           
20110120000057.000|20110120000058.000|CC1|QUESTIONED AND SEVERAL          
20110120000058.000|20110120000059.000|CC1|PEOPLE WERE ACTUALLY HELD       
20110120000059.000|20110120000102.000|CC1|FOR A WHILE AND THEN LET GO.    
20110120000102.000|20110120000103.000|CC1|OFFICERS WENT ON THIS           
20110120000103.000|20110120000104.000|CC1|MASSIVE SEARCH THROUGH THE      
20110120000104.000|20110120000106.000|CC1|AREA AND CERTAIN SECTIONS       
20110120000106.000|20110120000107.000|CC1|ARE BEING CLEARED.              
20110120000107.000|20110120000109.000|CC1|SOME SCHOOLS ARE ACTUALLY       
20110120000109.000|20110120000110.000|CC1|LIFTING THEIR LOCKDOWNS AND     
20110120000110.000|20110120000112.000|CC1|ALLOWING SOME STUDENTS TO       
20110120000112.000|20110120000114.000|CC1|                                
20110120000114.000|20110120000115.000|CC1|LEAVE.                          
20110120000115.000|20110120000117.000|CC1|MOST OF THE AREA IS STILL       
20110120000117.000|20110120000118.000|CC1|CLOSED, THE STREETS ARE         
20110120000118.000|20110120000121.000|CC1|STILL SHUT DOWN, NO ONE IS      
20110120000121.000|20110120000122.000|CC1|ALLOWED IN.                     
20110120000122.000|20110120000124.000|CC1|>> WE HAVE HUNDREDS OF          
20110120000124.000|20110120000125.000|CC1|OFFICERS OUT HERE RIGHT NOW     
20110120000125.000|20110120000126.000|CC1|AND WE'RE INVOLVED WITH         
