TOP|20110120030001|2011-01-20_0300_US_KNBC_EXTRA
COL|Communication Studies Archive, UCLA 
UID|0fff8128-2446-11e0-9b8e-001517add6fa
DUR|0:29:44.64
VID|640x368
CMT|
LAN|ENG
LBT|2011-01-19 19:00 America/Los_Angeles
SEG_01|2014-02-03 01:07:28|Source_Program=commercial_detection.py|Source_Person=Weixin Li
20110120030003.000|20110120030003.000|XDS|%   RATING: (NOT RATED) (72)
20110120030004.000|20110120030004.000|XDS|%    TITLE: Extra
20110120030006.000|20110120032945.000|SEG|Type=Story
20110120030006.000|20110120030006.000|CC1|[CAPTIONING MADE POSSIBLE BY    
20110120030006.000|20110120030008.000|CC1|WARNER BROS. DOMESTIC           
20110120030008.000|20110120030008.000|XDS|%     DESC: EPISODIC PROMOS
20110120030008.000|20110120030009.000|CC1|TELEVISION DISTRIBUTION]        
20110120030009.000|20110120030009.000|CC1|>> HEY, I'M MARIO LOPEZ.        
20110120030009.000|20110120030011.000|CC1|KELLY RIPA'S WISH LIST, WHO SHE 
20110120030011.000|20110120030013.000|CC1|WANTS TO REPLACE REEGE.         
20110120030013.000|20110120030014.000|CC1|CAPTIONED BY THE NATIONAL       
20110120030014.000|20110120030015.000|CC1|CAPTIONING INSTITUTE            
20110120030015.000|20110120030021.000|CC1|--WWW.NCICAP.ORG---             
20110120030021.000|20110120030024.000|CC1|>> TOM CRUISE!                  
20110120030024.000|20110120030026.000|CC1|>> KELLY'S CASTING CALL.        
20110120030026.000|20110120030027.000|CC1|IS SHE GOING AFTER HER "ALL MY  
20110120030027.000|20110120030028.000|CC1|CHILDREN" CO-STARS CAMERON AND  
20110120030028.000|20110120030032.000|CC1|JOSH?                           
20110120030032.000|20110120030033.000|CC1|>> WHAT ABOUT YOU, MARIO?       
20110120030033.000|20110120030034.000|CC1|>> DOES REGIS ALREADY HAVE      
20110120030034.000|20110120030036.000|CC1|ANOTHER JOB?                    
20110120030036.000|20110120030037.000|CC1|AND THE NEW RUMOR HE'S SETTING  
20110120030037.000|20110120030038.000|CC1|STRAIGHT TODAY.                 
20110120030038.000|20110120030039.000|CC1|>> WAIT A MINUTE.               
20110120030039.000|20110120030045.000|CC1|HAVE YOU HEARD SOMETHING?       
20110120030045.000|20110120030048.000|CC1|>> AN "EXTRA" SNEAK PEEK AT     
20110120030048.000|20110120030049.000|CC1|TONIGHT'S ALL-NEW "IDOL."       
20110120030049.000|20110120030050.000|CC1|IS THERE A SALARY WAR BETWEEN   
20110120030050.000|20110120030051.000|CC1|TYLER AND J. LO?                
20110120030051.000|20110120030052.000|CC1|I'M DIGGING FOR SCOOP WITH THE  
20110120030052.000|20110120030053.000|CC1|BIG DOG HIMSELF.                
20110120030053.000|20110120030054.000|CC1|>> WHAT DO YOU MISS MOST ABOUT  
20110120030054.000|20110120030055.000|CC1|SIMON?                          
20110120030055.000|20110120030056.000|CC1|>> HOWARD STERN HIJACKS THE     
20110120030056.000|20110120030058.000|CC1|PIERS MORGAN SHOW.              
20110120030058.000|20110120030103.000|CC1|>> [BEEP] NOT YOUR INTERVIEW.   
