TOP|20110120030001|2011-01-20_0300_US_MSNBC_The_Last_Word_With_Lawrence_ODonnell
COL|Communication Studies Archive, UCLA 
UID|bcecb308-2449-11e0-895e-001517add6f2
DUR|0:59:49.98
VID|640x480
CMT|
LAN|ENG
LBT|2011-01-19 19:00 America/Los_Angeles
SEG_01|2014-06-18 18:55:48|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110120030002.000|20110120030029.000|SEG|Type=Story
20110120030002.000|20110120030003.000|CC1|SEE YOU AGAIN TOMORROW NIGHT.   
20110120030003.000|20110120030005.000|CC1|NOW IT IS TIME FOR THE LAST     
20110120030005.000|20110120030007.000|CC1|WORD WITH LAWRENCE O'DONNELL.   
20110120030007.000|20110120030009.000|CC1|>> RACHEL, THANKS FOR LETTING ME
20110120030009.000|20110120030010.000|CC1|APPEAR ON YOUR SHOW TONIGHT     
20110120030010.000|20110120030012.000|CC1|WITHOUT HAVING TO ACTUALLY GET  
20110120030012.000|20110120030013.000|CC1|DRESSED TO APPEAR EARLY ON YOUR 
20110120030013.000|20110120030014.000|CC1|SHOW.                           
20110120030014.000|20110120030015.000|CC1|BY USING MY VIDEOTAPE.          
20110120030015.000|20110120030015.000|CC1|>> I APPRECIATE IT.             
20110120030015.000|20110120030018.000|CC1|>> I AM LEARNING SO MANY NEW AND
20110120030018.000|20110120030020.000|CC1|SMART WAYS TO THINK ABOUT GUN   
20110120030020.000|20110120030021.000|CC1|AND AMMUNITION CONTROL FROM YOU.
20110120030021.000|20110120030022.000|CC1|KEEP THIS GOING, PLEASE.        
20110120030022.000|20110120030023.000|CC1|>> THANK YOU.                   
20110120030023.000|20110120030025.000|CC1|AND CONGRATULATIONS ON YOUR     
20110120030025.000|20110120030026.000|CC1|DISCUSSION WITH CONGRESSMAN     
20110120030026.000|20110120030027.000|CC1|FRANKS LAST NIGHT.              
20110120030027.000|20110120030028.000|CC1|>> THANKS, RACHEL.              
20110120030028.000|20110120030029.000|CC1|>> THANKS.                      
20110120030029.000|20110120031018.000|SEG|Type=Story
20110120030029.000|20110120030031.000|CC1|>>> TONIGHT, PRESIDENT OBAMA IS 
20110120030031.000|20110120030032.000|CC1|HOSTING A STATE DINNER AT THE   
20110120030032.000|20110120030034.000|CC1|WHITE HOUSE FOR THE PRESIDENT OF
20110120030034.000|20110120030034.000|CC1|CHINA.                          
20110120030034.000|20110120030036.000|CC1|THERE ARE SERIOUS ECONOMIC AND  
20110120030036.000|20110120030037.000|CC1|HUMAN RIGHTS ISSUES ON OUR      
20110120030037.000|20110120030039.000|CC1|AGENDA WITH CHINA.              
20110120030039.000|20110120030040.000|CC1|MANY DEMOCRATIC LEADERS ARE     
20110120030040.000|20110120030041.000|CC1|ATTENDING BUT THE REPUBLICAN    
20110120030041.000|20110120030042.000|CC1|SPEAKER OF THE HOUSE THIRD IN   
20110120030042.000|20110120030044.000|CC1|LINE TO THE PRESIDENCY JOHN     
20110120030044.000|20110120030046.000|CC1|BOEHNER HAD SOMETHING MORE      
20110120030046.000|20110120030047.000|CC1|IMPORTANT THAN A STATE DINNER   
20110120030047.000|20110120030049.000|CC1|FOR THE NATION HOLDING 7% OF OUR
20110120030049.000|20110120030051.000|CC1|NATIONAL DEBT.                  
20110120030051.000|20110120030052.000|CC1|HE VOTED TO REPEAL HEALTH CARE  
20110120030052.000|20110120030057.000|CC1|REFORM.                         
20110120030057.000|20110120030058.000|CC1|>> PRESIDENT OBAMA IS GOING TO  
20110120030058.000|20110120030101.000|CC1|BE WELCOMING THE CHINESE        
20110120030101.000|20110120030101.000|CC1|PRESIDENT HU AT THIS HOUR.      
