TOP|20110120033001|2011-01-20_0330_US_KNBC_Access_Hollywood
COL|Communication Studies Archive, UCLA 
UID|b94ab6aa-2449-11e0-9a85-001517add720
DUR|0:29:49.42
VID|640x368
CMT|
LAN|ENG
LBT|2011-01-19 19:30 America/Los_Angeles
SEG_01|2014-06-18 18:55:49|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110120033002.000|20110120033002.000|XDS|%    TITLE: ACCESS HOLLYWOOD
20110120033002.000|20110120033002.000|XDS|%   RATING: (NOT RATED) (72)
20110120033003.000|20110120033003.000|XDS|%     DESC: So You Think You Can Date
20110120033005.000|20110120033642.000|SEG|Type=Story
20110120033005.000|20110120033006.000|CC1|ALONE!                          
20110120033006.000|20110120033008.000|CC1|>>  ? I KNOW ?                  
20110120033008.000|20110120033009.000|CC1|>>  J. LO IN TEARS.             
20110120033009.000|20110120033011.000|CC1|A SNEAK PEEK AT TONIGHT'S "IDOL"
20110120033011.000|20110120033012.000|CC1|RETURN.                         
20110120033012.000|20110120033013.000|CC1|I'M SHAUN ROBINSON PLUS SIMON   
20110120033013.000|20110120033015.000|CC1|STRAIGHT TO THE CAMERA          
20110120033015.000|20110120033016.000|CC1|CONFESSION.                     
20110120033016.000|20110120033017.000|CC1|WHY HE LEFT THE SHOW.           
20110120033017.000|20110120033019.000|CC1|>>  IT'S TIME TO GO.            
20110120033019.000|20110120033022.000|CC1|>>  GETTING TO 89 TOOK REALLY NO
20110120033022.000|20110120033022.000|CC1|TALENT.                         
20110120033022.000|20110120033023.000|CC1|>> ALL ACCESS TO THE HOTTEST    
20110120033023.000|20110120033025.000|CC1|BIRTHDAY BASH THIS SIDE OF 90.  
20110120033025.000|20110120033026.000|CC1|I'M MARIA MENOUNUS.             
20110120033026.000|20110120033029.000|CC1|BIEBER BELTS IT OUT FOR BETTY.  
20110120033029.000|20110120033031.000|CC1|>>  ? HAPPY BIRTHDAY TO YOU ?   
20110120033031.000|20110120033033.000|CC1|>>  SING IT.                    
20110120033033.000|20110120033035.000|CC1|>>  REPLACING A LEGEND, WHAT    
20110120033035.000|20110120033037.000|CC1|DOES REEG THINK?                
20110120033037.000|20110120033038.000|CC1|WE'VE GOT HIM.                  
20110120033038.000|20110120033039.000|CC1|WELCOME TO "ACCESS HOLLYWOOD."  
20110120033039.000|20110120033041.000|CC1|I DON'T KNOW IF WE SHOULD BE    
20110120033041.000|20110120033041.000|CC1|TALKING ABOUT THIS SO SOON.     
20110120033041.000|20110120033042.000|CC1|SO THERE.                       
20110120033042.000|20110120033045.000|CC1|BUT THE TRIBUTE THIS MORNING IN 
20110120033045.000|20110120033046.000|CC1|AND THE LATE NIGHT JOKES ARE    
20110120033046.000|20110120033048.000|CC1|FLYING AND THE REEG IS DOING    
20110120033048.000|20110120033051.000|CC1|WHAT HE DOES BEST.              
20110120033051.000|20110120033052.000|CC1|TALKING.                        
20110120033052.000|20110120033056.000|CC1|>>  YESTERDAY, I MADE A BIG     
20110120033056.000|20110120033057.000|CC1|ANNOUNCEMENT TO ME AND TODAY, I 
20110120033057.000|20110120033058.000|CC1|GOT TO TELL YOU, I WAS ONLY     
20110120033058.000|20110120033102.000|CC1|KIDDING.                        
20110120033102.000|20110120033104.000|CC1|BUT I LOVE THE PRESS.           
20110120033104.000|20110120033105.000|CC1|OH, BOY!                        
20110120033105.000|20110120033107.000|CC1|>>  THE THINGS HE WILL DO TO GET
20110120033107.000|20110120033108.000|CC1|HIS NAME IN THE PAPER.          
20110120033108.000|20110120033109.000|CC1|>>  WE LOVE YOU, REEG.          
20110120033109.000|20110120033111.000|CC1|>> THANK YOU VERY MUCH.         
20110120033111.000|20110120033113.000|CC1|>>  GREETED BY A FAN CLUB OF    
20110120033113.000|20110120033114.000|CC1|PAPPARAZZI AND REPORTERS DURING 
20110120033114.000|20110120033117.000|CC1|HIS WALK TO WORK, THE REEG WAS  
20110120033117.000|20110120033120.000|CC1|OVERWHELMED BY THE ATTENTION HIS
20110120033120.000|20110120033122.000|CC1|ANNOUNCEMENT CREATED.           
20110120033122.000|20110120033123.000|CC1|HE ANNOUNCED WHILE HE MAY BE    
20110120033123.000|20110120033125.000|CC1|LEAVING "LIVE" HE'S VERY MUCH   
20110120033125.000|20110120033125.000|CC1|ALIVE.                          
20110120033125.000|20110120033126.000|CC1|>> I'M NOT RETIRING IF          
20110120033126.000|20110120033127.000|CC1|TELEVISION.                     
20110120033127.000|20110120033129.000|CC1|I'M JUST LEAVING THE SHOW.      
20110120033129.000|20110120033131.000|CC1|AND WHAT'S SO FUNNY?            
20110120033131.000|20110120033133.000|CC1|YOU KNOW, HONEST TO GOD, I DON'T
20110120033133.000|20110120033134.000|CC1|WANT TO GET MORBID ABOUT THIS   
20110120033134.000|20110120033137.000|CC1|BUT I ALMOST FELT LIKE I WAS    
20110120033137.000|20110120033139.000|CC1|LOOKING AT MY OBITUARY.         
20110120033139.000|20110120033140.000|CC1|>>  I FEEL BAD, YOU KNOW, I LOVE
20110120033140.000|20110120033141.000|CC1|REGIS.                          
20110120033141.000|20110120033142.000|CC1|ONE OF MY FAVORITE PEOPLE.      
20110120033142.000|20110120033145.000|CC1|WE'VE BOTH BEEN AROUND A LONG   
20110120033145.000|20110120033147.000|CC1|TIME BUT AS HE SAID, NOTHING IS 
20110120033147.000|20110120033147.000|CC1|FOREVER.                        
20110120033147.000|20110120033149.000|CC1|>>  YOU CAN TAKE THE KING OFF   
20110120033149.000|20110120033152.000|CC1|CNN BUT NOT OUT OF HIS          
20110120033152.000|20110120033154.000|CC1|SUSPENDERS SAYS THIS MORNING    
20110120033154.000|20110120033155.000|CC1|PHILBIN'S GOOD FRIEND LARRY TOLD
20110120033155.000|20110120033155.000|CC1|"ACCESS" HE WOULD CONSIDER      
20110120033155.000|20110120033157.000|CC1|FILLING IN FOR A SHOW OR TWO.   
20110120033157.000|20110120033159.000|CC1|AND LAST NIGHT WAS JOY BEHAR    
20110120033159.000|20110120033203.000|CC1|UNLEASHED A FULL RANGE OF THEIR 
20110120033203.000|20110120033204.000|CC1|ROMANCE.                        
20110120033204.000|20110120033204.000|CC1|>> ? SOME DAY                   
20110120033204.000|20110120033207.000|CC1|WHEN I'M AWFULLY LOW            
20110120033207.000|20110120033210.000|CC1|AND THE WORLD IS COLD           
20110120033210.000|20110120033211.000|CC1|I WILL FEEL A GLOW              
20110120033211.000|20110120033212.000|CC1|JUST THINKING OF YOU            
20110120033212.000|20110120033215.000|CC1|REEG                            
20110120033215.000|20110120033217.000|CC1|AND THE WAY YOU LOOK TONIGHT ?  
20110120033217.000|20110120033218.000|CC1|>>  OH, LOOK AT YOU.            
20110120033218.000|20110120033219.000|CC1|>>  HELLO!                      
20110120033219.000|20110120033220.000|CC1|>>  REGIS, IS THAT YOU?         
20110120033220.000|20110120033222.000|CC1|>>  YES.                        
20110120033222.000|20110120033223.000|CC1|WHO'S THIS?                     
20110120033223.000|20110120033228.000|CC1|>>  IT SEEMS SINGING IS A       
20110120033228.000|20110120033231.000|CC1|FRIENDSHIP PREREQUISITE.        
20110120033231.000|20110120033232.000|CC1|ON LETTERMAN, HE ENTICED LETTER 
20110120033232.000|20110120033234.000|CC1|MAP INTO A DUET.                
20110120033234.000|20110120033235.000|CC1|>> ? THERE'S NO BUSINESS LIKE   
20110120033235.000|20110120033237.000|CC1|SHOW BUSINESS                   
20110120033237.000|20110120033239.000|CC1|LIKE NO BUSINESS I KNOW ?       
20110120033239.000|20110120033241.000|CC1|>>  ? EVERYTHING ABOUT IT IS    
20110120033241.000|20110120033244.000|CC1|APPEALING                       
20110120033244.000|20110120033247.000|CC1|EVERYTHING ABOUT IT ?           
20110120033247.000|20110120033251.000|CC1|>>  ? YOU ARE FEELING ?         
20110120033251.000|20110120033253.000|CC1|>>  AND AFTER KATHIE LEE GIFFORD
20110120033253.000|20110120033255.000|CC1|TOLD US YESTERDAY THAT HER      
20110120033255.000|20110120033256.000|CC1|FORMER CO-HOST'S ENERGY IS      
20110120033256.000|20110120033258.000|CC1|COMPARABLE TO THAT OF BETTY     
20110120033258.000|20110120033300.000|CC1|WHITE'S, LAST NIGHT THE TV      
20110120033300.000|20110120033302.000|CC1|LEGEND GRACIOUSLY ACCEPTED THE  
20110120033302.000|20110120033303.000|CC1|COMPLIMENT.                     
20110120033303.000|20110120033305.000|CC1|>> I THINK THAT'S VERY SWEET AND
20110120033305.000|20110120033306.000|CC1|BLESS KATHIE LEE.               
20110120033306.000|20110120033306.000|CC1|I APPRECIATE IT.                
20110120033306.000|20110120033308.000|CC1|>> LATER, OUR GREATEST MOMENTS  
20110120033308.000|20110120033310.000|CC1|WITH THE REEG.                  
20110120033310.000|20110120033312.000|CC1|FOOD FIGHTS.                    
20110120033312.000|20110120033312.000|CC1|MILKING GOATS.                  
20110120033312.000|20110120033315.000|CC1|ALL THE FUN AND REGIS FACES THE 
20110120033315.000|20110120033316.000|CC1|BURNING QUESTION, WHO WOULD YOU 
20110120033316.000|20110120033317.000|CC1|RATHER BE TRAPPED ON A DESERT   
20110120033317.000|20110120033319.000|CC1|ISLAND WITH, KATHIE LEE OR      
20110120033319.000|20110120033319.000|CC1|KELLY?                          
20110120033319.000|20110120033322.000|CC1|>>  WE JUST SAW BETTY WHITE'S   
20110120033322.000|20110120033323.000|CC1|SWEET WORDS ON REGISMENT NOW    
20110120033323.000|20110120033325.000|CC1|IT'S TIME FOR BETTY TO RECEIVE  
20110120033325.000|20110120033327.000|CC1|THE LOVE AS SHE CELEBRATES HER  
20110120033327.000|20110120033329.000|CC1|89TH BIRTHDAY WITH A BIG NEW    
20110120033329.000|20110120033331.000|CC1|YORK CITY BASH.                 
20110120033331.000|20110120033333.000|CC1|>> WELL, GETTING TO 89 TOOK     
20110120033333.000|20110120033334.000|CC1|REALLY NO TALENT.               
20110120033334.000|20110120033336.000|CC1|ALL I HAD TO DO WAS JUST HOLD   
20110120033336.000|20110120033337.000|CC1|STILL.                          
20110120033337.000|20110120033340.000|CC1|>>  A LOVELY VISION IN RED.     
20110120033340.000|20110120033342.000|CC1|BETTY BEAMED FLANKED BY HER "HOT
20110120033342.000|20110120033344.000|CC1|IN CLEVELAND" CO-STARS WHO WERE 
20110120033344.000|20110120033345.000|CC1|DRESSED IN BLACK.               
20110120033345.000|20110120033347.000|CC1|>> WE'VE BEEN CELEBRATING ALL   
20110120033347.000|20110120033348.000|CC1|WEEK FOR BETTY.                 
20110120033348.000|20110120033350.000|CC1|>> SHE'S INSPIRED SO MANY OF US.
20110120033350.000|20110120033351.000|CC1|>> SUCCESS IN HER LONGEVITY AND 
20110120033351.000|20110120033352.000|CC1|THE REASON SHE LOOKS SO FABULOUS
20110120033352.000|20110120033356.000|CC1|IS THAT SHE CONTINUES TO DO WHAT
20110120033356.000|20110120033357.000|CC1|SHE LOVES.                      
20110120033357.000|20110120033400.000|CC1|>>  OH, MY GOD.                 
20110120033400.000|20110120033403.000|CC1|ALL I EVER SEE HER EAT IS RED   
20110120033403.000|20110120033404.000|CC1|VINES AND HOT DOG.              
20110120033404.000|20110120033405.000|CC1|>> THEY'RE ALL SO SWEET TO ME.  
20110120033405.000|20110120033406.000|CC1|THEY SPOIL ME ROTTEN.           
20110120033406.000|20110120033408.000|CC1|DON'T BELIEVE EVERYTHING THEY   
