TOP|20110120040001|2011-01-20_0400_US_KCAL_KCAL_9_News_at_8PM
COL|Communication Studies Archive, UCLA 
UID|1afc8c2c-2452-11e0-8865-001517add720
DUR|0:59:48.88
VID|640x368
CMT|
LAN|ENG
LBT|2011-01-19 20:00 America/Los_Angeles
SEG_01|2014-02-03 01:07:28|Source_Program=commercial_detection.py|Source_Person=Weixin Li
20110120040003.000|20110120045949.000|SEG|Type=Story
20110120040003.000|20110120040006.000|CC1|LOOK AT OUR CARMAX TEXT         
20110120040006.000|20110120040009.000|CC1|QUESTION.                       
20110120040009.000|20110120040011.000|CC1|BEST PLAYER CURRENTLY IN THE    
20110120040011.000|20110120040015.000|CC1|LEAGUE.                         
20110120040015.000|20110120040020.000|CC1|WELL THE BENCHES 41-17 FOR      
20110120040020.000|20110120040024.000|CC1|THE MAVERICKS.                  
20110120040024.000|20110120040029.000|CC1|JASON TERRY IS 7-11 SO FAR,     
20110120040029.000|20110120040038.000|CC1|3-5 FROM BEYOND THE ARC.        
20110120040038.000|20110120040042.000|CC1|32 POINTS COMBINED, 17 FOR      
20110120040042.000|20110120040045.000|CC1|TERRY, 15 FOR SHAWN MARION      
20110120040045.000|20110120040047.000|CC1|AND THIS FRANCHISE WAS DUE      
20110120040047.000|20110120040048.000|CC1|AND THAT'SY SAID AT THE TOP     
20110120040048.000|20110120040050.000|CC1|IT WAS A DANGEROUS SET UP       
20110120040050.000|20110120040050.000|CC1|FOR THE LAKERS.                 
20110120040050.000|20110120040052.000|CC1|THEY WERE OVERDUE.              
20110120040052.000|20110120040055.000|CC1|ALL THE COVERAGE IN LOSSES,     
20110120040055.000|20110120040057.000|CC1|SIX CONSECUTIVE LOSSES, FOUR    
20110120040057.000|20110120040059.000|CC1|STRAIGHT ON THE ROAD, ALL       
20110120040059.000|20110120040100.000|CC1|DOUBLE FIGURE SETBACKS AND      
20110120040100.000|20110120040103.000|CC1|ALL OF A SUDDEN DALLAS          
20110120040103.000|20110120040105.000|CC1|EXPLODING OFFENSIVELY, THEY     
20110120040105.000|20110120040107.000|CC1|AVERAGED THEIR LAST FOUR ON     
20110120040107.000|20110120040109.000|CC1|THE ROAD 84 A GAME.             
20110120040109.000|20110120040111.000|CC1|THEY HAVE NINE MINUTES LEFT     
20110120040111.000|20110120040113.000|CC1|AFTER THE LAKERS HAVE PLAYED    
20110120040113.000|20110120040114.000|CC1|PRETTY GOOD DEFENSE             
20110120040114.000|20110120040117.000|CC1|RECENTLY.                       
20110120040117.000|20110120040118.000|CC1|LET'S SEE WHAT THEY CAN DO.     
20110120040118.000|20110120040121.000|CC1|A LOT OF TIME LEFT HERE         
20110120040121.000|20110120040122.000|CC1|TONIGHT.                        
20110120040122.000|20110120040124.000|CC1|IT'S BLAKE LAMAR KOBE BACK      
20110120040124.000|20110120040125.000|CC1|ON THE FLOOR AND THE ANDREW     
20110120040125.000|20110120040129.000|CC1|BYNUM.                          
20110120040129.000|20110120040129.000|CC1|NOW KOBE UP AGAINST SHAWN       
20110120040129.000|20110120040132.000|CC1|MARION.                         
20110120040132.000|20110120040134.000|CC1|INSIDE OF TEN ON THE THE        
