TOP|20110120073501|2011-01-20_0735_US_KCBS_Late_Show_with_Dave_Letterman
COL|Communication Studies Archive, UCLA 
UID|6e250b2c-2470-11e0-9521-001517add6fa
DUR|1:01:48.83
VID|640x368
CMT|
LAN|ENG
LBT|2011-01-19 23:35 America/Los_Angeles
SEG_01|2014-06-18 18:55:56|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110120073503.000|20110120073503.000|XDS|%     CALL:   
20110120073503.000|20110120073503.000|XDS|%  NETWORK: CBS
20110120073506.000|20110120073506.000|XDS|%    TITLE: BG2405G
20110120073508.000|20110120083649.000|SEG|Type=Story
20110120073508.000|20110120073542.000|SEG_01|Type=Commercial
20110120073508.000|20110120073509.000|CC1|                                
20110120073509.000|20110120073510.000|CC1|( BAND PLAYING                  
20110120073511.000|20110120073511.000|XDS|%    TITLE:   
20110120073510.000|20110120073513.000|CC1| "LATE SHOW" THEME )            
20110120073513.000|20110120073513.000|XDS|%    TITLE: LETRMN-3433-001
20110120073513.000|20110120073514.000|CC1|>> FROM NEW YORK,               
20110120073514.000|20110120073515.000|CC1| THE GREATEST CITY IN THE WORLD,
20110120073515.000|20110120073516.000|CC1| IT'S THE "LATE SHOW" WITH      
20110120073516.000|20110120073519.000|CC1| DAVID LETTERMAN.               
20110120073519.000|20110120073529.000|CC1| TONIGHT...                     
20110120073529.000|20110120073529.000|CC1| PLUS PAUL SHAFFER AND THE      
20110120073529.000|20110120073534.000|CC1| CBS ORCHESTRA.                 
20110120073534.000|20110120073535.000|CC1| Captioning sponsored by        
20110120073535.000|20110120073542.000|CC1| WORLDWIDE PANTS and CBS        
20110120073542.000|20110120073543.000|SEG_01|Type=Story start
20110120073542.000|20110120073543.000|CC1|AND NOW THIRD WORLD STRONGED MAN
20110120073543.000|20110120073547.000|CC1|DAVID LETTERMAN!                
20110120073547.000|20110120073612.000|SEG_01|Type=Commercial
20110120073547.000|20110120073548.000|CC1|( BAND PLAYING                  
20110120073548.000|20110120073553.000|CC1| "LATE SHOW" THEME )            
20110120073553.000|20110120073612.000|CC1|( CHEERS AND APPLAUSE )         
20110120073612.000|20110120073612.000|SEG_01|Type=Story start
20110120073612.000|20110120073612.000|CC1|>> Dave: THANK YOU!             
20110120073612.000|20110120073612.000|CC1|HEY!                            
20110120073612.000|20110120073613.000|CC1|HEY!                            
20110120073613.000|20110120073614.000|CC1|LAST CALL.                      
20110120073614.000|20110120073627.000|CC1|( LAUGHTER )                    
20110120073627.000|20110120073628.000|CC1|THANK YOU VERY MUCH, LADIES AND 
20110120073628.000|20110120073629.000|CC1|GENTLEMEN.                      
20110120073629.000|20110120073630.000|CC1|WELCOME TO THE "LATE SHOW."     
20110120073630.000|20110120073631.000|CC1|EVERYBODY SETTLE DOWN, SETTLE   
