TOP|20110120080501|2011-01-20_0805_US_KABC_Jimmy_Kimmel_Live
COL|Communication Studies Archive, UCLA 
UID|c2ee3378-2474-11e0-8cef-001517add6fa
DUR|1:02:48.79
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-20 00:05 America/Los_Angeles
SEG_01|2014-06-18 18:56:03|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110120080535.000|20110120080535.000|XDS|%  NETWORK: ABC
20110120080535.000|20110120080535.000|XDS|%   RATING: (NOT RATED) (72)
20110120080535.000|20110120080535.000|XDS|%     CALL:   
20110120080535.000|20110120080535.000|XDS|%   LENGTH: 0:29:00 of 0:31:00
20110120080538.000|20110120080538.000|XDS|%    TITLE: ABC NEWS NIGHTLINE
20110120080538.000|20110120080538.000|XDS|% TIMECODE: 1/20 2:35
20110120080538.000|20110120080538.000|XDS|%   LENGTH: 1:20:00 of 2:35:00
20110120080548.000|20110120090749.000|SEG|Type=Story
20110120080548.000|20110120080551.000|SEG_01|Type=Commercial
20110120080548.000|20110120080550.000|CC1|>>> TIME NOW FOR TONIGHT'S      
20110120080550.000|20110120080551.000|CC1|CLOSING ARGUMENT.               
20110120080551.000|20110120080555.000|SEG_01|Type=Story start
20110120080551.000|20110120080555.000|CC1|ALABAMA GOVERNOR ROBERT BENTLEY 
20110120080555.000|20110120080556.000|CC1|APOLOGIZED FOR HIS REMARKS ABOUT
20110120080556.000|20110120080558.000|CC1|HOW ONLY CHRISTIANS WHO HAD BEEN
20110120080558.000|20110120080600.000|CC1|SAVED BY JESUS COULD BE HIS     
20110120080600.000|20110120080602.000|CC1|BROTHERS AND SISTERS.           
20110120080602.000|20110120080604.000|CC1|BENTLEY SAID HE WAS SORRY IF HE 
20110120080604.000|20110120080606.000|CC1|OFFENDED ANYONE IN ANY WAY AND  
20110120080606.000|20110120080608.000|CC1|SAID HE WOULD WORK OVER THE NEXT
20110120080608.000|20110120080609.000|CC1|FOUR YEARS FOR PEOPLE OF ALL    
20110120080609.000|20110120080610.000|CC1|FAITHS AND COLORS.              
20110120080610.000|20110120080613.000|CC1|SO, TONIGHT, WE ASK YOU, IS AN  
