TOP|20110120230001|2011-01-20_2300_US_FOX-News_Special_Report_with_Bret_Baier
COL|Communication Studies Archive, UCLA 
UID|5f2077d4-24f1-11e0-afc0-001517add60e
DUR|0:59:49.01
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-20 15:00 America/Los_Angeles
SEG_01|2014-06-18 18:56:46|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110120230003.000|20110120230003.000|XDS|%   RATING: (NOT RATED) (72)
20110120230005.000|20110120230005.000|XDS|%     CALL: FNC 
20110120230007.000|20110120230007.000|XDS|%  NETWORK: Fox News Channel
20110120230003.000|20110120234044.000|SEG|Type=Story
20110120230003.000|20110120230009.000|CC1|IT'S NUMBERONE.                 
20110120230009.000|20110120230010.000|CC1|GUARD IT                        
20110120230010.000|20110120230010.000|CC1|PROTECT IT.                     
20110120230010.000|20110120230012.000|CC1|REVEL IN IT.                    
20110120230012.000|20110120230013.000|CC1|RESPSIBLY SHARE IT AND KNOW     
20110120230013.000|20110120230014.000|CC1|THAT MISTAKEWILL BE MADE.       
20110120230014.000|20110120230015.000|CC1|FROM NEW YORK, GOOD GHT,        
20110120230015.000|20110120230016.000|CC1|AMERICA.                        
20110120230016.000|20110120230016.000|CC1|          Captioned By          
20110120230016.000|20110120230019.000|CC1|Closed Captioning ServicesInc   
20110120230019.000|20110120230020.000|CC1|>> Cis: HOUSE REPUBLICANS       
20110120230020.000|20110120230021.000|CC1|TRY TO COMEP WITH A             
20110120230021.000|20110120230023.000|CC1|REPLACEMENT FOR PRIDENT         
20110120230023.000|20110120230024.000|CC1|OBAMS HEALTHCARE REFORM.        
20110120230024.000|20110120230025.000|CC1|THE WHITE HOUSE IS BEING        
20110120230025.000|20110120230026.000|CC1|PULLEDN TWO DIRECTIONSVER       
20110120230026.000|20110120230027.000|CC1|DEFICIT AND THE BUDGET.         
20110120230027.000|20110120230029.000|CC1|IF YOU'RE KEEPING SCORE AT      
20110120230029.000|20110120230033.000|CC1|HOME, WHO WON ATHEETING OF      
20110120230033.000|20110120230035.000|CC1|OBAL SUPERPOWERS?               
20110120230035.000|20110120230036.000|CC1|LIVE FROM THE STUDIO I          
20110120230036.000|20110120230037.000|CC1|SHINGTON, THIS ISSPECIAL        
20110120230037.000|20110120230038.000|CC1|REPORT."                        
20110120230038.000|20110120230038.000|CC1|GOOD EVENING.                   
20110120230038.000|20110120230040.000|CC1|I'M CHRIS WLACE IN FOR BRET     
20110120230040.000|20110120230041.000|CC1|BAIER.                          
20110120230041.000|20110120230042.000|CC1|HOUSE RUBLICANS FRESH OFF       
20110120230042.000|20110120230044.000|CC1|E VOTE TO REPEAL THE            
20110120230044.000|20110120230045.000|CC1|ESIDENT'S HEALTHCARE REFORM     
20110120230045.000|20110120230047.000|CC1|NOW HAVE THE JOB OF TRYING TO   
20110120230047.000|20110120230051.000|CC1|REPLACE IT WITH A BETR PLAN.    
20110120230051.000|20110120230053.000|CC1|CHIEF POLITICALORRESPONDENT     
20110120230053.000|20110120230055.000|CC1|CARL CAMERON LOOKS ATHE         
20110120230055.000|20110120230057.000|CC1|START OF THE G.O.P. EFFORT.     
20110120230057.000|20110120230058.000|CC1|>> Reporter: PHASETWO, AFTER    
20110120230058.000|20110120230059.000|CC1|VOTING TOEPEAL THE              
20110120230059.000|20110120230100.000|CC1|HEALTHCARE LAW LAST NIGHT,      
20110120230100.000|20110120230101.000|CC1|HOUSE REPUBLICANS PASD          
20110120230101.000|20110120230102.000|CC1|LEGISLATIOTODAY TO BEGIN        
20110120230102.000|20110120230103.000|CC1|REACING IT.                     
20110120230103.000|20110120230105.000|CC1|TH STATE GOA CUT COST,          
20110120230105.000|20110120230107.000|CC1|WASTE, FRAUD AND ABUSE.         
20110120230107.000|20110120230108.000|CC1|EXPAND INSURANCECOVERAGE.       
20110120230108.000|20110120230110.000|CC1|REDUCE PREMIUMS.                
20110120230110.000|20110120230111.000|CC1|LET PEOPL KEEP COVERAGE THEY    
20110120230111.000|20110120230113.000|CC1|HAVE AND BLOCK FEDERAL FUNDS    
20110120230113.000|20110120230114.000|CC1|FOR ABORTION.                   
20110120230114.000|20110120230116.000|CC1|PREMIER AND PER REASONAL        
20110120230116.000|20110120230120.000|CC1|G.O.P. CAMPAIGN PROMISE.        
20110120230120.000|20110120230122.000|CC1|>> WN THERE IS NOUBLIC          
20110120230122.000|20110120230124.000|CC1|SUBSIDY, NBER DROP BY %.        
20110120230124.000|20110120230126.000|CC1|IF WE WANT FEWER ABORTIO        
20110120230126.000|20110120230129.000|CC1|TAKE AWA FEDER SUBSID           
20110120230129.000|20110120230130.000|CC1|>> THEY DISMI THE G.O.P.        
20110120230130.000|20110120230132.000|CC1|REPE AND REACE PROMISES         
20110120230132.000|20110120230134.000|CC1|EMPTY.                          
20110120230134.000|20110120230138.000|CC1|>> THIS VAGUE REVOLUTION IS     
20110120230139.000|20110120230139.000|XDS|%    TITLE: News, Fair and Balanced
20110120230138.000|20110120230140.000|CC1|VING AMERICAN PPLE A WISH       
20110120230140.000|20110120230140.000|CC1|SANDWICH.                       
20110120230140.000|20110120230141.000|CC1|NOING BETWEEN THE BRED.         
20110120230141.000|20110120230142.000|CC1|WE WISH THERE WAS.              
20110120230142.000|20110120230144.000|CC1|>> SCIFIC PROPOSALS LIKE THE    
20110120230144.000|20110120230146.000|CC1|MEDICAL LIABILITY REFORM AND    
20110120230146.000|20110120230147.000|CC1|EXPANDING MEDICAL SAVINGS       
20110120230147.000|20110120230150.000|CC1|ACCOTS BLOCKED BY MAJORITY      
20110120230150.000|20110120230155.000|CC1|DEMOCRATS FOFIVE YEARS.         
20110120230155.000|20110120230156.000|CC1|SEVERAL PACKAGES REINTRUCED.    
20110120230156.000|20110120230158.000|CC1|LET THE INDIVIDUA AND           
20110120230158.000|20110120230159.000|CC1|BUSINESSES CREATE INSURANCE     
20110120230159.000|20110120230200.000|CC1|ASSOATIONS TO REDUCE COST.      
20110120230200.000|20110120230203.000|CC1|AND CREATE HIGH-RISK POOLS TO   
20110120230203.000|20110120230204.000|CC1|COVER THOSE WITH PRXISTING      
20110120230204.000|20110120230205.000|CC1|CONDIONS AND MAKEHE             
20110120230205.000|20110120230207.000|CC1|HEALCARE COST 100% TAX          
20110120230207.000|20110120230208.000|CC1|DEDUCTIBLE.                     
20110120230208.000|20110120230210.000|CC1|GEORA CONGRESSMAN AND FAMY      
20110120230210.000|20110120230211.000|CC1|CTOR, PAUL BROWN.               
20110120230211.000|20110120230214.000|CC1|>> TIENT CENTERED HEALTARE      
20110120230214.000|20110120230214.000|CC1|SYSTEM.                         
20110120230214.000|20110120230216.000|CC1|PATIENTS WILL N THEIR OWN       
20110120230216.000|20110120230218.000|CC1|INSURANCE POLICY, SO IT WILL    
20110120230218.000|20110120230220.000|CC1|THE PORTABILITY PBLEM.          
20110120230220.000|20110120230222.000|CC1|IT SOLS MOST OF THE PROBLEM     
20110120230222.000|20110120230223.000|CC1|WE HAVE TODAY IN HEALTARE       
20110120230223.000|20110120230225.000|CC1|FINANCING AND IT WILL GIVE      
20110120230225.000|20110120230226.000|CC1|PATIENTSPTION OF BUYG LOW       
20110120230226.000|20110120230228.000|CC1|COST HEALTH INSURANCE THAT      
20110120230228.000|20110120230228.000|CC1|THEY CONTROL.                   
20110120230228.000|20110120230230.000|CC1|>> DISMISSING THE G.O.P         
20110120230230.000|20110120230232.000|CC1|PEAL EFFORT ASUTILE, THE        
20110120230232.000|20110120230234.000|CC1|WHITE HOUSE WARNED OF THE       
20110120230234.000|20110120230236.000|CC1|NEGATIVE CONSEQUENCES  IT       
20110120230236.000|20110120230237.000|CC1|WERE T SUCCEED.                 
20110120230237.000|20110120230239.000|CC1|>> OUT O POCKET COSTS GO U      
20110120230239.000|20110120230241.000|CC1|IF THI BECAME LAW.              
20110120230241.000|20110120230242.000|CC1|THANKFULLY, IT'S NOT GNG TO.    
20110120230242.000|20110120230244.000|CC1|>> LATEST FOX NEWSYNAMICS       
20110120230244.000|20110120230245.000|CC1|POLL, 50% SAID IF THEY WE IN    
20110120230245.000|20110120230247.000|CC1|NGRESS THEY'D VE TO REPEAL      
20110120230247.000|20110120230249.000|CC1|IT.                             
20110120230249.000|20110120230251.000|CC1|39% WOULD VOTE KEEP IT.         
20110120230251.000|20110120230253.000|CC1|HEAT I ON HARRY REID FOR        
20110120230253.000|20110120230253.000|CC1|PROMISING TO NEV LET REPEAL     
20110120230253.000|20110120230256.000|CC1|COME UP FOR DEBATE IN THE       
20110120230256.000|20110120230257.000|CC1|SENATE.                         
20110120230257.000|20110120230258.000|CC1|CONSERVATIVE SOUTH CAROLINA     
20110120230258.000|20110120230303.000|CC1|REPUBLICAN DeMIN PLANS T        
20110120230303.000|20110120230304.000|CC1|OFFER A BILL.                   
20110120230304.000|20110120230306.000|CC1|>> McCONNELL INHE SENATE.       
20110120230306.000|20110120230307.000|CC1|>> THE G.O.P. LEADERSHIP        
20110120230307.000|20110120230308.000|CC1|DOESN'T WANT TO VOTE ON THIS    
20110120230308.000|20110120230311.000|CC1|BILLBUT I ASSURE YOU WE         
20110120230311.000|20110120230311.000|CC1|WILL.                           
20110120230311.000|20110120230313.000|CC1|>> SENATEAS A NUMBER OF         
20110120230313.000|20110120230314.000|CC1|PROCEDURAL TOOLSO FORCE         
20110120230314.000|20110120230323.000|CC1|RECOED VOTE ON ANY TOPIC.       
20110120230323.000|20110120230325.000|CC1|TING IS KEY BECAUSE THEY        
20110120230325.000|20110120230327.000|CC1|WI LOOK FOR THE MAXIMUM         
20110120230327.000|20110120230329.000|CC1|LEVERAGE WITH THE 23 DEMOCRATS  
20110120230329.000|20110120230332.000|CC1|UP FOR ELECTIOIN 12.            
20110120230332.000|20110120230334.000|CC1|>> Chris: THANYOU.              
20110120230334.000|20110120230336.000|CC1|THE MOVE TO THE CENTER WILL BE  
20110120230336.000|20110120230338.000|CC1|TEED BY CSERVATIVE AND          
20110120230338.000|20110120230339.000|CC1|LIBERALS.                       
20110120230339.000|20110120230340.000|CC1|WHE HOUSE CORRESPONDENT MIKE    
20110120230340.000|20110120230341.000|CC1|EMANUEL REPORTS O THE           
20110120230341.000|20110120230342.000|CC1|CHALLENGES FACING THMAN IN      
20110120230342.000|20110120230346.000|CC1|THE MIDDLE.                     
20110120230346.000|20110120230348.000|CC1|>> DEMOCRATS LEFT CAPIT         
20110120230348.000|20110120230351.000|CC1|GROUS FOROMMITTEE WHERE         
20110120230351.000|20110120230352.000|CC1|ENDING IS THE TOPSSUE ON        
20110120230352.000|20110120230353.000|CC1|THE ECONOMY                     
20110120230353.000|20110120230354.000|CC1|BUT THEY WORRY PRESIDENT OBAMA  
20110120230354.000|20110120230356.000|CC1|MAY  TOO FAR CUTTING THE        
20110120230356.000|20110120230358.000|CC1|NATIONAL SPENDING BECAUSE       
20110120230358.000|20110120230400.000|CC1|NATIONAL DEBT TPED $14          
20110120230400.000|20110120230405.000|CC1|TRILLION.                       
20110120230405.000|20110120230407.000|CC1|>> WE STILL HAVE 9%             
20110120230407.000|20110120230408.000|CC1|UNEMPLOYME.                     
20110120230408.000|20110120230409.000|CC1|WE COULD HURTEOPLE THAT HAVE    
20110120230409.000|20110120230412.000|CC1|ALREADY BE HURT.                
20110120230412.000|20110120230414.000|CC1|RAIDS WOY THE WILL PRESSE       
20110120230414.000|20110120230416.000|CC1|THEM TOUT MORE THAN THE         
20110120230416.000|20110120230418.000|CC1|WOULD LIKE.                     
20110120230418.000|20110120230419.000|CC1|>> WE HAVE TO MAKE SURE WE      
20110120230419.000|20110120230421.000|CC1|DON'T CRIPPLEUR ABILITY TO      
20110120230421.000|20110120230422.000|CC1|INNOVATE AND PROVIDE            
20110120230422.000|20110120230424.000|CC1|INSENSITIVES WNEED TO CREAT     
20110120230424.000|20110120230426.000|CC1|JOBS OFTOMORROW.                
20110120230426.000|20110120230428.000|CC1| IN AN OP-ED PUBLISH TODAY,     
20110120230428.000|20110120230430.000|CC1|SENATOR DeMINT AND REPUBLICANS  
20110120230430.000|20110120230432.000|CC1|LAID OUT A PLAN TO CUT $2.5     
20110120230432.000|20110120230439.000|CC1|TRILLION IN SPENDING BY 2021.   
20110120230439.000|20110120230440.000|CC1|CALLING IT THE FIRST STEP IN    
20110120230440.000|20110120230441.000|CC1|THE PROCESS.                    
20110120230441.000|20110120230444.000|CC1|ITLANS TO IMPLEMENT A HAR       
20110120230444.000|20110120230447.000|CC1|FREEZE IN TEN YEARS.            
20110120230447.000|20110120230448.000|CC1|BSIDIARIES FOR AMTK WOULD       
20110120230448.000|20110120230451.000|CC1|BE CUTND HIGH-SPEED RAIL        
20110120230451.000|20110120230451.000|CC1|ELIMINATED.                     
20110120230451.000|20110120230452.000|CC1|CIVILIAN GOVERNMENT EMPLOYEES   
20110120230452.000|20110120230454.000|CC1|WOULD BE EFFECTED.              
20110120230454.000|20110120230456.000|CC1|"ATTRITION WILL TRIM THE        
20110120230456.000|20110120230459.000|CC1|WORKFORCE BY 15%, WHILE SALARY  
20110120230459.000|20110120230501.000|CC1|GOES WITHOUT AUTOMATIC P        
20110120230501.000|20110120230505.000|CC1|INCREAS FOR FIVE YEARS."        
20110120230505.000|20110120230507.000|CC1|SUPPORTER  THE HOUSE SAYS       
20110120230507.000|20110120230509.000|CC1|CUTTING SPENDING IS WHAT THEY   
20110120230509.000|20110120230510.000|CC1|WERE SUPPOSED TO DO.            
20110120230510.000|20110120230513.000|CC1|>> SOME OF DEMOCRAT SENATORS    
20110120230513.000|20110120230515.000|CC1|MAHAVE SEEN THE LIGHT AND       
20110120230515.000|20110120230517.000|CC1|FOUND JESUS.                    
20110120230517.000|20110120230519.000|CC1|REALIZTHEY NEED TO CUT          
20110120230519.000|20110120230519.000|CC1|SPENDING.                       
20110120230519.000|20110120230522.000|CC1|>> FOR NEW SPEAKER JOHN         
20110120230522.000|20110120230524.000|CC1|BOEHR AND THE LEADERSHI         
20110120230524.000|20110120230526.000|CC1|TEAM, I COULD DEVELOP TO        
20110120230526.000|20110120230531.000|CC1|PRESSURE FROM THE RIGHT.        
20110120230531.000|20110120230534.000|CC1| WE ARE OPTIMISTIC THEY WILL    
20110120230534.000|20110120230536.000|CC1|LIKE THE PROPOSAL.              
20110120230536.000|20110120230537.000|CC1|>> PRESIDENT OBAMA IS PLANNING  
20110120230537.000|20110120230539.000|CC1|FOR E RE-ELECTION BID.          
20110120230539.000|20110120230540.000|CC1|CLOSING THE WHITE HOUSE         
20110120230540.000|20110120230542.000|CC1|POLITICAL OFFICE TO OID         
20110120230542.000|20110120230542.000|CC1|REDUNDANCY.                     
20110120230542.000|20110120230544.000|CC1|AIS SAY MR. OBAMA IS            
20110120230544.000|20110120230545.000|CC1|EXPECTED TO ANUNCE THELANS      
20110120230545.000|20110120230546.000|CC1|THIS SPRING SO THE TEAM         
20110120230546.000|20110120230547.000|CC1|REQUEST MOVE FORWARD WITH       
20110120230547.000|20110120230548.000|CC1|RAISING MUP.                    
20110120230548.000|20110120230550.000|CC1|AT THE WHITE HOUSE, MIKE        
20110120230550.000|20110120230551.000|CC1|EMANUEL, FOX NEWS.              
20110120230551.000|20110120230553.000|CC1|>> PRESIDENT OBAMA'S RATINGS    
20110120230553.000|20110120230555.000|CC1|E UP A BIT THIS MONTH.          
