TOP|20110121023001|2011-01-21_0230_US_KMEX_Noticiero_Univision
COL|Communication Studies Archive, UCLA 
UID|8470caac-250a-11e0-9fc2-001517add6f2
DUR|0:29:49.78
VID|640x480
CMT|
LAN|SPA
LBT|2011-01-20 18:30 America/Los_Angeles
SEG_01|2014-06-18 18:57:10|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110121023004.000|20110121023047.000|SEG|Type=Story
20110121023004.000|20110121023009.000|CC1|>> Nos vemosesta noche .        
20110121023009.000|20110121023030.000|CC1|>>                              
20110121023030.000|20110121023033.000|CC1|En un solo día arrestanieo a más
20110121023033.000|20110121023037.000|CC1|de 100 personas.                
20110121023037.000|20110121023041.000|CC1|Y no deja de asombrar la        
20110121023041.000|20110121023044.000|CC1|capacidad de recuperación de    
20110121023044.000|20110121023045.000|CC1|Gabrielle Giffords.             
20110121023045.000|20110121023047.000|CC1|?? ??                           
20110121023047.000|20110121023057.000|SEG|Type=Story
20110121023047.000|20110121023050.000|CC1|>>> Este es su Noticiero        
20110121023050.000|20110121023054.000|CC1|Univisión con Jorge Ramos y     
20110121023054.000|20110121023057.000|CC1|María Elena Salinas.            
20110121023057.000|20110121023952.000|SEG|Type=Story
20110121023057.000|20110121023102.000|CC1|>>> Que tal.                    
20110121023102.000|20110121023949.000|SEG_01|Type=Commercial
20110121023102.000|20110121023106.000|CC1|LA PRESIÓN DE EMPLEADORES       
20110121023106.000|20110121023108.000|CC1|SU MISIÓN SERÁ ASEGURARSE DE    
20110121023108.000|20110121023114.000|CC1|QUE TODOS LOS EMPLEADOS PUEDAN  
20110121023114.000|20110121023119.000|CC1|TRABAJAR LEGALMENTE. TRAE LO    
20110121023119.000|20110121023120.000|CC1|QUE ALGUNOS LLAMAN REDADAS      
20110121023120.000|20110121023121.000|CC1|SILENCIOSAS.                    
20110121023121.000|20110121023127.000|CC1|>> HAY COMPAÑÍAS GRANDES Y      
20110121023127.000|20110121023128.000|CC1|PEQUEÑAS QUE CONTRATAN A        
20110121023128.000|20110121023131.000|CC1|INDOCUMENTADOS. ADUANA DIJO QUE 
20110121023131.000|20110121023131.000|CC1|ESTÁN LISTOS PARA AUMENTAR LA   
20110121023131.000|20110121023136.000|CC1|PRESIÓN SOBRE EMPLEADORES.      
20110121023136.000|20110121023139.000|CC1|>> LA AGENCIA HA CREADO UNA     
20110121023139.000|20110121023141.000|CC1|NUEVA OFICINA CON 15            
20110121023141.000|20110121023142.000|CC1|INVESTIGADORES EXCLUSIVAMENTE   
20110121023142.000|20110121023143.000|CC1|DEDICADA A ÉL TEMA DE LAS       
20110121023143.000|20110121023148.000|CC1|EMPRESAS.                       
20110121023148.000|20110121023149.000|CC1|SE ENCONTRARON MILES DE         
20110121023149.000|20110121023153.000|CC1|TRABAJADORES EN MILES DE FIRMAS.
20110121023153.000|20110121023154.000|CC1|>> ES IMPORTANTE CHEQUEAR,      
20110121023154.000|20110121023155.000|CC1|PORQUE TODO TIENE QUE ESTAR DE  
20110121023155.000|20110121023200.000|CC1|ACUERDO A LA LEY.               
20110121023200.000|20110121023201.000|CC1|>> ALGUNOS DUEÑOS DE EMPRESAS   
20110121023201.000|20110121023206.000|CC1|PEQUEÑAS COMO JULIO CASTILLO    
20110121023206.000|20110121023207.000|CC1|TIENEN MIEDO DE SER INCULPADOS  
20110121023207.000|20110121023212.000|CC1|DE DISCRIMINACIÓN.              
20110121023212.000|20110121023213.000|CC1|>> SI YO VEO AL YEN LATINO DE   
20110121023213.000|20110121023218.000|CC1|VOCERO DE MÁS PREGUNTAS...      
20110121023218.000|20110121023223.000|CC1|>> TODO COMENZÓ CON LA          
20110121023223.000|20110121023226.000|CC1|PRESIDENCIA DE OBAMA, YA QUE    
20110121023226.000|20110121023229.000|CC1|HABÍA MUCHOS INDOCUMENTADOS EN  
20110121023229.000|20110121023232.000|CC1|EL GOBIERNO DE BUSH, EL         
20110121023232.000|20110121023236.000|CC1|GOBIERNO ACTUAL SE DEDICA A     
20110121023236.000|20110121023240.000|CC1|CASTIGAR A QUIEN CONTRATEN      
20110121023240.000|20110121023241.000|CC1|INDOCUMENTADOS. EL PERÍODO      
20110121023241.000|20110121023243.000|CC1|FISCAL DEL AÑO PASADO TUVO UNA  
20110121023243.000|20110121023244.000|CC1|RECAUDACIÓN EN ESTE TEMA DEL    
20110121023244.000|20110121023246.000|CC1|DOBLE DEL AÑO ANTERIOR.         
20110121023246.000|20110121023247.000|CC1|PERO RESULTADO DE LAS           
20110121023247.000|20110121023249.000|CC1|AUDITORÍAS ES EL MISMO.         
20110121023249.000|20110121023251.000|CC1|>> LE PARECE INJUSTO QUE        
20110121023251.000|20110121023255.000|CC1|CASTIGUEN AL EMPLEADOR Y        
20110121023255.000|20110121023256.000|CC1|TAMBIÉN AL INMIGRANTE, NOSOTROS 
20110121023256.000|20110121023258.000|CC1|ESTAMOS AQUÍ POR NECESIDAD.     
20110121023258.000|20110121023301.000|CC1|>> QUIENES DEFIENDEN SUS        
20110121023301.000|20110121023302.000|CC1|DERECHOS DICEN QUE ENTRA SU     
20110121023302.000|20110121023307.000|CC1|ESTRATEGIA CAMBIA..             
20110121023307.000|20110121023307.000|CC1|>> NECESITAN UNA REFORMA        
20110121023307.000|20110121023313.000|CC1|MIGRATORIA, Y SI NO EXISTE ESTO 
20110121023313.000|20110121023314.000|CC1|PODRÁN CONTINUAR HACIENDO       
20110121023314.000|20110121023315.000|CC1|CUMPLIR LEYES INJUSTAS.         
20110121023315.000|20110121023317.000|CC1|>> HE AQUÍ FRANCISCO PARA       
20110121023317.000|20110121023319.000|CC1|UNIVISIÓN.                      
20110121023319.000|20110121023323.000|CC1|>> HABLAR DE MAFIOSOS Y LA COSA 
20110121023323.000|20110121023325.000|CC1|NOSTRA PARECE UN TEMA DE        
20110121023325.000|20110121023329.000|CC1|PROGRAMA DE TELEVISIÓN, PERO    
20110121023329.000|20110121023332.000|CC1|HOY EL FBI CAPTURÓ A LOS MÁS DE 
20110121023332.000|20110121023335.000|CC1|100 MAFIOSOS. AHÍ EN NUEVA YORK 
20110121023335.000|20110121023337.000|CC1|NUESTRO MÓVIL.                  
20110121023337.000|20110121023341.000|CC1|>> LOS ARRESTOS SE PRODUJERON   
20110121023341.000|20110121023341.000|CC1|EN ESTA MADRUGADA EN TRES       
20110121023341.000|20110121023344.000|CC1|ESTADOS DE LA COSTA ESTE DE LA  
20110121023344.000|20110121023346.000|CC1|NACIÓN, SEGÚN LAS AUTORIDADES   
20110121023346.000|20110121023352.000|CC1|SE TRATA DE EL MAYOR OPERATIVO  
20110121023352.000|20110121023353.000|CC1|DE LA AGENCIA DE                
20110121023353.000|20110121023356.000|CC1|INVESTIGACIONES, FBI            
20110121023356.000|20110121023358.000|CC1|EL SECRETARIO DE JUSTICIA DIJO  
20110121023358.000|20110121023400.000|CC1|QUE ESTO ERA  UN DURO GOLPE     
20110121023400.000|20110121023402.000|CC1|PARA LAS FAMILIAS DEL CRIMEN    
20110121023402.000|20110121023404.000|CC1|ORGANIZADO.                     
20110121023404.000|20110121023408.000|CC1|EN TOTAL SON 127 LOS ARRESTADOS 
20110121023408.000|20110121023412.000|CC1|Y SE HAN PRESENTADO 16 DEMANDAS.
20110121023412.000|20110121023415.000|CC1|ESTÁN ACUSADOS DE ASESINATO,    
20110121023415.000|20110121023416.000|CC1|EXTORSIÓN, NARCOTRÁFICO Y OTROS 
20110121023416.000|20110121023417.000|CC1|DELITOS.                        
20110121023417.000|20110121023424.000|CC1|ESTA MISMA MAÑANA SE HIZO       
20110121023424.000|20110121023430.000|CC1|OFICIAL CADA UNO DE LOS CARGOS. 
20110121023430.000|20110121023430.000|CC1|LA LEY AUTORIZÓ EL OPERATIVO    
20110121023430.000|20110121023433.000|CC1|QUE EMPEZÓ HACE MÁS DE UN AÑO.  
20110121023433.000|20110121023436.000|CC1|RODRÍGUEZ FUE UNO DE LOS 800    
20110121023436.000|20110121023439.000|CC1|AGENTES QUE PARTICIPARON EN LOS 
20110121023439.000|20110121023444.000|CC1|ARRESTOS ESTA MADRUGADA         
20110121023444.000|20110121023449.000|CC1|>> TIENEN QUE VER CON CRÍMENES  
20110121023449.000|20110121023450.000|CC1|QUE VAN DESDE HACE SIN ALTOS    
20110121023450.000|20110121023452.000|CC1|HASTA LAVADO DE DINERO.         
20110121023452.000|20110121023457.000|CC1|>> SE DESCUBRIÓ LA MANERA EN    
20110121023457.000|20110121023459.000|CC1|QUE FUNCIONABA LA MAFIA         
20110121023459.000|20110121023501.000|CC1|COBRANDO CUOTAS  A CLUBS        
20110121023501.000|20110121023507.000|CC1|NOCTURNOS Y PIZZERÍAS.          
20110121023507.000|20110121023517.000|CC1|>> LA CORTE FEDERAL ACTUARÁ EN  
20110121023517.000|20110121023518.000|CC1|BROCKLIN. ALGUNOS PODRÍAN       
20110121023518.000|20110121023519.000|CC1|RECIBIR HASTA 20 AÑOS DE        
20110121023519.000|20110121023520.000|CC1|PRISIÓN.                        
20110121023520.000|20110121023523.000|CC1|>> DOS POLICÍAS QUE CUMPLÍAN LA 
20110121023523.000|20110121023525.000|CC1|MISIÓN FUERON SORPRENDIDOS POR  
20110121023525.000|20110121023527.000|CC1|EL SOSPECHOSO QUE LOS ATACÓ A   
20110121023527.000|20110121023531.000|CC1|BALAZOS DE LOS MATÓ.            
20110121023531.000|20110121023534.000|CC1|EN LA PRIMERA VEZ EN 20 AÑOS    
