TOP|20110121150001|2011-01-21_1500_US_KABC_Good_Morning_America
COL|Communication Studies Archive, UCLA 
UID|7c2a6188-2577-11e0-a206-001517add6fa
DUR|0:59:49.21
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-21 07:00 America/Los_Angeles
SEG_01|2014-06-18 18:57:42|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110121150006.000|20110121150006.000|XDS|%  NETWORK: ABC
20110121150006.000|20110121150006.000|XDS|%   RATING: (NOT RATED) (72)
20110121150006.000|20110121150006.000|XDS|%    TITLE: AMERICA THIS MORNING
20110121150006.000|20110121150006.000|XDS|%     CALL:   
20110121150009.000|20110121150009.000|XDS|%    TITLE: GOOD MORNING AMERICA
20110121150009.000|20110121150009.000|XDS|% TIMECODE: 1/21 10:00
20110121150010.000|20110121150024.000|SEG|Type=Story
20110121150010.000|20110121150011.000|CC1|>>> GOOD MORNING, AMERICA.      
20110121150011.000|20110121150011.000|CC1|I'M ROBIN ROBERTS.              
20110121150012.000|20110121150012.000|XDS|%   LENGTH: 0:00:00 of 2:00:00
20110121150011.000|20110121150012.000|CC1|>> AND I'M GEORGE               
20110121150012.000|20110121150013.000|CC1|STEPHANOPOULOS.                 
20110121150013.000|20110121150014.000|CC1|IT'S FRIDAY, JANUARY 21st.      
20110121150014.000|20110121150017.000|CC1|AND THIS MORNING, SNOW BLAST.   
20110121150017.000|20110121150018.000|CC1|THE NORTHEAST WALLOPED AGAIN.   
20110121150018.000|20110121150020.000|CC1|JUST IN TIME FOR THE MORNING    
20110121150020.000|20110121150020.000|CC1|RUSH HOUR.                      
20110121150020.000|20110121150023.000|CC1|WE'RE LIVE IN SOME OF THE       
20110121150023.000|20110121150024.000|CC1|HARDEST-HIT CITIES.             
20110121150024.000|20110121150039.000|SEG|Type=Story
20110121150024.000|20110121150026.000|CC1|>>> THE REMARKABLE RECOVERY.    
20110121150026.000|20110121150027.000|CC1|GABBY GIFFORDS FEELS SOME       
20110121150027.000|20110121150028.000|CC1|SUNSHINE ON HER FACE FOR THE    
20110121150028.000|20110121150030.000|CC1|FIRST TIME SINCE THE SHOOTING.  
20110121150030.000|20110121150032.000|CC1|HER HUSBAND'S BOLD PREDICTIONS. 
20110121150032.000|20110121150035.000|CC1|>> I AM EXTREMELY CONFIDENT THAT
20110121150035.000|20110121150037.000|CC1|SHE'S GOING TO BE BACK HERE AND 
20110121150037.000|20110121150039.000|CC1|BACK AT WORK SOON.              
20110121150039.000|20110121150049.000|SEG|Type=Story
20110121150039.000|20110121150042.000|CC1|>>> BABY SNATCHER.              
20110121150042.000|20110121150043.000|CC1|WHO KIDNAPPED CARLINA WHITE WHEN
