TOP|20110121150001|2011-01-21_1500_US_KCBS_The_Early_Show
COL|Communication Studies Archive, UCLA 
UID|7befe59e-2577-11e0-87d8-001517add720
DUR|0:59:49.48
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-21 07:00 America/Los_Angeles
SEG_01|2014-06-18 18:57:44|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110121150002.000|20110121150002.000|XDS|%     CALL:   
20110121150002.000|20110121150002.000|XDS|%  NETWORK: CBS
20110121150003.000|20110121150003.000|XDS|%    TITLE: Program Name
20110121150002.000|20110121150011.000|SEG|Type=Story
20110121150002.000|20110121150004.000|CC1|RIGHT NOW.                      
20110121150004.000|20110121150004.000|CC1|[THE CAPTIONING ON THIS         
20110121150004.000|20110121150005.000|CC1|PROGRAM IS PROVIDED AS AN       
20110121150005.000|20110121150005.000|CC1|INDEPENDENT SERVICE OF          
20110121150005.000|20110121150006.000|CC1|MEDIA CAPTIONING SERVICES,      
20110121150006.000|20110121150006.000|CC1|WHICH IS SOLELY RESPONSIBLE     
20110121150006.000|20110121150007.000|CC1|FOR THE ACCURATE AND            
20110121150007.000|20110121150007.000|CC1|COMPLETE TRANSCRIPTION OF       
20110121150007.000|20110121150011.000|CC1|PROGRAM CONTENT.]               
20110121150011.000|20110121150031.000|SEG|Type=Story
20110121150011.000|20110121150012.000|CC1|>>> WINTER WALLOP.              
20110121150012.000|20110121150014.000|CC1|A MAJOR STORM POUNDS THE        
20110121150014.000|20110121150014.000|CC1|NORTHEAST.                      
20110121150014.000|20110121150016.000|CC1|THE SNOW, ICE AND HEAVY WINDS   
20110121150016.000|20110121150018.000|CC1|AFTER BEING BLAMED FOR AT LEAST 
20110121150018.000|20110121150020.000|CC1|SIX DEATHS ACROSS THE MIDWEST.  
20110121150020.000|20110121150022.000|CC1|AND RIGHT BEHIND IT, MORE FRIGID
20110121150022.000|20110121150023.000|CC1|TEMPERATURES, YET ANOTHER STORM 
20110121150023.000|20110121150024.000|CC1|SYSTEM.                         
20110121150024.000|20110121150025.000|CC1|WE'LL GO LIVE TO MARYSOL CASTRO 
20110121150025.000|20110121150026.000|CC1|FOR THE VERY LATEST ON WHERE    
20110121150026.000|20110121150027.000|CC1|THESE STORMS ARE HEADED AND JUST
20110121150027.000|20110121150031.000|CC1|HOW MUCH SNOW IS EXPECTED.      
20110121150031.000|20110121150049.000|SEG|Type=Story
20110121150031.000|20110121150032.000|CC1|>>> THE NEXT STEP.              
20110121150032.000|20110121150034.000|CC1|LESS THAN TWO WEEKS AFTER BEING 
20110121150034.000|20110121150036.000|CC1|SHOT POINT BLANK IN THE HEAD,   
20110121150036.000|20110121150037.000|CC1|CONGRESSWOMAN GABRIELLE GIFFORDS
20110121150037.000|20110121150039.000|CC1|LEAVES A TUCSON HOSPITAL LATER  
20110121150039.000|20110121150041.000|CC1|THIS MORNING TO BEGIN HER       
20110121150041.000|20110121150042.000|CC1|REHABILITATION IN HOUSTON.      
20110121150042.000|20110121150044.000|CC1|WE WILL SPEAK EXCLUSIVELY TO ONE
20110121150044.000|20110121150046.000|CC1|OF HER CLOSEST AIDES WHO WILL BE
20110121150046.000|20110121150049.000|CC1|BY HER SIDE FOR TODAY'S TRIP.   
20110121150049.000|20110121150122.000|SEG|Type=Story
20110121150049.000|20110121150051.000|CC1|>>> AND TOO MUCH SKIN?          
