TOP|20110121170001|2011-01-21_1700_US_KNBC_Today_Show
COL|Communication Studies Archive, UCLA 
UID|0ddcd0be-2584-11e0-9ac7-001517add720
DUR|0:29:49.28
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-21 09:00 America/Los_Angeles
SEG_01|2014-06-18 18:57:57|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110121170014.000|20110121170127.000|SEG|Type=Story
20110121170014.000|20110121170016.000|CC1|>>> BACK NOW WITH MORE OF       
20110121170016.000|20110121170017.000|CC1|"TODAY" ON A FRIDAY MORNING, THE
20110121170017.000|20110121170020.000|CC1|21st DAY OF JANUARY, 2011.      
20110121170020.000|20110121170021.000|CC1|THIS IS THE SCENE IN BOSTON     
20110121170021.000|20110121170021.000|CC1|WHERE                           
20110121170021.000|20110121170024.000|CC1|IT'S COMING DOWN RIGHT NOW AT A 
20110121170024.000|20110121170025.000|CC1|PRETTY GOOD PACE.               
20110121170025.000|20110121170027.000|CC1|IT WAS A SNOWY START TO OUR     
20110121170027.000|20110121170028.000|CC1|WEEKEND IN NEW YORK CITY BUT IT 
20110121170028.000|20110121170031.000|CC1|GOT OUT PRETTY FAST.            
20110121170031.000|20110121170032.000|CC1|WE HAVE A WARM CROWD SPENDING   
20110121170032.000|20110121170034.000|CC1|THE MORNING WITH US.            
20110121170034.000|20110121170035.000|CC1|WE'LL SEE THEM OR MAYBE THEY ALL
20110121170035.000|20110121170037.000|CC1|LEFT.                           
20110121170037.000|20110121170038.000|CC1|BECAUSE IT IS COLD OUTSIDE.     
20110121170038.000|20110121170039.000|CC1|I'M ANN CURRY ALONG WITH LESTER 
20110121170039.000|20110121170041.000|CC1|HOLT AND AL ROKER.              
20110121170041.000|20110121170042.000|CC1|IT'S NICE TO HAVE BOTH OF YOU   
20110121170042.000|20110121170043.000|CC1|HIRE.                           
20110121170043.000|20110121170044.000|CC1|>> WE HAVE A LITTLE ANN         
20110121170044.000|20110121170045.000|CC1|SANDWICH.                       
20110121170045.000|20110121170046.000|CC1|>> AND I'M ENJOYING IT.         
20110121170046.000|20110121170048.000|CC1|COMING UP, WE'LL BE TALKING     
20110121170048.000|20110121170050.000|CC1|ABOUT THIS WINTER STORM SOME    
20110121170050.000|20110121170051.000|CC1|MORE AND HOW IT'S MOVED ACROSS  
20110121170051.000|20110121170052.000|CC1|THE MIDWEST AND THROUGH THE     
20110121170052.000|20110121170054.000|CC1|NORTHEAST AND NEW ENGLAND TODAY.
20110121170054.000|20110121170055.000|CC1|IT'S A FAST-MOVING STORM, BUT   
20110121170055.000|20110121170057.000|CC1|ENOUGH TO CAUSE MAJOR TRAFFIC   
20110121170057.000|20110121170059.000|CC1|AND AIR TRAFFIC PROBLEMS.       
20110121170059.000|20110121170100.000|CC1|SO WE'LL GET A LOOK AT THIS.    
20110121170100.000|20110121170102.000|CC1|>> I LOVE THIS VIDEO.           
20110121170102.000|20110121170103.000|CC1|>> AYE-YI-YI.                   
20110121170103.000|20110121170104.000|CC1|STAY SAFE OUT THERE.            
20110121170104.000|20110121170106.000|CC1|>> LOOK OVER THERE, NOW LOOK    
20110121170106.000|20110121170108.000|CC1|OVER HERE.                      
20110121170108.000|20110121170110.000|CC1|WE'RE GOING TO SWITCH GEARS TO  
20110121170110.000|20110121170113.000|CC1|TALK ABOUT AN EMOTIONAL FAMILY  
20110121170113.000|20110121170114.000|CC1|REUNION BETWEEN THE WOMAN WHO   
20110121170114.000|20110121170115.000|CC1|WAS KIDNAPPED AS AN INFANT AND  
20110121170115.000|20110121170116.000|CC1|HER FAMILY WHO HAS BEEN WORRYING
