TOP|20110121180001|2011-01-21_1800_US_MSNBC_News_Live
COL|Communication Studies Archive, UCLA 
UID|a0770ca8-2590-11e0-888e-001517add720
DUR|0:59:49.65
VID|640x480
CMT|
LAN|ENG
LBT|2011-01-21 10:00 America/Los_Angeles
SEG_01|2014-06-18 18:58:01|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110121180003.000|20110121182405.000|SEG|Type=Story
20110121180003.000|20110121180007.000|CC1|TO MAKE THE WORLD ANEW.         
20110121180007.000|20110121180009.000|CC1|>> AND GOOD DAY, I'M ANDREA     
20110121180009.000|20110121180009.000|CC1|MITCHELL.                       
20110121180009.000|20110121180013.000|CC1|RIGHT NOW LIVE IN NEW YORK, JEFF
20110121180013.000|20110121180015.000|CC1|IMMELT, THE CEO OF GENERAL      
20110121180015.000|20110121180018.000|CC1|ELECTRIC IS ABOUT TO INTRODUCE  
20110121180018.000|20110121180019.000|CC1|THE PRESIDENT AT THE GE PLANT   
20110121180019.000|20110121180020.000|CC1|WHERE THE PRESIDENT WILL BE     
20110121180020.000|20110121180022.000|CC1|OUTLINING HIS JOBS AND          
20110121180022.000|20110121180024.000|CC1|COMPETITIVENESS MESSAGE.        
20110121180024.000|20110121180026.000|CC1|JEFF IMMELT.                    
20110121180026.000|20110121180027.000|CC1|SAVANNAH GUTHRIE IS JOINING ME  
20110121180027.000|20110121180028.000|CC1|FROM THE WHITE HOUSE.           
20110121180028.000|20110121180030.000|CC1|THIS IS A BIG TURN FOR THIS     
20110121180030.000|20110121180031.000|CC1|ADMINISTRATION.                 
20110121180031.000|20110121180032.000|CC1|TURNING FROM THE RECOVERY PHASE,
20110121180032.000|20110121180034.000|CC1|FROM THE CRISIS MANAGEMENT THAT 
20110121180034.000|20110121180038.000|CC1|PAUL VOLKER HEADED TO THIS NEW  
20110121180038.000|20110121180039.000|CC1|COUNCIL WITH JEFF IMMELT AS THE 
20110121180039.000|20110121180040.000|CC1|HEAD OF IT.                     
20110121180040.000|20110121180041.000|CC1|>> YEAH.                        
20110121180041.000|20110121180042.000|CC1|I THINK WE'LL HEAR THE PRESIDENT
20110121180042.000|20110121180043.000|CC1|TALK ABOUT THAT, THE WAY THE    
20110121180043.000|20110121180044.000|CC1|WHITE HOUSE IS LOOKING AT THIS  
20110121180044.000|20110121180046.000|CC1|IS THE FIRST TWO YEARS WE'RE    
20110121180046.000|20110121180047.000|CC1|RESPONDING TO THIS CRISIS.      
20110121180047.000|20110121180048.000|CC1|THEY HAVE THIS OTHER ADVISORY   
20110121180048.000|20110121180050.000|CC1|BOARD THAT IMMELT WAS ACTUALLY A
20110121180050.000|20110121180052.000|CC1|PART OF THAT FOCUSED ON RECOVERY
20110121180052.000|20110121180054.000|CC1|EFFORTS AND TRYING TO BREAK OUT 
20110121180054.000|20110121180056.000|CC1|OF AND STAVE OFF A GREAT        
20110121180056.000|20110121180056.000|CC1|DEPRESSION.                     
20110121180056.000|20110121180058.000|CC1|AND NOW THE PRESIDENT LOOKS AT  
20110121180058.000|20110121180059.000|CC1|THIS AS KICKING THE ECONOMY INTO
20110121180059.000|20110121180101.000|CC1|HIGH GEAR AND TRYING TO POWER IT
20110121180101.000|20110121180102.000|CC1|UP.                             
20110121180102.000|20110121180103.000|CC1|WE'LL HEAR A LOT ABOUT          
