TOP|20110122010001|2011-01-22_0100_US_KMEX_Primer_Impacto
COL|Communication Studies Archive, UCLA 
UID|4cbc72fc-25cb-11e0-b116-001517add60e
DUR|0:59:49.15
VID|640x480
CMT|
LAN|SPA
LBT|2011-01-21 17:00 America/Los_Angeles
SEG_01|2014-06-18 18:58:29|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110122010013.000|20110122010016.000|SEG|Type=Story
20110122010013.000|20110122010016.000|CC1|?(Música)?                      
20110122010016.000|20110122010112.000|SEG|Type=Story
20110122010016.000|20110122010020.000|CC1|>>> Hoy en "Primer Impacto."    
20110122010020.000|20110122010023.000|CC1|Kalimba ya está en manos de la  
20110122010023.000|20110122010024.000|CC1|justicia mexicana.              
20110122010024.000|20110122010026.000|CC1|Tenemos lo último sobre el      
20110122010026.000|20110122010030.000|CC1|arresto del cantante.           
20110122010030.000|20110122010034.000|CC1|Y llueven los golpes y balas    
20110122010034.000|20110122010036.000|CC1|tras un intento de robo.        
20110122010036.000|20110122010041.000|CC1|La amenaza de un asaltante no   
20110122010041.000|20110122010044.000|CC1|logra doblegar a un valiente.   
20110122010044.000|20110122010046.000|CC1|Las imágenes de una brutal      
20110122010046.000|20110122010052.000|CC1|golpiza incriminan a unos       
20110122010052.000|20110122010053.000|CC1|taxistas.                       
20110122010053.000|20110122010056.000|CC1|Estamos en el hospital donde fue
20110122010056.000|20110122010057.000|CC1|trasladada la congresista       
20110122010057.000|20110122010101.000|CC1|baleada en Arizona.             
20110122010101.000|20110122010104.000|CC1|Somos testigos de la visita de  
20110122010104.000|20110122010112.000|CC1|Wisin y Yandel en Haití.        
20110122010112.000|20110122010124.000|SEG|Type=Story
20110122010112.000|20110122010122.000|CC1|>>> Unas azafatas de  se visten 
20110122010122.000|20110122010124.000|CC1|de conejitas.                   
20110122010124.000|20110122010134.000|SEG|Type=Story
20110122010124.000|20110122010130.000|CC1|>>> Vimos a un tembloroso       
20110122010130.000|20110122010133.000|CC1|Kalimba responder ante las      
20110122010133.000|20110122010134.000|CC1|cámaras.                        
20110122010134.000|20110122010140.000|SEG|Type=Story
20110122010134.000|20110122010139.000|CC1|>>> Pero el trago amargo apenas 
20110122010139.000|20110122010140.000|CC1|comenzaba para él.              
20110122010140.000|20110122010144.000|SEG|Type=Story
20110122010140.000|20110122010143.000|CC1|>>> Que tal, bienvenidos a      
20110122010143.000|20110122010144.000|CC1|"Primer Impacto."               
20110122010144.000|20110122010145.000|SEG|Type=Story
20110122010144.000|20110122010145.000|CC1|>>> Gracias por estar con       
20110122010145.000|20110122010145.000|CC1|nosotros.                       
20110122010145.000|20110122010156.000|SEG|Type=Story
20110122010145.000|20110122010148.000|CC1|>>> Y fuimos los primeros en dar
20110122010148.000|20110122010151.000|CC1|las noticias de su arresto, y   
20110122010151.000|20110122010153.000|CC1|Kalimba ya está en la cárcel    
20110122010153.000|20110122010156.000|CC1|donde es acusado de violar a una
20110122010156.000|20110122010156.000|CC1|menor.                          
20110122010156.000|20110122010204.000|SEG|Type=Story
20110122010156.000|20110122010200.000|CC1|>>> Vamos con León Felipe.      
20110122010200.000|20110122010204.000|CC1|Buenas tardes para ti.          
20110122010204.000|20110122010247.000|SEG|Type=Story
20110122010204.000|20110122010208.000|CC1|>>> Así es, buenas tardes,      
20110122010208.000|20110122010211.000|CC1|estamos fuera del Centro de     
20110122010211.000|20110122010214.000|CC1|Readaptación Social donde llegó 
20110122010214.000|20110122010222.000|CC1|Kalimba ayer, y fuera traslado, 
20110122010222.000|20110122010227.000|CC1|hay versiones encontradas, el   
20110122010227.000|20110122010230.000|CC1|procurador dice que se podría   
20110122010230.000|20110122010231.000|CC1|haber dado a la fuga.           
20110122010231.000|20110122010235.000|CC1|Y vamos a ver lo que sucedió en 
20110122010235.000|20110122010238.000|CC1|las últimas horas que fueron    
20110122010238.000|20110122010239.000|CC1|complicadas para el cantante,   
20110122010239.000|20110122010244.000|CC1|está esperando que el juez dicte
20110122010244.000|20110122010247.000|CC1|sentencia o auto de libertad.   
20110122010247.000|20110122010315.000|SEG|Type=Story
20110122010247.000|20110122010249.000|CC1|>>> Son las primeras imágenes de
20110122010249.000|20110122010252.000|CC1|Kalimba en el centro de         
20110122010252.000|20110122010254.000|CC1|readaptación social en Quintana 
20110122010254.000|20110122010255.000|CC1|Roo.                            
20110122010255.000|20110122010258.000|CC1|Tras ser detenido en Texas fue  
20110122010258.000|20110122010301.000|CC1|traslado de ciudad Juárez hasta 
20110122010301.000|20110122010305.000|CC1|chetumal donde arribó hoy.      
20110122010305.000|20110122010309.000|CC1|Y luego trasladado a la         
20110122010309.000|20110122010310.000|CC1|Procuraduría General de         
20110122010310.000|20110122010312.000|CC1|Justicia, llevaba una guitarra y
20110122010312.000|20110122010314.000|CC1|una maleta, después lo llevaron 
20110122010314.000|20110122010315.000|CC1|hasta el reclusorio.            
20110122010315.000|20110122010331.000|SEG|Type=Story
20110122010315.000|20110122010319.000|CC1|>>> Se le tiene que fichar, los 
20110122010319.000|20110122010321.000|CC1|datos, y pasa al área de        
20110122010321.000|20110122010324.000|CC1|clasificación donde estará 72   
20110122010324.000|20110122010327.000|CC1|horas, habrá que hacerle los    
20110122010327.000|20110122010329.000|CC1|estudios sicológicos para       
20110122010329.000|20110122010331.000|CC1|determinar en qué área.         
20110122010331.000|20110122010337.000|SEG|Type=Story
20110122010331.000|20110122010334.000|CC1|>>> El trato que le corresponde 
20110122010334.000|20110122010337.000|CC1|a cualquier persona internada.  
20110122010337.000|20110122010353.000|SEG|Type=Story
20110122010337.000|20110122010339.000|CC1|>>> Y también llegó el          
20110122010339.000|20110122010342.000|CC1|procurador de Quintana Roo que  
20110122010342.000|20110122010346.000|CC1|sostiene que hay pruebas que él 
20110122010346.000|20110122010350.000|CC1|violó a una menor en un hotel, y
20110122010350.000|20110122010353.000|CC1|dijo que se fugó.               
20110122010353.000|20110122010408.000|SEG|Type=Story
20110122010353.000|20110122010358.000|CC1|>>> A lo mejor considera que no 
20110122010358.000|20110122010400.000|CC1|tiene ninguna oportunidad, no lo
20110122010400.000|20110122010404.000|CC1|sé, no sé cuál sería, quizás    
20110122010404.000|20110122010408.000|CC1|alguna recomendación de sus     
20110122010408.000|20110122010408.000|CC1|abogados.                       
20110122010408.000|20110122010415.000|SEG|Type=Story
20110122010408.000|20110122010411.000|CC1|>>> Así lo decidieron las       
20110122010411.000|20110122010414.000|CC1|autoridades lo que le hizo a    
20110122010414.000|20110122010415.000|CC1|ella.                           
20110122010415.000|20110122010435.000|SEG|Type=Story
20110122010415.000|20110122010417.000|CC1|>>> El procurador también       
20110122010417.000|20110122010419.000|CC1|confirmó que la otra menor dijo 
20110122010419.000|20110122010424.000|CC1|que tuvo relaciones consentidas,
20110122010424.000|20110122010426.000|CC1|y dijo que la víctima está      
20110122010426.000|20110122010428.000|CC1|mintiendo, y los abogados       
20110122010428.000|20110122010433.000|CC1|defensores dijeron que no       
20110122010433.000|20110122010435.000|CC1|intentó huir.                   
20110122010435.000|20110122010443.000|SEG|Type=Story
20110122010435.000|20110122010438.000|CC1|>>> Él quiso tomar un vuelo a   
20110122010438.000|20110122010441.000|CC1|Houston, en Houston lo iban a   
20110122010441.000|20110122010443.000|CC1|recibir otros abogados.         
20110122010443.000|20110122010452.000|SEG|Type=Story
20110122010443.000|20110122010446.000|CC1|>>> Y se desconoce el joven que 
20110122010446.000|20110122010449.000|CC1|lo contrató a Kalimba, es       
20110122010449.000|20110122010452.000|CC1|prófugo de la justicia.         
20110122010452.000|20110122010550.000|SEG|Type=Story
20110122010452.000|20110122010455.000|CC1|>>> Se esperaba que hoy Kalimba 
20110122010455.000|20110122010459.000|CC1|se presentará ante la rejilda de
20110122010459.000|20110122010502.000|CC1|practica, pero hubo un acuerdo  
20110122010502.000|20110122010507.000|CC1|entre el juez para que sea      
20110122010507.000|20110122010507.000|CC1|mañana.                         
