TOP|20110122020001|2011-01-22_0200_US_KMEX_Noticias_34
COL|Communication Studies Archive, UCLA 
UID|7dc08ba0-25cf-11e0-8d78-001517add60e
DUR|0:29:49.05
VID|640x480
CMT|
LAN|SPA
LBT|2011-01-21 18:00 America/Los_Angeles
SEG_01|2014-02-14 18:22:56|Source_Program=commercial_detection.py|Source_Person=Weixin Li
20110122020006.000|20110122022950.000|SEG|Type=Story
20110122020006.000|20110122020012.000|CC1|ya que un hombre comenzó a      
20110122020012.000|20110122020016.000|CC1|disparar en la zona.            
20110122020016.000|20110122020020.000|CC1|>> Esto comenzó aproximadamente 
20110122020020.000|20110122020024.000|CC1|a las 5pm.                      
20110122020024.000|20110122020030.000|CC1|>> La imagnes son del           
20110122020030.000|20110122020031.000|CC1|helicópteros .                  
20110122020031.000|20110122020041.000|CC1|>> Estamos con Rafael y su hijo 
20110122020041.000|20110122020045.000|CC1|esta dentro de la escuela .     
20110122020045.000|20110122020054.000|CC1|>> Acá Han sucedido muchas      
20110122020054.000|20110122020101.000|CC1|cosas, hace poco tiempo le      
20110122020101.000|20110122020106.000|CC1|dieron balazo a un joven , no sñ
20110122020106.000|20110122020112.000|CC1|que esta pasando?.              
20110122020112.000|20110122020121.000|CC1|>> Mi hijo me dice que esta en  
20110122020121.000|20110122020127.000|CC1|un salón protegido , pero saben 
20110122020127.000|20110122020139.000|CC1|que hay peligro allá adentro .  
20110122020139.000|20110122020145.000|CC1|>> la persona que porta la      
20110122020145.000|20110122020149.000|CC1|pistola tiene 17 años, el       
20110122020149.000|20110122020154.000|CC1|tráfico y todo el sector        
20110122020154.000|20110122020155.000|CC1|cerrado.                        
20110122020155.000|20110122020201.000|CC1|>> Miren , hay estudiantes y    
20110122020201.000|20110122020208.000|CC1|padres de familia .             
20110122020208.000|20110122020214.000|CC1|>> Esa noticia seguirá en       
20110122020214.000|20110122020216.000|CC1|desarrollo.                     
20110122020216.000|20110122020217.000|CC1|>> volvemos desde el centro de  
20110122020217.000|20110122020217.000|CC1|la noticia a tomar contacto con 
20110122020217.000|20110122020218.000|CC1|ustedes. Adelante estudios. .   
20110122020218.000|20110122020229.000|CC1|>> En cuanto al tema, Hoy       
20110122020229.000|20110122020235.000|CC1|comparecio el joven que se le   
20110122020235.000|20110122020241.000|CC1|acusa de disparar en contra de  
20110122020241.000|20110122020246.000|CC1|un oficial                      
20110122020246.000|20110122020258.000|CC1|aumenta a 100 mil dólares la    
20110122020258.000|20110122020301.000|CC1|recompensa del sujeto que       
20110122020301.000|20110122020305.000|CC1|disparo al policía .            
20110122020305.000|20110122020316.000|CC1|>> En Village muere un          
20110122020316.000|20110122020327.000|CC1|trabajador por inhalar toxicos y
20110122020327.000|20110122020332.000|CC1|se desmayo fatalmente.          
20110122020332.000|20110122020346.000|CC1|>> Otros trabajadores se        
20110122020346.000|20110122020350.000|CC1|encuentran hospitalizados.      
20110122020350.000|20110122020355.000|CC1|>> Amenazas de muerte contra    
20110122020355.000|20110122020357.000|CC1|Jerry Brown (Gobernador de      
20110122020357.000|20110122020406.000|CC1|California) fueron expuestas en 
20110122020406.000|20110122020412.000|CC1|un graffiti , más de tres       
20110122020412.000|20110122020413.000|CC1|quedaron.                       
20110122020413.000|20110122020424.000|CC1|>> El primero en santa Ana      
20110122020424.000|20110122020429.000|CC1|,decía vamos a matar al Jerry   
20110122020429.000|20110122020433.000|CC1|Brown (Gobernador de California)
20110122020433.000|20110122020436.000|CC1|y declararon la fecha.          
20110122020436.000|20110122020446.000|CC1|>> Despuñs a las 3pm un segundo 
20110122020446.000|20110122020456.000|CC1|mensaje , 27 días más , y       
20110122020456.000|20110122020505.000|CC1|dandole un cuenta regresiva para
20110122020505.000|20110122020506.000|CC1|asesinarlo.                     
20110122020506.000|20110122020518.000|CC1|>> Hoy los muros estaban        
20110122020518.000|20110122020526.000|CC1|limpios, en el pasado habían    
20110122020526.000|20110122020530.000|CC1|mensajes contra los hispanos y  
20110122020530.000|20110122020537.000|CC1|nadie hacía nada.               
20110122020537.000|20110122020545.000|CC1|>> un 95% de los residentes de  
20110122020545.000|20110122020550.000|CC1|santa Ana son hispanos .        
20110122020550.000|20110122020559.000|CC1|>> Hay un grupo de racista que  
20110122020559.000|20110122020603.000|CC1|no quieren dar la cara.         
20110122020603.000|20110122020612.000|CC1|>> Nos quieren desacreditar y   
20110122020612.000|20110122020612.000|CC1|hacer  daño.                    
20110122020612.000|20110122020617.000|CC1|>> La oficina de Jerry Brown    
20110122020617.000|20110122020622.000|CC1|(Gobernador de California) no sñ
20110122020622.000|20110122020623.000|CC1|ha pronunciado.                 
20110122020623.000|20110122020623.000|CC1|>> Volvemos desde el centro de  
20110122020623.000|20110122020624.000|CC1|la noticia a tomar contacto con 
20110122020624.000|20110122020625.000|CC1|ustedes. Adelante estudios. .   
20110122020625.000|20110122020627.000|CC1|>> Demandan a Arnold            
20110122020627.000|20110122020629.000|CC1|Schwarzenegger (Ex gobernador de
