TOP|20110122050001|2011-01-22_0500_US_KNBC_Dateline_NBC
COL|Communication Studies Archive, UCLA 
UID|d50f64a4-25ec-11e0-864f-001517add720
DUR|0:59:49.38
VID|640x368
CMT|
LAN|ENG
LBT|2011-01-21 21:00 America/Los_Angeles
SEG_01|2014-06-18 18:58:49|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110122050002.000|20110122050002.000|XDS|%   RATING: (NOT RATED) (72)
20110122050003.000|20110122050003.000|XDS|%    TITLE: MINUTE TO WIN IT
20110122050018.000|20110122050949.000|SEG|Type=Story
20110122050018.000|20110122050023.000|CC1|>>> THEY CALLED HIM DOG TRAINER 
20110122050023.000|20110122050025.000|CC1|TO THE STARS.                   
20110122050025.000|20110122050026.000|CC1|HE FIGURED OUT WHAT MADE THE    
20110122050026.000|20110122050026.000|CC1|PERSON --                       
20110122050026.000|20110122050027.000|CC1|>> BECAUSE THAT'S JUST AS       
20110122050027.000|20110122050027.000|CC1|IMPORTANT.                      
20110122050027.000|20110122050028.000|CC1|>> AND WITH THE GLAMOROUS WOMAN 
20110122050028.000|20110122050029.000|CC1|IN HIS LIFE --                  
20110122050029.000|20110122050034.000|CC1|>> HE WAS TOTALLY CRAZY ABOUT   
20110122050034.000|20110122050034.000|CC1|HER.                            
20110122050034.000|20110122050035.000|CC1|>> UNTIL THEIR SUDDEN SPLIT.    
20110122050035.000|20110122050036.000|CC1|>> I WAS SHOCKED.               
20110122050036.000|20110122050036.000|CC1|I REALLY WAS.                   
20110122050036.000|20110122050037.000|CC1|>> MORE SHOCKING STILL, THE DAY 
20110122050037.000|20110122050038.000|CC1|HE DISAPPEARED.                 
20110122050038.000|20110122050040.000|CC1|>> HE HAS HIS ARMS AROUND A BIG 
20110122050040.000|20110122050042.000|CC1|ROLL OF PLASTIC AND MY BRAIN    
20110122050042.000|20110122050045.000|CC1|GOES, THERE'S A BODY.           
20110122050045.000|20110122050047.000|CC1|>> WAS IT JUST MAYBE MURDER?    
20110122050047.000|20110122050052.000|CC1|DID IT HAVE SOMETHING TO DO WITH
20110122050052.000|20110122050053.000|CC1|HIS BEAUTIFUL EX?               
20110122050053.000|20110122050053.000|CC1|AN UGLY BREAKUP, NASTY          
20110122050053.000|20110122050054.000|CC1|ALLEGATIONS?                    
20110122050054.000|20110122050056.000|CC1|>> HE GOES INTO LINDA'S HOUSE   
20110122050056.000|20110122050102.000|CC1|WITH A .45 AND PUTS IT ON A     
20110122050102.000|20110122050103.000|CC1|PILLOW AND THREATENS TO KILL    
20110122050103.000|20110122050103.000|CC1|HER.                            
20110122050103.000|20110122050104.000|CC1|>> I IMMEDIATELY THOUGHT THERE  
20110122050104.000|20110122050104.000|CC1|WAS MORE TO THE STORY.          
20110122050104.000|20110122050105.000|CC1|>> MORE, LIKE THIS MAN?         
20110122050105.000|20110122050108.000|CC1|A SINGLE FATHER OF FOUR SUDDENLY
20110122050108.000|20110122050109.000|CC1|A SUSPECT.                      
20110122050109.000|20110122050111.000|CC1|>> I COOK THREE MEALS A DAY FOR 
20110122050111.000|20110122050112.000|CC1|MY KIDS.                        
20110122050112.000|20110122050113.000|CC1|I BRING THEM TO SCHOOL.         
20110122050113.000|20110122050114.000|CC1|THIS IS MY LIFE.                
20110122050114.000|20110122050116.000|CC1|>> MAYBE THE TRUTH WAS STRANGER 
20110122050116.000|20110122050121.000|CC1|THAN ANYONE IMAGINED.           
20110122050121.000|20110122050121.000|CC1|OR, JUST MAYBE, ONLY THE ANIMALS
20110122050121.000|20110122050122.000|CC1|KNEW WHAT REALLY HAPPENED.      
20110122050122.000|20110122050126.000|CC1|>> THE KENNEL DOGS WERE VERY,   
20110122050126.000|20110122050128.000|CC1|VERY UPSET.                     
20110122050128.000|20110122050133.000|CC1|>> THE MAN WHO TALKED TO DOGS.  
20110122050133.000|20110122050139.000|CC1|>> GOOD EVENING AND WELCOME TO  
20110122050139.000|20110122050142.000|CC1|""DATELINE.""                   
20110122050142.000|20110122050143.000|CC1|FOR THE MANUAL HEAR ABOUT       
20110122050143.000|20110122050144.000|CC1|TONIGHT, LIFE SEEMED PERFECT.   
20110122050144.000|20110122050145.000|CC1|HE TRAINED ANIMALS IN A         
20110122050145.000|20110122050147.000|CC1|BEAUTIFUL PARADISE AND AFTER A  
20110122050147.000|20110122050149.000|CC1|TOUGH DIVORCE, HE RECENTLY HAD  
20110122050149.000|20110122050150.000|CC1|FOUND LOVE AGAIN.               
20110122050150.000|20110122050151.000|CC1|YET, FRIENDS SAID HE WALKED     
20110122050151.000|20110122050153.000|CC1|AROUND IN A CONSTANT STATE OF   
20110122050153.000|20110122050153.000|CC1|FEAR.                           
20110122050153.000|20110122050156.000|CC1|WHAT DID HE KNOW THAT OTHERS    
20110122050156.000|20110122050156.000|CC1|DIDN'T?                         
20110122050156.000|20110122050203.000|CC1|HERE'S KEITH MORRISON.          
20110122050203.000|20110122050204.000|CC1|>> OCTOBER 28th, 2009, ROUTINE  
20110122050204.000|20110122050208.000|CC1|CALL IN THE MIDDLE OF THE DAY.  
20110122050208.000|20110122050210.000|CC1|DISPATCH CAR SENT OUT TO THE TWO
20110122050210.000|20110122050213.000|CC1|LADIES THAT PHONED IT IN.       
20110122050213.000|20110122050215.000|CC1|TWO CARS WHERE THEY SHOULDN'T   
20110122050215.000|20110122050216.000|CC1|BE?                             
20110122050216.000|20110122050217.000|CC1|SOMEBODY MOVING SOMETHING BULKY 
20110122050217.000|20110122050223.000|CC1|FROM ONE TO THE OTHER.          
20110122050223.000|20110122050225.000|CC1|BACK WHEN IT STARTED, THE LOVE  
20110122050225.000|20110122050227.000|CC1|BIRDS SHOULD HAVE KNOWN IT WAS  
20110122050227.000|20110122050229.000|CC1|TOO GOOD TO BE TRUE OR TOO GOOD 
20110122050229.000|20110122050230.000|CC1|TO LAST.                        
20110122050230.000|20110122050234.000|CC1|AFTER ALL, HE SEEMED SOMETHING  
20110122050234.000|20110122050234.000|CC1|OF A SELF-MADE MUT.             
20110122050234.000|20110122050244.000|CC1|AND, SHE, THE PUREBRED HEIRESS  
20110122050244.000|20110122050245.000|CC1|TYPE.                           
20110122050245.000|20110122050248.000|CC1|THE CLOCK TO IT ISES END WAS    
20110122050248.000|20110122050248.000|CC1|TICKING.                        
20110122050248.000|20110122050251.000|CC1|A WHISTLE ONLY A DOG CAN HEAR.  
20110122050251.000|20110122050253.000|CC1|WHICH, COME TO THINK OF IT, BEGS
20110122050253.000|20110122050256.000|CC1|THE QUESTION.                   
20110122050256.000|20110122050258.000|CC1|HOW DID HE OF ALL PEOPLE MISS   
20110122050258.000|20110122050258.000|CC1|IT?                             
20110122050258.000|20110122050300.000|CC1|HIS NAME WAS MARK STOVER, AND HE
20110122050300.000|20110122050302.000|CC1|DISCOVERED QUITE EARLY THAT HE  
20110122050302.000|20110122050308.000|CC1|HAD SOME SPECIAL, EERILY        
20110122050308.000|20110122050309.000|CC1|MYSTICAL CONNECTION WITH DOGS.  
20110122050309.000|20110122050312.000|CC1|WHEN HE TALKED TO THEM, THEY    
20110122050312.000|20110122050313.000|CC1|LISTENED.                       
20110122050313.000|20110122050314.000|CC1|>> HE HAD A GIFT.               
20110122050314.000|20110122050316.000|CC1|>> HE BECAME KNOWN AS SEATTLE'S 
20110122050316.000|20110122050317.000|CC1|DOG WHISPERER.                  
20110122050317.000|20110122050321.000|CC1|>> IT'S NOT AS SIMPLE AS GIVING 
20110122050321.000|20110122050321.000|CC1|THEM TREATS OR QUICKER TRAINING.
20110122050321.000|20110122050324.000|CC1|HE SPOKE TO THE ANIMALS.        
20110122050324.000|20110122050330.000|CC1|>> HIS TALENT AMAZED THE LOCAL  
20110122050330.000|20110122050331.000|CC1|CLIENTS.                        
20110122050331.000|20110122050334.000|CC1|SEATTLE MARINERS OUTFIELDER SUZE
20110122050334.000|20110122050338.000|CC1|ZUK KEY BROUGHT HIM THEIR DOGS. 
20110122050338.000|20110122050340.000|CC1|>> FROM NORDSTROM TO NIR VANNA, 
20110122050340.000|20110122050341.000|CC1|HE WAS MUCH MORE OF A DOG       
20110122050341.000|20110122050343.000|CC1|TRAINER TO THE STARS.           
20110122050343.000|20110122050345.000|CC1|>> A LONG-TIME EMPLOYEE.        
20110122050345.000|20110122050347.000|CC1|>> COME ON, SAMPSON.            
20110122050347.000|20110122050351.000|CC1|>> HE TRAINED EVERYONE.         
20110122050351.000|20110122050352.000|CC1|IT DIDN'T MATTER TO HIM WHO THEY
20110122050352.000|20110122050352.000|CC1|WERE.                           
20110122050352.000|20110122050356.000|CC1|IT WAS ABOUT THE PERSON AND THE 
20110122050356.000|20110122050357.000|CC1|DOG AND THE RELATIONSHIP BETWEEN
20110122050357.000|20110122050400.000|CC1|THE PERSON AND THE DOG, NOT WHO 
20110122050400.000|20110122050401.000|CC1|THEY WERE.                      
20110122050401.000|20110122050402.000|CC1|>> THIS WOMAN LIKED HIM SO MUCH 
20110122050402.000|20110122050408.000|CC1|AS A CLIENT, SHE WENT TO WORK   
20110122050408.000|20110122050409.000|CC1|WITH HIM.                       
20110122050409.000|20110122050409.000|CC1|>> HE WOULD CONNECT WITH YOU.   
20110122050409.000|20110122050410.000|CC1|HE WOULD FIND SOMETHING THAT HE 
20110122050410.000|20110122050413.000|CC1|COULD TALK TO YOU ABOUT.        
20110122050413.000|20110122050416.000|CC1|>> AND THE SETTING FOR THE DOG  
20110122050416.000|20110122050419.000|CC1|BREEDING BUSINESS, INCOMPARABLE.
20110122050419.000|20110122050421.000|CC1|>> IT WAS BEAUTIFUL.            
20110122050428.000|20110122050428.000|XDS|%    TITLE:   
20110122050421.000|20110122050431.000|CC1|>> KIKET ISLAND A FEW FEET OFF  
20110122050431.000|20110122050432.000|CC1|SHORE, A 90-MINUTE COMMUTE NORTH
20110122050432.000|20110122050433.000|CC1|OF SEATTLE.                     
20110122050433.000|20110122050433.000|CC1|>> THE DOGS COULD GO SWIMMING IN
20110122050433.000|20110122050434.000|CC1|THE WATER THERE.                
20110122050434.000|20110122050437.000|CC1|PLENTY OF TRAIL WALKS AND JUST  
20110122050437.000|20110122050440.000|CC1|REALLY, REALLY OUTDOORSY AND    
20110122050440.000|20110122050440.000|CC1|BEAUTIFUL.                      
20110122050440.000|20110122050444.000|CC1|>> OUTDOORSY AND BEAUTIFUL ARE  
20110122050444.000|20110122050446.000|CC1|ALSO THE WORDS THAT DESCRIBE HIS
20110122050446.000|20110122050448.000|CC1|LOVE OF HIS LIFE, THE BLOND     
20110122050448.000|20110122050454.000|CC1|DAUGHTER OF WALLY, THE WEALTHY  
20110122050454.000|20110122050457.000|CC1|INVESTOR WHO ONCE INVENTED A    
20110122050457.000|20110122050458.000|CC1|WINERY.                         
20110122050458.000|20110122050459.000|CC1|ACCORDING TO CLIENTS AND FRIENDS
20110122050459.000|20110122050501.000|CC1|WHO KNEW HIM BEST.              
20110122050501.000|20110122050502.000|CC1|>> SHE WAS MARK 2.              
20110122050502.000|20110122050505.000|CC1|YOU KNOW, THEY WERE PEAS IN A   
20110122050505.000|20110122050505.000|CC1|POD.                            
20110122050505.000|20110122050507.000|CC1|THEY HAD SIMILAR HOBBIES, THEY  
20110122050507.000|20110122050509.000|CC1|WOULD HUNT FISH, GO CAMP        
20110122050509.000|20110122050513.000|CC1|SOMEWHERE, THAT KIND OF STUFF.  
20110122050513.000|20110122050514.000|CC1|>> HE JUST THOUGHT SHE WAS THE  
20110122050514.000|20110122050520.000|CC1|MOST WONDERFUL THING SINCE      
20110122050520.000|20110122050520.000|CC1|LIFE'S BREAD.                   
20110122050520.000|20110122050525.000|CC1|>> VERY PROTECTIVE OF HER AS    
20110122050525.000|20110122050526.000|CC1|CLIENTS TO TELL.                
20110122050526.000|20110122050527.000|CC1|>> HE JUST THOUGHT SHE WAS      
20110122050527.000|20110122050529.000|CC1|BEAUTIFUL, WONDERFUL, SMART.    
20110122050529.000|20110122050531.000|CC1|NEVER, EVER SAID ANYTHING BAD   
20110122050531.000|20110122050531.000|CC1|ABOUT HER.                      
20110122050531.000|20110122050532.000|CC1|NEVER.                          
20110122050532.000|20110122050533.000|CC1|>> SEEMED TO BE IN LOVE?        
20110122050533.000|20110122050535.000|CC1|>> HE WAS.                      
20110122050535.000|20110122050537.000|CC1|HE WAS TOTALLY, TOTALLY CRAZY   
20110122050537.000|20110122050537.000|CC1|ABOUT HER.                      
20110122050537.000|20110122050541.000|CC1|>> IT WAS LINDA'S FATHER WHO    
20110122050541.000|20110122050542.000|CC1|OWNED THE KIKET ISLAND.         
20110122050542.000|20110122050544.000|CC1|MARK AND LINDA LIVED THERE ON   
20110122050544.000|20110122050550.000|CC1|WALLY'S ISLAND AND GREW THEIR   
20110122050550.000|20110122050550.000|CC1|VERY SUCCESSFUL BUSINESS        
20110122050550.000|20110122050551.000|CC1|TOGETHER.                       
20110122050551.000|20110122050552.000|CC1|AND THEN IN 2002 THEY MADE THEIR
20110122050552.000|20110122050555.000|CC1|UNION PERMANENT, IN THE         
20110122050555.000|20110122050555.000|CC1|PRESIDENTIAL SUITE OF THE LAS   
20110122050555.000|20110122050557.000|CC1|VEGAS FOUR SEASONS.             
20110122050557.000|20110122050601.000|CC1|HERE WAS WALLY TOASTING HIS NEW 
20110122050601.000|20110122050602.000|CC1|SON-IN-LAW.                     
20110122050602.000|20110122050604.000|CC1|>> WELCOME MARK INTO THE FAMILY.
20110122050604.000|20110122050606.000|CC1|>> BUT MAYBE NOTHING IS FOREVER.
20110122050606.000|20110122050608.000|CC1|IT WAS JUST THREE YEARS LATER   
20110122050608.000|20110122050610.000|CC1|WHEN LINDA TOLD THE EMPLOYEE SHE
20110122050610.000|20110122050613.000|CC1|WAS TAKING AN EXTENDED VACATION 
20110122050613.000|20110122050613.000|CC1|ALONE.                          
20110122050613.000|20110122050615.000|CC1|>> AND THAT VACATION KEPT       
20110122050615.000|20110122050619.000|CC1|EXTENDING AND EXTENDING AND SHE 
20110122050619.000|20110122050621.000|CC1|JUST NEVER CAME BACK.           
20110122050621.000|20110122050623.000|CC1|>> SO SEPARATION.               
20110122050623.000|20110122050628.000|CC1|THERE WAS A BRIEF AFFAIR.       
20110122050628.000|20110122050630.000|CC1|LINDA WITH ONE OF MARK'S BEST   
20110122050630.000|20110122050630.000|CC1|FRIENDS, AND THEN DIVORCE.      
20110122050630.000|20110122050632.000|CC1|ABOUT AS UGLY AS DIVORCE CAN BE.
20110122050632.000|20110122050633.000|CC1|>> I WAS SHOCKED.               
20110122050633.000|20110122050634.000|CC1|I REALLY WAS.                   
20110122050634.000|20110122050638.000|CC1|>> SO WAS MARK, PARNLTLY.       
20110122050638.000|20110122050639.000|CC1|QUITE THOROUGHLY DEVASTATED.    
20110122050639.000|20110122050642.000|CC1|BECAUSE NOW HE HAD NOT JUST LOST
20110122050642.000|20110122050644.000|CC1|THE LOVE OF HIS LIFE BUT HE HAD 
20110122050644.000|20110122050648.000|CC1|TO LEAVE KIKET ISLAND, TOO      
20110122050648.000|20110122050653.000|CC1|LOSING HER, LOSING ALL OF THIS  
20110122050653.000|20110122050654.000|CC1|IT WAS A BLACK PERIOD JUST ABOUT
20110122050654.000|20110122050654.000|CC1|HERE.                           
20110122050654.000|20110122050655.000|CC1|QUITE DISTURBING EPISODES,      
20110122050655.000|20110122050655.000|CC1|ACTUALLY.                       
20110122050655.000|20110122050656.000|CC1|WE'LL GET TO THOSE LATER.       
20110122050656.000|20110122050659.000|CC1|SUFFICE TO SAY FOR NOW, THAT    
20110122050659.000|20110122050701.000|CC1|EVENTUALLY LIFE WENT ON.        
20110122050701.000|20110122050705.000|CC1|IT WAS JUST DIVORCE AFTER ALL.  
20110122050705.000|20110122050706.000|CC1|NOT DEATH.                      
20110122050706.000|20110122050713.000|CC1|NOT YET, ANY WAY.               
20110122050713.000|20110122050716.000|CC1|MARK WENT TO NEARBY ANACORTES   
20110122050716.000|20110122050718.000|CC1|ISLAND AND IF IT WASN'T KIKET   
20110122050718.000|20110122050719.000|CC1|ISLAND, IT WAS NOT BAD.         
20110122050719.000|20110122050722.000|CC1|HE MOVED INTO A NEW HOUSE, NEW  
20110122050722.000|20110122050723.000|CC1|KENNELS, NEW START.             
20110122050723.000|20110122050725.000|CC1|>> HE HAD FOUND THE PLACE THAT  
20110122050725.000|20110122050726.000|CC1|WAS GOING TO BE PERFECT FOR HIM 
20110122050726.000|20110122050732.000|CC1|AND IT WAS GOING TO BE ALL HIS. 
20110122050732.000|20110122050732.000|CC1|AND I THINK HE WAS VERY MUCH    
20110122050732.000|20110122050733.000|CC1|LOOKING FORWARD.                
20110122050733.000|20110122050735.000|CC1|HE WAS NOT LOOKING BACK.        
20110122050735.000|20110122050738.000|CC1|>> EVENTUALLY THERE WAS ALSO    
20110122050738.000|20110122050738.000|CC1|HER.                            
20110122050738.000|20110122050740.000|CC1|HER NAME IS TERESA.             
20110122050740.000|20110122050742.000|CC1|>> ON OUR THIRD DATE HE LET ME  
20110122050742.000|20110122050744.000|CC1|KNOW THAT HE WANTED TO MARRY ME.
20110122050744.000|20110122050745.000|CC1|>> THIRD DATE?                  
20110122050745.000|20110122050746.000|CC1|>> I WAS PRETTY SHOCKED.        
20110122050746.000|20110122050747.000|CC1|YEAH.                           
20110122050747.000|20110122050749.000|CC1|>> WHAT WAS IT ABOUT YOU THAT HE
20110122050749.000|20110122050749.000|CC1|LIKED?                          
20110122050749.000|20110122050751.000|CC1|>> HE LIKED THAT I LISTENED.    
20110122050751.000|20110122050753.000|CC1|AND THAT I WAS CAREFUL WITH THE 
20110122050753.000|20110122050757.000|CC1|INFORMATION THAT HE GAVE ME.    
20110122050757.000|20110122050759.000|CC1|NOT JUST INFORMATION BUT HIS -- 
20110122050759.000|20110122050800.000|CC1|WITH HIS HEART.                 
20110122050800.000|20110122050804.000|CC1|>> WHICH HAD BEEN REALLY BADLY  
