TOP|20110122070001|2011-01-22_0700_US_KMEX_Noticias_34
COL|Communication Studies Archive, UCLA 
UID|6746c464-25f9-11e0-9365-001517add6f2
DUR|0:29:49.75
VID|640x480
CMT|
LAN|SPA
LBT|2011-01-21 23:00 America/Los_Angeles
SEG_01|2014-02-14 18:22:58|Source_Program=commercial_detection.py|Source_Person=Weixin Li
20110122070003.000|20110122072950.000|SEG|Type=Story
20110122070003.000|20110122070010.000|CC1|>> Ellos fueron sorprendidos    
20110122070010.000|20110122070021.000|CC1|robando y ellos no sñ midieron  
20110122070021.000|20110122070023.000|CC1|en disparar a morir.            
20110122070023.000|20110122070033.000|CC1|>> El ofial de la preventiva les
20110122070033.000|20110122070041.000|CC1|pidió que no dispararan , pero  
20110122070041.000|20110122070049.000|CC1|no les hicieron caso y le       
20110122070049.000|20110122070054.000|CC1|dispararon dando muertes .      
20110122070054.000|20110122070056.000|CC1|>> Noticias 34 Univisión Los    
20110122070056.000|20110122070102.000|CC1|Ángeles , en hd.                
20110122070102.000|20110122070106.000|CC1|>> Buenas noches .              
20110122070106.000|20110122070121.000|CC1|>> La amenaza de secuestros     
20110122070121.000|20110122070124.000|CC1|express sigue vigente.          
20110122070124.000|20110122070131.000|CC1|>> Buenas noches , ya son 5 los 
20110122070131.000|20110122070139.000|CC1|casos de este hecho , pero ahora
20110122070139.000|20110122070145.000|CC1|se busca capturar a los         
20110122070145.000|20110122070145.000|CC1|sospechosos.                    
20110122070145.000|20110122070154.000|CC1|>> Lo que ella considera su peor
20110122070154.000|20110122070200.000|CC1|pesadilla, tengo mucho miedo  y 
20110122070200.000|20110122070208.000|CC1|ando mirando que no sñ vayan a  
20110122070208.000|20110122070210.000|CC1|meter a mi casa.                
20110122070210.000|20110122070221.000|CC1|>> A sus 69 años fue obligada a 
20110122070221.000|20110122070233.000|CC1|pasar por el banco e informarse 
20110122070233.000|20110122070236.000|CC1|de sus balances.                
20110122070236.000|20110122070245.000|CC1|>> La sospechosa nunca deja a la
20110122070245.000|20110122070249.000|CC1|víctima sola.                   
20110122070249.000|20110122070254.000|CC1|>> Nunca me dejaron .           
20110122070254.000|20110122070304.000|CC1|>> En total fueron 6 mil dolares
20110122070304.000|20110122070311.000|CC1|yo misma los saque ,.           
20110122070311.000|20110122070317.000|CC1|>> Ayer fue mi mamá , mañana    
20110122070317.000|20110122070321.000|CC1|puede ser la tuya.              
20110122070321.000|20110122070334.000|CC1|>> El blanco son mujeres y      
20110122070334.000|20110122070342.000|CC1|personas de la tercera edad.    
20110122070342.000|20110122070342.000|CC1|>> volvemos desde el centro de  
20110122070342.000|20110122070343.000|CC1|la noticia a tomar contacto con 
20110122070343.000|20110122070344.000|CC1|ustedes. Adelante estudios. .   
20110122070344.000|20110122070351.000|CC1|>> Muchas gracias todos a andar 
20110122070351.000|20110122070353.000|CC1|con cuidado.                    
20110122070353.000|20110122070400.000|CC1|>> Ahora en una preparatoria se 
20110122070400.000|20110122070409.000|CC1|detecto la presencia de un      
20110122070409.000|20110122070412.000|CC1|adolescente armado.             
20110122070412.000|20110122070420.000|CC1|>> ahora aumento a 100 mil por  
20110122070420.000|20110122070428.000|CC1|la captura de hombre que le dio 
20110122070428.000|20110122070433.000|CC1|un balazo a un oficial en el    
20110122070433.000|20110122070434.000|CC1|pecho.                          
20110122070434.000|20110122070447.000|CC1|>> Un adolescente fue arrestado 
20110122070447.000|20110122070452.000|CC1|estando en la puerta del colegio
20110122070452.000|20110122070502.000|CC1|, le encontraron el arma en su  
20110122070502.000|20110122070503.000|CC1|ropta.                          
20110122070503.000|20110122070514.000|CC1|>> El consejo quiere prohibir el
20110122070514.000|20110122070523.000|CC1|porte de arma en zonas publicas 
20110122070523.000|20110122070525.000|CC1|.                               
20110122070525.000|20110122070529.000|CC1|>> Los mensajes a Jerry Brown   
20110122070529.000|20110122070537.000|CC1|(Gobernador de California) son  
20110122070537.000|20110122070542.000|CC1|amenazas directas para darle    
20110122070542.000|20110122070544.000|CC1|muertes.                        
20110122070544.000|20110122070552.000|CC1|>> Fueron tres rayados en los   
20110122070552.000|20110122070601.000|CC1|muros en donde le prometen con  
20110122070601.000|20110122070605.000|CC1|días contados que la darán la   
20110122070605.000|20110122070611.000|CC1|muertes.                        
20110122070611.000|20110122070617.000|CC1|>> En los muros en uno en       
20110122070617.000|20110122070625.000|CC1|particular se le hace una cuenta
20110122070625.000|20110122070626.000|CC1|regresiva.                      
20110122070626.000|20110122070633.000|CC1|>> Hoy los muros están limpios. 
20110122070633.000|20110122070643.000|CC1|>> los vecinos alegan que muchas
20110122070643.000|20110122070653.000|CC1|veces esos mismo muros Han sido 
20110122070653.000|20110122070701.000|CC1|pintados con mensajes anti      
20110122070701.000|20110122070702.000|CC1|hispanos.                       
20110122070702.000|20110122070711.000|CC1|>> La mayoría de las personas   
20110122070711.000|20110122070717.000|CC1|que habitan santa Ana son       
20110122070717.000|20110122070718.000|CC1|latinos.                        
20110122070718.000|20110122070728.000|CC1|>> Todavía hay grupos acá que   
20110122070728.000|20110122070731.000|CC1|quieren desacreditarnos.        
20110122070731.000|20110122070731.000|CC1|>> Arnold Schwarzenegger (Ex    
20110122070731.000|20110122070736.000|CC1|gobernador de California) esta  
20110122070736.000|20110122070743.000|CC1|siendo amenzado  por haber      
20110122070743.000|20110122070752.000|CC1|reducido la sentencia a Esteban 
20110122070752.000|20110122070752.000|CC1|nuñez.                          
20110122070752.000|20110122070800.000|CC1|>> La familia lo demandara .    
20110122070800.000|20110122070805.000|CC1|>> Lamentablemente los niveles  
20110122070805.000|20110122070811.000|CC1|de desempleo Han empeorado en   
20110122070811.000|20110122070813.000|CC1|Los Ángeles .                   
20110122070813.000|20110122070819.000|CC1|>> Pero a nivel nacional no ha  
20110122070819.000|20110122070821.000|CC1|sido tan malo.                  
20110122070821.000|20110122070829.000|CC1|>> En medio de la Buenas        
20110122070829.000|20110122070832.000|CC1|noticias .                      
20110122070832.000|20110122070843.000|CC1|>> muchas personas pueden ser   
20110122070843.000|20110122070852.000|CC1|beneficiada para estudiar por   
20110122070852.000|20110122070900.000|CC1|parte del gobierno              
20110122070900.000|20110122070909.000|CC1|esto puede ser del deducible de 
20110122070909.000|20110122070913.000|CC1|los impuestos .                 
20110122070913.000|20110122070919.000|CC1|>> Es un crñdito sin impuestos .
