TOP|20110123000001|2011-01-23_0000_US_KABC_Eyewitness_News_4PM
COL|Communication Studies Archive, UCLA 
UID|46d164cc-2690-11e0-a114-001517add6fa
DUR|1:29:49.01
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-22 16:00 America/Los_Angeles
SEG_01|2014-06-18 18:59:14|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110123000048.000|20110123012950.000|SEG|Type=Story
20110123000048.000|20110123000050.000|CC1|JOVANA: BREAKING NEWS, A        
20110123000050.000|20110123000051.000|CC1|HIGH-SPEED PURSUIT ENDS IN A    
20110123000051.000|20110123000054.000|CC1|DEADLY CRASH IN BEN BERNANKE.   
20110123000054.000|20110123000056.000|CC1|I'M SUBHA RAVINDHRAN IN FOR     
20110123000056.000|20110123000056.000|CC1|JOVANA LARA.                    
20110123000056.000|20110123000059.000|CC1|JOHN: THE PURSUIT ENDED ON THE  
20110123000059.000|20110123000101.000|CC1|215 FREEWAY SOUTH OF THE 259.   
20110123000101.000|20110123000103.000|CC1|DETAILS ARE COMING IN AT THIS   
20110123000103.000|20110123000103.000|CC1|HOUR.                           
20110123000103.000|20110123000104.000|CC1|WE ARE TOLD ONE PERSON DIED IN  
20110123000104.000|20110123000105.000|CC1|THE CRASH AND THAT PERSON WAS   
20110123000105.000|20110123000107.000|CC1|NOT INVOLVED IN THE ACTUAL      
20110123000107.000|20110123000107.000|CC1|PURSUIT.                        
20110123000107.000|20110123000108.000|CC1|A MOTORCYCLE OVERTURNED AND A   
20110123000108.000|20110123000109.000|CC1|PICKUP TRUCK ENDED UP ON THE    
20110123000109.000|20110123000111.000|CC1|SIDE OF THE ROAD NEAR A FENCE.  
20110123000111.000|20110123000113.000|CC1|IT'S UNCLEAR WHICH VEHICLE WAS  
20110123000113.000|20110123000115.000|CC1|INVOLVED IN THE PURSUIT AND     
20110123000115.000|20110123000117.000|CC1|STILL NO WORD ABOUT WHY THE     
20110123000117.000|20110123000118.000|CC1|VEHICLE WAS BEING CHASED.       
20110123000118.000|20110123000120.000|CC1|WE ARE TOLD THE PURSUIT SUSPECT 
