TOP|20110123020001|2011-01-23_0200_US_KABC_KABC_Saturday_News
COL|Communication Studies Archive, UCLA 
UID|d9f65062-269c-11e0-9a48-001517add60e
DUR|0:59:49.18
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-22 18:00 America/Los_Angeles
SEG_01|2014-02-03 01:07:31|Source_Program=commercial_detection.py|Source_Person=Weixin Li
20110123020005.000|20110123025950.000|SEG|Type=Story
20110123020005.000|20110123020112.000|SEG_01|Type=Commercial
20110123020005.000|20110123020010.000|CC1|               ? ?              
20110123020010.000|20110123020010.000|CC1|       [ Female Announcer ]     
20110123020010.000|20110123020013.000|CC1|  TIDE WITH ACTI-LIFT TECHNOLOGY
20110123020013.000|20110123020013.000|CC1|   HELPS REMOVE MANY DRY STAINS 
20110123020013.000|20110123020017.000|CC1|      AS IF THEY WERE FRESH.    
20110123020017.000|20110123020017.000|CC1| DAD MAY TRY TO RUIN YOUR STYLE,
20110123020017.000|20110123020020.000|CC1|      BUT DRY STAINS WON'T.     
20110123020020.000|20110123020021.000|CC1|               ? ?              
20110123020021.000|20110123020023.000|CC1|            TIDE WITH ACTI-LIFT.
20110123020023.000|20110123020023.000|CC1|             STYLE IS AN OPTION.
20110123020023.000|20110123020025.000|CC1|                CLEAN IS NOT.   
20110123020025.000|20110123020025.000|CC1|          GET ACTI-LIFT         
20110123020025.000|20110123020112.000|CC1|    IN THESE TIDE DETERGENTS.   
20110123020112.000|20110123020114.000|SEG_01|Type=Story start
20110123020112.000|20110123020114.000|CC1|JOHN: WE CONTINUE TO FOLLOW     
20110123020114.000|20110123020116.000|CC1|BREAKING NEWS AN INNOCENT       
20110123020116.000|20110123020117.000|CC1|MOTORCYCLIST KILLED IN A        
20110123020117.000|20110123020118.000|CC1|HEAD-ON CRASH FOLLOWING A       
20110123020118.000|20110123020119.000|CC1|SHORT POLICE PURSUIT.           
20110123020119.000|20110123020121.000|CC1|THE DRIVER WHO CAUSED THE       
20110123020121.000|20110123020122.000|CC1|TRAGEDY IS STILL ON THE RUN     
20110123020122.000|20110123020125.000|CC1|HELLO I'M JOHN HARTUNG.         
20110123020125.000|20110123020126.000|CC1|>> I'M SUB SUB JOVANA LARA      
20110123020126.000|20110123020127.000|CC1|IS OFF.                         
20110123020127.000|20110123020129.000|CC1|>> A MANHUNT IS UNDERWAY FOR    
20110123020129.000|20110123020131.000|CC1|A DRIVER THAT STOLE A PICKUP    
20110123020131.000|20110123020132.000|CC1|TRUCK AND WENT THE WRONG WAY    
20110123020132.000|20110123020134.000|CC1|ON THE FREEWAY BEFORE           
20110123020134.000|20110123020135.000|CC1|SLAMMING HEAD-ON INTO A         
20110123020135.000|20110123020135.000|CC1|MOTORCYCLE.                     
20110123020135.000|20110123020137.000|CC1|THE CRASH HAPPENED ON THE       
20110123020137.000|20110123020140.000|CC1|NORTHBOUND 215 SOUTH OF THE     
20110123020140.000|20110123020141.000|CC1|259.                            
20110123020141.000|20110123020142.000|CC1|LEANNE SUTER IS LIVE FROM       
20110123020142.000|20110123020143.000|CC1|SAN BERNARDINO WITH THE         
20110123020143.000|20110123020144.000|CC1|BREAKING DETAILS.               
20110123020144.000|20110123020145.000|CC1|LEANN?                          
20110123020145.000|20110123020148.000|CC1|>> SUBHA, THE SAN BERNARDINO    
20110123020148.000|20110123020149.000|CC1|POLICE SAY THAT THE MAN         
20110123020149.000|20110123020150.000|CC1|NEVER HAD A CHANCE.             
20110123020150.000|20110123020152.000|CC1|HE WAS HIT HEAD-ON.             
20110123020152.000|20110123020153.000|CC1|HIS ALLEGED KILLER ON THE       
20110123020153.000|20110123020155.000|CC1|RUN TONIGHT FROM POLICE.        
20110123020155.000|20110123020158.000|CC1|>> A DEADLY END TO THE SHORT    
20110123020158.000|20110123020159.000|CC1|HIGH-SPEED POLICE PURSUIT AS    
20110123020159.000|20110123020200.000|CC1|THE SUSPECT GOES THE WRONG      
20110123020200.000|20110123020201.000|CC1|WAY ON A BUSY SAN BERNARDINO    
20110123020201.000|20110123020202.000|CC1|FREEWAY.                        
20110123020202.000|20110123020204.000|CC1|>> WE JUST SAW THE TRUCK        
20110123020204.000|20110123020205.000|CC1|TURN ON TO THE WRONG WAY        
20110123020205.000|20110123020206.000|CC1|BEING PURSUED BY THE POLICE     
20110123020206.000|20110123020207.000|CC1|CAR.                            
