TOP|20110123023001|2011-01-23_0230_US_KCBS_The_Insider
COL|Communication Studies Archive, UCLA 
UID|d99fadc0-269c-11e0-a4af-001517add720
DUR|0:29:48.85
VID|640x368
CMT|
LAN|ENG
LBT|2011-01-22 18:30 America/Los_Angeles
SEG_01|2014-06-18 18:59:20|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110123023003.000|20110123025907.000|SEG|Type=Story
20110123023003.000|20110123023004.000|CC1|                 IN LOS ANGELES.
20110123023004.000|20110123023005.000|CC1|                    IN THE '70s,
20110123023005.000|20110123023006.000|CC1|           SO MANY GREAT SINGERS
20110123023006.000|20110123023006.000|CC1|       AND SONGWRITERS PERFORMED
20110123023006.000|20110123023009.000|CC1|       RIGHT HERE ON THIS STAGE 
20110123023009.000|20110123023009.000|CC1|             FROM ELTON JOHN AND
20110123023009.000|20110123023011.000|CC1|                JAMES TAYLOR    
20110123023011.000|20110123023011.000|CC1|              TO CAROLE KING AND
20110123023011.000|20110123023013.000|CC1|               GORDON LIGHTFOOT.
20110123023013.000|20110123023013.000|CC1|IT WAS A TIME                   
20110123023013.000|20110123023013.000|CC1|WHEN ROCK MUSIC                 
20110123023013.000|20110123023016.000|CC1|WAS CHANGING.                   
20110123023016.000|20110123023016.000|CC1|THERE WAS A NEW SOUND           
20110123023016.000|20110123023019.000|CC1|WITH PERSONAL LYRICS,           
20110123023019.000|20110123023020.000|CC1|SWEET HARMONIES                 
20110123023020.000|20110123023020.000|CC1|AND OF COURSE,                  
20110123023020.000|20110123023022.000|CC1|THE ACOUSTIC GUITARS.           
20110123023022.000|20110123023022.000|CC1|              ? VENTURA HIGHWAY,
20110123023022.000|20110123023029.000|CC1|               IN THE SUNSHINE ?
20110123023029.000|20110123023031.000|CC1|  ? WHERE THE DAYS ARE LONGER ? 
20110123023031.000|20110123023031.000|CC1|    ? THE NIGHTS ARE STRONGER   
20110123023031.000|20110123023035.000|CC1|        THAN MOONSHINE ?        
20110123023035.000|20110123023035.000|CC1|                         ? ROCKY
20110123023035.000|20110123023035.000|CC1|                        MOUNTAIN
20110123023035.000|20110123023039.000|CC1|                         HIGH ? 
20110123023039.000|20110123023041.000|CC1|                  ? [COLORADO] ?
20110123023041.000|20110123023041.000|CC1|                         ? ROCKY
20110123023041.000|20110123023041.000|CC1|                        MOUNTAIN
20110123023041.000|20110123023044.000|CC1|                         HIGH ? 
20110123023044.000|20110123023047.000|CC1|         ? [COLORADO] ?         
20110123023047.000|20110123023047.000|CC1|                 I CAN STILL    
20110123023047.000|20110123023047.000|CC1|               REMEMBER WHEN I  
20110123023047.000|20110123023048.000|CC1|             FIRST HEARD ARTISTS
20110123023048.000|20110123023048.000|CC1|                LIKE PAUL SIMON,
20110123023048.000|20110123023050.000|CC1|                   JIM CROCE,   
20110123023050.000|20110123023050.000|CC1|                  JOHN DENVER,  
20110123023050.000|20110123023052.000|CC1|                AND CAT STEVENS.
20110123023052.000|20110123023052.000|CC1|THESE ARTISTS SHARED            
20110123023052.000|20110123023054.000|CC1|THEIR PERSONAL FEELINGS         
20110123023054.000|20110123023054.000|CC1|AND EXPERIENCES IN A WAY        
20110123023054.000|20110123023057.000|CC1|THAT TOUCHED OUR LIVES.         
20110123023057.000|20110123023058.000|CC1|                  THAT'S SO TRUE
20110123023058.000|20110123023058.000|CC1|            AND THAT'S WHY THESE
20110123023058.000|20110123023058.000|CC1|              SONGS STILL SOUND 
20110123023058.000|20110123023101.000|CC1|               SO GREAT TODAY.  
20110123023101.000|20110123023102.000|CC1|       ? OOO, BABY, BABY ?      
20110123023102.000|20110123023104.000|CC1|      ? IT'S A WILD WORLD ?     
20110123023104.000|20110123023107.000|CC1|                ?               
20110123023107.000|20110123023108.000|CC1|     ? IT'S HARD TO GET BY ?    
20110123023108.000|20110123023111.000|CC1|      ? JUST UPON A SMILE ?     
20110123023111.000|20110123023114.000|CC1|? ANTICIPATION ?                
20110123023114.000|20110123023115.000|CC1|?                               
20110123023115.000|20110123023119.000|CC1|? ANTICIPATION ?                
20110123023119.000|20110123023119.000|CC1|? IS MAKING                     
20110123023119.000|20110123023122.000|CC1|ME LATE ?                       
20110123023122.000|20110123023122.000|CC1|WOW, THAT BRINGS BACK           
20110123023122.000|20110123023124.000|CC1|SO MANY MEMORIES.               
20110123023124.000|20110123023124.000|CC1|                   AND WE HAVE  
20110123023124.000|20110123023124.000|CC1|                 SO MANY MORE TO
20110123023124.000|20110123023126.000|CC1|                 SHARE WITH YOU.
20110123023126.000|20110123023126.000|CC1|BUT FIRST WE'D LIKE TO          
20110123023126.000|20110123023129.000|CC1|INTRODUCE OUR CO-HOST,          
20110123023129.000|20110123023130.000|CC1|SUZANNE SENA.                   
20110123023130.000|20110123023132.000|CC1|               THANKS, YOU GUYS!
20110123023132.000|20110123023132.000|CC1|               I AM SO EXCITED  
20110123023132.000|20110123023132.000|CC1|                TO BE WORKING   
20110123023132.000|20110123023133.000|CC1|            WITH THE TWO OF YOU.
20110123023133.000|20110123023133.000|CC1|          I MEAN, I THINK I HAVE
20110123023133.000|20110123023135.000|CC1|            ALL OF YOUR ALBUMS! 
20110123023135.000|20110123023136.000|CC1|        THANKS, SUZANNE.        
20110123023136.000|20110123023136.000|CC1|     WE WERE FORTUNATE TO BE    
20110123023136.000|20110123023138.000|CC1|     WRITING AND PERFORMING     
20110123023138.000|20110123023140.000|CC1|   DURING SUCH A MAGICAL TIME.  
20110123023140.000|20110123023140.000|CC1|         ? AND THE CAT'S        
20110123023140.000|20110123023141.000|CC1|         IN THE CRADLE ?        
20110123023141.000|20110123023143.000|CC1|    ? AND THE SILVER SPOON ?    
20110123023143.000|20110123023143.000|CC1|        ? LITTLE BOY BLUE       
20110123023143.000|20110123023146.000|CC1|    AND THE MAN IN THE MOON ?   
20110123023146.000|20110123023148.000|CC1|  ? WHEN YOU COMING HOME, DAD ? 
20110123023148.000|20110123023149.000|CC1|      ? I DON'T KNOW WHEN ?     
20110123023149.000|20110123023152.000|CC1| ? BUT WE'LL GET TOGETHER THEN ?
20110123023152.000|20110123023155.000|CC1|         ? KODACHROME ?         
20110123023155.000|20110123023156.000|CC1|        ? THEY GIVE US ?        
20110123023156.000|20110123023158.000|CC1|  ? THOSE NICE BRIGHT COLORS ?  
20110123023158.000|20110123023201.000|CC1|     ? GIVE US THE GREENS ?     
20110123023201.000|20110123023202.000|CC1|         ? OF SUMMERS ?         
20110123023202.000|20110123023202.000|CC1|IT'S SO NICE TO HEAR            
20110123023202.000|20110123023204.000|CC1|THESE SONGS AGAIN.              
20110123023204.000|20110123023204.000|CC1|                 AND WE'RE JUST 
20110123023204.000|20110123023205.000|CC1|                GETTING STARTED.
20110123023205.000|20110123023207.000|CC1|      SO SIT BACK AND RELAX     
20110123023207.000|20110123023207.000|CC1|   AS WE TAKE YOU BACK TO THIS  
20110123023207.000|20110123023211.000|CC1|   SPECIAL TIME IN ROCK MUSIC.  
20110123023211.000|20110123023213.000|CC1|  NOW, ALL THE SONGS AND ARTISTS
20110123023213.000|20110123023213.000|CC1|    WHO CAPTURED THE FEELINGS   
20110123023213.000|20110123023216.000|CC1|         OF A GENERATION        
20110123023216.000|20110123023216.000|CC1|         ARE TOGETHER IN        
20110123023216.000|20110123023220.000|CC1|    ONE DEFINITIVE COLLECTION.  
20110123023220.000|20110123023222.000|CC1|    TIME LIFE PROUDLY PRESENTS  
20110123023222.000|20110123023225.000|CC1|     SINGERS AND SONGWRITERS.   
20110123023225.000|20110123023225.000|CC1|              DEW, THERE'S      
20110123023225.000|20110123023225.000|CC1|         ONE ARTIST WHO INSPIRED
20110123023225.000|20110123023228.000|CC1|            EVERY SONGWRITER    
20110123023228.000|20110123023228.000|CC1|                 FROM THE '60s, 
20110123023228.000|20110123023230.000|CC1|                '70s AND BEYOND.
20110123023230.000|20110123023230.000|CC1|AND OF COURSE,                  
20110123023230.000|20110123023230.000|CC1|WE'RE TALKING ABOUT             
20110123023230.000|20110123023233.000|CC1|THE ONE AND ONLY,               
20110123023233.000|20110123023235.000|CC1|LEGENDARY BOB DYLAN.            
20110123023235.000|20110123023235.000|CC1|           ? LOOK OUT,          
20110123023235.000|20110123023239.000|CC1| THE SAINTS ARE COMING THROUGH ?
20110123023239.000|20110123023242.000|CC1|                ?               
20110123023242.000|20110123023245.000|CC1|    ? AND IT'S ALL OVER NOW ?   
20110123023245.000|20110123023248.000|CC1|          ? BABY BLUE ?         
20110123023248.000|20110123023252.000|CC1|   ? HEY, MR. TAMBOURINE MAN ?  
20110123023252.000|20110123023253.000|CC1|         ? PLAY A SONG ?        
20110123023253.000|20110123023255.000|CC1|           ? FOR ME ?           
20110123023255.000|20110123023257.000|CC1|       ? I'M NOT SLEEPY ?       
20110123023257.000|20110123023257.000|CC1|   ? AND THERE AIN'T NO PLACE   
20110123023257.000|20110123023302.000|CC1|         I'M GOING TO ?         
20110123023302.000|20110123023303.000|CC1|  ? ALL THE LEAVES ARE BROWN ?  
20110123023303.000|20110123023303.000|CC1|        ? [ALL THE LEAVES       
20110123023303.000|20110123023305.000|CC1|          ARE BROWN] ?          
20110123023305.000|20110123023307.000|CC1|     ? AND THE SKY IS GRAY ?    
20110123023307.000|20110123023311.000|CC1|    ? [AND THE SKY IS GRAY] ?   
