TOP|20110123030001|2011-01-23_0300_US_KCBS_Entertainment_Tonight
COL|Communication Studies Archive, UCLA 
UID|3b5e7386-26a5-11e0-98a2-001517add6fa
DUR|0:59:49.28
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-22 19:00 America/Los_Angeles
SEG_01|2014-06-18 18:59:22|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110123030003.000|20110123030003.000|XDS|%     CALL: CWD 
20110123030003.000|20110123030003.000|XDS|%  NETWORK: CBS 
20110123030003.000|20110123031115.000|SEG|Type=Story
20110123030003.000|20110123030005.000|CC1|>> YOU LOOK LIKE YOU WERE       
20110123030005.000|20110123030006.000|CC1|STUNNED OUT OF YOUR MIND.       
20110123030006.000|20110123030007.000|CC1|>> PLUS --                      
20110123030007.000|20110123030009.000|CC1|>> TIME FOR THE LIST.           
20110123030009.000|20110123030010.000|CC1|>> HOW COJO COMES UP WITH HIS   
20110123030010.000|20110123030013.000|CC1|LIST OF THE BEST AND WORST      
20110123030013.000|20110123030013.000|CC1|DRESSED STARS.                  
20110123030013.000|20110123030015.000|CC1|>> ON THE WORST DRESSED LIST, I 
20110123030015.000|20110123030016.000|CC1|JUST DO THIS.                   
20110123030016.000|20110123030017.000|CC1|>> THE GIRLS WERE SAYING YOU    
20110123030017.000|20110123030019.000|CC1|WERE INVOLVED IN A SOFT PORN    
20110123030019.000|20110123030019.000|CC1|MOVIE.                          
20110123030019.000|20110123030022.000|CC1|>> CAMILLE GRAMMER'S ADULT FILM 
20110123030022.000|20110123030022.000|CC1|CONFESSION TO NANCY.            
20110123030022.000|20110123030024.000|CC1|>> CAN'T BE AFRAID TO ASK THE   
20110123030024.000|20110123030025.000|CC1|TOUGH QUESTIONS.                
20110123030025.000|20110123030027.000|CC1|>> AND THE MAKING OF OUR BIG    
20110123030027.000|20110123030028.000|CC1|JANUARY EVENT.                  
20110123030028.000|20110123030032.000|CC1|>> GO, GO, GO WHILE WEE  GOT AL 
20110123030032.000|20110123030033.000|CC1|THE PEOPLE WALKING THROUGH.     
20110123030033.000|20110123030037.000|CC1|>> ON THE SET WITH ROBERT DOWNEY
20110123030037.000|20110123030037.000|CC1|JR.                             
20110123030037.000|20110123030039.000|CC1|>> NOW, THE LATEST CELEBRITY    
20110123030039.000|20110123030041.000|CC1|HEADLINES FROM AROUND THE WORLD.
20110123030041.000|20110123030042.000|CC1|>> HELLO AND THANK YOU SO MUCH  
20110123030042.000|20110123030043.000|CC1|FOR JOINING US.                 
20110123030043.000|20110123030045.000|CC1|I'M MARK STEINES.               
20110123030045.000|20110123030047.000|CC1|>> I'M NANCY O'DELL.            
20110123030047.000|20110123030048.000|CC1|WELCOME TO "ENTERTAINMENT       
20110123030048.000|20110123030049.000|CC1|TONIGHT" BEHIND THE SCENES.     
20110123030049.000|20110123030050.000|CC1|>> WE'RE PULLING BACK THE       
20110123030050.000|20110123030052.000|CC1|CURTAIN ON ONE OF THE MOST STAR 
20110123030052.000|20110123030054.000|CC1|STUDDED GLAMOROUS EVENTS IN     
20110123030054.000|20110123030055.000|CC1|HOLLYWOOD, THE GOLDEN GLOBES.   
20110123030055.000|20110123030056.000|CC1|>> IT IS EVERYTHING YOU NEVER   
20110123030056.000|20110123030059.000|CC1|GET TO SEE FROM THE PRODUCERS OF
20110123030059.000|20110123030101.000|CC1|THE RED CARPET TO THE PLANNING  
20110123030101.000|20110123030102.000|CC1|THAT BEGINS MONTHS IN ADVANCE.  
20110123030102.000|20110123030103.000|CC1|THIS IS HOW WE DO AN AWARDS SHOW
20110123030103.000|20110123030109.000|CC1|"E.T." STYLE.                   
20110123030109.000|20110123030111.000|CC1|>> THREE, TWO --                
20110123030111.000|20110123030112.000|CC1|>> IT IS JUST MINUTES BEFORE ALL
20110123030112.000|20110123030114.000|CC1|THE CELEBRITIES START ARRIVING  
20110123030114.000|20110123030115.000|CC1|DOWN THIS RED CARPET FOR THE    
20110123030115.000|20110123030116.000|CC1|GOLDEN GLOBES.                  
20110123030116.000|20110123030118.000|CC1|AS YOU CAN SEE, WE'RE GETTING   
20110123030118.000|20110123030119.000|CC1|OUR "E.T." PLATFORM ALL SET UP, 
20110123030119.000|20110123030120.000|CC1|WHICH IS FIRST UPON THEIR       
20110123030120.000|20110123030121.000|CC1|ARRIVAL.                        
20110123030121.000|20110123030123.000|CC1|THERE ARE CREWS HERE FROM AROUND
20110123030123.000|20110123030123.000|CC1|THE WORLD.                      
20110123030123.000|20110123030125.000|CC1|THERE ARE EVEN CREWS UP IN THE  
20110123030125.000|20110123030127.000|CC1|WINDOW TO GET THAT ALL IMPORTANT
20110123030127.000|20110123030130.000|CC1|FASHION SHOT AS WE ARE ABOUT TO 
20110123030130.000|20110123030132.000|CC1|GO INSIDE BECAUSE SHOW TIME IS  
20110123030132.000|20110123030134.000|CC1|JUST AROUND THE CORNER.         
20110123030134.000|20110123030134.000|CC1|"ENTERTAINMENT TONIGHT" AT THE  
20110123030134.000|20110123030136.000|CC1|GOLDEN GLOBES.                  
20110123030136.000|20110123030138.000|CC1|SO THE MOMENTUM STARTS BUILDING 
20110123030138.000|20110123030141.000|CC1|AS THE STARS START TO ARRIVE AT 
20110123030141.000|20110123030142.000|CC1|3:30.                           
20110123030142.000|20110123030145.000|CC1|AND FROM THAT POINT ON, IT GETS 
20110123030145.000|20110123030146.000|CC1|REALLY CRAZED.                  
20110123030146.000|20110123030149.000|CC1|>> PREP MARY A LITTLE BIT.      
20110123030149.000|20110123030151.000|CC1|EDIE FALCO IS COMING UP.        
20110123030151.000|20110123030153.000|CC1|ANGIE AND BRAD, GOT TO GO, STAY 
20110123030153.000|20110123030153.000|CC1|WITH THEM.                      
20110123030153.000|20110123030155.000|CC1|>> ALL THE HOSTS OF             
20110123030155.000|20110123030156.000|CC1|"ENTERTAINMENT TONIGHT" ARE ON  
20110123030156.000|20110123030158.000|CC1|THE RED CARPET FOR THE GOLDEN   
20110123030158.000|20110123030158.000|CC1|GLOBES.                         
20110123030158.000|20110123030200.000|CC1|MARY HART WAS AT THE BEGINNING  
20110123030200.000|20110123030202.000|CC1|WITH MARK STEINES WHEN THE STARS
20110123030202.000|20110123030205.000|CC1|ARRIVED ON THE RED CARPET.      
20110123030205.000|20110123030207.000|CC1|>> WHEN YOU WATCH "ENTERTAINMENT
20110123030207.000|20110123030208.000|CC1|TONIGHT" AT HOME, AS A VIEWER,  
20110123030208.000|20110123030210.000|CC1|WHAT YOU SEE IS MARY HART AND   
20110123030210.000|20110123030211.000|CC1|MARK STEINES CALMLY STANDING ON 
20110123030211.000|20110123030212.000|CC1|OUR PLATFORM.                   
20110123030212.000|20110123030214.000|CC1|WHAT YOU DON'T SEE IS WHAT'S    
20110123030214.000|20110123030216.000|CC1|GOING ON DIRECTLY IN FRONT OF   
20110123030216.000|20110123030217.000|CC1|AND BELOW THEM.                 
20110123030217.000|20110123030219.000|CC1|>> THIS COLLISION OF STARS THAT 
20110123030219.000|20110123030220.000|CC1|ARE BUMPING INTO ONE ANOTHER AND
20110123030220.000|20110123030222.000|CC1|TRYING TO MAKE THEIR WAY UP ON  
20110123030222.000|20110123030223.000|CC1|TO THE PLATFORM.                
20110123030223.000|20110123030224.000|CC1|>> YOU HAVE JUSTIN BIEBER       
20110123030224.000|20110123030226.000|CC1|WAITING, YOU HAVE THE STARS OF  
20110123030226.000|20110123030229.000|CC1|"GLEE" WAITING, YOU HAVE ROBERT 
20110123030229.000|20110123030231.000|CC1|DOWNEY JR. WAITING NICOLE KIDMAN
20110123030231.000|20110123030235.000|CC1|ON THE PLATFORM WITH KEITH      
20110123030235.000|20110123030235.000|CC1|URBAN.                          
20110123030235.000|20110123030237.000|CC1|>> THEY ARE FIELDING QUESTIONS  
20110123030237.000|20110123030239.000|CC1|FROM STARS' PUBLICISTS AND      
20110123030239.000|20110123030240.000|CC1|TRYING TO FIGURE OUT WHO IS     
20110123030240.000|20110123030241.000|CC1|GOING TO GO TALK TO WHO.        
20110123030241.000|20110123030242.000|CC1|>> IT IS LIKE YOU'RE JUST       
20110123030242.000|20110123030244.000|CC1|PASSING CELEBRITIES THROUGH.    
20110123030244.000|20110123030246.000|CC1|IT IS REALLY A CAROUSEL OF      
20110123030246.000|20110123030247.000|CC1|CELEBRITIES, ONE AFTER THE NEXT 
20110123030247.000|20110123030248.000|CC1|AFTER THE NEXT.                 
20110123030248.000|20110123030249.000|CC1|>> EVERYONE IS JOCKEYING FOR    
20110123030249.000|20110123030249.000|CC1|POSITION.                       
20110123030249.000|20110123030251.000|CC1|I WANT TO TALK TO MARY HART, I  
20110123030251.000|20110123030253.000|CC1|WANT TO TALK TO MARK STEINES, I 
20110123030253.000|20110123030254.000|CC1|DON'T WANT TO TALK BY MYSELF, I 
20110123030254.000|20110123030256.000|CC1|WANT TO TALK IN GROUP, I DON'T  
20110123030256.000|20110123030257.000|CC1|WANT TO BE WITH THE REST OF MY  
20110123030257.000|20110123030259.000|CC1|CAST, I WANT TO BE BY MYSELF.   
20110123030259.000|20110123030302.000|CC1|IT IS THE MOST UNCIVILIZED SCENE
20110123030302.000|20110123030305.000|CC1|GOING ON BEHIND THIS GLAMOROUS, 
20110123030305.000|20110123030307.000|CC1|FANTASTIC GORGEOUS EVENT.       
20110123030307.000|20110123030308.000|CC1|>> THE GLOBES ARE GORGEOUS AND  
20110123030308.000|20110123030311.000|CC1|WE HAVE LEARNED TO EXPECT THE   
20110123030311.000|20110123030311.000|CC1|UNEXPECTED.                     
20110123030311.000|20110123030314.000|CC1|TEN "E.T." CAMERAS, FOUR HOSTS, 
20110123030314.000|20110123030315.000|CC1|120 MEMBERS OF THE "E.T." STAFF 
20110123030315.000|20110123030317.000|CC1|AT THE RED CARPET, AND LEADING  
20110123030317.000|20110123030319.000|CC1|THEM ALL, "ENTERTAINMENT        
20110123030319.000|20110123030321.000|CC1|TONIGHT'S" EXECUTIVE PRODUCER   
20110123030321.000|20110123030325.000|CC1|LINDA BELLBLUE AND THE          
20110123030325.000|20110123030325.000|CC1|CO-EXECUTIVE PRODUCER.          
20110123030325.000|20110123030327.000|CC1|>> I THINK THIS GOLDEN GLOBES   
20110123030327.000|20110123030327.000|CC1|SHOW FOR "ENTERTAINMENT TONIGHT"
20110123030327.000|20110123030329.000|CC1|IS THE BEST WE HAVE EVER DONE.  
20110123030329.000|20110123030330.000|CC1|THERE WERE GREAT STARS THERE,   
20110123030330.000|20110123030332.000|CC1|PEOPLE HAD GREAT STORIES TO     
20110123030332.000|20110123030332.000|CC1|TELL.                           
20110123030332.000|20110123030334.000|CC1|MICHAEL DOUGLAS AND CATHERINE   
20110123030334.000|20110123030335.000|CC1|ZETA-JONES WERE OUT FOR THE     
20110123030335.000|20110123030337.000|CC1|FIRST TIME AFTER HE HAD         
20110123030337.000|20110123030338.000|CC1|RECOVERED FROM HIS CANCER.      
20110123030338.000|20110123030341.000|CC1|>> BUT EVEN THE OSCAR WINNER CAN
20110123030341.000|20110123030342.000|CC1|FLOAT THE LINE LIKE MICHAEL DID 
20110123030342.000|20110123030343.000|CC1|WHEN WE SHOT THIS.              
20110123030343.000|20110123030345.000|CC1|>> "E.T." AT THE GOLDEN GLOBES  
20110123030345.000|20110123030347.000|CC1|WITH MICHAEL AND CATHERINE, SAY 
20110123030347.000|20110123030348.000|CC1|HERE WE GO?                     
20110123030348.000|20110123030349.000|CC1|>> OKAY.                        
20110123030349.000|20110123030350.000|CC1|>> THREE, TWO --                
20110123030350.000|20110123030351.000|CC1|>> "E.T." AT THE GOLDEN GLOBES  
20110123030351.000|20110123030353.000|CC1|WITH MICHAEL AND CATHERINE.     
20110123030353.000|20110123030353.000|CC1|>> AND WE'RE OFF.               
20110123030353.000|20110123030356.000|CC1|>> LET'S GO.                    
20110123030356.000|20110123030358.000|CC1|>> YOU'RE GOING TO CHANGE IT,   
20110123030358.000|20110123030358.000|CC1|RIGHT?                          
20110123030358.000|20110123030359.000|CC1|>> HE CHANGES THE LINE.         
20110123030359.000|20110123030401.000|CC1|>> OF COURSE, PREPARING FOR THE 
20110123030401.000|20110123030403.000|CC1|BIG EVENT BEGAN MONTHS BEFORE.  
20110123030403.000|20110123030405.000|CC1|SENIOR PRODUCER IS WORKING HER  
20110123030405.000|20110123030406.000|CC1|CONNECTIONS FROM THE MOMENT THE 
20110123030406.000|20110123030409.000|CC1|GLOBES WRAPPED LAST YEAR.       
20110123030409.000|20110123030411.000|CC1|>> THE SHOW BUSINESS, ONE BIG   
20110123030411.000|20110123030414.000|CC1|GIANT CUP OF CRAZY.             
20110123030414.000|20110123030416.000|CC1|SO WE DO KNOW SCARLETT JOHANSSON
20110123030416.000|20110123030417.000|CC1|IS THE FIRST ONE OFF.           
20110123030417.000|20110123030419.000|CC1|>> IT IS LIKE WALKING ON A TIGHT
20110123030419.000|20110123030419.000|CC1|ROPE.                           
20110123030419.000|20110123030421.000|CC1|THE FRIDAY BEFORE IS WHEN       
20110123030421.000|20110123030424.000|CC1|EVERYBODY GETS REALLY SERIOUS   
20110123030424.000|20110123030425.000|CC1|HERE AT "E.T."                  
20110123030425.000|20110123030426.000|CC1|>> THE CARPET CLOSES AT 2:00    
20110123030426.000|20110123030426.000|CC1|P.M.                            
20110123030426.000|20110123030427.000|CC1|EVERYBODY MUST BE IN THEIR      
20110123030427.000|20110123030428.000|CC1|POSITION.                       
20110123030428.000|20110123030430.000|CC1|>> WITH EVERYONE ON STAFF AND   
20110123030430.000|20110123030430.000|CC1|INFORMED AND READY, THE         
20110123030430.000|20110123030432.000|CC1|COUNTDOWN IS ON TO SHOW TIME.   
20110123030432.000|20110123030435.000|CC1|THE BIG GET, SANDRA BULLOCK ONE 
20110123030435.000|20110123030436.000|CC1|YEAR LATER.                     
20110123030436.000|20110123030438.000|CC1|>> WE JUST HEARD SANDRA IS NOT  
20110123030438.000|20110123030438.000|CC1|GOING TO DO ANYBODY.            
20110123030438.000|20110123030440.000|CC1|>> SANDRA DECIDED SHE WASN'T    
20110123030440.000|20110123030441.000|CC1|GOING TO TALK TO ANYBODY.       
20110123030441.000|20110123030442.000|CC1|I SAID, MARY, SHE KNOWS YOU.    
20110123030442.000|20110123030444.000|CC1|IF YOU LEAN OVER THE RAIL AND   
20110123030444.000|20110123030445.000|CC1|JUST YELL TO HER, SHE'LL COME   
20110123030445.000|20110123030447.000|CC1|TALK, WHICH IS NOT EXACTLY VERY 
20110123030447.000|20110123030449.000|CC1|LADYLIKE THING TO DO, BUT I SAID
20110123030449.000|20110123030450.000|CC1|JUST GO TO THE RAILING, GO YELL 
20110123030450.000|20110123030451.000|CC1|AT HER.                         
20110123030451.000|20110123030454.000|CC1|>> I HAVE TIM ALLEN ON THE      
20110123030454.000|20110123030456.000|CC1|PLATFORM WITH ME, AND HIS WIFE  
20110123030456.000|20110123030458.000|CC1|JANE AND THEN ALL OF A SUDDEN,  
20110123030458.000|20110123030501.000|CC1|OH, MY GOSH, SANDRA BULLOCK IS  
20110123030501.000|20110123030505.000|CC1|ABOUT TO WALK BY.               
20110123030505.000|20110123030509.000|CC1|>> SO THAT IS HAPPENING, I'M    
20110123030509.000|20110123030510.000|CC1|GOING -- SHE DID YELL AT SANDRA 
20110123030510.000|20110123030514.000|CC1|IN THE MIDDLE OF THE TIM ALLEN  
20110123030514.000|20110123030514.000|CC1|INTERVIEW.                      
20110123030514.000|20110123030515.000|CC1|>> SANDY.                       
20110123030515.000|20110123030516.000|CC1|>> SHE DID WAVE BACK.           
20110123030516.000|20110123030517.000|CC1|IT WAS A LITTLE MOMENT.         
20110123030517.000|20110123030518.000|CC1|>> THERE WAS ONE MOMENT NO ONE  
20110123030518.000|20110123030519.000|CC1|SAW COMING.                     
20110123030519.000|20110123030520.000|CC1|>> I DON'T KNOW WHAT I WOULD DO 
20110123030520.000|20110123030522.000|CC1|WITHOUT OUR PRODUCER.           
20110123030522.000|20110123030524.000|CC1|HE'S THE MAN WITH THE BLACK BOOK
20110123030524.000|20110123030525.000|CC1|AND ALL OF THE FACTS.           
20110123030525.000|20110123030527.000|CC1|>> MARY WAS TALKING TO JAKE     
20110123030527.000|20110123030528.000|CC1|GYLLENHAAL AND I HAD PREPD HER  
20110123030528.000|20110123030530.000|CC1|RIGHT BEFORE HE CAME UP THE     
20110123030530.000|20110123030530.000|CC1|STAIRS.                         
20110123030530.000|20110123030532.000|CC1|>> NEW YEAR'S EVE.              
20110123030532.000|20110123030532.000|CC1|OKAY.                           
20110123030532.000|20110123030533.000|CC1|>> MARY, MARY.                  
20110123030533.000|20110123030534.000|CC1|>> JAKE.                        
20110123030534.000|20110123030538.000|CC1|>> I SAID, I UNDERSTAND YOU'RE  
20110123030538.000|20110123030542.000|CC1|IN GARY MARSHAL'S MOVIE "NEW    
20110123030542.000|20110123030544.000|CC1|YEAR'S EVE" AND HE GOES --      
20110123030544.000|20110123030544.000|CC1|>> NO, NOT AT ALL.              
20110123030544.000|20110123030548.000|CC1|>> I WAS LOOKING AT MY NOTES FOR
20110123030548.000|20110123030548.000|CC1|SOMEBODY ELSE AND OBVIOUSLY     
20110123030548.000|20110123030549.000|CC1|JAKE --                         
20110123030549.000|20110123030550.000|CC1|>> SHE CALLS ME AND SAYS COME   
20110123030550.000|20110123030554.000|CC1|OVER HERE, RESHOW ME THE ITEMS  
20110123030554.000|20110123030555.000|CC1|ON JAKE.                        
20110123030555.000|20110123030555.000|CC1|>> COME HERE.                   
20110123030555.000|20110123030557.000|CC1|I SAID, SO, JAKE, YOU HAVE THIS 
20110123030557.000|20110123030600.000|CC1|NEW GARY MARSHALL MOVIE COMING  
20110123030600.000|20110123030602.000|CC1|UP AND HE GOES, NO, THAT'S NOT  
20110123030602.000|20110123030602.000|CC1|ME.                             
20110123030602.000|20110123030603.000|CC1|IT IS NOT.                      
20110123030603.000|20110123030604.000|CC1|>> THINGS HAPPEN.               
