TOP|20110123140001|2011-01-23_1400_US_KABC_Good_Morning_America_Sunday
COL|Communication Studies Archive, UCLA 
UID|6f6944b0-2701-11e0-849b-001517add6fa
DUR|0:59:49.25
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-23 06:00 America/Los_Angeles
SEG_01|2014-06-18 18:59:29|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110123140004.000|20110123140004.000|XDS|%  NETWORK: ABC
20110123140004.000|20110123140004.000|XDS|%     CALL:   
20110123140007.000|20110123140007.000|XDS|%   RATING: (NOT RATED) (72)
20110123140007.000|20110123140007.000|SEG|Type=Story
20110123140007.000|20110123140007.000|CC1|>>> GO                          
20110123140008.000|20110123140008.000|XDS|%    TITLE: GOOD MORNING AMERICA
20110123140008.000|20110123140008.000|XDS|% TIMECODE: 1/23 9:00
20110123140008.000|20110123140008.000|XDS|%   LENGTH: 0:00:00 of 2:00:00
20110123140007.000|20110123140013.000|SEG|Type=Story
20110123140007.000|20110123140008.000|CC1|>>> GOOD MORNING, AMERICA.      
20110123140008.000|20110123140009.000|CC1|I'M DAN HARRIS.                 
20110123140009.000|20110123140010.000|CC1|>> AND I'M BIANNA GOLODRYGA.    
20110123140010.000|20110123140013.000|CC1|IT'S SUNDAY, JANUARY 23rd.      
20110123140013.000|20110123140026.000|SEG|Type=Story
20110123140013.000|20110123140017.000|CC1|>>> THIS MORNING, ONE-TWO PUNCH.
20110123140017.000|20110123140020.000|CC1|A BIG SNOWSTORM IS HOT ON THE   
20110123140020.000|20110123140023.000|CC1|HEELS OF MUCH OF THE            
20110123140023.000|20110123140024.000|CC1|BONE-CHILLING COLD              
20110123140024.000|20110123140025.000|CC1|GRIPPING MUCH OF THE NATION THIS
20110123140025.000|20110123140025.000|CC1|WEEKEND.                        
20110123140025.000|20110123140026.000|CC1|HOW BAD WILL IT BE?             
20110123140026.000|20110123140032.000|SEG|Type=Story
20110123140026.000|20110123140027.000|CC1|>>> JOB ONE.                    
20110123140027.000|20110123140027.000|CC1|PRESIDENT OBAMA SAYS            
20110123140027.000|20110123140028.000|CC1|GETTING AMERICANS BACK TO WORK  
20110123140028.000|20110123140029.000|CC1|WITH BE THE MAIN THEME OF HIS   
20110123140029.000|20110123140030.000|CC1|STATE OF THE UNION ADDRESS.     
20110123140030.000|20110123140032.000|CC1|BUT HOW DOES HE PLAN TO DO IT?  
20110123140032.000|20110123140053.000|SEG|Type=Story
20110123140032.000|20110123140032.000|CC1|>>> PAINFUL MEMORIES.           
20110123140032.000|20110123140035.000|CC1|>> I WAS YELLING.               
20110123140035.000|20110123140036.000|CC1|I WAS JUST ASKING HER TO STAY   
20110123140036.000|20110123140037.000|CC1|WITH ME.                        
20110123140037.000|20110123140037.000|CC1|DON'T YOU DIE ON ME.            
20110123140037.000|20110123140040.000|CC1|DON'T YOU LEAVE ME HERE ALONE.  
20110123140040.000|20110123140041.000|CC1|>> THE WOMAN WHO TOOK HER       
20110123140041.000|20110123140042.000|CC1|9-YEAR-OLD NEIGHBOR TO MEET HER 
20110123140042.000|20110123140044.000|CC1|CONGRESSWOMAN ON THAT FATEFUL   
20110123140044.000|20110123140046.000|CC1|DAY IN TUCSON                   
20110123140046.000|20110123140048.000|CC1|SPEAKS OUT ABOUT HER ORDEAL     
20110123140048.000|20110123140050.000|CC1|AND HOW SHE'S TRYING TO MOVE ON 
20110123140050.000|20110123140052.000|CC1|AFTER LITTLE CHRISTINA TAYLOR   
20110123140052.000|20110123140053.000|CC1|GREEN'S DEATH.                  
20110123140053.000|20110123140111.000|SEG|Type=Story
20110123140053.000|20110123140054.000|CC1|>>> AND DAYTIME DRAMA.          
20110123140056.000|20110123140056.000|XDS|%   LENGTH: 0:01:00 of 2:00:00
20110123140054.000|20110123140056.000|CC1|OPRAH SAYS SHE'S GOING TO REVEAL
20110123140056.000|20110123140058.000|CC1|A HUGE FAMILY SECRET ON HER SHOW
20110123140058.000|20110123140059.000|CC1|TOMORROW.                       
20110123140059.000|20110123140102.000|CC1|WHAT DID THE QUEEN OF TALK FIND 
