TOP|20110123140001|2011-01-23_1400_US_KNBC_NBC_Today_Show_Sunday
COL|Communication Studies Archive, UCLA 
UID|6ea83a40-2701-11e0-aab1-001517add720
DUR|0:59:48.71
VID|640x368
CMT|
LAN|ENG
LBT|2011-01-23 06:00 America/Los_Angeles
SEG_01|2014-06-18 18:59:33|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110123140014.000|20110123140026.000|SEG|Type=Story
20110123140014.000|20110123140016.000|CC1|>>> GOOD MORNING.               
20110123140016.000|20110123140020.000|CC1|WINTER'S WRATH.                 
20110123140020.000|20110123140021.000|CC1|SINGLE-D                        
20110123140021.000|20110123140022.000|CC1|SINGLE-DIGIT HIGHS AND RECORD   
20110123140022.000|20110123140023.000|CC1|LOWS.                           
20110123140023.000|20110123140024.000|CC1|ANOTHER MAJOR STORM ON THE WAY. 
20110123140024.000|20110123140026.000|CC1|IS THE WORST YET TO COME?       
20110123140026.000|20110123140036.000|SEG|Type=Story
20110123140026.000|20110123140027.000|CC1|>>> SPEAKING OUT.               
20110123140027.000|20110123140029.000|CC1|FOR ONLY THE SECOND TIME IN     
20110123140029.000|20110123140031.000|CC1|HISTORY, A WOMAN UNDERGOES A    
20110123140031.000|20110123140032.000|CC1|VOICE BOX TRANSPLANT AND AFTER  
20110123140032.000|20110123140034.000|CC1|MORE THAN A DECADE OF SILENCE,  
20110123140034.000|20110123140036.000|CC1|SHE IS TALKING, AGAIN.          
20110123140036.000|20110123140105.000|SEG|Type=Story
20110123140036.000|20110123140038.000|CC1|>>> OPRAH'S NEW BOMBSHELL.      
20110123140038.000|20110123140039.000|CC1|CALLING IT THE MIRACLE OF       
20110123140039.000|20110123140040.000|CC1|MIRACLES.                       
20110123140040.000|20110123140041.000|CC1|THE QUEEN OF TALK PROMISES TO   
20110123140041.000|20110123140045.000|CC1|REVEAL A FAMILY SECRET, ONE SHE 
20110123140045.000|20110123140046.000|CC1|SAYS SHOOK HER TO THE CORE.     
20110123140046.000|20110123140047.000|CC1|LET THE GUESSING GAME BEGIN.    
20110123140047.000|20110123140048.000|CC1|TODAY IS SUNDAY, JANUARY 23rd,  
20110123140048.000|20110123140105.000|SEG_01|Type=Commercial
20110123140048.000|20110123140051.000|CC1|2011.                           
20110123140051.000|20110123140051.000|CC1|     CAPTIONS PAID FOR BY       
20110123140051.000|20110123140105.000|CC1|    NBC-UNIVERSAL TELEVISION    
20110123140105.000|20110123140137.000|SEG_01|Type=Story start
20110123140105.000|20110123140137.000|SEG|Type=Story
20110123140105.000|20110123140107.000|CC1|>>> GOOD MORNING, EVERYONE.     
20110123140107.000|20110123140109.000|CC1|WELCOME TO TODAY ON A SUNDAY.   
20110123140109.000|20110123140112.000|CC1|I'M LESTER HOLT.                
20110123140112.000|20110123140116.000|CC1|>> I'M JENNA WOLFE.             
20110123140116.000|20110123140118.000|CC1|SHE'S TALKED ABOUT BEING ABUSED 
20110123140118.000|20110123140120.000|CC1|AS A CHILD AND SHE TALKED ABOUT 
20110123140120.000|20110123140121.000|CC1|HER STRUGGLES WITH EIGHTH OVER  
20110123140121.000|20110123140123.000|CC1|THE YEARS BUT NOW COMES WHAT MAY
20110123140123.000|20110123140125.000|CC1|BE THE BIGGEST SECRET YET AND   
20110123140125.000|20110123140126.000|CC1|ONLY LESTER KNOWS WHAT IT IS.   
20110123140126.000|20110123140129.000|CC1|>> SHE SAYS IS A BIG SECRET.    
20110123140129.000|20110123140132.000|CC1|WHAT IS NOT HER SECRET IS TO    
20110123140132.000|20110123140133.000|CC1|BUILD AN AUDIENCE.              
20110123140133.000|20110123140136.000|CC1|>> WE'RE ALL ON THE EDGE OF OUR 
20110123140136.000|20110123140137.000|CC1|CHAIR HERE WAITING FOR IT.      
20110123140137.000|20110123140149.000|SEG|Type=Story
20110123140137.000|20110123140141.000|CC1|>>> AN UPDATE ON GABBY GIFFORDS.
20110123140141.000|20110123140143.000|CC1|THE FIRST LOOK AT THE FACILITY  
20110123140143.000|20110123140145.000|CC1|WHERE SHE IS STARTING HER       
20110123140145.000|20110123140145.000|CC1|RECOVERY.                       
20110123140145.000|20110123140147.000|CC1|WE'LL SHOW YOU INSIDE AND TALK  
20110123140147.000|20110123140148.000|CC1|ABOUT WHAT SHE'S GOING TO FACE  
20110123140148.000|20110123140149.000|CC1|IN THE COMING MONTHS.           
20110123140149.000|20110123140210.000|SEG|Type=Story
20110123140149.000|20110123140152.000|CC1|>>> BIG NEWS REGARDING THE ROYAL
20110123140152.000|20110123140152.000|CC1|WEDDING.                        
20110123140152.000|20110123140154.000|CC1|KATE MIDDLETON'S DRESS AND      
20110123140154.000|20110123140155.000|CC1|DESIGNER AND ALSO WORD THAT     
20110123140155.000|20110123140157.000|CC1|PRINCE WILLIAM WILL BE WEARING A
20110123140157.000|20110123140159.000|CC1|DRESS, NO, PRINCE WILLIAM       
20110123140159.000|20110123140200.000|CC1|DECIDED ON A HOME FOR THE       
20110123140200.000|20110123140200.000|CC1|COUPLE.                         
20110123140200.000|20110123140207.000|CC1|WE WILL BE LIVE FROM BUCKINGHAM 
20110123140207.000|20110123140210.000|CC1|PALWIS WW WACE WITH ALL OF THAT 
20110123140210.000|20110123140251.000|SEG|Type=Story
20110123140210.000|20110123140212.000|CC1|>>> THE NEW YORK JETS FACING THE
20110123140212.000|20110123140214.000|CC1|STEELERS AND THE BEARS, KIND OF 
20110123140214.000|20110123140217.000|CC1|A BIG DEAL FOR ME, FACING THE   
20110123140217.000|20110123140217.000|CC1|PACKERS.                        
20110123140217.000|20110123140218.000|CC1|LOTS OF HYPE.                   
20110123140218.000|20110123140219.000|CC1|>> VERY EXCITING FOR THE BEARS  
20110123140219.000|20110123140221.000|CC1|AND THE PACKERS, SOME OF THE    
20110123140221.000|20110123140222.000|CC1|LOUDEST AND FUNNIEST TRASH TALK 
20110123140222.000|20110123140224.000|CC1|IS COMING FROM ONE TOWN CAUGHT  
20110123140224.000|20110123140226.000|CC1|IN THE MIDDLE OF THE RIVALRY.   
20110123140226.000|20110123140227.000|CC1|WE'LL TAKE YOU THERE.           
20110123140227.000|20110123140230.000|CC1|I USED TO DO SPORTS FOR MANY    
20110123140230.000|20110123140233.000|CC1|YEARS AND ONCE DESTROY IN THE   
20110123140233.000|20110123140234.000|CC1|AREA WHERE THE BOSTON AND YANKEE
20110123140234.000|20110123140236.000|CC1|FANS MEET, IT'S FUNNY, IT'S     
20110123140236.000|20110123140238.000|CC1|TRASH TALKING, IT'S CONFUSING.  
20110123140238.000|20110123140239.000|CC1|A LOT OF PEOPLE HAVE IDENTITY   
20110123140239.000|20110123140240.000|CC1|CRISIS THERE.                   
20110123140240.000|20110123140242.000|CC1|IT'S REALLY, REALLY INTERESTING.
20110123140242.000|20110123140245.000|CC1|I'M EXCITED TO SEE WHAT THIS IS 
20110123140245.000|20110123140247.000|CC1|GOING TO BE LIKE.               
20110123140247.000|20110123140248.000|CC1|>> SOMEONE IS GOING TO BE VERY  
20110123140248.000|20110123140249.000|CC1|HUMBLE AT THE END.              
20110123140249.000|20110123140251.000|CC1|>> AND GOING TO THE SUPER BOWL. 
20110123140251.000|20110123140428.000|SEG|Type=Story
20110123140251.000|20110123140252.000|CC1|>>> TEMPERATURES IN THE SINGLE  
20110123140252.000|20110123140254.000|CC1|DIGITS AND BELOW ZERO IN SOME   
20110123140254.000|20110123140254.000|CC1|SPOTS.                          
20110123140254.000|20110123140257.000|CC1|THE WEATHER CHANNEL'S MIKE      
20110123140257.000|20110123140258.000|CC1|SEIDEL JOINS US FROM CHICAGO    
20110123140258.000|20110123140300.000|CC1|WHERE IT IS, WHAT ELSE, SNOWING.
20110123140300.000|20110123140301.000|CC1|MIKE, GOOD MORNING.             
20110123140301.000|20110123140302.000|CC1|>> HEY, GOOD MORNING, LESTER.   
20110123140302.000|20110123140304.000|CC1|IT IS SNOWING AND 8 DEGREES     
20110123140304.000|20110123140304.000|CC1|HERE.                           
20110123140304.000|20110123140306.000|CC1|THE PLOWS THIS MORNING UP LAKE  
20110123140306.000|20110123140307.000|CC1|SHORE DRIVE.                    
20110123140307.000|20110123140309.000|CC1|ON FRIDAY IN INTERNATIONAL FALLS
20110123140309.000|20110123140312.000|CC1|IT DROPPED DOWN TO 46 BELOW     
20110123140312.000|20110123140313.000|CC1|ZERO.                           
20110123140313.000|20110123140316.000|CC1|THE COLDEST IN SEVERAL HUNDRED  
20110123140316.000|20110123140316.000|CC1|YEARS.                          
20110123140316.000|20110123140318.000|CC1|TAKE A LOOK AT THE AFTERNOON    
20110123140318.000|20110123140319.000|CC1|HIGHS FROM THE MIDWEST TO THE   
20110123140319.000|20110123140321.000|CC1|NORTHEAST.                      
20110123140321.000|20110123140325.000|CC1|MINNEAPOLIS, ST. PAUL UP TO 13. 
20110123140325.000|20110123140327.000|CC1|CINCI 19 AND IN BOSTON WHERE YOU
20110123140327.000|20110123140328.000|CC1|ALREADY HAD 15 OR 50 INCHES OF  
20110123140328.000|20110123140331.000|CC1|SNOW, IT MAY GET TO 20 DEGREES. 
20110123140331.000|20110123140332.000|CC1|THIS LEADS US TO THE COLDEST    
20110123140332.000|20110123140333.000|CC1|MORNING THIS WINTER IN THE      
20110123140333.000|20110123140333.000|CC1|NORTHEAST.                      
20110123140333.000|20110123140336.000|CC1|TOMORROW MORNING, NEW YORK CITY,
20110123140336.000|20110123140337.000|CC1|CENTRAL PARK 9.                 
20110123140337.000|20110123140341.000|CC1|IN PROVIDENCE, YOUR FIRST SUB   
20110123140341.000|20110123140343.000|CC1|ENGINEER                        
20110123140343.000|20110123140343.000|CC1|ZERO MORNING.                   
20110123140343.000|20110123140347.000|CC1|UP IN THEE ADIRONDACKS A FACE   
20110123140347.000|20110123140350.000|CC1|CRACKING 28 BELOW ZERO.         
20110123140350.000|20110123140351.000|CC1|BACK HERE AT SOLDIER FIELD, THE 
20110123140351.000|20110123140353.000|CC1|TRASH TALKING COMES TO AN END   
20110123140353.000|20110123140354.000|CC1|AND THE BEARS TAKE ON THE       
20110123140354.000|20110123140357.000|CC1|PACKERS AT 3:00 EASTERN AND 19  
20110123140357.000|20110123140357.000|CC1|DEGREES AND WE DON'T THINK IT   
20110123140357.000|20110123140400.000|CC1|WILL BE SNOWING AT THAT POINT.  
20110123140400.000|20110123140401.000|CC1|LIGHT WINDS AND WIND CHILLS AT  
20110123140401.000|20110123140402.000|CC1|10.                             
20110123140402.000|20110123140403.000|CC1|AT HEINZ FIELD THE STEELERS TAKE
20110123140403.000|20110123140404.000|CC1|ON THE JETS.                    
20110123140404.000|20110123140406.000|CC1|KICKOFF TEMPERATURE THERE AT    
20110123140406.000|20110123140407.000|CC1|HEINZ, 14 AND WIND CHILLS DURING
20110123140407.000|20110123140411.000|CC1|THE GAME DROPPING DOWN TO AROUND
20110123140411.000|20110123140411.000|CC1|ZERO.                           
20110123140411.000|20110123140414.000|CC1|I CAN TELL YOU THAT THE FROZEN  
20110123140414.000|20110123140415.000|CC1|TUNDRA IS IN GREEN BAY, THIS    
20110123140415.000|20110123140419.000|CC1|MORNING I'M STANDING ON IT RIGHT
20110123140419.000|20110123140421.000|CC1|THIS MORNING I'M STANDING RIGHTS
20110123140421.000|20110123140422.000|CC1|OUTSIDE OF SOLDIER FIELD.       
20110123140422.000|20110123140422.000|CC1|BACK TO YOU.                    
20110123140422.000|20110123140423.000|CC1|>> THAT'S BEAR WEATHER, MY BIG  
20110123140423.000|20110123140424.000|CC1|FRIEND.                         
20110123140424.000|20110123140428.000|CC1|SIDER SIDE, THANKS VERY MUCH.   
20110123140428.000|20110123140521.000|SEG|Type=Story
20110123140428.000|20110123140429.000|CC1|>>> IT'S NOT JUST THE COLD.     
20110123140429.000|20110123140431.000|CC1|ANOTHER BIG STORM IS THREATENING
20110123140431.000|20110123140432.000|CC1|THE EAST.                       
20110123140432.000|20110123140433.000|CC1|SCOTT WITH MORE ON THAT.        
20110123140433.000|20110123140434.000|CC1|>> GOOD MORNING, LESTER.        
20110123140434.000|20110123140435.000|CC1|GOOD MORNING, EVERYBODY.        
20110123140435.000|20110123140437.000|CC1|CERTAINLY THE COLD AIR IS IN    
20110123140437.000|20110123140438.000|CC1|PLACE, BUT RIGHT NOW WE ARE     
20110123140438.000|20110123140440.000|CC1|WAITING ON SOME MOISTURE, AND AS
20110123140440.000|20110123140442.000|CC1|WE MOVE INTO TUESDAY NIGHT AND  
20110123140442.000|20110123140443.000|CC1|WEDNESDAY, THAT IS WHEN WE'LL   
20110123140443.000|20110123140445.000|CC1|TRACK ANOTHER POTENTIAL STORM   
20110123140445.000|20110123140446.000|CC1|SYSTEM FOR THE MID-ATLANTIC AND 
20110123140446.000|20110123140447.000|CC1|ALSO THE NORTHEAST.             
20110123140447.000|20110123140449.000|CC1|RIGHT NOW WE'RE TRACKING JUST   
20110123140449.000|20110123140451.000|CC1|SOME SNOWSHOWERS THROUGH THE    
20110123140451.000|20110123140452.000|CC1|MIDWEST, BUT AS WE MOVE INTO    
20110123140452.000|20110123140453.000|CC1|MONDAY, WATCHING AN AREA OF LOW 
20110123140453.000|20110123140454.000|CC1|PRESSURE THAT WILL DEVELOP ALONG
20110123140454.000|20110123140456.000|CC1|THE GULF OF MEXICO, THAT WILL   
20110123140456.000|20110123140458.000|CC1|MOVE INTO THE MID-ATLANTIC      
20110123140458.000|20110123140503.000|CC1|SOMETIME TUESDAY INTO WEDNESDAY.
20110123140503.000|20110123140504.000|CC1|A COUPLE OF SCENARIOS.          
20110123140504.000|20110123140508.000|CC1|CLOSE TO THE COAST IT WILL BE A 
20110123140508.000|20110123140508.000|CC1|WINTRY MIX.                     
20110123140508.000|20110123140509.000|CC1|IF IT TRACKS FARTHER OUT TO SEA,
20110123140509.000|20110123140511.000|CC1|WE COULD SEE MORE SNOW ALONG THE
20110123140511.000|20110123140511.000|CC1|I-95 CORRIDOR.                  
20110123140511.000|20110123140514.000|CC1|RIGHT NOW NEW YORK CITY IS ON   
20110123140514.000|20110123140514.000|CC1|PACE                            
20110123140514.000|20110123140515.000|CC1| WITH SNOWFALL IN COMPARISON    
20110123140515.000|20110123140518.000|CC1|TO THE 95 AND 96 SNOW SEASON. J 
