TOP|20110124010001|2011-01-24_0100_US_KMEX_Primer_Impacto_Fin_de_Semana
COL|Communication Studies Archive, UCLA 
UID|a1e3dd2c-275d-11e0-93c5-001517add60e
DUR|0:59:49.31
VID|640x480
CMT|
LAN|SPA
LBT|2011-01-23 17:00 America/Los_Angeles
SEG_01|2014-06-18 18:59:44|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110124010015.000|20110124015950.000|SEG|Type=Story
20110124010015.000|20110124010018.000|CC1|>> HOY EN PRIMER IMPACTO EXTRA. 
20110124010018.000|20110124010024.000|CC1| UNA FIERA SIEMBRA EL PÁNICO EN 
20110124010024.000|20110124010027.000|CC1|UNA ALDEA.                      
20110124010027.000|20110124010034.000|CC1|VEREMOS QUE LLEVÓ A ESTE HOMBRE 
20110124010034.000|20110124010036.000|CC1|A ENCERRARSE EN UNA JAULA CON 2 
20110124010036.000|20110124010040.000|CC1|MILLONES.                       
20110124010040.000|20110124010042.000|CC1|UNA PESADILLA PARA TRES         
20110124010042.000|20110124010043.000|CC1|INMIGRANTES QUE CAYERON EN LAS  
20110124010043.000|20110124010047.000|CC1|GARRAS DE LOS CRIMINALES.       
20110124010047.000|20110124010048.000|CC1|LAS REDES SOCIALES PODRÍAN SER  
20110124010048.000|20110124010051.000|CC1|UNA NUEVA ALMA PARA DETENER LAS 
20110124010051.000|20110124010056.000|CC1|SANGRIENTAS MASACRES.           
20110124010056.000|20110124010100.000|CC1|UN SALVAJE ACTO LE DESTRUYÓ UN  
20110124010100.000|20110124010101.000|CC1|? EL ROSTRO A LA JOVEN Y SUS    
20110124010101.000|20110124010107.000|CC1|FAMILIARES RECLAMAN JUSTICIA.   
20110124010107.000|20110124010111.000|CC1|ASEGURAN QUE  NO HAY NADA MEJOR 
20110124010111.000|20110124010112.000|CC1|PARA HABILITARSE QUE UN         
20110124010112.000|20110124010115.000|CC1|VIDEOJUEGO.                     
20110124010115.000|20110124010116.000|CC1|ESTO Y MÁS AHORA MISMO EN       
20110124010116.000|20110124010118.000|CC1|PRIMER IMPACTO EXTRA.           
20110124010118.000|20110124010120.000|CC1|>> QUÉ TAL?                     
20110124010120.000|20110124010122.000|CC1|AMIGOS GRACIAS POR ESTAR CON    
20110124010122.000|20110124010126.000|CC1|NOSOTROS...                     
20110124010126.000|20110124010127.000|CC1|COMENZAMOS CONTANDOLES QUE EN   
20110124010127.000|20110124010133.000|CC1|SU AFÁN POR CRUZAR LA FRONTERA  
20110124010133.000|20110124010135.000|CC1| LOS INDOCUMENTADOS SUFREN MÁS  
20110124010135.000|20110124010136.000|CC1|RIESGO.                         
20110124010136.000|20110124010138.000|CC1| SON UNA LUCRATIVA FUENTE DE    
20110124010138.000|20110124010139.000|CC1|INGRESO.                        
20110124010139.000|20110124010142.000|CC1|TENEMOS EL INFORME.             
20110124010142.000|20110124010144.000|CC1|>> ELLOS SON LA PRUEBA VIVIENTE 
20110124010144.000|20110124010149.000|CC1|DEL FENÓMENO MIGRATORIO.        
20110124010149.000|20110124010158.000|CC1|LOS LLAMAREMOS EDUARDO Y LUIS.  
20110124010158.000|20110124010203.000|CC1|EN LA FRONTERA UNA MUJER LOS    
20110124010203.000|20110124010204.000|CC1|CONTACTO CON UN HOMBRE PERO     
20110124010204.000|20110124010206.000|CC1|TODO ERA UNA TRAMPA PARA        
20110124010206.000|20110124010209.000|CC1|SECUESTRARLO.                   
20110124010209.000|20110124010210.000|CC1|>> NOS GOLPEARON, NOS           
20110124010210.000|20110124010215.000|CC1|TORTURARON...                   
20110124010215.000|20110124010216.000|CC1|>> OSCAR PÉREZ EXIGÍAN EL PAGO  
20110124010216.000|20110124010224.000|CC1|DE $ 4500 A SUS FAMILIARES.     
20110124010224.000|20110124010231.000|CC1|? LOS CAPTORES                  
20110124010231.000|20110124010232.000|CC1|>> LUIS Y EDUARDO PUDIERON      
20110124010232.000|20110124010234.000|CC1|ESCAPAR                         
20110124010234.000|20110124010237.000|CC1|SIN EMBARGO SU  TERRIBLE        
20110124010237.000|20110124010238.000|CC1|EXPERIENCIA SE REPITE CON MÁS   
20110124010238.000|20110124010241.000|CC1|FRECUENCIA DE LO QUE IMAGINAMOS.
20110124010241.000|20110124010244.000|CC1|>> HASTA HACE ALGUNOS AÑOS LOS  
20110124010244.000|20110124010251.000|CC1|MIGRANTES TENÍAN PELIGRO EN LA  
20110124010251.000|20110124010254.000|CC1|FRONTERA,                       
20110124010254.000|20110124010255.000|CC1|SIN EMBARGO AHORA ESTÁ ANTES DE 
20110124010255.000|20110124010257.000|CC1|LLEGAR A ESTADOS UNIDOS,        
20110124010257.000|20110124010258.000|CC1|EN MÉXICO,                      
20110124010258.000|20110124010303.000|CC1|DONDE EL PRINCIPAL ENEMIGO ES   
20110124010303.000|20110124010307.000|CC1|EL CRIMEN ORGANIZADO.           
20110124010307.000|20110124010310.000|CC1|>> HA ENCONTRADO  EN EL         
20110124010310.000|20110124010311.000|CC1|DESPOSEÍDO                      
20110124010311.000|20110124010316.000|CC1| QUE VIENE CON SU ESPERANZA,    
20110124010316.000|20110124010318.000|CC1| UNA FORMA DE GANAR DINERO.     
20110124010318.000|20110124010320.000|CC1|>> EL RIESGO ESTÁ PRESENTE,     
20110124010320.000|20110124010326.000|CC1|HACE MENOS DE UN MES UN COMANDO 
20110124010326.000|20110124010330.000|CC1|ARMADO SECUESTRO A  50          
