TOP|20110124140001|2011-01-24_1400_US_KTTV-FOX_Morning_News_at_6AM
COL|Communication Studies Archive, UCLA 
UID|24976df2-27cb-11e0-a3af-001517add60e
DUR|0:59:49.68
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-24 06:00 America/Los_Angeles
SEG_01|2014-02-14 18:23:03|Source_Program=commercial_detection.py|Source_Person=Weixin Li
20110124140003.000|20110124140003.000|SEG|Type=Story
20110124140003.000|20110124140003.000|CC1|MTV'S "SKINS."                  
20110124140003.000|20110124140216.000|SEG|Type=Story
20110124140003.000|20110124140005.000|CC1|>>> AMERICA'S FIRST FITNESS     
20110124140005.000|20110124140006.000|CC1|GURU, JACK LALANNE, HAS DIED.   
20110124140006.000|20110124140010.000|CC1|THE FOX 11 MORNING NEWS AT SIX  
20110124140010.000|20110124140013.000|CC1|BEGINS RIGHT NOW.               
20110124140013.000|20110124140015.000|CC1|>> WE SHOULD ALL LIVE SO LONG.  
20110124140015.000|20110124140016.000|CC1|>> TO BE SO HEALTHY.            
20110124140016.000|20110124140018.000|CC1|>> WELCOME TO THE FOX 11        
20110124140018.000|20110124140021.000|CC1|MORNING NEWS AT SIX.            
20110124140021.000|20110124140021.000|CC1|IT'S MONDAY.                    
20110124140021.000|20110124140022.000|CC1|>> I'M LISA BRECKENRIDGE.       
20110124140022.000|20110124140024.000|CC1|IT SAYS IN FOR TONY, BUT I'M IN 
20110124140024.000|20110124140025.000|CC1|FOR JEAN.                       
20110124140025.000|20110124140026.000|CC1|>> YOU'RE PROBABLY IN FOR ME    
20110124140026.000|20110124140027.000|CC1|TOO YOU.                        
20110124140027.000|20110124140031.000|CC1|>> TOLD ME YOU'RE DRAGGY THIS   
20110124140031.000|20110124140031.000|CC1|MORNING.                        
20110124140031.000|20110124140033.000|CC1|>> I'M HERE IN BODY CERTAINLY.  
20110124140033.000|20110124140036.000|CC1|>> I'M SUFFERING AN ALLERGY     
20110124140036.000|20110124140037.000|CC1|THING BECAUSE OF THE WINDS.     
20110124140037.000|20110124140038.000|CC1|>> I'M STUFFY TOO, YEAH.        
20110124140038.000|20110124140041.000|CC1|>> I'M TRYING TO GET THROUGH    
20110124140041.000|20110124140041.000|CC1|IT.                             
20110124140041.000|20110124140041.000|CC1|HAPPY MONDAY, EVERYONE.         
20110124140041.000|20110124140043.000|CC1|HOPEFULLY YOU HAD A GOOD        
20110124140043.000|20110124140043.000|CC1|WEEKEND.                        
20110124140043.000|20110124140044.000|CC1|WHAT A DAY.                     
20110124140044.000|20110124140045.000|CC1|YESTERDAY AT FOOTBALL,          
20110124140045.000|20110124140047.000|CC1|HOPEFULLY YOU ENJOYED THAT AND  
20110124140047.000|20110124140048.000|CC1|WERE ABLE TO RECHARGE THE       
20110124140048.000|20110124140048.000|CC1|BATTERIES, HOPEFULLY DIDN'T     
20110124140048.000|20110124140049.000|CC1|HAVE TOO MUCH FUN.              
20110124140049.000|20110124140051.000|CC1|TODAY YOU GOT TO FACE THE BOSS. 
20110124140051.000|20110124140053.000|CC1|THE WORK WEEK IS AHEAD OF US.   
20110124140053.000|20110124140055.000|CC1|WE'RE LOOKING AT A GREAT WEEK   
20110124140055.000|20110124140056.000|CC1|WEATHER-WISE.                   
20110124140056.000|20110124140057.000|CC1|STRONG HIGH PRESSURE WILL       
20110124140057.000|20110124140058.000|CC1|DOMINATE OUR WEATHER.           
20110124140058.000|20110124140101.000|CC1|NO RAIN IN THE FORECAST.        
20110124140101.000|20110124140102.000|CC1|SUNNY SKIES, ABOVE AVERAGE      
20110124140102.000|20110124140104.000|CC1|TEMPERATURES, LOW 80s PROBABLY  
20110124140104.000|20110124140106.000|CC1|TOMORROW AND ON WEDNESDAY WITH  
20110124140106.000|20110124140108.000|CC1|THE OFFSHORE FLOW MAINTAINING   
20110124140108.000|20110124140111.000|CC1|ITSELF OVER SOUTHERN            
20110124140111.000|20110124140111.000|CC1|CALIFORNIA.                     
20110124140111.000|20110124140112.000|CC1|THIS MORNING AT 6:55, THE SUN-  
20110124140112.000|20110124140112.000|CC1|UP.                             
20110124140112.000|20110124140113.000|CC1|TEMPERATURES IN THE 40s ACROSS  
20110124140113.000|20110124140114.000|CC1|THE AREA.                       
20110124140114.000|20110124140117.000|CC1|LATER ON TODAY WE'LL SEE A HIGH 
20110124140117.000|20110124140118.000|CC1|OF 76.                          
20110124140118.000|20110124140118.000|CC1|YESTERDAY 77 DEGREES.           
20110124140118.000|20110124140119.000|CC1|AVERAGE IS 68.                  
20110124140119.000|20110124140122.000|CC1|IT WAS THE 12th DAY IN A ROW    
20110124140122.000|20110124140123.000|CC1|WITH AN ABOVE AVERAGE HIGH      
20110124140123.000|20110124140124.000|CC1|TEMPERATURE IN LOS ANGELES.     
20110124140124.000|20110124140127.000|CC1|HERE IS YOUR SEVEN-DAY          
20110124140127.000|20110124140127.000|CC1|FORECAST.                       
20110124140127.000|20110124140128.000|CC1|THERE YOU GO.                   
20110124140128.000|20110124140129.000|CC1|NO RAIN DROPS AGAIN.            
20110124140129.000|20110124140132.000|CC1|IT'S THE MIDDLE OF WINTER.      
20110124140132.000|20110124140134.000|CC1|THE LAST DAY WITH MEASURABLE    
20110124140134.000|20110124140135.000|CC1|RAIN IN DOWNTOWN L.A., JANUARY  
20110124140135.000|20110124140136.000|CC1|3. STRONG SANTA ANA WINDS       
20110124140136.000|20110124140138.000|CC1|EXPECTED AGAIN ON WEDNESDAY AND 
20110124140138.000|20110124140138.000|CC1|THURSDAY.                       
20110124140138.000|20110124140139.000|CC1|THEY HAVE REALLY BACKED OFF     
20110124140139.000|20110124140143.000|CC1|THIS MORNING, ALL THE HIGH WIND 
20110124140143.000|20110124140144.000|CC1|WARNINGS AND WIND ADVISORIES    
20110124140144.000|20110124140145.000|CC1|HAVE BEEN DROPPED AS WELL.      
20110124140145.000|20110124140147.000|CC1|TRAFFIC-WISE ON THIS BACK TO    
20110124140147.000|20110124140149.000|CC1|WORK AND SCHOOL MONDAY, MINOR   
20110124140149.000|20110124140151.000|CC1|PROBLEMS, WE'VE BEEN FARING     
20110124140151.000|20110124140152.000|CC1|DECENT SO FAR.                  
20110124140152.000|20110124140153.000|CC1|SOUTHBOUND 405 AT AVALON IN     
20110124140153.000|20110124140155.000|CC1|CARSON, A SOLO VEHICLE WRECK,   
