TOP|20110124190001|2011-01-24_1900_US_KNBC_Channel_4_News_Mid_Day_Report
COL|Communication Studies Archive, UCLA 
UID|821b783c-27f4-11e0-b38b-001517add720
DUR|0:59:49.05
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-24 11:00 America/Los_Angeles
SEG_01|2014-06-18 19:00:20|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110124190006.000|20110124190006.000|XDS|%   RATING: (NOT RATED) (72)
20110124190010.000|20110124190010.000|XDS|%    TITLE: ACCESS HOLLYWOOD LIVE
20110124190011.000|20110124195950.000|SEG|Type=Story
20110124190011.000|20110124190012.000|CC1|>>  HERE WE GO!                 
20110124190012.000|20110124190015.000|CC1|>>  STAND BY TWO, BILLY AND KIT.
20110124190015.000|20110124190016.000|CC1|STAND BY, CAMERA ONE.           
20110124190016.000|20110124190018.000|CC1|WE'RE LIVE IN FIVE, FOUR, THREE,
20110124190018.000|20110124190019.000|CC1|TWO, ONE.                       
20110124190019.000|20110124190021.000|CC1|>> CAMERA TWO.                  
20110124190021.000|20110124190022.000|CC1|>>  TODAY ON "ACCESS HOLLYWOOD  
20110124190023.000|20110124190023.000|XDS|%     DESC: Guess Who's Not Coming to Dinner
20110124190022.000|20110124190024.000|CC1|LIVE" --                        
20110124190024.000|20110124190025.000|CC1|OPRAH'S SHOCKER.                
20110124190025.000|20110124190027.000|CC1|THERE'S BEEN ENDLESS SPECULATION
20110124190027.000|20110124190028.000|CC1|ABOUT THE REVELATION.           
20110124190028.000|20110124190029.000|CC1|NOW I'M GOING TO MAKE YOU WAIT  
20110124190029.000|20110124190030.000|CC1|ONE MORE MINUTE TO HEAR IT.     
20110124190030.000|20110124190032.000|CC1|>> OH, YOU TEASE, BILLY.        
20110124190032.000|20110124190034.000|CC1|THEN WE'VE GOT ELTON CHATTING UP
20110124190034.000|20110124190035.000|CC1|A STORM ON HIS BEAUTIFUL LITTLE 
20110124190035.000|20110124190036.000|CC1|ZACHARY.                        
20110124190036.000|20110124190039.000|CC1|>>  THERE THEY ARE, JOAN AND    
20110124190039.000|20110124190041.000|CC1|MELISSA FRESH OFF THEIR FOX NEWS
20110124190041.000|20110124190041.000|CC1|FEUD.                           
20110124190041.000|20110124190043.000|CC1|WHO KNOWS?                      
20110124190043.000|20110124190044.000|CC1|MAYBE WE CAN START A NEW ONE.   
20110124190044.000|20110124190046.000|CC1|>> WE'RE LIVE WITH BRITTANY     
20110124190046.000|20110124190048.000|CC1|SNOW, HER NEW SHOW.             
20110124190048.000|20110124190049.000|CC1|>> SHE'S BUTT KICKING THE       
20110124190049.000|20110124190052.000|CC1|CHEETAH.                        
20110124190052.000|20110124190056.000|CC1|>>  AND LIVE FROM SUNDANCE.     
20110124190056.000|20110124190101.000|CC1|BILLY.                          
20110124190101.000|20110124190102.000|CC1|>>  SO MUCH HEAT TODAY.         
20110124190102.000|20110124190103.000|CC1|ALL OVER THE PLACE.             
20110124190103.000|20110124190105.000|CC1|I'M BILLY BUSH.                 
20110124190105.000|20110124190106.000|CC1|>> AND I'M KIT HOOVER.          
20110124190106.000|20110124190106.000|CC1|HAPPY MONDAY.                   
20110124190106.000|20110124190108.000|CC1|WELCOME TO "ACCESS HOLLYWOOD    
20110124190108.000|20110124190109.000|CC1|LIVE."                          
20110124190109.000|20110124190110.000|CC1|>> LET'S DIVE RIGHT INTO THE    
20110124190110.000|20110124190111.000|CC1|OPRAH SHOCKER HERE.             
20110124190111.000|20110124190113.000|CC1|WE'VE ALL BEEN WAITING FOR IT.  
20110124190113.000|20110124190115.000|CC1|A HALF SISTER SHE NEVER KNEW.   
20110124190115.000|20110124190117.000|CC1|OPRAH ON AIR REUNITING WITH HER 
20110124190117.000|20110124190118.000|CC1|HALF SISTER.                    
20110124190118.000|20110124190121.000|CC1|SHE CALLED IT A MIRACLE OF      
20110124190121.000|20110124190121.000|CC1|MIRACLES.                       
20110124190121.000|20110124190125.000|CC1|>> OPRAH'S MOM GAVE HER UP FOR  
20110124190125.000|20110124190126.000|CC1|ADOPTION AND NEVER TOLD OPRAH   
20110124190126.000|20110124190127.000|CC1|ABOUT IT.                       
20110124190127.000|20110124190129.000|CC1|THEY UNCOVERED THIS IN 2007 AND 
20110124190129.000|20110124190130.000|CC1|TODAY, THEY WERE REUNITED LIVE  
20110124190130.000|20110124190132.000|CC1|ON OPRAH'S SHOW.                
20110124190132.000|20110124190133.000|CC1|>> MY SISTER PATRICIA IS HERE.  
20110124190133.000|20110124190142.000|CC1|COME ON OUT, PATRICIA!          
20110124190142.000|20110124190144.000|CC1|>>  WHAT IS SO REMARKABLE TO ME 
20110124190144.000|20110124190146.000|CC1|ABOUT THIS STORY AND IT'S GOING 
20110124190146.000|20110124190147.000|CC1|TO MAKE ME CRY SO JUST BE       
20110124190147.000|20110124190150.000|CC1|PATIENT.                        
20110124190150.000|20110124190153.000|CC1|SINCE I HAVE BEEN A PERSON KNOWN
20110124190153.000|20110124190154.000|CC1|IN THE PUBLIC, THERE HAVE BEEN  
20110124190154.000|20110124190158.000|CC1|FEW TIMES THAT I'VE BEEN        
20110124190158.000|20110124190202.000|CC1|ANYWHERE AND NOT BEEN SOLD OUT. 
20110124190202.000|20110124190204.000|CC1|THERE HAVE BEEN FEW TIMES WHERE 
20110124190204.000|20110124190205.000|CC1|YOU CAN BRING ANYBODY NEW INTO  
20110124190205.000|20110124190208.000|CC1|YOUR LIFE AND NOT HAVE THAT     
20110124190208.000|20110124190211.000|CC1|PERSON IN SOME WAY BETRAY YOU OR
20110124190211.000|20110124190214.000|CC1|USE YOU OR TAKE ADVANTAGE OF    
20110124190214.000|20110124190215.000|CC1|YOU.                            
20110124190215.000|20110124190218.000|CC1|WHAT IS SO EXTRAORDINARY ABOUT  
20110124190218.000|20110124190220.000|CC1|PATRICIA AND ANDRE AND AQUARIUS 
20110124190220.000|20110124190222.000|CC1|IS THAT THEY HAVE KNOWN THIS    
20110124190222.000|20110124190226.000|CC1|SECRET SINCE 2007.              
20110124190226.000|20110124190228.000|CC1|>>  WOW.                        
20110124190228.000|20110124190230.000|CC1|MIGHT THAT BE A REMINDER TO     
20110124190230.000|20110124190232.000|CC1|PATRICIA, SHE'S REMINDING HER.  
20110124190232.000|20110124190232.000|CC1|>>  YOU KNOW, THIS IS A         
20110124190232.000|20110124190233.000|CC1|BEAUTIFUL THING.                
20110124190233.000|20110124190237.000|CC1|I MEAN, 2007, PATRICIA HAS      
20110124190237.000|20110124190237.000|CC1|KNOWN.                          
20110124190237.000|20110124190238.000|CC1|>> DIDN'T SAY A WORD.           
20110124190238.000|20110124190240.000|CC1|>> HASN'T SAID A WORD AND OPRAH 
20110124190240.000|20110124190241.000|CC1|FIRST MET HER ON THANKSGIVING,  
20110124190241.000|20110124190244.000|CC1|DROVE DOWN TO MOM'S HOUSE AND   
20110124190244.000|20110124190248.000|CC1|THEY MET PATRICIA AND NOW WE'RE 
20110124190248.000|20110124190249.000|CC1|GETTING TO MEET HERE.           
20110124190249.000|20110124190250.000|CC1|THERE'S A FUNNY ELEMENT HERE.   
20110124190250.000|20110124190252.000|CC1|YOU FIND OUT THAT OPRAH IS YOUR 
20110124190252.000|20110124190252.000|CC1|SISTER.                         
20110124190252.000|20110124190254.000|CC1|IT'S LIKE, HELLO!               
20110124190254.000|20110124190255.000|CC1|>>  IF YOU'RE PATRICIA, YOU'RE  
20110124190255.000|20110124190257.000|CC1|LIKE OH, YEAH!                  
20110124190257.000|20110124190258.000|CC1|FOR A VARIETY OF REASONS.       
20110124190258.000|20110124190300.000|CC1|>> FOR A VARIETY OF REASONS     
20110124190300.000|20110124190301.000|CC1|ESPECIALLY EMOTIONAL ONES BUT   
20110124190301.000|20110124190301.000|CC1|FINANCIAL ONES DON'T HURT.      
20110124190301.000|20110124190303.000|CC1|I MEAN, IT'S NOT THE END OF THE 
20110124190303.000|20110124190303.000|CC1|WORLD!                          
20110124190303.000|20110124190305.000|CC1|THAT SHE HAPPENS TO BE A        
20110124190305.000|20110124190305.000|CC1|BILLIONAIRE.                    
20110124190305.000|20110124190306.000|CC1|WHAT'S THE BIG DEAL?            
20110124190306.000|20110124190307.000|CC1|BUT HERE'S THE THING.           
20110124190307.000|20110124190308.000|CC1|OPRAH HAS BEEN SOLD OUT BY SO   
20110124190308.000|20110124190309.000|CC1|MANY FAMILY MEMBERS.            
20110124190309.000|20110124190311.000|CC1|I MEAN, PEOPLE JUST TRYING --   
20110124190311.000|20110124190312.000|CC1|PEOPLE TRYING TO GET A PIECE OF 
20110124190312.000|20110124190313.000|CC1|THAT ACTION.                    
20110124190313.000|20110124190315.000|CC1|PATRICIA, HERE'S THE GOOD PART, 
