TOP|20110125000001|2011-01-25_0000_US_KCAL_KCAL_9_News_at_4PM
COL|Communication Studies Archive, UCLA 
UID|3979c00e-281a-11e0-9206-001517add720
DUR|0:29:48.41
VID|640x368
CMT|
LAN|ENG
LBT|2011-01-24 16:00 America/Los_Angeles
SEG_01|2014-02-14 18:23:05|Source_Program=commercial_detection.py|Source_Person=Weixin Li
20110125000002.000|20110125002949.000|SEG|Type=Story
20110125000002.000|20110125000004.000|CC1|STRUCK THAT CAR AND THEN        
20110125000004.000|20110125000005.000|CC1|ENDED UP ON THE CURB.           
20110125000005.000|20110125000006.000|CC1|THE PRIUS DROVE UP ON THE       
20110125000006.000|20110125000008.000|CC1|CURB STRIKING FOUR YOUNG        
20110125000008.000|20110125000011.000|CC1|BOYS AGE 7 TO 12.               
20110125000011.000|20110125000013.000|CC1|TWO OF THEM RECEIVED            
20110125000013.000|20110125000014.000|CC1|TRAUMATIC INJURIES ONE OF       
20110125000014.000|20110125000015.000|CC1|THE BOYS WAS TRAPPED UNDER      
20110125000015.000|20110125000016.000|CC1|THE CAR FOR SOME TIME AND       
20110125000016.000|20110125000018.000|CC1|THE THREE BOYS WERE             
20110125000018.000|20110125000020.000|CC1|TRANSPORTED TO LOCAL AREAS      
20110125000020.000|20110125000022.000|CC1|HOSPITALS ONE WAS RELEASED      
20110125000022.000|20110125000025.000|CC1|ON SCENE AND THREE BOYS WITH    
20110125000025.000|20110125000027.000|CC1|TRAUMATIC INJURIES, ONE         
20110125000027.000|20110125000028.000|CC1|MODERATE AND ONE RELEASED.      
20110125000028.000|20110125000032.000|CC1|THE INTERSECTION HERE           
20110125000032.000|20110125000033.000|CC1|VALENCIA AND GOLDEN IS SHUT     
20110125000033.000|20110125000035.000|CC1|DOWN AS THEY CONDUCT THEIR      
20110125000035.000|20110125000035.000|CC1|INVESTIGATION.                  
20110125000035.000|20110125000037.000|CC1|BACK TO YOU IN THE STUDIO.      
20110125000037.000|20110125000038.000|CC1|>> WE ARE SEEING CHILDREN IN    
20110125000038.000|20110125000039.000|CC1|THE AREA.                       
20110125000039.000|20110125000040.000|CC1|DO YOU KNOW IF THERE IS A       
20110125000040.000|20110125000041.000|CC1|SCHOOL NEARBY?                  
20110125000041.000|20110125000043.000|CC1|>> WE DO SEE A SCHOOL           
20110125000043.000|20110125000043.000|CC1|NEARBY.                         
20110125000043.000|20110125000045.000|CC1|I AM TRYING TO GET THE NAME     
20110125000045.000|20110125000045.000|CC1|OF IT.                          
20110125000045.000|20110125000047.000|CC1|IT IS HERE ON THE SOUTHEAST     
20110125000047.000|20110125000047.000|CC1|CORNER.                         
20110125000047.000|20110125000049.000|CC1|YOU CAN SEE HERE IN THE         
20110125000049.000|20110125000051.000|CC1|PICTURE.                        
20110125000051.000|20110125000053.000|CC1|IT IS LITERALLY ACROSS THE      
20110125000053.000|20110125000053.000|CC1|STREET.                         
20110125000053.000|20110125000054.000|CC1|SO THE FOUR CHILDREN MAY        
20110125000054.000|20110125000057.000|CC1|HAVE BEEN COMING HOME FROM      
20110125000057.000|20110125000057.000|CC1|SCHOOL.                         
20110125000057.000|20110125000059.000|CC1|NOT SURE EXACT CIRCUMSTANCES    
20110125000059.000|20110125000100.000|CC1|BUT VERY CLOSE TO THE           
20110125000100.000|20110125000101.000|CC1|SCHOOL.                         
20110125000101.000|20110125000102.000|CC1|WE ARE TOLD THAT THEY WERE      
20110125000102.000|20110125000103.000|CC1|IN A CROSSWALK WHEN THE         
20110125000103.000|20110125000105.000|CC1|VEHICLE DID STRIKE THEM UP      
20110125000105.000|20110125000107.000|CC1|ON THE CURB.                    
20110125000107.000|20110125000109.000|CC1|SYLVIA: ALL RIGHT THANK YOU     
20110125000109.000|20110125000110.000|CC1|DESIREE HORTON FROM SKY9.       
20110125000110.000|20110125000112.000|CC1|NOW TO GREG McKEOWN WITH THE    
20110125000112.000|20110125000114.000|CC1|ORANGE COUNTY FIRE IS ON THE    
20110125000114.000|20110125000115.000|CC1|PHONE WITH MORE DETAILS.        
20110125000115.000|20110125000117.000|CC1|GREG CAN YOU TELL US A          
20110125000117.000|20110125000119.000|CC1|LITTLE BIT MORE ABOUT HOW       
20110125000119.000|20110125000120.000|CC1|THIS ACCIDENT HAPPENED?         
20110125000120.000|20110125000122.000|CC1|WE UNDERSTAND IT STARTED        
20110125000122.000|20110125000123.000|CC1|WITH TWO CARS IS THAT           
20110125000123.000|20110125000124.000|CC1|CORRECT?                        
20110125000124.000|20110125000125.000|CC1|>> THAT IS CORRECT.             
20110125000125.000|20110125000128.000|CC1|TWO VEHICLES WERE INVOLVED.     
20110125000128.000|20110125000130.000|CC1|FOUR CHILDREN WERE STRUCK BY    
20110125000130.000|20110125000131.000|CC1|ONE OF THE VEHICLES.            
20110125000131.000|20110125000132.000|CC1|I AM NOT SURE HOW THE           
20110125000132.000|20110125000133.000|CC1|ACCIDENT HAPPENED.              
20110125000133.000|20110125000134.000|CC1|THERE WAS TWO VEHICLES          
20110125000134.000|20110125000136.000|CC1|INVOLVED.                       
20110125000136.000|20110125000138.000|CC1|>> CAN YOU TELL US ABOUT THE    
20110125000138.000|20110125000139.000|CC1|EXTENT OF THE INJURIES TO       
20110125000139.000|20110125000140.000|CC1|THE CHILDREN?                   
20110125000140.000|20110125000142.000|CC1|>> SURE ONE OF THE CHILDREN     
20110125000142.000|20110125000144.000|CC1|A 12-YEAR-OLD MALE WAS          
20110125000144.000|20110125000145.000|CC1|PINNED UNDERNEATH THE FRONT     
20110125000145.000|20110125000146.000|CC1|OF THE VEHICLE THAT YOU CAN     
20110125000146.000|20110125000147.000|CC1|SEE IN THE PICTURE THERE ON     
20110125000147.000|20110125000151.000|CC1|THE STAIRS OF THE               
20110125000151.000|20110125000152.000|CC1|CONDOMINIUM.                    
20110125000152.000|20110125000155.000|CC1|AUTHORITIES WERE ABLE TO        
20110125000155.000|20110125000157.000|CC1|LIFT THE VEHICLE AND FREE       
20110125000157.000|20110125000159.000|CC1|THE CHILD.                      
20110125000159.000|20110125000200.000|CC1|>> AND THE CONDITION OF THE     
20110125000200.000|20110125000201.000|CC1|OTHER CHILDREN?                 
20110125000201.000|20110125000204.000|CC1|THE OTHER CHILDREN WE HAD A     
20110125000204.000|20110125000205.000|CC1|12-YEAR-OLD MALE THAT           
20110125000205.000|20110125000207.000|CC1|SUFFERED TRAUMATIC INJURY AS    
20110125000207.000|20110125000208.000|CC1|WELL AND A 7-YEAR-OLD MALE      
20110125000208.000|20110125000210.000|CC1|THAT HAD MINOR INJURIES AND     
20110125000210.000|20110125000211.000|CC1|HE WAS TRANSPORT TODAY A        
20110125000211.000|20110125000212.000|CC1|LOCAL AREA HOSPITAL.            
20110125000212.000|20110125000214.000|CC1|>> SO THREE CHILDREN WERE       
20110125000214.000|20110125000215.000|CC1|HIT?                            
20110125000215.000|20110125000216.000|CC1|>> WE HAD ONE MORE CHILD        
20110125000216.000|20110125000217.000|CC1|THAT WAS INVOLVED IN THE        
20110125000217.000|20110125000219.000|CC1|ACCIDENT BUT HE WAS RELEASED    
20110125000219.000|20110125000223.000|CC1|TO HIS PARENTS.                 
20110125000223.000|20110125000224.000|CC1|SO SEVERAL CHILDREN HIT.        
20110125000224.000|20110125000227.000|CC1|WE SAW THAT THERE WAS A         
20110125000227.000|20110125000230.000|CC1|SCHOOL NEARBY AND IT            
20110125000230.000|20110125000232.000|CC1|HAPPENED IT:30 WE ASSUME        
20110125000232.000|20110125000233.000|CC1|SCHOOL WAS CLOSE TO GETTING     
20110125000233.000|20110125000234.000|CC1|OUT AT THE TIME THERE.          
20110125000234.000|20110125000235.000|CC1|MUST HAVE BEEN A LOT OF KIDS    
20110125000235.000|20110125000238.000|CC1|ON THE STREET THEM?             
20110125000238.000|20110125000240.000|CC1|>> CHILDREN I BELIEVE WERE      
20110125000240.000|20110125000240.000|CC1|FAIRLY CLOSE TO EACH OTHER      
20110125000240.000|20110125000242.000|CC1|WHEN THE ACCIDENT DID HAPPEN    
20110125000242.000|20110125000245.000|CC1|SO IT IS ACROSS THE STREET      
20110125000245.000|20110125000246.000|CC1|FROM THE SCHOOL.                
20110125000246.000|20110125000247.000|CC1|THROUGH AND AT THIS POINT DO    
20110125000247.000|20110125000249.000|CC1|YOU HAVE AN INDICATION IF       
20110125000249.000|20110125000251.000|CC1|THE KIDS ARE THEY RELATED?      
20110125000251.000|20110125000253.000|CC1|OR IF THEIR PARENTS HAVE        
20110125000253.000|20110125000255.000|CC1|BEEN NOTIFIED AT THIS POINT?    
20110125000255.000|20110125000255.000|CC1|>> I DO NOT HAVE THAT           
20110125000255.000|20110125000257.000|CC1|INFORMATION.                    
20110125000257.000|20110125000257.000|CC1|I AM SORRY.                     
20110125000257.000|20110125000259.000|CC1|I DO NOT KNOW IF THEY WERE      
20110125000259.000|20110125000301.000|CC1|RELATED OR IF ALL THEIR         
20110125000301.000|20110125000303.000|CC1|PARENTS KNOW.                   
20110125000303.000|20110125000304.000|CC1|I BELIEVE THE POLICE            
20110125000304.000|20110125000305.000|CC1|DEPARTMENT IS MAKING THOSE      
20110125000305.000|20110125000306.000|CC1|EFFORTS.                        
20110125000306.000|20110125000308.000|CC1|I DO NOT HAVE THAT              
20110125000308.000|20110125000309.000|CC1|INFORMATION, SORRY.             
20110125000309.000|20110125000310.000|CC1|>> ARE YOU TRYING TO FIGURE     
20110125000310.000|20110125000310.000|CC1|OUT HOW THE ACCIDENT            
20110125000310.000|20110125000311.000|CC1|HAPPENED.                       
20110125000311.000|20110125000313.000|CC1|WE ARE ASSUMING THERE IS A      
20110125000313.000|20110125000313.000|CC1|INVESTIGATION GOING ON TO       
20110125000313.000|20110125000316.000|CC1|FIGURE OUT IF ANYONE IS AT      
20110125000316.000|20110125000317.000|CC1|FAULT HERE.                     
20110125000317.000|20110125000318.000|CC1|WHAT HAPPENED?                  
20110125000318.000|20110125000319.000|CC1|WHAT WILL HAPPEN AS A RESULT    
20110125000319.000|20110125000320.000|CC1|OF IT.                          
20110125000320.000|20110125000322.000|CC1|>> YEAH.                        
20110125000322.000|20110125000323.000|CC1|THE POLICE DEPARTMENT IS        
20110125000323.000|20110125000323.000|CC1|HERE.                           
20110125000323.000|20110125000329.000|CC1|AND THAT WOULD BE THE BEST      
20110125000329.000|20110125000334.000|CC1|CONTACT.                        
20110125000334.000|20110125000336.000|CC1|GREG McKEOWN ORANGE COUNTY      
20110125000336.000|20110125000337.000|CC1|AUTHORITIES.                    
20110125000337.000|20110125000340.000|CC1|RESULTED IN FOUR CHILDREN WE    
20110125000340.000|20110125000343.000|CC1|WILL STAY ON TOP OF IT.         
20110125000343.000|20110125000345.000|CC1|WE WILL GIVE YOU MORE           
20110125000345.000|20110125000345.000|CC1|DETAILS ON THE CONDITION OF     
20110125000345.000|20110125000346.000|CC1|THE KIDS.                       
20110125000346.000|20110125000348.000|CC1|>> THE BOY SHOT AT GARDENA      
20110125000348.000|20110125000350.000|CC1|HIGH SCHOOL IS BLAMING THE      
20110125000350.000|20110125000352.000|CC1|UNIFIED SCHOOL DISTRICT.        
20110125000352.000|20110125000353.000|CC1|THEY SAY THAT THE CAMPUS DID    
20110125000353.000|20110125000354.000|CC1|NOT HAVE PROPER SECURITY AND    
20110125000354.000|20110125000355.000|CC1|THEY ARE HEADING TOWARD A       
20110125000355.000|20110125000356.000|CC1|LAWSUIT.                        
20110125000356.000|20110125000358.000|CC1|NOW TO KCAL9'S, DAVE LOPEZ      
20110125000358.000|20110125000359.000|CC1|FOR THE NEW DEVELOPMENTS.       
20110125000359.000|20110125000359.000|CC1|DAVE?                           
20110125000359.000|20110125000400.000|CC1|>> WELL.                        
20110125000400.000|20110125000401.000|CC1|LACK OF SECURITY AND ALSO       
20110125000401.000|20110125000404.000|CC1|THE WAY OF WHICH THE            
20110125000404.000|20110125000406.000|CC1|PARAMEDICS HAD TO FIND HIM.     
20110125000406.000|20110125000407.000|CC1|OVER MY SHOULDER THE MAIN       
20110125000407.000|20110125000409.000|CC1|OFFICE BUILDING OF GARDENA      
20110125000409.000|20110125000410.000|CC1|HIGH SCHOOL WHERE THE           
20110125000410.000|20110125000411.000|CC1|SHOOTING SUSPECT.               
20110125000411.000|20110125000412.000|CC1|ONE OF THEM.                    
20110125000412.000|20110125000413.000|CC1|15-YEAR-OLD TRENDELL GHOLAR     
20110125000413.000|20110125000415.000|CC1|WAS PLACE ADD LOAN IN A         
20110125000415.000|20110125000417.000|CC1|NURSE'S OFFICE AND THE ONLY     
20110125000417.000|20110125000418.000|CC1|TELEVISION INTERVIEW TOLD       
20110125000418.000|20110125000420.000|CC1|PAT HARVEY HOW HE WAITED 40     
20110125000420.000|20110125000422.000|CC1|MINUTES AND HE HAD TO GET UP    
20110125000422.000|20110125000423.000|CC1|TO OPEN THE DOOR FOR THE        
20110125000423.000|20110125000425.000|CC1|PARAMEDICS TO COME IN AND       
20110125000425.000|20110125000425.000|CC1|GET TO HIM.                     
20110125000425.000|20110125000426.000|CC1|>> I THOUGHT THAT I WAS NOT     
20110125000426.000|20110125000428.000|CC1|GOING TO MAKE IT.               
20110125000428.000|20110125000429.000|CC1|I THOUGHT I WAS NOT GOING TO    
20110125000429.000|20110125000430.000|CC1|MAKE MAKE IT.                   
20110125000430.000|20110125000433.000|CC1|I WAS PANICKING.                
20110125000433.000|20110125000436.000|CC1|>> TRENDELL GHOLAR TALKING      
20110125000436.000|20110125000437.000|CC1|WITH OUR PAT HARVEY ON          
20110125000437.000|20110125000438.000|CC1|FRIDAY NIGHT TELLING HER        
20110125000438.000|20110125000439.000|CC1|THAT HE THOUGHT THAT HE WAS     
20110125000439.000|20110125000440.000|CC1|GOING TO DIE.                   
20110125000440.000|20110125000442.000|CC1|>> WITHOUT SECURITY ON THESE    
20110125000442.000|20110125000443.000|CC1|CAMPUSES, OUR CHILDREN ARE      
20110125000443.000|20110125000444.000|CC1|NOT SAFE.                       
20110125000444.000|20110125000447.000|CC1|>> NO MONITARY FIGURE WAS       
20110125000447.000|20110125000448.000|CC1|GIVEN BUT THE PAPERWORK WILL    
20110125000448.000|20110125000450.000|CC1|BE SOON BE FILED.               
20110125000450.000|20110125000452.000|CC1|THE FAMILY IS SUING THE L.A.    
20110125000452.000|20110125000453.000|CC1|UNIFIED SCHOOL DISTRICT.        
20110125000453.000|20110125000455.000|CC1|>> YES, WE HOPE THAT CAN THE    
20110125000455.000|20110125000456.000|CC1|FAMILY COULD BE HERE TODAY      
20110125000456.000|20110125000457.000|CC1|BUT HE IS STRUGGLING, THE       
20110125000457.000|20110125000459.000|CC1|BOY UNFORTUNATELY CANNOT SIT    
20110125000459.000|20110125000500.000|CC1|UP.                             
20110125000500.000|20110125000502.000|CC1|HE IS DOING WELL.               
20110125000502.000|20110125000503.000|CC1|IN SOME WAYS BUT WE DO NOT      
20110125000503.000|20110125000505.000|CC1|KNOW WHAT THE FUTURE HOLDS      
20110125000505.000|20110125000507.000|CC1|FOR HIM.                        
20110125000507.000|20110125000508.000|CC1|>> I WAS SCARED.                
20110125000508.000|20110125000510.000|CC1|I FELT BLOOD AND I WAS          
20110125000510.000|20110125000511.000|CC1|GETTING UNCONSCIOUS.            
20110125000511.000|20110125000512.000|CC1|>> HE DESCRIBE TODAY PAT        
20110125000512.000|20110125000513.000|CC1|HARVEY HIS FEARS OF BEING       
20110125000513.000|20110125000516.000|CC1|ALONE IN A NURSE'S ROOM FOR     
20110125000516.000|20110125000516.000|CC1|40 MINUTES.                     
20110125000516.000|20110125000519.000|CC1|AFTER HE WAS SHOT AND BEFORE    
20110125000519.000|20110125000521.000|CC1|PARAMEDICS GOT TO HIM.          
20110125000521.000|20110125000522.000|CC1|>> IS THERE AN EXPLANATION      
20110125000522.000|20110125000524.000|CC1|WHY THE PARAMEDICS WERE NOT     
20110125000524.000|20110125000525.000|CC1|CALLED IMMEDIATELY?             
20110125000525.000|20110125000526.000|CC1|>> PANIC IN THE SCHOOL.         
20110125000526.000|20110125000526.000|CC1|>> THAT'S IT?                   
20110125000526.000|20110125000528.000|CC1|>> THAT IS ALL I KNOW.          
20110125000528.000|20110125000530.000|CC1|>> ACCORDING TO THE LOGS OF     
20110125000530.000|20110125000531.000|CC1|THE L.A. FIRE DEPARTMENT.       
20110125000531.000|20110125000534.000|CC1|PARAMEDICS RECEIVED THE CALL    
20110125000534.000|20110125000540.000|CC1|AT 10:41 ARRIVED 10:49.         
20110125000540.000|20110125000542.000|CC1|11:06 THE FEMALE VICTIM WAS     
20110125000542.000|20110125000545.000|CC1|TRANSPORTED AND THEN 11:19      
20110125000545.000|20110125000546.000|CC1|TRENDELL GHOLAR WAS             
20110125000546.000|20110125000547.000|CC1|TRANSPORTED.                    
20110125000547.000|20110125000548.000|CC1|NO COMMENT ABOUT THE            
20110125000548.000|20110125000550.000|CC1|SPECIFICS OF THAT DAY BUT       
20110125000550.000|20110125000551.000|CC1|THE SCHOOL DISTRICT SAID        
20110125000551.000|20110125000553.000|CC1|THAT THEY WILL CONDUCT THEIR    
20110125000553.000|20110125000554.000|CC1|OWN THOROUGH INVESTIGATION      
20110125000554.000|20110125000556.000|CC1|ABOUT EVERY ASPECT AND THIS     
20110125000556.000|20110125000558.000|CC1|FROM SUPERINTENDENT RAMON       
20110125000558.000|20110125000559.000|CC1|CORTINES ABOUT THE FACT THAT    
20110125000559.000|20110125000602.000|CC1|THERE WAS NO MANDATORY          
20110125000602.000|20110125000604.000|CC1|RANDOM SECURITY CHECK THE       
20110125000604.000|20110125000605.000|CC1|DAY OF THE SHOOTING.            
20110125000605.000|20110125000607.000|CC1|>> THIS WAS A FREAK BUT         
20110125000607.000|20110125000608.000|CC1|AVOIDABLE.                      
20110125000608.000|20110125000611.000|CC1|I THINK THAT IF WE BOTH THE     
20110125000611.000|20110125000613.000|CC1|SCHOOL DISTRICT AND OTHERS      
20110125000613.000|20110125000615.000|CC1|HAD DONE OUR JOB IT MAY NOT     
20110125000615.000|20110125000617.000|CC1|HAVE HAPPENED.                  
20110125000617.000|20110125000618.000|CC1|>> AND THE ATTORNEY FOR THE     
20110125000618.000|20110125000619.000|CC1|GHOLAR FAMILY ALSO SAID THAT    
20110125000619.000|20110125000621.000|CC1|THE 15-YEAR-OLD GIRL HE         
20110125000621.000|20110125000622.000|CC1|RECEIVED A REPORT THAT SHE      
20110125000622.000|20110125000624.000|CC1|OPENED HER DIES TODAY AND       
20110125000624.000|20110125000625.000|CC1|CONTINUES TO IMPROVE THOUGH     
20110125000625.000|20110125000627.000|CC1|SHE HAS SEVERE HEAD INJURIES,   
20110125000627.000|20110125000629.000|CC1|I ASKED IF HIS FIRM THE         
20110125000629.000|20110125000631.000|CC1|JOHNNIE COCHRAN FIRM WILL       
20110125000631.000|20110125000633.000|CC1|REPRESENT HER AND IS ANSWER     
20110125000633.000|20110125000635.000|CC1|WAS ONLY IF THE FAMILY ASKS     
20110125000635.000|20110125000635.000|CC1|US TO.                          
20110125000635.000|20110125000637.000|CC1|AND AS FAR AS THEIR CLIENT      
20110125000637.000|20110125000638.000|CC1|AGAIN.                          
20110125000638.000|20110125000639.000|CC1|NO MONITARY VALUE ON THE        
20110125000639.000|20110125000640.000|CC1|LAWSUIT.                        
20110125000640.000|20110125000642.000|CC1|ONLY THAT IT WOULD BE FILED     
20110125000642.000|20110125000643.000|CC1|WITHIN THE NEXT FEW DAYS AND    
20110125000643.000|20110125000646.000|CC1|YES, THERE WAS MANDATORY        
20110125000646.000|20110125000647.000|CC1|RANDOM CHECKING FOR WEAPONS     
20110125000647.000|20110125000649.000|CC1|AND WHAT NOT AS STUDENTS        
20110125000649.000|20110125000650.000|CC1|WENT INTO CLASS TODAY.          
20110125000650.000|20110125000653.000|CC1|REPORTING LIVE FROM GARTH       
20110125000653.000|20110125000654.000|CC1|DEED -- GARDENA DAVE LOPEZ      
20110125000654.000|20110125000655.000|CC1|"KCAL 9 NEWS".                  
20110125000655.000|20110125000656.000|CC1|LEYNA: NOT GUILTY PLEAS FROM    
20110125000656.000|20110125000659.000|CC1|THE TUCSON KILLER IN THE        
20110125000659.000|20110125000700.000|CC1|SHOOTING.                       
20110125000700.000|20110125000702.000|CC1|ONLY TO SOME CHARGES.           
20110125000702.000|20110125000703.000|CC1|RICK GARCIA HAS THE LATEST      
20110125000703.000|20110125000704.000|CC1|ON THE CASE AGAINST JARED       
20110125000704.000|20110125000704.000|CC1|LOUGHNER.                       
20110125000704.000|20110125000706.000|CC1|>> A FEDERAL JUDGE FROM SAN     
20110125000706.000|20110125000708.000|CC1|DIEGO PRESIDED OVER THE         
20110125000708.000|20110125000709.000|CC1|DAY'S HEARING ALL OF THE        
20110125000709.000|20110125000710.000|CC1|ARIZONA FEDERAL JUDGES HAVE     
20110125000710.000|20110125000711.000|CC1|RECUSED THEMSELVES BECAUSE      
20110125000711.000|20110125000713.000|CC1|THEIR COLLEAGUE U.S.            
20110125000713.000|20110125000715.000|CC1|DISTRICT JUDGE JOHN ROLL WAS    
20110125000715.000|20110125000716.000|CC1|KILLED IN THE SHOOTING.         
20110125000716.000|20110125000718.000|CC1|THE PLEAS WERE RELATE TODAY     
20110125000718.000|20110125000718.000|CC1|CHARGES OF TRYING TO            
20110125000718.000|20110125000720.000|CC1|ASSASSINATE CONGRESSWOMAN       
20110125000720.000|20110125000722.000|CC1|GIFFORDS AND TWO OF HER         
20110125000722.000|20110125000723.000|CC1|AIDES.                          
20110125000723.000|20110125000724.000|CC1|>> 22-YEAR-OLD JARED            
20110125000724.000|20110125000725.000|CC1|LOUGHNER WALK FOOD COURT        
20110125000725.000|20110125000727.000|CC1|WITH A NERVOUS SMILE ON HIS     
20110125000727.000|20110125000731.000|CC1|FACE, HE WAS GITTERY PALE       
20110125000731.000|20110125000732.000|CC1|AND THIN.                       
20110125000732.000|20110125000734.000|CC1|THE TEN-MINUTE HEARING WAS      
20110125000734.000|20110125000736.000|CC1|THE SECOND COURT APPEARANCE     
20110125000736.000|20110125000738.000|CC1|SINCE JANUARY 8TH THAT LEFT     
20110125000738.000|20110125000739.000|CC1|SIX PEOPLE DEAD AND A DOZEN     
20110125000739.000|20110125000740.000|CC1|WOUNDED INCLUDING               
20110125000740.000|20110125000741.000|CC1|CONGRESSWOMAN GABRIELLE         
20110125000741.000|20110125000742.000|CC1|GIFFORDS.                       
20110125000742.000|20110125000743.000|CC1|FEDERAL AND STATE               
20110125000743.000|20110125000744.000|CC1|PROSECUTORS PLAN TO             
20110125000744.000|20110125000746.000|CC1|EVENTUALLY ADD MORE CHARGES     
20110125000746.000|20110125000747.000|CC1|INCLUDING MURDER, AND THEY      
20110125000747.000|20110125000748.000|CC1|ARE EXPECTED TO SEEK THE        
20110125000748.000|20110125000749.000|CC1|DEATH PENALTY.                  
20110125000749.000|20110125000751.000|CC1|MANY EXPECT THE DEFENSE TO      
20110125000751.000|20110125000752.000|CC1|CLAIM THAT HE WAS IN SANE AT    
20110125000752.000|20110125000753.000|CC1|THE TIME OF THE SHOOTINGS.      
20110125000753.000|20110125000755.000|CC1|>> IT WILL BE A CASE THAT       
20110125000755.000|20110125000757.000|CC1|WILL FOCUS ON MENTAL HEALTH     
20110125000757.000|20110125000758.000|CC1|ISSUE?                          
20110125000758.000|20110125000758.000|CC1|ONE OF THE SURVIVORS OF THE     
20110125000758.000|20110125000801.000|CC1|SHOOTING SUZIE HILEMAN IS       
20110125000801.000|20110125000802.000|CC1|TALKING ABOUT THE TRAGIC DAY    
20110125000802.000|20110125000804.000|CC1|AND SHE BROUGHT THE YOUNGEST    
20110125000804.000|20110125000806.000|CC1|FATALITY CHRISTINA GREEN TO     
20110125000806.000|20110125000807.000|CC1|THE EVENT.                      
20110125000807.000|20110125000808.000|CC1|>> I REMEMBER LYING ON THE      
20110125000808.000|20110125000810.000|CC1|GROUND HOLDING CHRISTINA AS     
20110125000810.000|20110125000812.000|CC1|HAND AND LOOKING AT HER.        
20110125000812.000|20110125000814.000|CC1|TELLING HER TO STAY WITH ME.    
20110125000814.000|20110125000815.000|CC1|NOT TO DO THIS ALONE.           
20110125000815.000|20110125000818.000|CC1|I LOVE YOU AND STAY HERE.       
20110125000818.000|20110125000819.000|CC1|CHRISTINA.                      
20110125000819.000|20110125000823.000|CC1|CHRISTINA.                      
20110125000823.000|20110125000824.000|CC1|>> CONGRESSWOMAN GIFFORDS IS    
20110125000824.000|20110125000826.000|CC1|NOW IN A HOUSTON HOSPITAL       
20110125000826.000|20110125000828.000|CC1|WHERE DOCTORS SAY THAT SHE      
